,코스알엑스 토너_0,코스알엑스 토너_1,더랩 바이 블랑두 패드_0,더랩 바이 블랑두 패드_1,프레쥬 토너_0,프레쥬 토너_1,스팀베이스 패드_0,스팀베이스 패드_1,더모테라피 토너_0,더모테라피 토너_1,홀리카홀리카 패드_0,홀리카홀리카 패드_1,오휘 소프너_0,오휘 소프너_1,시드물 토너_0,시드물 토너_1,바디버든프로젝트 패드_0,바디버든프로젝트 패드_1,언파코스메틱 시카토너_0,언파코스메틱 시카토너_1,더마토리 보습패드_0,더마토리 보습패드_1,프리메라 워터_0,프리메라 워터_1,브링그린 스킨_0,브링그린 스킨_1,미샤 스킨_0,미샤 스킨_1,아이소이 (각질파토)_0,아이소이 (각질파토)_1,이퀄베리 토너_0,이퀄베리 토너_1,비플랫 토너_0,비플랫 토너_1,토니모리 토너_0,토니모리 토너_1,얼트루 토너_0,얼트루 토너_1,보타니티 부스터_0,보타니티 부스터_1,에스트라 로션_0,에스트라 로션_1,제로이드 로션_0,제로이드 로션_1,피지오겔 로션_0,피지오겔 로션_1,유리프 에멀전_0,유리프 에멀전_1,라포티셀 플루이드_0,라포티셀 플루이드_1,빌리프 모이스트_0,빌리프 모이스트_1,빌리프 밸런싱_0,빌리프 밸런싱_1,킵쿨 로션_0,킵쿨 로션_1,한율 플루이드_0,한율 플루이드_1,제로이드 수딩로션_0,제로이드 수딩로션_1,닥터벨머 모이스처라이저_0,닥터벨머 모이스처라이저_1,잇퍼 에멀젼_0,잇퍼 에멀젼_1,닥터뉴엘 로센스_0,닥터뉴엘 로센스_1,Dr.G 플루이드_0,Dr.G 플루이드_1,셀라피 로션_0,셀라피 로션_1,홀리카홀리카 에멀젼_0,홀리카홀리카 에멀젼_1,이니스프리 로션_0,이니스프리 로션_1,싸이닉 로션_0,싸이닉 로션_1,설화수 명의본초앰플_0,설화수 명의본초앰플_1,홀리카홀리카 세럼_0,홀리카홀리카 세럼_1
0,11.3402,46.05263,3.44827,76.76056,40.81632,11.57894,0.0,0.0,1.29589,2.3758,0.0,0.0,0.0,0.0,62.5,48.14814,0.0,0.0,0.0,0.0,59.30232,0.0,0.0,0.0,0.0,0.0,47.36842,15.02347,0.0,0.0,0.0,0.0,0.0,0.0,65.09433,68.37606,0.0,0.0,0.0,0.0,48.8372,25.64102,66.66666,74.2268,89.63414,46.14958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,25.80645,39.39393,74.71264,39.43161,71.79487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,7.60869,0.0,0.0,52.58215,30.61797,0.0,72.0,50.0,70.58823,0.0,0.0
1,15.46391,47.36842,2.15517,76.76056,0.0,22.63157,0.0,0.0,0.0,1.94384,0.0,0.0,0.0,0.0,68.75,51.85185,0.0,0.0,0.0,0.0,30.23255,0.0,53.33333,0.0,0.0,0.0,43.85964,14.55399,0.0,0.0,0.0,0.0,0.0,0.0,58.49056,64.10256,0.0,0.0,0.0,100.0,48.8372,33.33333,92.68292,64.60481,89.51219,42.49307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35483,24.24242,76.62835,100.0,41.02564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,7.60869,0.0,100.0,60.09389,33.98876,0.0,66.0,42.85714,70.58823,0.0,0.0
2,55.6701,36.8421,0.0,100.0,0.0,15.26315,0.0,0.0,1.07991,3.56371,0.0,0.0,0.0,0.0,87.5,70.37037,0.0,0.0,0.0,0.0,44.18604,0.0,0.0,50.0,0.0,100.0,63.15789,13.61502,0.0,0.0,0.0,0.0,0.0,0.0,43.39622,74.35897,0.0,0.0,0.0,45.45454,0.0,56.41025,68.29268,73.53951,67.92682,39.27977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,11.29032,21.21212,80.07662,56.39431,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,8.69565,0.0,0.0,56.80751,30.61797,0.0,64.0,46.42857,88.23529,0.0,0.0
3,23.71134,31.57894,0.0,95.07042,91.83673,9.47368,0.0,0.0,0.64794,2.59179,0.0,0.0,0.0,0.0,56.25,55.55555,0.0,0.0,0.0,0.0,30.23255,21.42857,33.33333,0.0,100.0,100.0,49.1228,7.51173,0.0,0.0,0.0,0.0,0.0,0.0,46.22641,58.11965,0.0,0.0,0.0,63.63636,34.88372,66.66666,62.60162,57.04467,68.90243,35.67867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.96774,33.33333,63.60153,61.19005,43.58974,62.5,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,6.52173,0.0,0.0,43.66197,23.3146,0.0,94.0,57.14285,29.41176,0.0,0.0
4,10.30927,38.15789,0.0,64.0845,12.24489,19.47368,0.0,0.0,0.75593,1.07991,0.0,0.0,0.0,0.0,100.0,55.55555,0.0,0.0,0.0,0.0,25.58139,0.0,53.33333,0.0,100.0,0.0,49.1228,16.9014,0.0,0.0,0.0,0.0,0.0,0.0,47.16981,50.42735,0.0,0.0,0.0,0.0,18.60465,46.15384,62.60162,50.8591,80.85365,34.34903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.51612,24.24242,62.83524,36.85612,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,59.15492,34.26966,0.0,90.0,78.57142,35.29411,0.0,0.0
5,14.43298,18.42105,0.0,62.67605,18.36734,100.0,0.0,55.55555,1.1879,1.1879,71.42857,0.0,0.0,0.0,62.5,77.77777,0.0,0.0,0.0,0.0,41.86046,0.0,46.66666,70.0,0.0,0.0,56.14035,20.65727,0.0,0.0,0.0,0.0,0.0,0.0,57.54716,52.13675,0.0,0.0,0.0,0.0,18.60465,33.33333,72.35772,64.60481,63.90243,38.67036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,82.75862,42.53996,15.38461,62.5,0.0,0.0,71.42857,0.0,0.0,0.0,39.13043,7.60869,0.0,0.0,47.88732,44.10112,8.19672,72.0,57.14285,58.82352,0.0,0.0
6,60.82474,27.63157,0.0,64.0845,22.44897,22.10526,0.0,0.0,4.10367,1.83585,85.71428,0.0,0.0,0.0,93.75,48.14814,0.0,0.0,0.0,0.0,76.74418,0.0,53.33333,50.0,0.0,0.0,36.8421,14.55399,0.0,0.0,0.0,0.0,0.0,0.0,56.60377,68.37606,0.0,0.0,0.0,0.0,37.2093,28.20512,43.90243,75.94501,68.78048,41.49584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,17.74193,18.18181,82.37547,28.15275,28.20512,62.5,0.0,0.0,0.0,0.0,0.0,0.0,69.56521,11.95652,0.0,0.0,48.3568,38.48314,9.83606,34.0,42.85714,35.29411,0.0,0.0
7,31.95876,28.94736,0.0,55.6338,16.32653,11.05263,0.0,0.0,3.6717,0.86393,0.0,0.0,0.0,0.0,28.125,22.22222,0.0,0.0,0.0,0.0,44.18604,0.0,33.33333,0.0,0.0,0.0,63.15789,15.02347,0.0,0.0,0.0,0.0,0.0,0.0,71.69811,74.35897,0.0,0.0,0.0,0.0,55.81395,38.46153,66.66666,59.45017,65.12195,42.82548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.29032,0.0,77.01149,30.10657,28.20512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,9.7826,0.0,0.0,64.31924,39.04494,0.0,62.0,57.14285,41.17647,0.0,0.0
8,29.8969,30.26315,0.0,55.6338,12.24489,14.21052,0.0,0.0,2.3758,2.91576,0.0,0.0,0.0,0.0,37.5,66.66666,0.0,0.0,0.0,0.0,23.25581,0.0,0.0,0.0,0.0,0.0,45.61403,10.32863,0.0,0.0,0.0,0.0,0.0,0.0,66.03773,91.45299,0.0,0.0,0.0,0.0,23.25581,48.71794,77.23577,62.88659,77.31707,43.21329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,17.74193,36.36363,66.66666,32.41563,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,14.13043,0.0,0.0,63.84976,35.39325,0.0,42.0,35.71428,0.0,0.0,0.0
9,14.43298,36.8421,2.15517,40.84507,28.57142,11.57894,100.0,0.0,1.94384,1.29589,0.0,0.0,0.0,0.0,50.0,74.07407,0.0,0.0,0.0,0.0,29.06976,0.0,0.0,0.0,0.0,0.0,56.14035,12.67605,0.0,0.0,100.0,0.0,0.0,0.0,44.33962,79.48717,0.0,0.0,0.0,0.0,32.55813,46.15384,54.47154,66.32302,72.07317,59.88919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33333,22.58064,30.30303,64.75095,22.29129,28.20512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,9.7826,0.0,0.0,62.91079,32.02247,0.0,68.0,39.28571,47.05882,0.0,0.0
