,더마토리 앰플_0,더마토리 앰플_1,미샤 탄력앰플_0,미샤 탄력앰플_1,빌리프 밤_0,빌리프 밤_1,록시땅 세럼_0,록시땅 세럼_1,이즈앤트리 에센스_0,이즈앤트리 에센스_1,하루하루 에센스_0,하루하루 에센스_1,로지컬리스킨 세럼_0,로지컬리스킨 세럼_1,에스티 로더 컨센트레이트_0,에스티 로더 컨센트레이트_1,제로이드 크림_0,제로이드 크림_1,센텔리안24 포뮬러_0,센텔리안24 포뮬러_1,미샤 크림_0,미샤 크림_1,에스트라 크림_0,에스트라 크림_1,아이오페 리치_0,아이오페 리치_1,아티스트리 크림_0,아티스트리 크림_1,에스티 로더 크림_0,에스티 로더 크림_1,유세린 크림_0,유세린 크림_1,엘러브 크림_0,엘러브 크림_1,유리프 크림_0,유리프 크림_1,AHC 페이스_0,AHC 페이스_1,한율 크림_0,한율 크림_1,보타니티 크림_0,보타니티 크림_1,닥터벨머 크림_0,닥터벨머 크림_1,더마토리 크림_0,더마토리 크림_1,Dr.G 밤_0,Dr.G 밤_1,블랑풀 필터크림_0,블랑풀 필터크림_1,더샘 크림_0,더샘 크림_1,참존 컴플렉스_0,참존 컴플렉스_1,강남이스트 크림_0,강남이스트 크림_1,홀리카홀리카 미스트_0,홀리카홀리카 미스트_1,라네즈 미스트_0,라네즈 미스트_1,보타닉힐 보 미스트_0,보타닉힐 보 미스트_1,CNP 미스트_0,CNP 미스트_1,식물나라 미스트_0,식물나라 미스트_1,숨37˚ 미스트_0,숨37˚ 미스트_1,클레어스 미스트_0,클레어스 미스트_1,비어썸 더블미스트_0,비어썸 더블미스트_1,유세린 스프레이_0,유세린 스프레이_1,이즈앤트리 미스트_0,이즈앤트리 미스트_1,아모레퍼시픽 미스트_0,아모레퍼시픽 미스트_1,레드투래드 미스트_0,레드투래드 미스트_1
0,15.71428,0.0,0.0,100.0,0.0,0.0,30.18867,55.55555,11.6279,65.11627,0.0,0.0,0.0,0.0,0.0,0.0,26.93726,53.18471,0.0,0.0,15.12027,4.32276,59.50413,70.0,45.45454,0.0,0.0,0.0,55.64516,67.44186,32.30769,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,40.74074,0.0,55.55555,100.0,45.0,23.40425,14.89361,0.0,0.0,0.0,0.93071,82.14285,63.15789,0.0,0.0,0.0,0.0,12.26415,9.85915,29.41176,35.29411,55.33333,9.04977,91.66666,40.99999,44.82758,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45161,35.29411,70.96774,0.0,0.0
1,13.57142,0.0,0.0,33.33333,55.55555,44.44444,28.30188,48.88888,0.0,23.25581,0.0,0.0,100.0,0.0,0.0,0.0,27.30627,52.22929,0.0,0.0,20.61855,5.18731,48.76033,55.0,45.45454,0.0,0.0,0.0,73.38709,84.88372,36.92307,17.5,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,58.02469,0.0,66.66666,0.0,35.0,11.70212,22.34042,0.0,0.0,0.0,1.13753,100.0,63.15789,0.0,0.0,0.0,0.0,9.90566,0.0,13.72549,25.49019,64.0,13.57466,52.77777,45.0,53.44827,85.18518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.32258,70.58823,70.96774,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,41.50943,51.11111,0.0,69.76744,0.0,0.0,0.0,0.0,0.0,0.0,26.19926,49.36305,0.0,0.0,18.21305,4.89913,43.80165,73.33333,0.0,0.0,0.0,0.0,73.38709,100.0,45.38461,18.33333,0.0,33.33333,0.0,0.0,0.0,0.0,48.95833,48.14814,0.0,0.0,0.0,100.0,20.21276,19.14893,0.0,0.0,0.8273,0.93071,100.0,42.10526,0.0,0.0,0.0,0.0,10.84905,11.2676,27.45098,21.56862,44.0,12.21719,97.22222,22.0,27.5862,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03225,94.11764,100.0,0.0,0.0
3,13.57142,0.0,0.0,28.57142,0.0,27.77777,35.84905,68.88888,0.0,69.76744,0.0,0.0,0.0,0.0,0.0,0.0,26.56826,38.21656,0.0,0.0,39.5189,7.49279,49.58677,58.33333,0.0,0.0,0.0,0.0,77.41935,80.23255,30.76923,28.33333,0.0,0.0,0.0,0.0,0.0,0.0,35.41666,34.5679,0.0,0.0,66.66666,30.0,31.91489,18.0851,0.0,0.0,0.72388,1.6546,85.71428,78.94736,0.0,0.0,0.0,0.0,18.86792,26.76056,47.05882,29.41176,58.0,26.24434,22.22222,17.0,58.62068,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51612,60.78431,58.06451,0.0,0.0
4,21.42857,0.0,0.0,0.0,77.77777,44.44444,30.18867,51.11111,0.0,44.18604,0.0,0.0,0.0,0.0,0.0,0.0,23.24723,37.89808,0.0,0.0,20.96219,8.64553,52.06611,61.66666,45.45454,0.0,0.0,0.0,63.70967,66.27906,33.84615,15.83333,62.5,0.0,0.0,0.0,0.0,0.0,43.75,45.67901,0.0,0.0,0.0,40.0,30.85106,17.02127,0.0,0.0,0.0,1.86142,78.57142,57.89473,0.0,0.0,0.0,0.0,5.18867,12.67605,29.41176,13.72549,71.33333,7.23981,63.88888,25.0,58.62068,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87096,94.11764,41.93548,0.0,0.0
5,13.57142,0.0,0.0,0.0,0.0,27.77777,18.86792,37.77777,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.08118,59.87261,0.0,0.0,24.05498,9.79827,39.66942,65.0,0.0,0.0,0.0,0.0,70.16129,84.88372,46.92307,27.5,0.0,0.0,0.0,100.0,0.0,0.0,41.66666,32.09876,0.0,0.0,0.0,45.0,18.0851,18.0851,0.0,0.0,0.93071,0.8273,100.0,57.89473,0.0,0.0,0.0,0.0,8.01886,21.12676,0.0,27.45098,56.66666,14.47963,50.0,18.0,29.31034,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16129,78.43137,35.48387,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,26.41509,46.66666,0.0,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,10.3321,64.64968,0.0,0.0,29.20962,6.05187,19.00826,45.0,54.54545,0.0,0.0,0.0,54.03225,80.23255,61.53846,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,40.625,30.86419,0.0,0.0,0.0,0.0,35.10638,25.53191,0.0,0.0,1.24095,0.93071,35.71428,0.0,0.0,0.0,0.0,0.0,10.84905,23.94366,31.37254,47.05882,100.0,14.93212,66.66666,14.0,32.75862,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51612,84.31372,48.38709,0.0,0.0
7,10.71428,0.0,0.0,33.33333,88.88888,0.0,43.39622,44.44444,0.0,48.8372,0.0,0.0,0.0,0.0,0.0,0.0,32.84132,59.87261,0.0,0.0,28.86597,6.91642,33.05785,36.66666,0.0,0.0,0.0,0.0,51.6129,69.76744,48.46153,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,50.61728,0.0,0.0,0.0,45.0,100.0,14.89361,0.0,0.0,0.93071,1.34436,75.0,26.31578,0.0,0.0,0.0,0.0,6.13207,32.39436,25.49019,29.41176,54.66666,14.02714,61.11111,24.0,36.20689,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74193,60.78431,96.77419,0.0,0.0
8,8.57142,0.0,0.0,0.0,0.0,0.0,18.86792,66.66666,13.95348,37.2093,0.0,0.0,0.0,0.0,0.0,0.0,22.50922,68.47133,0.0,0.0,26.11683,7.78097,35.53719,35.0,0.0,0.0,0.0,0.0,56.45161,80.23255,79.23076,35.0,0.0,0.0,100.0,0.0,0.0,0.0,57.29166,50.61728,0.0,0.0,0.0,0.0,47.87234,9.57446,0.0,0.0,1.24095,0.8273,50.0,42.10526,0.0,0.0,0.0,0.0,9.43396,28.16901,27.45098,0.0,48.0,14.47963,66.66666,30.0,43.10344,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45161,66.66666,45.16129,0.0,0.0
9,9.28571,0.0,0.0,0.0,55.55555,55.55555,13.20754,42.22222,0.0,51.16279,0.0,0.0,0.0,0.0,0.0,0.0,14.76014,60.50955,0.0,0.0,24.39862,6.91642,44.62809,68.33333,0.0,0.0,0.0,0.0,70.96774,81.39534,44.61538,25.0,0.0,0.0,0.0,0.0,0.0,0.0,51.04166,35.80246,0.0,0.0,0.0,65.0,38.29787,14.89361,0.0,0.0,1.03412,1.34436,50.0,78.94736,0.0,0.0,0.0,0.0,9.90566,94.36619,23.52941,31.37254,37.33333,21.26696,80.55555,40.0,60.34482,40.74074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87096,66.66666,77.41935,0.0,0.0
