,다이소 (대)_0,다이소 (대)_1,아리따움 브러시_0,아리따움 브러시_1,미샤 201_0,미샤 201_1,필리밀리 851_0,필리밀리 851_1,에코툴즈 브러시_0,에코툴즈 브러시_1,피카소 블러셔_0,피카소 블러셔_1,에코툴즈 세트_0,에코툴즈 세트_1,필리밀리 세트_0,필리밀리 세트_1,다이소 블렌딩총알브러시_0,다이소 블렌딩총알브러시_1,맥 브러시_0,맥 브러시_1,다이소 브러시_0,다이소 브러시_1,리얼 테크닉스 브러시_0,리얼 테크닉스 브러시_1,무인양품 브러시_0,무인양품 브러시_1,에뛰드 파우더_0,에뛰드 파우더_1,에스쁘아 블렌더_0,에스쁘아 블렌더_1,미샤 [밀착]_0,미샤 [밀착]_1,리얼 테크닉스 스펀지_0,리얼 테크닉스 스펀지_1,포니이펙트 퍼프_0,포니이펙트 퍼프_1,다이소 퍼프_0,다이소 퍼프_1,미샤 퍼프_0,미샤 퍼프_1,클리오 스폰지_0,클리오 스폰지_1,스킨푸드 퍼프_0,스킨푸드 퍼프_1,다이소 미니파우더퍼프_0,다이소 미니파우더퍼프_1,더샘 퍼프_0,더샘 퍼프_1,필리밀리 퍼프_0,필리밀리 퍼프_1,어퓨 퍼프_0,어퓨 퍼프_1,헤라 퍼프_0,헤라 퍼프_1,다이소 8개입_0,다이소 8개입_1,뷰티블렌더 싱글_0,뷰티블렌더 싱글_1,다이소 물방울퍼프_0,다이소 물방울퍼프_1,베네툴 스폰지_0,베네툴 스폰지_1,올리브영 촉촉퍼프_0,올리브영 촉촉퍼프_1,이마트 화장솜_0,이마트 화장솜_1,카이 눈썹칼_0,카이 눈썹칼_1,화이트래빗 타입_0,화이트래빗 타입_1,어퓨 솝_0,어퓨 솝_1,어퓨 빨래판_0,어퓨 빨래판_1,갸스비 페이퍼_0,갸스비 페이퍼_1,시루콧토 화장솜_0,시루콧토 화장솜_1,아리따움 내추럴_0,아리따움 내추럴_1
0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,39.28571,0.0,0.0,0.0,0.0,9.30232,44.44444,7.18232,26.38888,0.0,0.0,0.0,33.33333,61.53846,73.91304,55.25727,72.2595,16.74876,24.13793,0.0,0.0,38.58267,42.85714,0.0,0.0,0.0,36.66666,0.0,27.90697,0.0,0.0,61.64383,50.63291,0.0,0.0,0.0,0.0,51.42857,58.66666,0.0,0.0,25.87719,8.71212,18.26086,39.61352,60.46511,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.53759,75.70422,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,13.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,28.57142,0.0,0.0,0.0,0.0,10.46511,35.18518,2.76243,23.61111,0.0,0.0,0.0,27.77777,34.61538,26.08695,56.82326,54.36241,16.74876,21.18226,0.0,0.0,40.15748,47.61904,0.0,0.0,38.46153,70.0,0.0,29.23588,0.0,32.43243,58.9041,35.44303,0.0,0.0,0.0,0.0,47.61904,69.06666,0.0,0.0,24.5614,4.35606,22.60869,40.09661,32.55813,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.47744,70.18779,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,13.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,46.42857,0.0,0.0,0.0,0.0,9.30232,31.48148,11.6022,52.77777,0.0,0.0,0.0,27.77777,50.0,26.08695,70.24608,66.21923,17.24137,17.24137,0.0,0.0,44.88188,35.71428,0.0,0.0,0.0,73.33333,0.0,34.21926,0.0,0.0,71.23287,48.10126,0.0,0.0,0.0,0.0,56.42857,46.93333,0.0,0.0,22.80701,6.25,24.05797,59.42028,74.4186,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.63157,75.93896,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,32.14285,0.0,0.0,0.0,0.0,12.2093,48.14814,7.18232,29.16666,0.0,0.0,0.0,0.0,57.6923,30.43478,58.61297,58.38926,13.30049,26.10837,0.0,0.0,51.1811,36.90476,0.0,0.0,0.0,96.66666,0.0,34.88372,0.0,18.91891,100.0,59.49367,0.0,0.0,0.0,0.0,43.80952,47.46666,0.0,0.0,19.29824,6.43939,16.52173,59.90338,62.79069,28.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.63533,84.50704,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,54.54545,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,0.0,67.85714,39.28571,0.0,0.0,0.0,0.0,3.48837,55.55555,4.97237,100.0,0.0,0.0,0.0,33.33333,30.76923,78.26086,64.65324,66.66666,13.7931,16.74876,0.0,0.0,41.73228,33.33333,0.0,0.0,0.0,100.0,0.0,41.19601,50.0,67.56756,58.9041,62.02531,0.0,0.0,0.0,0.0,58.57142,40.53333,0.0,0.0,21.05263,7.76515,27.24637,50.72463,65.11627,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.36842,61.50234,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,32.14285,0.0,0.0,0.0,0.0,8.72093,51.85185,6.07734,51.38888,0.0,0.0,0.0,0.0,61.53846,52.17391,75.39149,66.21923,24.13793,16.74876,0.0,0.0,66.14173,40.47619,0.0,0.0,46.15384,80.0,0.0,24.91694,50.0,40.54054,63.01369,32.91139,0.0,0.0,0.0,0.0,52.14285,32.8,0.0,0.0,20.17543,5.87121,24.63768,58.4541,51.16279,18.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.45488,58.33333,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42857,25.0,0.0,0.0,0.0,0.0,11.04651,42.59259,8.83977,33.33333,0.0,0.0,0.0,0.0,76.92307,34.7826,54.1387,76.95749,27.09359,17.24137,0.0,100.0,66.14173,50.0,0.0,0.0,0.0,70.0,0.0,29.23588,0.0,67.56756,52.05479,36.70886,0.0,0.0,0.0,0.0,38.33333,41.6,0.0,0.0,23.24561,4.73484,27.82608,59.90338,48.8372,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.95112,53.87323,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,0.0,0.0,0.0,0.0,0.0,10.46511,44.44444,12.15469,31.94444,0.0,0.0,0.0,0.0,34.61538,0.0,57.71812,59.0604,24.63054,13.30049,0.0,0.0,47.24409,41.66666,0.0,0.0,0.0,36.66666,0.0,24.91694,100.0,86.48648,71.23287,31.64556,0.0,0.0,0.0,0.0,36.19047,60.8,0.0,0.0,33.77192,8.14393,28.69565,51.69082,62.79069,18.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2406,49.29577,0.0,0.0
8,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,19.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,25.0,0.0,0.0,0.0,0.0,6.97674,48.14814,9.94475,27.77777,0.0,0.0,0.0,0.0,30.76923,100.0,54.58612,59.95525,13.7931,13.7931,0.0,0.0,51.1811,64.28571,0.0,0.0,0.0,40.0,0.0,33.55481,0.0,43.24324,49.31506,40.50632,0.0,0.0,0.0,0.0,41.66666,60.53333,0.0,0.0,30.70175,4.54545,24.05797,57.00483,67.44186,31.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.13909,50.23474,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,32.14285,0.0,0.0,0.0,0.0,15.69767,38.88888,5.52486,36.11111,0.0,0.0,0.0,0.0,42.30769,52.17391,82.1029,58.16554,69.95073,24.13793,0.0,0.0,53.5433,44.04761,0.0,0.0,0.0,56.66666,0.0,33.22259,0.0,18.91891,67.12328,59.49367,0.0,0.0,0.0,0.0,39.04761,44.0,0.0,0.0,35.52631,5.49242,21.73913,70.0483,48.8372,38.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.43984,60.446,0.0,0.0
