,셀퓨전씨 필스_0,셀퓨전씨 필스_1,이니스프리 클렌저_0,이니스프리 클렌저_1,SRB세안제_0,SRB세안제_1,휘게 클렌저_0,휘게 클렌저_1,프리메라 폼_0,프리메라 폼_1,이즈앤트리 워시_0,이즈앤트리 워시_1,애즈이즈투비 클렌저_0,애즈이즈투비 클렌저_1,해서린 클렌징젤_0,해서린 클렌징젤_1,미샤 클렌저_0,미샤 클렌저_1,닥터오라클 폼_0,닥터오라클 폼_1,잇퍼 클렌징폼_0,잇퍼 클렌징폼_1,유리프 폼클렌저_0,유리프 폼클렌저_1,라로슈포제 크림_0,라로슈포제 크림_1,설화수 폼_0,설화수 폼_1,시드물 젤)_0,시드물 젤)_1,에이밀 폼_0,에이밀 폼_1,메이크프렘 폼_0,메이크프렘 폼_1,시드물 클렌져_0,시드물 클렌져_1,룩스앤메이 클렌저_0,룩스앤메이 클렌저_1,러쉬 스킨_0,러쉬 스킨_1,더샘 워터_0,더샘 워터_1,바닐라코 오리지널_0,바닐라코 오리지널_1,니베아 워터_0,니베아 워터_1,킵쿨 워터_0,킵쿨 워터_1,더샘 패드_0,더샘 패드_1,헤이미쉬 밤_0,헤이미쉬 밤_1,키노닉스 패드_0,키노닉스 패드_1,라로슈포제 스킨_0,라로슈포제 스킨_1,비페스타 시트_0,비페스타 시트_1,비오투름 밀크_0,비오투름 밀크_1,가르니에 워터_0,가르니에 워터_1,브라운랩 워터_0,브라운랩 워터_1,크리니크 오일_0,크리니크 오일_1,슈에무라 오일_0,슈에무라 오일_1,설화수 오일_0,설화수 오일_1,세컨디자인 프레쉬_0,세컨디자인 프레쉬_1,시드물 밀크_0,시드물 밀크_1,16BRAND 밤_0,16BRAND 밤_1,아리얼 패드_0,아리얼 패드_1,에뛰드 클리너_0,에뛰드 클리너_1
0,0.0,0.0,0.0,0.0,22.00772,46.875,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.42424,59.45945,55.55555,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,17.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69841,25.0,0.0,0.0,0.0,0.0,54.09836,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,35.71428,32.14285,100.0,35.89743,44.82758,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,38.99613,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.48484,64.86486,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,47.61904,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73015,10.0,0.0,0.0,0.0,0.0,63.93442,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,57.14285,73.11827,46.15384,89.65517,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,32.04633,26.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.69696,40.54054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,52.38095,32.38095,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73015,11.0,0.0,0.0,0.0,0.0,100.0,69.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.85714,53.57142,88.17204,46.15384,41.37931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,23.93822,28.125,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.84848,51.35135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5238,24.0,0.0,0.0,0.0,0.0,70.4918,90.47619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,32.14285,68.8172,48.71794,51.72413,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,25.86872,25.625,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.60606,75.67567,0.0,68.42105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7619,11.0,0.0,0.0,0.0,0.0,75.40983,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,21.42857,67.74193,61.53846,68.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,33.59073,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,86.48648,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,41.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9365,14.0,0.0,0.0,0.0,0.0,68.85245,59.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,28.57142,68.8172,66.66666,51.72413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,83.33333,24.32432,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,67.56756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,37.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7619,17.0,0.0,0.0,0.0,0.0,81.96721,97.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,67.85714,63.44086,71.79487,79.31034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,27.79922,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,70.27027,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,37.14285,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,67.21311,40.47619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,35.71428,56.98924,58.97435,44.82758,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,71.42857,0.0,100.0,49.375,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,56.75675,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,35.23809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9365,14.0,0.0,45.45454,0.0,0.0,59.01639,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,46.42857,38.70967,79.48717,96.55172,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,60.23166,29.375,0.0,0.0,0.0,91.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.42424,40.54054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,25.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9365,5.0,0.0,54.54545,0.0,0.0,81.96721,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,17.85714,76.34408,43.58974,34.48275,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,0.0,0.0,0.0
