,샤넬 엥땅스_0,샤넬 엥땅스_1,크리니크 립스_0,크리니크 립스_1,포인트 립앤아이리무버_0,포인트 립앤아이리무버_1,라네즈 립&아이리무버_0,라네즈 립&아이리무버_1,에뛰드 리무버_0,에뛰드 리무버_1,미샤 리무버_0,미샤 리무버_1,아리따움 리무버_0,아리따움 리무버_1,스킨푸드 리무버_0,스킨푸드 리무버_1,구달 패드_0,구달 패드_1,시드물 필링젤_0,시드물 필링젤_1,프리메라 필링_0,프리메라 필링_1,더샘 젤_0,더샘 젤_1,참존 콘트롤크림_0,참존 콘트롤크림_1,클레어스 젠틀블랙슈거페이셜폴리쉬_0,클레어스 젠틀블랙슈거페이셜폴리쉬_1,참존 마사지_0,참존 마사지_1,세컨디자인 부스트_0,세컨디자인 부스트_1,나인위시스 폴리쉬_0,나인위시스 폴리쉬_1,스킨푸드 젤_0,스킨푸드 젤_1,비욘드 스크럽_0,비욘드 스크럽_1,엘러브 필링패드_0,엘러브 필링패드_1,브라운랩 필링패드_0,브라운랩 필링패드_1,나이팅게일 [티트리]_0,나이팅게일 [티트리]_1,스킨푸드 2X_0,스킨푸드 2X_1,셀리맥스 패드_0,셀리맥스 패드_1,투쿨포스쿨 스크럽_0,투쿨포스쿨 스크럽_1,파파레서피 토너_0,파파레서피 토너_1,VDL 엑스폴리언트_0,VDL 엑스폴리언트_1,어퓨 메이커_0,어퓨 메이커_1,시드물 버블메이커_0,시드물 버블메이커_1,미샤 메이커_0,미샤 메이커_1,에뛰드 메이커_0,에뛰드 메이커_1,이니스프리 메이커_0,이니스프리 메이커_1,다이소 샤워볼_0,다이소 샤워볼_1,시크릿키 브러쉬_0,시크릿키 브러쉬_1,이니스프리 스펀지_0,이니스프리 스펀지_1,아리따움 거품망_0,아리따움 거품망_1,올리브영 거품망_0,올리브영 거품망_1,올리브영 클렌징퍼프_0,올리브영 클렌징퍼프_1,크룬 세안용_0,크룬 세안용_1,아임미미 브러쉬_0,아임미미 브러쉬_1
0,0.0,0.0,0.0,0.0,47.36842,40.0,0.0,0.0,34.04255,54.7619,71.42857,46.22641,35.0,61.5894,39.58333,34.57943,50.0,73.21428,19.80198,66.26506,53.0303,100.0,0.0,0.0,44.32989,56.19631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,0.0,0.0,61.01083,26.28205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571,42.55319,0.0,0.0,100.0,33.33333,0.0,0.0,33.96226,28.57142,39.04761,25.23809,0.0,0.0,85.0,69.69696
1,0.0,0.0,0.0,0.0,42.10526,37.14285,0.0,0.0,31.91489,33.33333,35.71428,31.13207,37.5,54.96688,52.08333,28.97196,30.95238,46.42857,11.88118,21.68674,66.66666,76.82926,0.0,0.0,36.5243,51.53374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,0.0,0.0,79.06137,26.28205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,46.80851,0.0,0.0,79.16666,23.80952,0.0,0.0,37.73584,40.81632,37.61904,26.19047,0.0,0.0,63.75,36.36363
2,0.0,0.0,0.0,0.0,63.15789,22.85714,0.0,0.0,40.42553,52.38095,46.42857,79.24528,32.5,55.62913,42.70833,21.49532,33.33333,44.64285,23.26732,48.19277,86.36363,52.43902,0.0,0.0,44.91899,52.14723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,39.13043,0.0,0.0,61.73285,23.39743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,46.80851,0.0,0.0,50.0,71.42857,0.0,0.0,37.73584,59.18367,29.04761,21.90476,0.0,0.0,62.5,24.24242
3,0.0,0.0,0.0,0.0,36.8421,20.0,0.0,0.0,36.17021,35.71428,35.71428,48.1132,22.5,47.01986,26.04166,34.57943,23.80952,46.42857,20.29702,59.03614,78.78787,43.90243,0.0,0.0,49.0427,61.96319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,34.7826,0.0,0.0,42.96028,21.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42857,34.04255,0.0,0.0,66.66666,52.38095,75.0,39.13043,67.92452,40.81632,32.38095,29.04761,0.0,0.0,78.75,33.33333
4,0.0,0.0,0.0,0.0,36.8421,20.0,0.0,0.0,27.65957,59.5238,50.0,50.94339,15.0,33.77483,30.20833,34.57943,26.19047,100.0,21.78217,53.01204,72.72727,46.34146,0.0,0.0,54.63917,41.47239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,34.7826,0.0,0.0,100.0,30.44871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28571,31.91489,0.0,0.0,37.5,0.0,0.0,30.43478,24.5283,53.06122,77.61904,33.80952,0.0,0.0,58.75,54.54545
5,0.0,0.0,0.0,0.0,100.0,14.28571,0.0,0.0,42.55319,40.47619,67.85714,50.94339,40.0,38.41059,25.0,40.18691,38.09523,42.85714,16.83168,55.42168,65.15151,82.92682,0.0,0.0,68.18851,52.51533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666,39.13043,0.0,0.0,78.70036,17.6282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28571,34.04255,0.0,0.0,50.0,33.33333,0.0,56.52173,33.96226,30.61224,45.23809,24.28571,0.0,0.0,90.0,39.39393
6,0.0,0.0,0.0,0.0,26.31578,42.85714,0.0,0.0,29.78723,52.38095,42.85714,65.09433,32.5,42.3841,35.41666,21.49532,57.14285,58.92857,15.34653,33.73493,71.21212,82.92682,0.0,0.0,62.15022,49.57055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,60.0,56.52173,0.0,0.0,51.98555,24.03846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,85.10638,0.0,0.0,87.5,28.57142,0.0,39.13043,33.96226,59.18367,41.42857,18.57142,0.0,0.0,100.0,15.15151
7,0.0,0.0,0.0,0.0,73.68421,22.85714,0.0,0.0,36.17021,28.57142,53.57142,39.62264,40.0,49.00662,37.5,24.29906,78.57142,64.28571,20.79207,50.6024,53.0303,92.68292,0.0,0.0,51.84094,55.33742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86956,0.0,0.0,43.68231,15.70512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71428,65.95744,0.0,0.0,58.33333,0.0,87.5,78.26086,33.96226,61.22448,23.80952,28.09523,0.0,0.0,55.0,39.39393
8,0.0,0.0,0.0,0.0,31.57894,40.0,0.0,0.0,31.91489,50.0,28.57142,42.45283,15.0,32.45033,39.58333,28.97196,47.61904,37.5,14.35643,45.78313,77.27272,75.60975,0.0,0.0,45.80265,54.47852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,47.82608,0.0,0.0,36.8231,14.10256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,53.19148,0.0,0.0,25.0,0.0,0.0,26.08695,47.16981,44.89795,29.5238,18.09523,0.0,0.0,70.0,30.30303
9,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,23.40425,33.33333,25.0,36.79245,27.5,56.95364,51.04166,27.1028,30.95238,21.42857,25.24752,68.67469,81.81818,67.07317,0.0,0.0,47.42268,48.95705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,73.33333,0.0,0.0,0.0,52.70758,12.82051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71428,34.04255,0.0,0.0,58.33333,33.33333,75.0,43.47826,60.37735,59.18367,27.14285,31.90476,0.0,0.0,95.0,27.27272
