,아비브 스티커_0,아비브 스티커_1,메디힐 REX_0,메디힐 REX_1,홀리카홀리카 [아보카도]_0,홀리카홀리카 [아보카도]_1,비플랫 마스크_0,비플랫 마스크_1,토레야 마스크_0,토레야 마스크_1,얼트루 [수딩]_0,얼트루 [수딩]_1,메디힐 마스크_0,메디힐 마스크_1,오아이엠 마스크_0,오아이엠 마스크_1,시드물 시트_0,시드물 시트_1,입솜 마스크_0,입솜 마스크_1,셀로니아 마스크_0,셀로니아 마스크_1,에뛰드 티트리_0,에뛰드 티트리_1,메디힐 이엑스_0,메디힐 이엑스_1,린제이 마스크_0,린제이 마스크_1,닥터자르트 마스크_0,닥터자르트 마스크_1,빌리프 마스크_0,빌리프 마스크_1,러쉬 씨위드_0,러쉬 씨위드_1,프레쉬 마스크_0,프레쉬 마스크_1,한율 수면팩_0,한율 수면팩_1,시드물 팩_0,시드물 팩_1,러쉬 매그너민티_0,러쉬 매그너민티_1,샤넬 마스크_0,샤넬 마스크_1,설화수 여윤팩_0,설화수 여윤팩_1,아리따움 강력보습_0,아리따움 강력보습_1,설화수 옥용팩_0,설화수 옥용팩_1,시드물 고무팩_0,시드물 고무팩_1,보나벨라 마스크_0,보나벨라 마스크_1,린제이 마스크팩_0,린제이 마스크팩_1,이즈앤트리 마스크_0,이즈앤트리 마스크_1,팜스 테라비타_0,팜스 테라비타_1,리리코스 테라피_0,리리코스 테라피_1,어퓨 코팩_0,어퓨 코팩_1,스킨푸드 (진정)_0,스킨푸드 (진정)_1,클루시브 패치_0,클루시브 패치_1,CNP 키트_0,CNP 키트_1,비오레 코팩_0,비오레 코팩_1,스킨미소 모공미인코팩_0,스킨미소 모공미인코팩_1,씨라클 시트_0,씨라클 시트_1,티피오 멀티패치_0,티피오 멀티패치_1,CNP 스트립_0,CNP 스트립_1
0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71428,81.48148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,54.54545,60.0,70.58823,81.81818,63.63636,32.85714,44.09937,100.0,43.05555,56.0,67.74193,74.57627,97.74774,0.0,44.0,50.0,89.0,0.0,0.0,100.0,82.71604,0.0,88.88888,0.0,0.0,0.0,0.0,75.0,0.0,12.58278,69.69696,0.0,0.0,29.41176,66.66666,0.0,0.0,39.13043,0.0,0.0,0.0,82.75862,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71428,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6923,41.81818,50.0,35.29411,90.90909,81.81818,44.28571,13.66459,48.0916,30.55555,44.0,38.70967,73.72881,82.43243,30.43478,36.0,69.9074,59.0,0.0,0.0,75.0,79.01234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92052,98.98989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,15.85365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,41.81818,0.0,44.11764,72.72727,90.90909,42.85714,13.04347,35.87786,34.72222,32.0,45.16129,44.91525,98.64864,0.0,20.0,78.24074,53.5,0.0,0.0,74.56896,87.65432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8543,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62962,0.0,75.60975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,45.45454,0.0,41.17647,72.72727,0.0,35.71428,19.25465,54.19847,25.0,24.0,61.29032,62.71186,75.67567,21.73913,28.0,77.31481,70.0,0.0,0.0,69.39655,76.5432,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.89403,98.98989,0.0,0.0,0.0,55.55555,0.0,0.0,21.73913,0.0,0.0,0.0,56.89655,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14285,51.85185,0.0,69.51219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,38.18181,50.0,55.88235,72.72727,0.0,25.71428,21.11801,43.51145,31.94444,40.0,41.93548,62.71186,59.45945,0.0,36.0,74.53703,54.0,0.0,0.0,70.68965,80.86419,71.42857,55.55555,0.0,0.0,0.0,0.0,0.0,85.71428,15.23178,65.15151,0.0,0.0,29.41176,0.0,0.0,0.0,52.17391,55.55555,0.0,0.0,72.41379,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.09523,48.14814,0.0,60.9756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,27.27272,0.0,52.94117,45.45454,0.0,47.14285,13.04347,32.06106,27.77777,60.0,38.70967,83.05084,70.72072,0.0,32.0,66.2037,57.5,0.0,0.0,84.05172,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27152,53.78787,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.20689,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14285,55.55555,0.0,53.65853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,20.0,0.0,52.94117,54.54545,0.0,50.0,17.3913,33.58778,26.38888,48.0,51.6129,83.05084,68.91891,43.47826,64.0,69.44444,56.0,0.0,0.0,58.18965,67.90123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60927,46.71717,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5238,29.62962,0.0,67.07317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.45454,0.0,64.70588,0.0,0.0,44.28571,13.66459,39.69465,29.16666,60.0,58.06451,83.05084,100.0,26.08695,52.0,69.9074,49.5,0.0,0.0,60.77586,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28476,43.68686,0.0,0.0,29.41176,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,86.20689,60.41666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5238,48.14814,0.0,69.51219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,41.81818,0.0,55.88235,72.72727,0.0,54.28571,16.77018,50.38167,43.05555,24.0,80.64516,89.8305,74.77477,26.08695,44.0,68.98148,48.5,0.0,0.0,64.22413,66.66666,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,6.62251,45.20202,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,60.34482,70.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62962,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,30.90909,0.0,26.47058,0.0,45.45454,40.0,8.69565,33.58778,25.0,60.0,38.70967,75.42372,86.03603,21.73913,28.0,77.77777,40.99999,0.0,0.0,62.06896,70.98765,100.0,100.0,0.0,0.0,0.0,0.0,0.0,71.42857,19.20529,52.0202,0.0,0.0,58.82352,66.66666,0.0,0.0,43.47826,0.0,0.0,0.0,55.17241,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
