,아리따움 쿨러_0,아리따움 쿨러_1,다이소 (44535)_0,다이소 (44535)_1,이니스프리 스패튤라_0,이니스프리 스패튤라_1,닥터자르트 쉐이퍼_0,닥터자르트 쉐이퍼_1,어퓨 마사저_0,어퓨 마사저_1,글로우힐 브러시_0,글로우힐 브러시_1,어퓨 커버_0,어퓨 커버_1,이니스프리 브러시_0,이니스프리 브러시_1,입생로랑 마사저_0,입생로랑 마사저_1,에뛰드 마사저_0,에뛰드 마사저_1,황후연이혈기석_0,황후연이혈기석_1,에뛰드 쿨러_0,에뛰드 쿨러_1,루데아 브이밴드_0,루데아 브이밴드_1,미샤 브러시_0,미샤 브러시_1,자르딘 롤러_0,자르딘 롤러_1,오멜론 페이스_0,오멜론 페이스_1,싸이닉 키트_0,싸이닉 키트_1,이니스프리 볼_0,이니스프리 볼_1,아이소이 링클케어_0,아이소이 링클케어_1,더마퀸 페이스용_0,더마퀸 페이스용_1,클레어스 [SPF50+/PA++++]_0,클레어스 [SPF50+/PA++++]_1,휘게 [SPF50+/PA++++]_0,휘게 [SPF50+/PA++++]_1,AHC 선세럼)_0,AHC 선세럼)_1,이자녹스 [SPF50+/PA++++]_0,이자녹스 [SPF50+/PA++++]_1,엑스와이지 포뮬러 [SPF50+/PA+++]_0,엑스와이지 포뮬러 [SPF50+/PA+++]_1,달바 [SPF50+/PA++++]_0,달바 [SPF50+/PA++++]_1,미샤 [SPF50+/PA++++]_0,미샤 [SPF50+/PA++++]_1,어퓨 [SPF50+/PA++++]_0,어퓨 [SPF50+/PA++++]_1,셀퓨전씨 [SPF50+/PA+++]_0,셀퓨전씨 [SPF50+/PA+++]_1,미샤 [SPF45/PA+++]_0,미샤 [SPF45/PA+++]_1,더프트앤도프트 [SPF50+/PA++++]_0,더프트앤도프트 [SPF50+/PA++++]_1,더페이스샵 50+/PA++++]_0,더페이스샵 50+/PA++++]_1,라로슈포제 [SPF50/PA++++]_0,라로슈포제 [SPF50/PA++++]_1,입생로랑 [SPF50+/PA+++]_0,입생로랑 [SPF50+/PA+++]_1,랩노 [SPF50+/PA++++]_0,랩노 [SPF50+/PA++++]_1,더프트앤도프트 [SPF50+/PA+++]_0,더프트앤도프트 [SPF50+/PA+++]_1,싸이닉 [SPF50+/PA+++]_0,싸이닉 [SPF50+/PA+++]_1,에뛰드 [SPF50+/PA++++]_0,에뛰드 [SPF50+/PA++++]_1,AHC [SPF50+/PA++++]_0,AHC [SPF50+/PA++++]_1,식물나라 [SPF50+/PA+++]_0,식물나라 [SPF50+/PA+++]_1
0,65.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,100.0,63.09523,0.0,0.0,55.86206,79.16666,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100.0,10.63829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,96.42857,0.0,75.0,45.23809,0.0,0.0,68.27586,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,54.28571,34.04255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,58.33333,0.0,24.0,38.62068,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,57.14285,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,35.71428,100.0,25.0,59.5238,0.0,20.0,56.55172,85.41666,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,45.71428,23.40425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21739,0.0,0.0,35.71428,43.18181,25.0,53.57142,0.0,0.0,57.24137,79.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,91.30434,0.0,0.0,100.0,29.54545,45.0,55.95238,0.0,0.0,53.10344,77.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,31.42857,12.76595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,52.17391,0.0,0.0,50.0,11.36363,25.0,65.47619,0.0,0.0,53.10344,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,68.57142,36.17021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,52.17391,0.0,0.0,57.14285,0.0,0.0,100.0,0.0,0.0,64.13793,91.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,65.71428,25.53191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,26.08695,0.0,0.0,39.28571,18.18181,25.0,79.7619,0.0,20.0,51.72413,47.91666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,54.28571,29.78723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,42.85714,11.36363,35.0,57.14285,0.0,0.0,55.86206,70.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
