,프리메라 [SPF32/PA++]_0,프리메라 [SPF32/PA++]_1,브링그린 [SFP50+PA++++]_0,브링그린 [SFP50+PA++++]_1,페리페라 [SPF50+/PA+++]_0,페리페라 [SPF50+/PA+++]_1,홀리카홀리카 [SPF45/PA+++]_0,홀리카홀리카 [SPF45/PA+++]_1,브링그린 [SPF50+/PA++++]_0,브링그린 [SPF50+/PA++++]_1,한율 [SPF50+/PA++++]_0,한율 [SPF50+/PA++++]_1,네이처리퍼블릭 [SPF50+/PA++++]_0,네이처리퍼블릭 [SPF50+/PA++++]_1,베리떼 [SPF50+/PA++++]_0,베리떼 [SPF50+/PA++++]_1,메이크프렘 [SPF50+/PA++++]_0,메이크프렘 [SPF50+/PA++++]_1,마몽드 [SPF50+/PA++++]_0,마몽드 [SPF50+/PA++++]_1,홀리카홀리카 [SPF50+/PA++++]_0,홀리카홀리카 [SPF50+/PA++++]_1,스킨푸드 [SPF50+/PA++++]_0,스킨푸드 [SPF50+/PA++++]_1,비욘드 [SPF50+/PA++++]_0,비욘드 [SPF50+/PA++++]_1,더샘 [SPF50+/PA++++]_0,더샘 [SPF50+/PA++++]_1,CNP [SPF50+/PA++++]_0,CNP [SPF50+/PA++++]_1,포피네 [SPF50+/PA++++]_0,포피네 [SPF50+/PA++++]_1,아이오페 [SPF50+/PA++++]_0,아이오페 [SPF50+/PA++++]_1,이니스프리 [SPF50+/PA++++]_0,이니스프리 [SPF50+/PA++++]_1,시세이도 [SPF50+/PA++++]_0,시세이도 [SPF50+/PA++++]_1,웰라쥬 [SPF50+/PA++++]_0,웰라쥬 [SPF50+/PA++++]_1,니베아 [SPF50/PA+++]_0,니베아 [SPF50/PA+++]_1,랑콤 젤_0,랑콤 젤_1,SNP 젤[SPF50+/PA++++]_0,SNP 젤[SPF50+/PA++++]_1,비오레 [SPF50+/PA++++]_0,비오레 [SPF50+/PA++++]_1,에스티 로더 [SPF50/PA++++]_0,에스티 로더 [SPF50/PA++++]_1,에이트루 [SPF30/PA++]_0,에이트루 [SPF30/PA++]_1,브라운랩 [SPF50+/PA++++]_0,브라운랩 [SPF50+/PA++++]_1,스킨푸드 [SPF30/PA++]_0,스킨푸드 [SPF30/PA++]_1,잇츠스킨 [SPF30/PA++]_0,잇츠스킨 [SPF30/PA++]_1,유세린 [SPF50+]_0,유세린 [SPF50+]_1,스킨푸드 [SPF50+/PA+++]_0,스킨푸드 [SPF50+/PA+++]_1,라곰 [SPF50+/PA+++]_0,라곰 [SPF50+/PA+++]_1,빌리프 젤_0,빌리프 젤_1,에스쁘아 [SPF50+/PA+++]_0,에스쁘아 [SPF50+/PA+++]_1,닥터자르트 선데이_0,닥터자르트 선데이_1,비욘드 [SPF50+/PA+++]_0,비욘드 [SPF50+/PA+++]_1,라로슈포제 [SPF50+/PA++++]_0,라로슈포제 [SPF50+/PA++++]_1,입큰 [SPF50+/PA+++]_0,입큰 [SPF50+/PA+++]_1,사바비안 [SPF25/PA+++]_0,사바비안 [SPF25/PA+++]_1,그라운드플랜 [SPF50+/PA++++]_0,그라운드플랜 [SPF50+/PA++++]_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
