,레시피 [SPF50+/PA+++]_0,레시피 [SPF50+/PA+++]_1,온더바디 선스프레이_0,온더바디 선스프레이_1,데메테르 썬스프레이_0,데메테르 썬스프레이_1,바이오더마 [SPF50+]_0,바이오더마 [SPF50+]_1,암웨이 [SPF50+/PA+++]_0,암웨이 [SPF50+/PA+++]_1,오휘 [SPF50+/PA+++]_0,오휘 [SPF50+/PA+++]_1,폴라돌프 [SPF50+/PA+++]_0,폴라돌프 [SPF50+/PA+++]_1,아크웰 [SPF50+/PA+++]_0,아크웰 [SPF50+/PA+++]_1,카트린 [SPF46/PA+++]_0,카트린 [SPF46/PA+++]_1,리더스코스메틱 [SPF50+/PA++++]_0,리더스코스메틱 [SPF50+/PA++++]_1,비오템 [SPF30]_0,비오템 [SPF30]_1,JM솔루션 [SPF50+/PA++++]_0,JM솔루션 [SPF50+/PA++++]_1,Dr.G [SPF50+/PA++++]_0,Dr.G [SPF50+/PA++++]_1,닥터아토 [SPF50+/PA+++]_0,닥터아토 [SPF50+/PA+++]_1,오스트레일리안골드 [SPF8]_0,오스트레일리안골드 [SPF8]_1,하와이안 트로픽 오일_0,하와이안 트로픽 오일_1,디자이너스킨 태닝로션_0,디자이너스킨 태닝로션_1,바나나보트 태닝오일_0,바나나보트 태닝오일_1,오스트레일리안골드 태닝스프레이젤_0,오스트레일리안골드 태닝스프레이젤_1,오스트레일리안골드 스프레이_0,오스트레일리안골드 스프레이_1,비엘렌다 미스트_0,비엘렌다 미스트_1,오스트레일리안골드 태닝로션_0,오스트레일리안골드 태닝로션_1,오스트레일리안골드 브론저_0,오스트레일리안골드 브론저_1,플레이보이 맨션_0,플레이보이 맨션_1,플레이보이 태닝로션_0,플레이보이 태닝로션_1,플레이보이 Bronzer_0,플레이보이 Bronzer_1,스키니탠 태너_0,스키니탠 태너_1,하와이안 트로픽 [SPF4]_0,하와이안 트로픽 [SPF4]_1,캐리비안 오일_0,캐리비안 오일_1,일리윤 젤_0,일리윤 젤_1,홀리카홀리카 수딩젤_0,홀리카홀리카 수딩젤_1,아로마티카 젤_0,아로마티카 젤_1,사임당화장품 알로젤_0,사임당화장품 알로젤_1,토니모리 수딩젤_0,토니모리 수딩젤_1,A24 수딩겔_0,A24 수딩겔_1,홀리카홀리카 (프레쉬)_0,홀리카홀리카 (프레쉬)_1,비욘드 수딩젤_0,비욘드 수딩젤_1,시드물 에센셜_0,시드물 에센셜_1,홀리카홀리카 모이스쳐라이징_0,홀리카홀리카 모이스쳐라이징_1,더페이스샵 수딩젤_0,더페이스샵 수딩젤_1
0,0.0,0.0,49.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.12765,0.0,0.0,0.0,11.5942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,70.58823,0.0,0.0,0.0,0.0,37.14285,34.71074,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,10.59602,60.41666
1,0.0,0.0,45.61403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.94736,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,41.48936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,52.94117,0.0,0.0,0.0,0.0,32.85714,34.71074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.49006,85.41666
2,0.0,0.0,61.4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,88.63636,0.0,0.0,29.16666,77.77777,0.0,0.0,0.0,35.10638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,41.17647,0.0,0.0,0.0,0.0,25.71428,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.50331,54.16666
3,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89473,97.72727,0.0,0.0,62.5,0.0,0.0,0.0,0.0,27.65957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.41666,64.70588,0.0,0.0,0.0,0.0,28.57142,86.77685,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,22.51655,64.58333
4,0.0,0.0,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,44.73684,70.45454,0.0,0.0,20.83333,0.0,0.0,0.0,0.0,27.65957,0.0,0.0,0.0,8.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.08333,76.47058,0.0,0.0,0.0,0.0,31.42857,76.8595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.84105,77.08333
5,0.0,0.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89473,59.0909,0.0,0.0,33.33333,100.0,0.0,0.0,0.0,38.29787,0.0,0.0,0.0,36.23188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.58333,35.29411,0.0,0.0,0.0,0.0,25.71428,31.40495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1788,39.58333
6,0.0,0.0,43.85964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47368,40.90909,0.0,0.0,58.33333,77.77777,0.0,0.0,0.0,43.61702,0.0,75.0,0.0,10.14492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,47.05882,0.0,0.0,0.0,0.0,27.14285,15.70247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.15231,37.5
7,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157,72.72727,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,40.42553,0.0,0.0,0.0,8.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,24.28571,34.71074,0.0,0.0,0.0,0.0,87.5,50.0,0.0,0.0,0.0,0.0,28.47682,37.5
8,0.0,0.0,59.64912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.68421,70.45454,0.0,0.0,58.33333,55.55555,0.0,0.0,0.0,36.17021,0.0,0.0,0.0,10.14492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,41.17647,0.0,0.0,0.0,0.0,31.42857,33.88429,0.0,0.0,0.0,0.0,62.5,41.66666,0.0,0.0,0.0,0.0,30.46357,39.58333
9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.52631,70.45454,0.0,0.0,100.0,0.0,0.0,0.0,0.0,39.3617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,70.58823,0.0,0.0,0.0,0.0,17.14285,39.66942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23178,41.66666
