,일리윤 크림_0,일리윤 크림_1,더마비 크림_0,더마비 크림_1,비욘드 에멀전_0,비욘드 에멀전_1,아비노 로션_0,아비노 로션_1,러쉬 컨디셔너_0,러쉬 컨디셔너_1,홀리카홀리카 로션_0,홀리카홀리카 로션_1,바이오더마 크림_0,바이오더마 크림_1,러쉬 슬리피_0,러쉬 슬리피_1,암웨이 바디로션_0,암웨이 바디로션_1,엘리자베스아덴 바디크림_0,엘리자베스아덴 바디크림_1,뉴트로지나 에멀젼_0,뉴트로지나 에멀젼_1,멜라루카 로션_0,멜라루카 로션_1,헉슬리 가드너_0,헉슬리 가드너_1,메디포포 크림_0,메디포포 크림_1,더마비 오일_0,더마비 오일_1,김정문알로에크림_0,김정문알로에크림_1,LUCAS PAPAW REMEDIES 포포크림_0,LUCAS PAPAW REMEDIES 포포크림_1,아쿠아퍼 오인트먼트_0,아쿠아퍼 오인트먼트_1,로즈버드 퍼퓸 컴퍼니 오리지널_0,로즈버드 퍼퓸 컴퍼니 오리지널_1,퓨어포레 밤_0,퓨어포레 밤_1,ROSE & CO.살브_0,ROSE & CO.살브_1,록시땅 -에코서트_0,록시땅 -에코서트_1,더바디샵 오일_0,더바디샵 오일_1,버츠비 오일_0,버츠비 오일_1,비욘드 오일_0,비욘드 오일_1,로즈버드 퍼퓸 컴퍼니 튜브_0,로즈버드 퍼퓸 컴퍼니 튜브_1,아쿠아퍼 밤_0,아쿠아퍼 밤_1,록시땅 오일_0,록시땅 오일_1,꼬달리 오일_0,꼬달리 오일_1,비욘드 미스트_0,비욘드 미스트_1,러쉬 트와일라잇_0,러쉬 트와일라잇_1,더프트앤도프트 바디미스트_0,더프트앤도프트 바디미스트_1,바디홀릭 [화이트포션]_0,바디홀릭 [화이트포션]_1,빅토리아시크릿 아쿠아키스_0,빅토리아시크릿 아쿠아키스_1,바디판타지 스프레이_0,바디판타지 스프레이_1,바디홀릭 포션_0,바디홀릭 포션_1,더바디샵 미스트_0,더바디샵 미스트_1,록시땅 스플래쉬_0,록시땅 스플래쉬_1,프라도어 03_0,프라도어 03_1,라운드어라운드 [천일홍]_0,라운드어라운드 [천일홍]_1
0,74.19354,63.82978,0.0,6.38297,0.0,0.0,53.68421,59.55056,14.64646,86.04651,0.0,0.0,76.63551,80.45977,60.15625,47.36842,29.78723,85.16483,35.13513,61.01694,0.0,14.81481,0.0,100.0,0.0,0.0,49.03846,63.63636,34.21052,3.55029,51.6129,65.21739,0.0,0.0,33.33333,10.63829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.77777,18.75,62.5,40.0,20.58823,0.0,0.0,0.0,0.0,18.29268,93.24324,100.0,36.0,56.75675,100.0,69.1228,88.54489,18.65284,12.89062,0.0,0.0,51.35135,7.8534,0.0,0.0,0.0,60.86956,50.0,86.20689,0.0,0.0,0.0,0.0,0.0,0.0
1,45.16129,53.19148,26.0,18.0851,0.0,0.0,89.47368,58.42696,12.12121,51.16279,0.0,54.54545,68.22429,90.80459,82.03125,48.87218,32.62411,70.32967,64.86486,32.20338,0.0,24.07407,0.0,47.22222,0.0,0.0,39.42307,0.0,26.31578,0.0,53.76344,48.91304,0.0,0.0,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.22222,56.25,85.22727,24.0,12.74509,0.0,0.0,0.0,0.0,32.92682,64.86486,90.08264,64.0,48.64864,96.22641,61.75438,97.83281,13.4715,16.40625,0.0,0.0,59.45945,8.37696,0.0,0.0,0.0,30.43478,73.07692,53.44827,0.0,0.0,0.0,0.0,0.0,0.0
2,83.87096,61.70212,24.0,12.76595,0.0,53.84615,64.21052,38.20224,8.0808,79.06976,0.0,0.0,57.00934,82.75862,71.09375,51.87969,27.65957,100.0,47.74774,24.29378,35.71428,0.0,39.13043,55.55555,0.0,0.0,38.46153,0.0,0.0,0.0,76.34408,55.43478,0.0,0.0,85.18518,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,28.88888,31.25,59.0909,0.0,100.0,0.0,0.0,0.0,0.0,23.17073,63.51351,77.68595,18.0,59.45945,90.56603,70.52631,90.40247,20.20725,13.28125,0.0,0.0,29.72972,7.32984,0.0,0.0,0.0,0.0,30.76923,70.68965,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,44.68085,32.0,17.02127,0.0,0.0,66.31578,42.69662,12.12121,44.18604,0.0,0.0,45.79439,51.72413,46.875,44.3609,29.78723,71.42857,32.43243,40.11299,0.0,20.37037,60.86956,100.0,0.0,0.0,56.73076,0.0,52.63157,0.0,82.79569,69.56521,0.0,0.0,59.25925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,17.77777,87.5,53.40909,48.0,21.56862,0.0,0.0,0.0,0.0,97.56097,50.0,77.68595,44.0,13.51351,52.83018,65.61403,75.54179,16.06217,16.79687,0.0,0.0,40.54054,9.42408,0.0,0.0,0.0,26.08695,76.92307,50.0,0.0,0.0,0.0,0.0,0.0,0.0
4,67.74193,40.42553,26.0,32.97872,0.0,0.0,90.52631,40.44943,8.58585,51.16279,0.0,0.0,67.28971,57.47126,43.75,62.40601,44.68085,75.82417,36.03603,29.37853,0.0,59.25925,0.0,55.55555,0.0,0.0,46.15384,0.0,68.42105,2.95857,78.49462,68.47826,0.0,0.0,25.92592,10.63829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,34.375,40.90909,0.0,13.72549,0.0,0.0,0.0,0.0,21.95121,63.51351,70.24793,24.0,35.13513,49.0566,74.38596,78.63777,18.65284,25.0,0.0,0.0,54.05405,8.37696,0.0,0.0,0.0,43.47826,76.92307,62.06896,0.0,0.0,0.0,0.0,0.0,0.0
5,83.87096,53.19148,26.0,15.95744,46.15384,0.0,71.57894,34.83146,6.56565,39.53488,0.0,0.0,59.81308,65.51724,50.78125,52.63157,33.33333,76.37362,42.34234,31.63841,0.0,11.11111,21.73913,88.88888,0.0,0.0,44.23076,100.0,31.57894,3.55029,100.0,100.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,33.33333,53.125,44.31818,20.0,12.74509,0.0,0.0,0.0,0.0,35.36585,93.24324,75.20661,28.0,67.56756,54.71698,79.64912,80.49535,15.54404,23.4375,0.0,0.0,35.13513,8.90052,0.0,0.0,75.0,69.56521,53.84615,58.62068,0.0,0.0,0.0,0.0,0.0,0.0
6,77.41935,36.17021,24.0,25.53191,38.46153,0.0,84.21052,87.64044,12.12121,46.51162,0.0,0.0,76.63551,72.41379,100.0,38.34586,31.91489,79.12087,28.82882,53.10734,0.0,11.11111,0.0,69.44444,0.0,0.0,38.46153,0.0,44.73684,3.55029,45.16129,71.73913,0.0,0.0,55.55555,10.63829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,26.66666,34.375,47.72727,40.0,13.72549,0.0,0.0,0.0,0.0,26.82926,77.02702,90.08264,16.0,100.0,64.15094,78.24561,72.13622,29.01554,29.29687,0.0,0.0,29.72972,11.51832,0.0,0.0,0.0,52.17391,57.6923,100.0,0.0,0.0,0.0,0.0,0.0,0.0
7,54.8387,25.53191,30.0,87.23404,0.0,0.0,89.47368,79.77528,17.17171,46.51162,75.0,45.45454,60.74766,49.42528,74.21875,43.60902,38.29787,58.24175,40.54054,35.59322,0.0,0.0,34.7826,58.33333,0.0,0.0,44.23076,0.0,36.8421,3.55029,59.13978,93.47826,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.33333,56.25,75.0,0.0,15.68627,0.0,0.0,0.0,0.0,34.14634,74.32432,87.6033,44.0,43.24324,64.15094,69.1228,73.9938,24.87046,27.34375,0.0,0.0,37.83783,8.90052,0.0,0.0,87.5,47.82608,61.53846,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8,25.80645,48.93617,24.0,51.06382,0.0,0.0,88.42105,67.41573,10.10101,41.86046,0.0,0.0,62.61682,75.86206,75.78125,42.10526,29.78723,74.72527,69.36936,24.85875,0.0,0.0,43.47826,25.0,0.0,0.0,51.92307,0.0,65.78947,0.0,59.13978,53.26086,0.0,0.0,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,24.44444,40.625,62.5,28.0,11.7647,0.0,0.0,0.0,0.0,43.90243,72.97297,80.99173,78.0,43.24324,50.94339,56.8421,95.35603,15.0259,42.1875,0.0,0.0,35.13513,9.94764,0.0,0.0,0.0,78.26086,34.61538,72.41379,0.0,0.0,0.0,0.0,0.0,0.0
9,38.70967,25.53191,34.0,25.53191,0.0,0.0,94.73684,44.94382,10.60606,74.4186,0.0,0.0,49.53271,80.45977,71.875,54.13533,23.40425,82.96703,79.27927,28.81355,35.71428,12.96296,26.08695,50.0,0.0,0.0,40.38461,0.0,34.21052,2.95857,56.98924,40.21739,0.0,0.0,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,26.66666,18.75,71.5909,40.0,10.78431,0.0,0.0,0.0,0.0,39.02439,50.0,80.99173,40.0,21.62162,58.49056,70.87719,84.52012,20.72538,36.71875,0.0,0.0,56.75675,5.2356,0.0,0.0,0.0,30.43478,53.84615,89.65517,0.0,0.0,0.0,0.0,0.0,0.0
