,클라랑스 로션_0,클라랑스 로션_1,뉴스킨 에이지락바디_0,뉴스킨 에이지락바디_1,클라랑스 마스벨트_0,클라랑스 마스벨트_1,블리스 식스팩_0,블리스 식스팩_1,벨레다 오일_0,벨레다 오일_1,클라랑스 컨트롤_0,클라랑스 컨트롤_1,미스레그 핫볼_0,미스레그 핫볼_1,아므 바디_0,아므 바디_1,스킨조아 크림_0,스킨조아 크림_1,라뮤즈 이펙터_0,라뮤즈 이펙터_1,라뮤즈 젤_0,라뮤즈 젤_1,커버라인 수면쉐이퍼_0,커버라인 수면쉐이퍼_1,힐플렉스 크림_0,힐플렉스 크림_1,더마콜 버턱스앤힙스_0,더마콜 버턱스앤힙스_1,크리스탈 스틱_0,크리스탈 스틱_1,크리스탈 [무향]_0,크리스탈 [무향]_1,크리스탈 스프레이_0,크리스탈 스프레이_1,비오레 파우더시트_0,비오레 파우더시트_1,더마비 프라이머_0,더마비 프라이머_1,프라도어 [무향]_0,프라도어 [무향]_1,레이디 스피드 스틱 데오드란트_0,레이디 스피드 스틱 데오드란트_1,프라도어 파우더리향]_0,프라도어 파우더리향]_1,니베아 컴포트_0,니베아 컴포트_1,이솝 데오도란트_0,이솝 데오도란트_1,니베아 [스틱]_0,니베아 [스틱]_1,하이드로퓨갈 미스트_0,하이드로퓨갈 미스트_1,유리아쥬 두세르_0,유리아쥬 두세르_1,미스사사 향_0,미스사사 향_1,니베아 스틱드라이콤포트_0,니베아 스틱드라이콤포트_1,니베아 플라워_0,니베아 플라워_1,Rexena패션_0,Rexena패션_1,미스사사 슈퍼쿨링파우더시트_0,미스사사 슈퍼쿨링파우더시트_1,니베아 [롤온]_0,니베아 [롤온]_1,바이빠세 [뱀부]_0,바이빠세 [뱀부]_1,RAP PHYTO 쿨링젤_0,RAP PHYTO 쿨링젤_1,미스레그 [백합향]_0,미스레그 [백합향]_1,클라랑스 레그스_0,클라랑스 레그스_1,RAP PHYTO 시트러스_0,RAP PHYTO 시트러스_1,아이뽀 젤_0,아이뽀 젤_1,안나홀츠 오일_0,안나홀츠 오일_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.01694,11.32812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,100.0,0.0,0.0,0.0,0.0,83.95061,26.51515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,83.33333
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9322,10.54687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,56.66666,46.15384,0.0,0.0,61.53846,0.0,61.72839,40.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,58.33333
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.32203,10.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,38.46153,0.0,91.35802,31.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33333,50.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.15254,7.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,61.53846,0.0,0.0,100.0,0.0,100.0,31.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.72881,5.85937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,46.15384,0.0,76.5432,25.0,0.0,0.0,0.0,0.0,6.97674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67796,3.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,61.53846,0.0,49.38271,25.0,0.0,0.0,0.0,0.0,18.60465,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.76271,8.59375,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,0.0,0.0,0.0,69.23076,0.0,70.37037,28.78787,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.33333,50.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.88135,8.20312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,38.46153,0.0,55.55555,31.0606,0.0,0.0,0.0,0.0,11.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,83.33333
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.42372,7.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,92.30769,0.0,58.02469,53.78787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.81355,19.14062,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,36.66666,0.0,0.0,0.0,46.15384,0.0,34.5679,43.18181,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,0.0
