,탄 오일_0,탄 오일_1,아로마티카 오일_0,아로마티카 오일_1,이솝 워시_0,이솝 워시_1,카밀 플러스_0,카밀 플러스_1,브링그린 [플라워티]_0,브링그린 [플라워티]_1,오이보스 크림_0,오이보스 크림_1,아베다 릴리프™_0,아베다 릴리프™_1,허바신 튜브_0,허바신 튜브_1,퓨렐 손소독제_0,퓨렐 손소독제_1,비욘드 모이스처_0,비욘드 모이스처_1,카밀 큐텐_0,카밀 큐텐_1,이니스프리 산딸기_0,이니스프리 산딸기_1,이니스프리 코랄_0,이니스프리 코랄_1,네이처리퍼블릭 릴리_0,네이처리퍼블릭 릴리_1,아비노 핸드크림_0,아비노 핸드크림_1,아트릭스 튜브형_0,아트릭스 튜브형_1,이솝 밤_0,이솝 밤_1,한율 서리태_0,한율 서리태_1,록시땅 핸드크림)_0,록시땅 핸드크림)_1,글리소메드 크림_0,글리소메드 크림_1,더샘 -그레이프프루츠-_0,더샘 -그레이프프루츠-_1,라이온 순(파우더향)_0,라이온 순(파우더향)_1,뉴트로지나 크림_0,뉴트로지나 크림_1,온더바디 민트]_0,온더바디 민트]_1,록시땅 크림_0,록시땅 크림_1,히말라야 크림_0,히말라야 크림_1,토니모리 리퀴드_0,토니모리 리퀴드_1,킵쿨 스프레이_0,킵쿨 스프레이_1,티타니아 발샴푸_0,티타니아 발샴푸_1,비단발 프리미엄_0,비단발 프리미엄_1,몽블리 발샴푸_0,몽블리 발샴푸_1,메디힐 풋마스크_0,메디힐 풋마스크_1,몽블리 메이커_0,몽블리 메이커_1,더바디샵 스크럽_0,더바디샵 스크럽_1,버츠비 크림_0,버츠비 크림_1,어퓨 삭스_0,어퓨 삭스_1,엔젤루카 발팩_0,엔젤루카 발팩_1,한자플라스트 밤_0,한자플라스트 밤_1,이니스프리 [풋]_0,이니스프리 [풋]_1,유노하나 파우더_0,유노하나 파우더_1
0,49.29577,40.81632,70.58823,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,50.0,66.66666,0.0,0.0,0.0,0.0,0.21117,0.69211,0.0,0.0,0.0,0.0,0.0,0.0,3.62318,46.15384,41.66666,61.53846,23.68421,42.30769,0.0,0.0,0.0,0.0,2.90178,22.97297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,55.0,0.0,0.0,84.61538,66.66666,59.53307,56.80473,0.0,0.0,0.0,0.0,33.78378,15.97222,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,50.0,36.11111,0.0,64.51612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.42105
1,73.23943,30.61224,74.5098,42.48366,0.0,0.0,0.0,0.0,0.0,0.0,75.0,50.0,0.0,0.0,0.0,0.0,0.21117,0.96186,50.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,100.0,76.92307,21.05263,22.11538,0.0,0.0,0.0,0.0,2.90178,20.94594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,74.12587,77.77777,47.85992,70.4142,0.0,0.0,0.0,0.0,39.18918,19.44444,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,66.66666,31.94444,58.33333,87.09677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,63.15789
2,42.25352,38.77551,64.70588,50.32679,0.0,0.0,0.0,0.0,0.0,0.0,91.66666,75.0,0.0,0.0,0.0,0.0,0.19268,1.15917,60.0,0.0,0.0,0.0,0.0,0.0,4.34782,57.6923,0.0,0.0,52.63157,44.23076,0.0,0.0,0.0,0.0,2.00892,17.56756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,0.0,0.0,0.0,60.83916,83.76068,41.63424,78.69822,0.0,0.0,0.0,0.0,40.54054,21.18055,0.0,0.0,0.0,0.0,50.0,33.33333,0.0,0.0,100.0,34.72222,0.0,87.09677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,57.89473
3,57.74647,36.73469,74.5098,69.28104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666,0.0,0.0,0.0,0.0,0.22351,3.72105,0.0,77.77777,0.0,0.0,58.33333,0.0,0.0,57.6923,0.0,0.0,18.42105,47.11538,0.0,0.0,0.0,0.0,4.24107,8.78378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70588,35.0,0.0,0.0,85.31468,76.92307,40.07782,72.78106,0.0,0.0,0.0,0.0,55.4054,44.44444,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,62.5,37.5,50.0,41.93548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,44.73684
4,33.80281,40.81632,74.5098,54.90196,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.26358,10.39861,0.0,55.55555,0.0,0.0,66.66666,0.0,13.76811,57.6923,91.66666,76.92307,26.31578,49.03846,0.0,0.0,0.0,0.0,100.0,9.45945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47058,30.0,0.0,0.0,74.12587,75.21367,56.80933,71.59763,0.0,0.0,0.0,0.0,68.91891,35.41666,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,70.83333,23.61111,41.66666,58.06451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,47.36842
5,42.25352,61.22448,76.47058,34.64052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.23275,27.52566,100.0,0.0,0.0,0.0,0.0,0.0,4.34782,50.0,41.66666,0.0,36.8421,24.03846,0.0,0.0,0.0,0.0,20.3125,8.78378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.23529,40.0,0.0,0.0,72.72727,70.94017,51.36186,75.73964,0.0,0.0,0.0,0.0,63.51351,39.58333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,45.83333,0.0,51.6129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,21.05263
6,39.43661,42.85714,64.70588,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.1973,100.0,70.0,55.55555,0.0,0.0,91.66666,0.0,5.7971,38.46153,58.33333,0.0,42.10526,29.80769,0.0,0.0,0.0,0.0,18.08035,11.48648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,55.0,0.0,0.0,83.91608,80.34188,53.69649,82.84023,0.0,0.0,0.0,0.0,77.02702,38.54166,0.0,0.0,0.0,0.0,30.0,33.33333,0.0,0.0,33.33333,56.94444,0.0,41.93548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,36.8421
7,33.80281,34.69387,49.0196,35.94771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.18034,81.39624,70.0,0.0,0.0,0.0,100.0,0.0,7.97101,80.76923,41.66666,0.0,23.68421,46.15384,0.0,0.0,0.0,0.0,3.125,21.62162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52941,45.0,0.0,0.0,72.72727,67.52136,72.37354,65.68047,0.0,0.0,0.0,0.0,47.29729,36.45833,0.0,0.0,0.0,0.0,40.0,46.66666,0.0,0.0,50.0,94.44444,0.0,54.8387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,23.68421
8,50.70422,0.0,56.86274,33.98692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18497,48.02694,60.0,0.0,0.0,100.0,75.0,0.0,14.49275,88.46153,100.0,53.84615,18.42105,63.46153,0.0,0.0,0.0,0.0,1.5625,18.24324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,45.0,0.0,0.0,60.13986,92.30769,100.0,73.96449,0.0,0.0,0.0,0.0,54.05405,40.27777,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,41.66666,61.11111,0.0,77.41935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,39.47368
9,42.25352,26.53061,52.94117,47.71241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21888,45.24,0.0,0.0,0.0,0.0,41.66666,0.0,8.69565,50.0,0.0,38.46153,13.15789,50.0,0.0,0.0,0.0,0.0,4.24107,18.24324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,71.32867,71.79487,82.49027,84.61538,0.0,0.0,0.0,0.0,52.7027,30.20833,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,58.33333,51.38888,66.66666,45.16129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
