,아이오페 오일_0,아이오페 오일_1,네오젠 더마로지 드롭_0,네오젠 더마로지 드롭_1,쥴라이 오일_0,쥴라이 오일_1,로벡틴 오일_0,로벡틴 오일_1,리얼베리어 오일_0,리얼베리어 오일_1,겔랑 오일_0,겔랑 오일_1,비오템 오일_0,비오템 오일_1,눅스 오일_0,눅스 오일_1,식물나라 페이스오일_0,식물나라 페이스오일_1,홀리카홀리카 밤_0,홀리카홀리카 밤_1,클라랑스 오키드_0,클라랑스 오키드_1,킵쿨 블루오일_0,킵쿨 블루오일_1,네이밍 [SPF35/PA++]_0,네이밍 [SPF35/PA++]_1,자빈드서울 [SPF50+/PA+++]_0,자빈드서울 [SPF50+/PA+++]_1,바비브라운 [SPF40/PA+++]_0,바비브라운 [SPF40/PA+++]_1,동인비 [SPF50+/PA++++]_0,동인비 [SPF50+/PA++++]_1,메이크업포에버 파운데이션_0,메이크업포에버 파운데이션_1,룩스앤메이 [SPF50+/PA+++]_0,룩스앤메이 [SPF50+/PA+++]_1,에스티 로더 [SPF20/PA+++]_0,에스티 로더 [SPF20/PA+++]_1,조성아22[SPF50/PA++++]_0,조성아22[SPF50/PA++++]_1,랑콤 [SPF38/PA++]_0,랑콤 [SPF38/PA++]_1,설화수 [SPF17/PA+]_0,설화수 [SPF17/PA+]_1,바닐라코 [SPF45/PA++]_0,바닐라코 [SPF45/PA++]_1,미샤 [SPF30/PA++]_0,미샤 [SPF30/PA++]_1,헤라 [SPF25/PA++]_0,헤라 [SPF25/PA++]_1,에스티 로더 [SPF10/PA++]_0,에스티 로더 [SPF10/PA++]_1,디올 [SPF35/PA++]_0,디올 [SPF35/PA++]_1,정샘물 [SPF50/PA++]_0,정샘물 [SPF50/PA++]_1,나스 [SPF23/PA++]_0,나스 [SPF23/PA++]_1,문샷 [SPF50+/PA++++]_0,문샷 [SPF50+/PA++++]_1,머지 [SPF20/PA++]_0,머지 [SPF20/PA++]_1,메이크업포에버 파우더_0,메이크업포에버 파우더_1,마몽드 파우더_0,마몽드 파우더_1,나스 파우더_0,나스 파우더_1,이니스프리 파우더_0,이니스프리 파우더_1,로라메르시에 파우더_0,로라메르시에 파우더_1,바닐라코 파우더_0,바닐라코 파우더_1,스킨푸드 파우더_0,스킨푸드 파우더_1,캔메이크 파우더_0,캔메이크 파우더_1,어퓨 파우더_0,어퓨 파우더_1
0,6.64961,11.25319,0.0,0.0,0.0,0.0,38.70967,9.67741,0.0,42.16867,30.98591,35.59322,46.29629,38.88888,41.16094,58.79934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.07035,80.05115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.59613,71.77033,43.13725,66.01941,41.91176,57.01754,70.0,100.0,60.8856,74.30894,46.89265,56.66666,86.11111,50.50505,41.26984,8.97435,28.57142,30.64516
1,3.83631,17.64705,0.0,0.0,0.0,0.0,33.87096,22.58064,16.86746,33.73493,50.70422,52.54237,57.4074,46.29629,38.25857,65.37828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.77889,78.77237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86082,76.55502,70.58823,100.0,51.47058,42.10526,56.31578,58.57142,52.02952,71.21951,40.11299,51.11111,55.55555,59.59595,24.86772,9.23076,21.42857,35.48387
2,8.18414,27.36572,0.0,0.0,0.0,0.0,17.74193,20.96774,7.22891,48.19277,53.52112,54.23728,29.62962,51.85185,35.8839,66.44736,0.0,2.95358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.01507,75.44757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61946,85.16746,33.33333,84.46601,37.5,29.82456,100.0,80.71428,60.7626,75.77235,44.63276,40.0,55.55555,38.38383,25.92592,11.53846,21.42857,35.48387
3,2.81329,22.25063,0.0,0.0,0.0,0.0,16.12903,51.6129,8.43373,57.83132,45.07042,55.08474,18.51851,50.0,30.60686,78.37171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.48743,65.98465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37811,78.94736,43.13725,78.64077,40.44117,30.70175,78.94736,63.57142,59.28659,67.80487,41.24293,48.51851,50.0,60.60606,31.21693,8.46153,21.42857,32.25806
4,5.88235,18.41432,0.0,0.0,0.0,0.0,29.03225,35.48387,14.45783,50.6024,63.38028,66.94915,29.62962,48.14814,32.71767,85.19736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.46733,76.21483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.59613,82.29665,35.29411,78.64077,46.32352,35.96491,74.21052,43.57142,53.87453,60.813,54.80225,48.14814,61.11111,50.50505,36.50793,7.43589,28.57142,43.54838
5,3.58056,16.11253,0.0,0.0,0.0,0.0,32.25806,12.90322,15.66265,33.73493,46.47887,62.71186,0.0,40.74074,39.18205,85.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.78894,75.19181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.91794,65.07177,100.0,69.90291,33.82352,53.50877,83.68421,64.28571,56.21156,60.6504,39.54802,47.03703,44.44444,66.66666,41.79894,7.17948,21.42857,29.03225
6,5.37084,23.52941,0.0,0.0,0.0,0.0,48.38709,30.64516,18.07228,32.53012,61.97183,37.28813,24.07407,53.7037,36.01583,88.32236,0.0,2.1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06532,79.02813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61946,75.11961,54.90196,82.52427,45.58823,48.24561,65.26315,50.0,56.70356,62.11382,29.37853,42.96296,44.44444,45.45454,31.74603,5.89743,35.71428,33.87096
7,7.16112,31.20204,0.0,0.0,0.0,0.0,24.19354,38.70967,15.66265,65.06024,28.16901,62.71186,16.66666,55.55555,35.3562,72.12171,0.0,2.1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.49748,74.6803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21721,77.51196,76.47058,78.64077,40.44117,35.96491,58.42105,47.14285,54.36654,69.59349,29.9435,33.33333,50.0,44.44444,49.20634,6.41025,32.14285,32.25806
8,3.3248,26.08695,0.0,0.0,0.0,0.0,35.48387,33.87096,54.21686,34.93975,52.11267,40.67796,27.77777,40.74074,34.43271,71.05263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.05025,84.39897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.30893,74.16267,47.05882,78.64077,42.64705,36.8421,57.36842,67.14285,54.48954,58.04878,36.72316,41.85185,61.11111,40.40404,65.60846,4.87179,0.0,54.8387
9,5.37084,26.85421,0.0,0.0,0.0,0.0,27.41935,17.74193,40.96385,53.01204,54.92957,53.38983,25.92592,35.18518,35.8839,81.90789,0.0,2.53164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.98492,86.44501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45856,73.20574,54.90196,73.7864,44.85294,32.45614,62.63157,60.71428,67.89667,72.35772,36.72316,34.81481,66.66666,60.60606,57.14285,7.94871,32.14285,27.41935
