,해피바스 샤워젤_0,해피바스 샤워젤_1,러쉬 인터갈락틱_0,러쉬 인터갈락틱_1,사봉 자스민_0,사봉 자스민_1,지오마 스크럽_0,지오마 스크럽_1,일리윤 탑투토워시_0,일리윤 탑투토워시_1,지오마 바디스크럽_0,지오마 바디스크럽_1,더바디샵 샤워젤_0,더바디샵 샤워젤_1,나인위시스 [SPF21]_0,나인위시스 [SPF21]_1,겔랑 헤어_0,겔랑 헤어_1,코스노리 크림_0,코스노리 크림_1,오스트레일리안골드 [SPF30]_0,오스트레일리안골드 [SPF30]_1,오샐런스 스프레이_0,오샐런스 스프레이_1,베네피트 브론저_0,베네피트 브론저_1,페이스인페이스 원더렉스_0,페이스인페이스 원더렉스_1,러쉬 쉼미_0,러쉬 쉼미_1,밀키드레스 바디밤_0,밀키드레스 바디밤_1,베네피트 롱거_0,베네피트 롱거_1,라네즈 바디쿠션_0,스키니탠 브론저_0,스키니탠 브론저_1,세포라 컬렉션 로션_0,세포라 컬렉션 로션_1,오스트레일리안골드 로션_0,오스트레일리안골드 로션_1,세포라 컬렉션 젤_0,세포라 컬렉션 젤_1,부르조아 스프레이_0,부르조아 스프레이_1,나스 오일_0,나스 오일_1,펜티뷰티 루미나이저_0,펜티뷰티 루미나이저_1,러쉬 스타킹스_0,러쉬 스타킹스_1,질레트 면도젤_0,질레트 면도젤_1,질레트 면도기_0,질레트 면도기_1,미샤 면도기_0,미샤 면도기_1,natural look왁스_0,natural look왁스_1,쉬크 면도기_0,쉬크 면도기_1,이니스프리 면도기_0,이니스프리 면도기_1,슈가스트립이즈 제모제_0,슈가스트립이즈 제모제_1,뭄 클래식_0,뭄 클래식_1,카이 면도기_0,카이 면도기_1,왁스앤왁싱 왁스_0,왁스앤왁싱 왁스_1,지지 왁스_0,지지 왁스_1,Nad's젤_0,Nad's젤_1,노브랜드 면도기_0,노브랜드 면도기_1,라보에이치 [두피강화]_0,라보에이치 [두피강화]_1
0,0.0,0.0,34.88372,19.44444,0.0,0.0,2.28749,100.0,31.57894,0.0,8.85064,100.0,60.25641,50.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.45161,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,56.36363,42.16867,43.22881,47.60133,0.0,0.0,0.0,0.0,46.61354,50.36496,0.0,0.0,0.0,0.0,39.28571,16.44736,8.44444,60.0,0.0,0.0,50.84745,62.63736,0.0,0.0,14.09921,6.73316,0.0,0.0
1,0.0,0.0,23.25581,41.66666,100.0,0.0,2.18351,90.74074,22.10526,0.0,7.74431,97.45958,47.43589,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.09677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,19.2771,64.97665,49.05169,0.0,0.0,0.0,0.0,57.37051,54.37956,0.0,0.0,0.0,0.0,39.28571,20.39473,27.11111,51.11111,0.0,0.0,47.45762,75.82417,0.0,0.0,24.54308,12.96758,0.0,0.0
2,0.0,77.77777,55.81395,22.22222,0.0,0.0,1.8066,66.66666,33.68421,0.0,7.31407,93.07159,70.51282,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.90322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.72727,36.14457,100.0,43.21309,0.0,0.0,0.0,0.0,60.95617,53.64963,0.0,0.0,0.0,0.0,37.5,19.07894,16.88888,100.0,0.0,0.0,61.01694,50.54945,0.0,0.0,12.53263,16.70822,0.0,0.0
3,0.0,0.0,32.55813,19.44444,0.0,88.88888,100.0,70.37037,40.0,0.0,68.77688,92.26327,100.0,61.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.67741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.36363,25.3012,92.12808,40.38676,0.0,0.0,0.0,0.0,36.65338,62.04379,0.0,0.0,0.0,0.0,38.39285,13.15789,12.0,33.33333,0.0,0.0,32.20338,61.53846,0.0,0.0,16.44908,16.20947,0.0,0.0
4,0.0,100.0,27.90697,16.66666,0.0,0.0,2.66441,40.74074,34.73684,0.0,18.25445,71.47806,67.94871,50.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.09677,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,52.72727,25.3012,78.4523,41.98586,0.0,0.0,0.0,0.0,35.85657,71.16788,0.0,0.0,0.0,0.0,51.78571,7.23684,10.66666,35.55555,0.0,0.0,32.20338,53.84615,0.0,0.0,16.97127,13.96508,0.0,0.0
5,0.0,0.0,37.2093,30.55555,71.42857,0.0,1.24772,64.81481,26.31578,0.0,18.07006,74.82678,62.82051,69.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.90322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,34.93975,72.38158,38.3042,0.0,0.0,0.0,0.0,37.45019,62.04379,0.0,0.0,0.0,0.0,49.10714,25.0,10.66666,40.0,0.0,0.0,94.91525,25.27472,0.0,0.0,14.8825,13.46633,0.0,0.0
6,0.0,0.0,13.95348,33.33333,0.0,0.0,0.76683,46.29629,16.8421,0.0,13.27596,79.21478,46.15384,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2258,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,27.27272,33.73493,66.71114,45.55596,0.0,0.0,0.0,0.0,50.99601,75.18248,0.0,0.0,0.0,0.0,33.92857,49.3421,10.66666,37.77777,0.0,0.0,79.66101,48.35164,0.0,0.0,100.0,11.47132,0.0,0.0
7,0.0,66.66666,44.18604,19.44444,0.0,0.0,0.70184,16.66666,13.68421,0.0,12.7228,55.42725,51.28205,32.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,38.18181,27.71084,55.03669,53.5515,0.0,0.0,0.0,0.0,57.76892,72.26277,0.0,0.0,0.0,0.0,50.89285,28.28947,100.0,37.77777,0.0,0.0,50.84745,57.14285,0.0,0.0,68.9295,9.72568,0.0,0.0
8,0.0,0.0,27.90697,16.66666,0.0,0.0,0.37691,40.74074,27.36842,0.0,15.55009,37.99076,39.74358,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6129,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,47.27272,21.68674,59.17278,50.53923,0.0,0.0,0.0,0.0,100.0,48.54014,0.0,0.0,0.0,0.0,41.96428,43.42105,25.33333,51.11111,0.0,0.0,74.57627,57.14285,0.0,0.0,87.20626,5.2369,0.0,0.0
9,55.55555,0.0,37.2093,30.55555,0.0,0.0,0.36391,20.37037,15.78947,0.0,12.10817,46.99769,32.05128,61.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.87096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.90909,31.3253,67.77851,55.1878,0.0,0.0,0.0,0.0,57.37051,43.79562,0.0,0.0,0.0,0.0,50.89285,29.60526,18.22222,95.55555,0.0,0.0,67.79661,53.84615,0.0,0.0,92.1671,10.47381,0.0,0.0
