,하이앙포레 샴푸_0,하이앙포레 샴푸_1,아모스프로페셔널 샴푸_0,아모스프로페셔널 샴푸_1,비욘드 샴푸_0,비욘드 샴푸_1,더프트앤도프트 샴푸_0,더프트앤도프트 샴푸_1,하호니코 샴푸_0,하호니코 샴푸_1,로마 샴푸_0,로마 샴푸_1,러쉬 리햅_0,러쉬 리햅_1,록시땅 샴푸_0,록시땅 샴푸_1,존프리다 컨디셔너_0,존프리다 컨디셔너_1,팬틴 케어_0,팬틴 케어_1,비욘드 컨디셔너_0,비욘드 컨디셔너_1,엘라스틴 컨디셔너_0,엘라스틴 컨디셔너_1,엘라스틴 [시그니처]_0,엘라스틴 [시그니처]_1,오가니스트 컨디셔너_0,오가니스트 컨디셔너_1,로레알 파리 컨디셔너_0,로레알 파리 컨디셔너_1,미쟝센 린스_0,미쟝센 린스_1,아베다 컨디셔너_0,아베다 컨디셔너_1,러쉬 크림_0,러쉬 크림_1,츠바키 컨디셔너NC_0,츠바키 컨디셔너NC_1,암웨이 컨디셔너_0,암웨이 컨디셔너_1,츠바키 컨디셔너_0,츠바키 컨디셔너_1,이니스프리 손상모발용_0,이니스프리 손상모발용_1,미쟝센 로즈에디션_0,미쟝센 로즈에디션_1,미쟝센 피오니_0,미쟝센 피오니_1,케라스타즈 수엥_0,케라스타즈 수엥_1,엘라스틴 브리즈_0,엘라스틴 브리즈_1,아모스프로페셔널 트리트먼트_0,아모스프로페셔널 트리트먼트_1,아모스프로페셔널 CMC_0,아모스프로페셔널 CMC_1,츠바키 마스크_0,츠바키 마스크_1,미쟝센 마스크팩_0,미쟝센 마스크팩_1,로레알 파리 헤어팩_0,로레알 파리 헤어팩_1,모레모 B_0,모레모 B_1,아쿠아더마 헤어트리트먼트_0,아쿠아더마 헤어트리트먼트_1,허니체 마스크_0,허니체 마스크_1,헤드스파7 트리트먼트_0,헤드스파7 트리트먼트_1,에스테티카 헤어마스크_0,에스테티카 헤어마스크_1,투쿨포스쿨 팩_0,투쿨포스쿨 팩_1,허니체 와이_0,허니체 와이_1,닥터포헤어 팩_0,닥터포헤어 팩_1,팬틴 [극손상케어]_0,팬틴 [극손상케어]_1
0,28.2504,71.50537,0.0,0.0,57.63239,65.25911,78.78787,69.04761,0.0,0.0,100.0,15.89119,77.6,13.2321,81.51658,78.96995,47.05882,0.0,0.0,0.0,58.33333,94.73684,78.26086,100.0,0.0,0.0,44.44444,28.57142,0.0,0.0,62.5,91.66666,47.05882,70.58823,35.71428,36.66666,0.0,0.0,0.0,0.0,58.33333,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,60.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31058,39.67874,40.38461,79.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23.75601,54.8387,0.0,0.0,55.60747,50.67178,42.42424,33.33333,0.0,0.0,1.91967,10.88045,94.4,16.26898,90.04739,55.79399,44.11764,0.0,0.0,0.0,50.0,73.68421,34.7826,63.15789,0.0,0.0,22.22222,38.09523,0.0,0.0,37.5,58.33333,73.52941,41.17647,0.0,36.66666,0.0,0.0,0.0,0.0,29.16666,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.49985,37.92055,57.6923,54.16666,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0
2,19.58266,77.95698,57.14285,0.0,58.41121,55.85412,42.42424,76.19047,87.5,0.0,0.72296,9.37723,61.6,14.3167,69.19431,85.40772,52.94117,0.0,0.0,0.0,100.0,57.89473,34.7826,73.68421,0.0,0.0,66.66666,52.38095,0.0,0.0,37.5,0.0,64.70588,47.05882,57.14285,53.33333,0.0,0.0,0.0,0.0,37.5,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.73957,29.32494,28.84615,47.91666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,17.97752,79.56989,50.0,0.0,56.38629,53.55086,63.63636,90.47619,75.0,38.88888,0.46431,15.24695,48.8,11.27982,68.72037,87.55364,0.0,0.0,0.0,0.0,54.16666,63.15789,73.91304,68.42105,0.0,0.0,33.33333,28.57142,0.0,0.0,43.75,66.66666,38.23529,47.05882,71.42857,46.66666,0.0,0.0,0.0,0.0,45.83333,40.74074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,16.09798,25.6566,100.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,18.13804,81.72043,42.85714,0.0,45.48286,66.41074,66.66666,100.0,0.0,0.0,0.41079,14.53113,63.2,18.22125,70.14218,90.12875,50.0,0.0,0.0,0.0,58.33333,26.31578,34.7826,26.31578,0.0,0.0,55.55555,0.0,0.0,0.0,56.25,50.0,67.64705,73.52941,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,46.10389,0.0,0.0,0.0,0.0,0.0,0.0,16.36045,23.05187,57.6923,58.33333,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,18.61958,68.27956,0.0,0.0,52.64797,60.84452,69.69696,71.42857,0.0,27.77777,0.38771,9.94989,82.4,14.96746,82.46445,69.09871,44.11764,0.0,0.0,0.0,70.83333,52.63157,30.43478,47.36842,0.0,0.0,0.0,38.09523,0.0,0.0,43.75,66.66666,32.35294,64.70588,35.71428,30.0,0.0,0.0,0.0,0.0,37.5,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,66.23376,0.0,0.0,0.0,0.0,0.0,0.0,21.40565,19.96961,51.92307,56.25,56.25,0.0,0.0,0.0,55.55555,0.0,0.0,0.0
6,15.4093,76.34408,0.0,0.0,53.58255,51.63147,30.30303,52.38095,0.0,0.0,0.3557,10.02147,100.0,13.66594,59.2417,68.66952,29.41176,0.0,0.0,0.0,66.66666,42.10526,56.52173,57.89473,0.0,0.0,44.44444,0.0,0.0,0.0,43.75,0.0,70.58823,38.23529,0.0,56.66666,0.0,0.0,0.0,55.55555,20.83333,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,59.74025,0.0,0.0,0.0,0.0,0.0,0.0,17.06036,29.97612,34.61538,54.16666,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,24.7191,62.36559,0.0,0.0,61.05919,60.84452,39.39393,80.95238,0.0,0.0,0.37249,10.59413,82.4,13.66594,63.98104,68.66952,29.41176,0.0,0.0,0.0,37.5,84.21052,60.86956,68.42105,0.0,0.0,62.96296,0.0,0.0,0.0,62.5,0.0,38.23529,67.64705,35.71428,43.33333,0.0,0.0,0.0,0.0,0.0,18.51851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,100.0,67.85714,61.68831,0.0,0.0,0.0,0.0,0.0,0.0,13.93992,22.33557,44.23076,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,21.82985,55.91397,35.71428,0.0,59.03426,41.45873,54.54545,50.0,0.0,0.0,0.32318,8.08876,83.2,14.75054,82.46445,55.79399,47.05882,0.0,0.0,0.0,54.16666,63.15789,82.60869,42.10526,0.0,0.0,74.07407,23.80952,0.0,0.0,93.75,0.0,100.0,32.35294,71.42857,53.33333,0.0,0.0,83.33333,0.0,41.66666,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,60.71428,73.37662,0.0,0.0,0.0,0.0,0.0,0.0,14.55234,23.61623,40.38461,77.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.4093,68.8172,0.0,0.0,64.64174,45.87332,36.36363,80.95238,0.0,0.0,0.37931,14.60272,97.6,20.39045,87.20379,64.80686,38.23529,0.0,0.0,0.0,37.5,100.0,39.13043,68.42105,0.0,0.0,48.14814,28.57142,0.0,0.0,56.25,41.66666,50.0,70.58823,42.85714,46.66666,0.0,0.0,0.0,0.0,20.83333,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,92.85714,0.0,0.0,0.0,0.0,0.0,0.0,64.85855,25.9822,40.38461,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
