,시드물 토닉_0,시드물 토닉_1,아베다 리바이탈라이저_0,아베다 리바이탈라이저_1,아로마티카 인핸서_0,아로마티카 인핸서_1,라우쉬 팅크처_0,라우쉬 팅크처_1,비욘드 토닉_0,비욘드 토닉_1,리클리 토닉)_0,리클리 토닉)_1,닥터포헤어 토닉_0,닥터포헤어 토닉_1,다슈 헤어토닉_0,다슈 헤어토닉_1,힐링버드 향]_0,힐링버드 향]_1,프리메라 토닉_0,프리메라 토닉_1,달리프 스프레이_0,달리프 스프레이_1,닥터포헤어 이펙터_0,닥터포헤어 이펙터_1,어헤즈 토닉_0,어헤즈 토닉_1,바티스트 [오리지널]_0,바티스트 [오리지널]_1,바티스트 후레쉬_0,바티스트 후레쉬_1,클로란 샴푸_0,클로란 샴푸_1,바티스트 체리_0,바티스트 체리_1,코랩 프루티_0,코랩 프루티_1,코랩 프레쉬_0,코랩 프레쉬_1,바티스트 볼륨_0,바티스트 볼륨_1,더마슨 파우더_0,더마슨 파우더_1,바티스트 플로랄_0,바티스트 플로랄_1,네이처리퍼블릭 샴푸_0,네이처리퍼블릭 샴푸_1,코레스 헤어_0,코레스 헤어_1,낫유어마더스 샴푸_0,모로칸오일 샴푸_0,모로칸오일 샴푸_1,헤어커투어 핑크_0,헤어커투어 핑크_1,코랩 엑소틱_0,코랩 엑소틱_1,클로란 드라이샴푸_0,클로란 드라이샴푸_1,프리맨 샴푸_0,프리맨 샴푸_1,퓨어베스 스위트_0,퓨어베스 스위트_1,모로칸오일 오리지날_0,모로칸오일 오리지날_1,시드물 테라피_0,시드물 테라피_1,모로칸오일 트리트먼트_0,모로칸오일 트리트먼트_1,아모스프로페셔널 헤어BB크림_0,아모스프로페셔널 헤어BB크림_1,아모스프로페셔널 2X_0,아모스프로페셔널 2X_1,디올 미스트_0,디올 미스트_1,로레알 파리 리치_0,로레알 파리 리치_1,로레알 파리 프로엑스_0,로레알 파리 프로엑스_1,아모스프로페셔널 컨디셔너_0,아모스프로페셔널 컨디셔너_1
0,0.0,0.0,0.0,50.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,22.05882,52.77777,50.0,17.94871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.83561,86.30136,0.0,0.0,0.0,0.0,91.89189,32.25806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.05363,24.52107,0.0,0.0,0.0,45.45454,35.59322,0.0,0.0,0.0,0.0,76.71232,14.56953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.26735,100.0,0.0,0.0,0.0,0.0,20.58823,52.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,22.05882,91.66666,50.0,25.64102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.38356,93.83561,0.0,0.0,0.0,0.0,62.16216,35.48387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8659,23.75478,0.0,0.0,0.0,45.45454,76.27118,0.0,0.0,0.0,0.0,68.49315,19.86754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.43701,85.63535,0.0,0.0,0.0,0.0,17.64705,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,83.33333,0.0,45.45454,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,94.44444,69.11764,32.05128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9315,64.38356,0.0,0.0,0.0,0.0,55.13513,32.61648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.61302,21.45593,0.0,0.0,0.0,34.0909,100.0,0.0,0.0,0.0,0.0,53.42465,28.47682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.00771,83.9779,0.0,0.0,0.0,0.0,47.05882,48.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,83.33333,0.0,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,32.35294,91.66666,47.05882,48.71794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.86301,84.9315,0.0,0.0,0.0,0.0,94.59459,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5862,13.02681,0.0,0.0,100.0,59.0909,76.27118,0.0,0.0,0.0,0.0,52.05479,20.5298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,89.50276,0.0,0.0,0.0,0.0,47.05882,68.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58823,47.22222,38.23529,64.10256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.49315,69.86301,0.0,0.0,0.0,0.0,100.0,35.48387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,25.67049,0.0,0.0,0.0,38.63636,69.49152,0.0,0.0,0.0,0.0,53.42465,19.86754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.97943,82.32044,0.0,0.0,0.0,0.0,29.41176,32.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70588,52.77777,44.11764,41.02564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9178,68.49315,0.0,0.0,0.0,0.0,89.72972,51.25448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.26819,16.85823,0.0,0.0,0.0,38.63636,79.66101,0.0,0.0,0.0,0.0,47.9452,15.89403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.38046,72.92817,0.0,0.0,0.0,0.0,58.82352,52.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82352,75.0,45.58823,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.76712,71.9178,0.0,0.0,0.0,0.0,75.67567,39.42652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39846,19.92337,0.0,0.0,0.0,27.27272,50.84745,0.0,0.0,0.0,0.0,45.20547,18.54304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.38303,66.85082,0.0,0.0,0.0,0.0,32.35294,60.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,45.45454,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,52.77777,47.05882,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.75342,78.76712,0.0,0.0,0.0,0.0,76.75675,30.10752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.95019,15.32567,0.0,0.0,0.0,63.63636,42.37288,0.0,0.0,0.0,0.0,71.23287,21.8543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.15167,79.00552,0.0,0.0,0.0,0.0,44.11764,60.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82352,66.66666,67.64705,24.35897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.24657,65.75342,0.0,0.0,0.0,0.0,68.1081,24.73118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,23.37164,0.0,0.0,0.0,68.18181,77.9661,0.0,0.0,0.0,0.0,49.31506,22.51655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2365,90.60773,0.0,0.0,0.0,0.0,23.52941,60.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94117,69.44444,100.0,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.43835,84.24657,0.0,0.0,0.0,0.0,63.24324,54.12186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.96934,20.68965,0.0,0.0,0.0,0.0,93.22033,0.0,0.0,0.0,0.0,65.75342,11.92052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.17737,66.29834,0.0,0.0,0.0,0.0,20.58823,32.0,0.0,0.0,0.0,0.0,0.0,0.0
