,이니스프리 왁스_0,이니스프리 왁스_1,새한화장품 휘니쉬_0,새한화장품 휘니쉬_1,마쉐리 EX_0,마쉐리 EX_1,지비에이치 코스메틱 미스트_0,지비에이치 코스메틱 미스트_1,루시도엘 수퍼하드_0,루시도엘 수퍼하드_1,포레스트 스토리 워터스프레이_0,포레스트 스토리 워터스프레이_1,러쉬 알앤비_0,러쉬 알앤비_1,폴미첼 스프레이_0,폴미첼 스프레이_1,네이처리퍼블릭 스프레이_0,네이처리퍼블릭 스프레이_1,TS TS착한헤어왁스_0,TS TS착한헤어왁스_1,에쏘띠 픽서_0,에쏘띠 픽서_1,다슈 스프레이_0,다슈 스프레이_1,착한팩토리 헤어픽서_0,착한팩토리 헤어픽서_1,아모스프로페셔널 스프레이_0,아모스프로페셔널 스프레이_1,세바스찬 텍스처라이저_0,세바스찬 텍스처라이저_1,아모스프로페셔널 왁스_0,아모스프로페셔널 왁스_1,아베다 크림_0,아베다 크림_1,러쉬 데이_0,러쉬 데이_1,웰라 프로페셔널즈 탈색제_0,웰라 프로페셔널즈 탈색제_1,로레알 프로페셔널 파리 쿨커버_0,로레알 프로페셔널 파리 쿨커버_1,로레알 프로페셔널 파리 염색약_0,로레알 프로페셔널 파리 염색약_1,마몽드 섀도우_0,마몽드 섀도우_1,사랑새 매니큐어_0,사랑새 매니큐어_1,리엔 염색_0,리엔 염색_1,더페이스샵 섀도우_0,더페이스샵 섀도우_1,헤이 헤어컬러_0,헤이 헤어컬러_1,더페이스샵 퍼프_0,더페이스샵 퍼프_1,웰라 프로페셔널즈 염모제_0,웰라 프로페셔널즈 염모제_1,토니모리 블리치_0,토니모리 블리치_1,아리따움 블리치_0,아리따움 블리치_1,페인토즈 페인트_0,페인토즈 페인트_1,려 헤어쿠션_0,려 헤어쿠션_1,시세이도 프로페셔널 스트레이트_0,시세이도 프로페셔널 스트레이트_1,에뛰드 컬러_0,에뛰드 컬러_1,네이처리퍼블릭 라이너_0,네이처리퍼블릭 라이너_1,셀리한센 블리치_0,셀리한센 블리치_1,로레알 파리 크림_0,로레알 파리 크림_1,웻브러쉬 브러쉬_0,웻브러쉬 브러쉬_1,탱글티저 오리지널_0,탱글티저 오리지널_1,아베다 브러시_0,아베다 브러시_1
0,20.33898,42.25352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.49295,51.72413,79.22077,49.59216,0.0,0.0,0.0,0.0,0.0,0.0,76.49769,81.21827,50.0,55.55555,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.30434,60.86956,0.0,0.0,0.0,46.15384,20.4918,16.76136,0.0,0.0,80.0,52.17391,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,57.66871,4.4621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,25.0,25.0,0.0,0.0
1,18.64406,28.16901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526,73.33333,21.12676,51.72413,87.94063,52.20228,0.0,0.0,0.0,0.0,0.0,0.0,98.15668,92.8934,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,53.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,43.75,0.0,56.45491,17.61363,0.0,0.0,70.0,78.26086,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,37.42331,5.31784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,25.0,35.71428,0.0,0.0
2,22.03389,28.16901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,40.0,0.0,44.82758,75.5102,42.57748,0.0,0.0,0.0,0.0,0.0,0.0,70.50691,100.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,85.71428,45.45454,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.60869,69.56521,0.0,0.0,0.0,0.0,48.87295,20.45454,0.0,0.0,73.33333,60.86956,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,53.98773,9.10757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,17.85714,0.0,60.0
3,0.0,25.35211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,60.0,9.85915,0.0,71.79962,46.81892,0.0,0.0,0.0,0.0,0.0,0.0,70.96774,93.90862,70.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.30434,84.7826,0.0,0.0,50.0,0.0,48.9754,14.77272,0.0,0.0,53.33333,34.7826,0.0,0.0,62.5,0.0,25.0,0.0,0.0,0.0,52.76073,4.4621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,28.57142,0.0,0.0
4,13.55932,8.4507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526,40.0,76.05633,27.5862,75.69573,65.57911,0.0,0.0,0.0,0.0,0.0,0.0,56.68202,87.81725,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,31.81818,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,52.17391,0.0,0.0,31.25,0.0,40.36885,23.86363,0.0,0.0,80.0,39.13043,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,58.2822,4.52322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0
5,0.0,28.16901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.83098,24.13793,54.35992,100.0,0.0,0.0,0.0,0.0,0.0,0.0,64.05529,54.31472,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34782,52.17391,0.0,0.0,0.0,61.53846,58.70901,20.73863,0.0,0.0,56.66666,43.47826,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,46.62576,3.78973,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13.55932,25.35211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,100.0,37.93103,68.83116,74.06199,0.0,0.0,0.0,0.0,0.0,0.0,82.48847,58.88324,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.90909,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,78.26086,0.0,0.0,0.0,0.0,34.63114,15.625,0.0,0.0,53.33333,43.47826,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,60.12269,5.62347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,27.11864,19.7183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,40.0,94.36619,44.82758,76.99443,58.72756,0.0,0.0,0.0,0.0,0.0,0.0,100.0,58.37563,80.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,50.0,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,56.52173,0.0,0.0,31.25,0.0,32.37704,22.72727,0.0,0.0,83.33333,34.7826,0.0,0.0,100.0,0.0,41.66666,0.0,0.0,0.0,48.46625,6.05134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,0.0,0.0
8,16.94915,22.53521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,90.14084,62.06896,89.79591,71.12561,0.0,0.0,0.0,0.0,0.0,0.0,76.95852,61.92893,50.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,50.0,40.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,50.0,0.0,0.0,62.5,76.92307,32.9918,9.375,0.0,0.0,50.0,21.73913,0.0,0.0,0.0,0.0,58.33333,90.90909,0.0,0.0,43.55828,8.31295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,21.42857,0.0,0.0,0.0
9,16.94915,19.7183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,52.11267,55.17241,73.09833,75.85644,100.0,0.0,0.0,0.0,0.0,0.0,66.35944,76.64974,50.0,0.0,0.0,45.45454,0.0,0.0,62.5,0.0,0.0,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.91304,41.30434,0.0,0.0,31.25,0.0,37.80737,13.63636,0.0,0.0,56.66666,52.17391,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,51.53374,7.21271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20.33898,8.4507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,53.33333,38.02816,34.48275,58.44155,83.84991,0.0,0.0,0.0,0.0,0.0,0.0,72.35023,70.55837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0909,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.60869,50.0,100.0,0.0,0.0,0.0,37.29508,18.4659,0.0,0.0,60.0,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.41717,5.07334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0
11,8.47457,25.35211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.49295,41.37931,67.90352,91.84339,0.0,0.0,0.0,0.0,0.0,0.0,67.2811,70.55837,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,50.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.69565,32.60869,0.0,0.0,0.0,0.0,36.37295,17.04545,0.0,0.0,66.66666,21.73913,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,51.53374,4.33985,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0
12,8.47457,28.16901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,28.16901,41.37931,56.58627,73.24632,0.0,0.0,0.0,0.0,0.0,0.0,62.67281,75.63451,60.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,63.63636,40.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.73913,41.30434,0.0,0.0,0.0,0.0,25.0,14.77272,0.0,0.0,56.66666,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.01226,5.74572,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,0.0,0.0
