,아이캔디 브러쉬_0,아이캔디 브러쉬_1,올리브영 브러쉬_0,올리브영 브러쉬_1,다이소 브러쉬_0,다이소 브러쉬_1,에뛰드 헤어브러쉬_0,에뛰드 헤어브러쉬_1,올리브영 올리브영알루미늄헤어롤_0,올리브영 올리브영알루미늄헤어롤_1,웨이크메이크 글리터_0,웨이크메이크 글리터_1,오피아이 락커_0,오피아이 락커_1,에뛰드 네일_0,에뛰드 네일_1,더젤 젤네일_0,더젤 젤네일_1,디올 네일_0,디올 네일_1,샤넬 베르니_0,샤넬 베르니_1,스킨푸드 (푸르츠칵테일)_0,스킨푸드 (푸르츠칵테일)_1,어퓨 네일즈_0,어퓨 네일즈_1,아리따움 네일즈_0,아리따움 네일즈_1,더페이스샵 젤_0,더페이스샵 젤_1,웨이크메이크 네일건_0,웨이크메이크 네일건_1,캐시캣 코드네일_0,캐시캣 코드네일_1,이니스프리 네일_0,이니스프리 네일_1,데보라립만 네일폴리쉬_0,데보라립만 네일폴리쉬_1,미샤 폴리쉬_0,미샤 폴리쉬_1,유키 컬러_0,유키 컬러_1,엘르걸 네일즈_0,엘르걸 네일즈_1,스킨푸드 멜로우)_0,스킨푸드 멜로우)_1,더샘 탑코트_0,더샘 탑코트_1,이니스프리 탑코트_0,이니스프리 탑코트_1,세쉐 탑코트_0,세쉐 탑코트_1,스킨푸드 탑코트_0,스킨푸드 탑코트_1,오피아이 탑코트_0,오피아이 탑코트_1,웨이크메이크 탑코트_0,웨이크메이크 탑코트_1,다이소 탑코트_0,다이소 탑코트_1,미샤 [탑코트]_0,미샤 [탑코트]_1,아리따움 탑코트_0,아리따움 탑코트_1,오피아이 코트_0,오피아이 코트_1,GRACIA베이스젤_0,GRACIA베이스젤_1,아리따움 젤_0,아리따움 젤_1,이니스프리 코트_0,이니스프리 코트_1,네이처리퍼블릭 코트_0,네이처리퍼블릭 코트_1,에뛰드 코트_0,에뛰드 코트_1,셀리한센 탑코트_0,셀리한센 탑코트_1,토니모리 젤탑코트_0,토니모리 젤탑코트_1
0,53.45622,62.19512,43.41317,50.0,47.39093,52.86569,0.0,100.0,0.0,0.0,24.59016,42.0,0.0,0.0,61.70212,40.625,79.16666,96.51567,25.0,31.91489,47.61904,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,33.33333,62.60869,42.75362,0.0,0.0,100.0,15.78947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,33.33333,26.41509,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,85.18518,75.0,0.0,0.0,60.52631,48.38709,0.0,0.0,0.0,0.0,50.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,67.74193,57.72357,53.29341,46.875,47.21984,55.77416,0.0,0.0,0.0,0.0,27.86885,48.0,0.0,0.0,65.95744,73.4375,73.17708,100.0,56.25,46.80851,28.57142,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,73.91304,39.13043,0.0,0.0,77.88944,13.66906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13.20754,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,48.14814,59.61538,0.0,0.0,52.63157,35.48387,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,69.58525,57.31707,52.69461,45.3125,44.91017,51.92472,0.0,0.0,0.0,0.0,39.34426,42.0,0.0,0.0,44.68085,54.6875,79.16666,81.18466,53.125,38.29787,23.80952,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,31.81818,0.0,60.0,48.55072,0.0,0.0,80.40201,12.11662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,6.60377,100.0,0.0,0.0,0.0,71.42857,0.0,71.42857,0.0,77.77777,46.15384,0.0,0.0,65.78947,32.25806,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,57.14285,100.0,48.80239,51.25,43.9692,49.10179,0.0,0.0,0.0,0.0,31.14754,50.0,0.0,0.0,57.4468,60.9375,75.26041,74.21602,59.375,40.42553,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,77.3913,39.85507,0.0,0.0,79.89949,12.64672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,12.26415,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,81.48148,100.0,0.0,0.0,63.15789,20.96774,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,54.8387,66.66666,52.3952,60.3125,47.56201,44.14029,0.0,0.0,0.0,0.0,37.70491,28.0,0.0,0.0,55.31914,59.375,70.3125,80.13937,100.0,36.17021,38.09523,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,53.04347,49.27536,0.0,0.0,93.46733,12.79818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,45.83333,15.09433,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,51.85185,57.6923,0.0,0.0,34.21052,27.41935,0.0,0.0,0.0,0.0,66.66666,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,53.91705,75.60975,37.72455,61.25,45.68006,44.568,0.0,0.0,0.0,0.0,32.78688,32.0,0.0,0.0,51.06382,60.9375,69.79166,92.33449,59.375,40.42553,33.33333,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.69565,100.0,0.0,0.0,80.90452,12.07875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,14.15094,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,96.29629,28.84615,0.0,0.0,39.47368,37.09677,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50.23041,84.55284,49.70059,59.375,44.82463,51.24037,0.0,0.0,0.0,0.0,22.95081,32.0,0.0,0.0,59.57446,53.125,85.15625,98.25783,65.625,46.80851,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,75.65217,74.63768,0.0,0.0,75.87939,11.9273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0,11.32075,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0,81.48148,9.61538,0.0,0.0,76.31578,29.03225,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,55.76036,80.0813,40.11976,57.1875,50.47048,45.1668,0.0,0.0,0.0,0.0,44.26229,48.0,0.0,0.0,42.55319,84.375,100.0,82.92682,78.125,12.76595,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.90909,0.0,56.52173,63.04347,0.0,0.0,80.40201,10.14767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,13.20754,0.0,0.0,0.0,0.0,100.0,0.0,57.14285,0.0,96.29629,23.07692,0.0,0.0,71.05263,24.19354,0.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,56.68202,78.45528,35.62874,58.75,52.86569,43.02822,0.0,0.0,0.0,0.0,18.03278,40.0,0.0,0.0,51.06382,78.125,83.33333,80.13937,71.875,34.04255,52.38095,92.85714,0.0,0.0,0.0,0.0,0.0,0.0,40.90909,0.0,63.47826,39.85507,0.0,0.0,71.85929,10.90496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.33333,15.09433,0.0,0.0,0.0,0.0,71.42857,0.0,38.09523,0.0,81.48148,25.0,0.0,0.0,73.68421,40.32258,0.0,0.0,0.0,0.0,58.33333,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,57.14285,70.7317,43.41317,55.625,55.77416,42.25834,0.0,0.0,0.0,0.0,16.39344,30.0,0.0,0.0,68.0851,64.0625,74.47916,58.88501,50.0,19.14893,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,33.33333,58.26086,43.47826,0.0,0.0,80.90452,12.11662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,12.26415,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,70.37037,32.6923,0.0,0.0,52.63157,20.96774,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
