,아리따움 팁_0,아리따움 팁_1,미샤 라이너_0,미샤 라이너_1,이니스프리 쥬얼_0,이니스프리 쥬얼_1,키스뉴욕 프레스앤고_0,키스뉴욕 프레스앤고_1,이니스프리 팁_0,이니스프리 팁_1,인코코 매니큐어_0,인코코 매니큐어_1,데싱디바 매직프레스_0,데싱디바 매직프레스_1,데싱디바 페디큐어_0,데싱디바 페디큐어_1,젤라또팩토리 패디_0,젤라또팩토리 패디_1,오호라 [페디]_0,오호라 [페디]_1,젤라또팩토리 프리미엄_0,젤라또팩토리 프리미엄_1,데싱디바 페디_0,데싱디바 페디_1,데싱디바 스톤]_0,데싱디바 스톤]_1,웨이크메이크 영양제]_0,웨이크메이크 영양제]_1,위드샨 이레이저_0,위드샨 이레이저_1,오피아이 엔비_0,오피아이 엔비_1,마이크로셀 바이탈_0,마이크로셀 바이탈_1,스킨푸드 네일에센스_0,스킨푸드 네일에센스_1,에뛰드 스파_0,에뛰드 스파_1,이니스프리 강화제_0,이니스프리 강화제_1,아리따움 오일_0,아리따움 오일_1,다이소 오일_0,다이소 오일_1,스킨푸드 오일_0,스킨푸드 오일_1,웨이크메이크 강화제]_0,웨이크메이크 강화제]_1,아리따움 하드너_0,아리따움 하드너_1,오피아이 오일_0,오피아이 오일_1,Nail TekII_0,Nail TekII_1,네이처리퍼블릭 펜_0,네이처리퍼블릭 펜_1,데싱디바 전용]_0,데싱디바 전용]_1,보브 네일케어_0,보브 네일케어_1,시드물 앰플_0,시드물 앰플_1,라벨영 쇼킹구해줘네일밤_0,라벨영 쇼킹구해줘네일밤_1,네이처리퍼블릭 초강력네일리무버_0,네이처리퍼블릭 초강력네일리무버_1,다이소 패드_0,다이소 패드_1,아리따움 띠너_0,아리따움 띠너_1,이니스프리 리무버_0,이니스프리 리무버_1,다이소 라벤더_0,다이소 라벤더_1,에뛰드 (마일드)_0,에뛰드 (마일드)_1,다이소 리무버_0,다이소 리무버_1,오피아이 리무버_0,오피아이 리무버_1
0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.24057,27.61578,77.33333,13.93442,3.62694,22.27979,0.0,0.0,0.0,0.0,24.85436,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.15384,51.85185,34.48275,49.0909,17.53554,0.0,0.0,20.58823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25806,21.27659,0.0,0.0,0.0,0.0,46.42857,33.33333,0.0,0.0,21.42857,53.84615,65.11627,20.83333,0.0,0.0,86.36363,48.14814,0.0,0.0
1,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.19115,34.81989,100.0,4.09836,1.81347,14.76683,0.0,0.0,0.0,0.0,14.17475,70.58823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.30769,33.33333,27.5862,29.0909,9.9526,0.0,0.0,41.17647,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.67741,41.48936,0.0,0.0,0.0,0.0,53.57142,40.47619,0.0,61.53846,19.04761,33.33333,41.86046,91.66666,0.0,0.0,36.36363,40.74074,0.0,0.0
2,0.0,0.0,50.0,0.0,21.73913,0.0,12.76595,0.0,0.0,0.0,0.0,0.0,37.19115,25.90051,97.33333,0.0,7.77202,24.09326,0.0,0.0,0.0,0.0,16.50485,41.17647,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46153,22.22222,20.68965,38.18181,19.90521,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.16129,70.21276,0.0,0.0,0.0,0.0,42.85714,54.7619,0.0,0.0,30.95238,94.87179,46.51162,66.66666,0.0,0.0,31.81818,59.25925,0.0,0.0
3,0.0,0.0,50.0,0.0,0.0,0.0,23.40425,0.0,0.0,0.0,0.0,0.0,32.63979,33.44768,93.33333,0.0,11.39896,36.78756,0.0,0.0,0.0,0.0,16.50485,20.58823,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,100.0,0.0,0.0,11.53846,70.37037,41.37931,34.54545,20.37914,0.0,0.0,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.16129,92.55319,0.0,0.0,0.0,0.0,64.28571,42.85714,0.0,38.46153,36.90476,30.76923,55.81395,62.5,0.0,0.0,45.45454,48.14814,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,17.02127,0.0,0.0,0.0,0.0,0.0,38.23146,22.29845,80.0,4.91803,13.73056,20.46632,0.0,0.0,0.0,0.0,12.03883,55.88235,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,13.46153,44.44444,62.06896,23.63636,19.90521,0.0,0.0,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.41935,100.0,0.0,0.0,0.0,0.0,39.28571,26.19047,0.0,38.46153,33.33333,69.23076,60.46511,45.83333,0.0,0.0,63.63636,81.48148,0.0,0.0
5,0.0,0.0,50.0,0.0,0.0,0.0,21.27659,0.0,0.0,0.0,0.0,0.0,41.87256,29.33104,57.33333,0.0,22.27979,18.13471,0.0,0.0,0.0,0.0,11.26213,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,11.53846,29.62962,58.62068,30.90909,22.27488,0.0,0.0,29.41176,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.93548,81.91489,0.0,0.0,0.0,0.0,50.0,61.90476,0.0,46.15384,32.14285,30.76923,25.58139,62.5,0.0,0.0,59.0909,66.66666,0.0,0.0
6,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.49154,32.76157,53.33333,0.0,14.76683,17.61658,0.0,0.0,0.0,0.0,15.72815,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,28.84615,29.62962,27.5862,54.54545,22.27488,0.0,0.0,38.23529,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.54838,67.02127,0.0,0.0,0.0,0.0,46.42857,47.61904,0.0,53.84615,28.57142,33.33333,95.34883,29.16666,0.0,0.0,81.81818,40.74074,0.0,0.0
7,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.23146,32.59005,64.0,7.37704,24.09326,23.57512,0.0,0.0,0.0,0.0,17.47572,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,13.46153,37.03703,58.62068,49.0909,36.49289,0.0,0.0,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.93548,67.02127,0.0,0.0,0.0,0.0,75.0,47.61904,0.0,61.53846,23.80952,74.35897,44.18604,91.66666,0.0,0.0,59.0909,44.44444,0.0,0.0
8,0.0,0.0,58.33333,0.0,0.0,0.0,12.76595,0.0,0.0,0.0,0.0,0.0,37.71131,38.25042,74.66666,4.09836,36.78756,16.06217,0.0,0.0,0.0,0.0,14.36893,61.7647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,30.76923,51.85185,37.93103,40.0,37.91469,0.0,0.0,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.09677,51.06382,0.0,0.0,0.0,0.0,64.28571,35.71428,0.0,38.46153,17.85714,66.66666,67.44186,20.83333,0.0,0.0,54.54545,48.14814,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,38.23146,29.50257,82.66666,5.7377,20.46632,12.6943,0.0,0.0,0.0,0.0,13.0097,26.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,21.15384,62.96296,65.51724,60.0,64.45497,0.0,0.0,23.52941,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.54838,76.59574,0.0,0.0,0.0,0.0,71.42857,47.61904,0.0,0.0,33.33333,79.48717,74.4186,45.83333,0.0,0.0,86.36363,62.96296,0.0,0.0
