,뷰닉스 (sup-22)_0,뷰닉스 (sup-22)_1,다이소 4WAY네일버퍼(오목형)_0,다이소 4WAY네일버퍼(오목형)_1,다이소 파일_0,다이소 파일_1,위드샨 젤램프_0,위드샨 젤램프_1,다이소 네일푸셔&파일_0,다이소 네일푸셔&파일_1,위드샨 핀셋(무광블랙)_0,위드샨 핀셋(무광블랙)_1,위드샨 꾹꾹이_0,위드샨 꾹꾹이_1,이니스프리 보드_0,이니스프리 보드_1,이니스프리 젤램프_0,이니스프리 젤램프_1,젤라또팩토리 젤램프_0,젤라또팩토리 젤램프_1,더샘 푸셔_0,더샘 푸셔_1,필리밀리 버퍼_0,필리밀리 버퍼_1,스킨푸드 볼_0,스킨푸드 볼_1,필리밀리 (소)_0,필리밀리 (소)_1,네이처리퍼블릭 보드_0,네이처리퍼블릭 보드_1,위드샨 램프_0,위드샨 램프_1,미샤 푸셔_0,미샤 푸셔_1,시크릿데이 오버나이트_0,시크릿데이 오버나이트_1,화이트 오버나이트_0,화이트 오버나이트_1,한나 중형_0,한나 중형_1,좋은느낌오버나이트_0,좋은느낌오버나이트_1,암웨이 대형_0,암웨이 대형_1,미샤 여성청결제_0,미샤 여성청결제_1,플레이텍스 [수퍼]_0,플레이텍스 [수퍼]_1,프리메라 티슈_0,프리메라 티슈_1,프리메라 후리_0,프리메라 후리_1,질경이 중형_0,질경이 중형_1,애터미 대형_0,애터미 대형_1,쏘피 슈퍼롱_0,쏘피 슈퍼롱_1,유리아쥬 진-8_0,유리아쥬 진-8_1,위스퍼 대형_0,위스퍼 대형_1,애터미 중형_0,애터미 중형_1,데이위드 워시_0,데이위드 워시_1,아로마티카 여성청결제_0,아로마티카 여성청결제_1,사임당화장품 청결제_0,사임당화장품 청결제_1,올리브영 스팟패치_0,올리브영 스팟패치_1,이지덤뷰티 뷰티_0,이지덤뷰티 뷰티_1,더마리프트 패치_0,더마리프트 패치_1,엘라밴드 도트_0,엘라밴드 도트_1,3M 넥스케어™ 케어_0,3M 넥스케어™ 케어_1
0,0.0,0.0,0.0,0.0,27.04402,53.96825,63.82978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.77777,50.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.96296,57.54189,83.0,52.30769,0.0,0.0,71.14845,67.5799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.27272,0.0,0.0,0.0,0.0,22.37288,0.0,0.0,0.0,52.30769,59.25925,0.0,0.0,100.0,27.27272,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,33.96226,73.01587,55.31914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,50.0,34.39999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37037,54.7486,60.0,70.0,0.0,0.0,50.14005,84.9315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,54.54545,0.0,0.0,0.0,0.0,25.08474,0.0,0.0,0.0,50.76923,66.66666,0.0,0.0,64.28571,100.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,20.75471,57.14285,46.80851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,62.5,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,65.92178,65.0,43.07692,0.0,0.0,49.57983,81.27853,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,68.18181,0.0,0.0,0.0,0.0,21.01694,0.0,0.0,0.0,47.6923,51.85185,0.0,0.0,42.85714,81.81818,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,25.15723,84.12698,27.65957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,55.0,34.39999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,81.00558,52.0,60.0,0.0,0.0,59.94397,63.92694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.14285,59.0909,0.0,0.0,0.0,0.0,29.49152,0.0,0.0,0.0,44.61538,90.74074,0.0,0.0,64.28571,54.54545,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,28.93081,63.49206,48.93617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.88888,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,100.0,55.0,52.30769,0.0,0.0,57.70308,81.73515,0.0,0.0,16.21621,0.0,0.0,0.0,9.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71428,100.0,0.0,0.0,0.0,0.0,23.38983,0.0,0.0,0.0,55.38461,51.85185,0.0,0.0,35.71428,59.0909,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,24.5283,71.42857,51.06382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,60.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,73.18435,53.0,36.92307,0.0,0.0,59.38375,63.92694,0.0,0.0,13.51351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,31.81818,0.0,0.0,0.0,0.0,34.23728,0.0,0.0,0.0,40.0,55.55555,0.0,0.0,64.28571,63.63636,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,35.22012,61.90476,36.17021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.44444,70.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.35185,73.18435,76.0,51.53846,0.0,0.0,52.66106,55.25114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,30.84745,0.0,0.0,0.0,52.30769,48.14814,0.0,0.0,64.28571,36.36363,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,28.30188,60.31746,59.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,62.5,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.74074,68.15642,58.0,50.76923,0.0,0.0,49.85994,70.77625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,40.90909,0.0,0.0,0.0,0.0,25.08474,0.0,0.0,0.0,29.23076,51.85185,0.0,0.0,0.0,36.36363,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24.5283,55.55555,48.93617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.66666,55.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.12962,82.68156,71.0,40.76923,0.0,0.0,47.33893,63.92694,0.0,0.0,13.51351,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,36.36363,0.0,0.0,0.0,0.0,19.32203,0.0,0.0,0.0,50.76923,68.51851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,30.81761,61.90476,42.55319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,75.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68518,90.50279,68.99999,42.30769,0.0,0.0,53.5014,62.55707,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,32.54237,0.0,0.0,0.0,44.61538,77.77777,0.0,0.0,42.85714,27.27272,0.0,0.0,0.0,0.0
