,닥터원더 원더패치_0,닥터원더 원더패치_1,닥터벨머 키트_0,닥터벨머 키트_1,신신제약밴드_0,신신제약밴드_1,VT COSMETICS 패치_0,VT COSMETICS 패치_1,휴족시간쿨링시트_0,휴족시간쿨링시트_1,올리브영 휴족휴면_0,올리브영 휴족휴면_1,아시리라 수액시트_0,아시리라 수액시트_1,티피오 알패치_0,티피오 알패치_1,멕리듬 아이마스크_0,멕리듬 아이마스크_1,메디테라피 패치_0,메디테라피 패치_1,일리윤 아이워머_0,일리윤 아이워머_1,스팀베이스 아이마스크_0,스팀베이스 아이마스크_1,하루온아이워머_0,하루온아이워머_1,슬로우랩 꿀잠안대_0,슬로우랩 꿀잠안대_1,일동제약 휴식시간_0,일동제약 휴식시간_1,씨엔에스글로벌 아이마스크_0,씨엔에스글로벌 아이마스크_1,누뉴 온열안대_0,누뉴 온열안대_1,아이러버쿨링풋_0,아이러버쿨링풋_1,아이스펌킨 종아리패치_0,아이스펌킨 종아리패치_1,에뛰드 마스크_0,에뛰드 마스크_1,파머메이커 팩_0,파머메이커 팩_1,어퓨 마스크_0,어퓨 마스크_1,메디힐리 아이온팩_0,메디힐리 아이온팩_1,덴티스테 스프레이_0,덴티스테 스프레이_1,테라브레스 민트_0,테라브레스 민트_1,가그린 제로_0,가그린 제로_1,덴티스테 치약_0,덴티스테 치약_1,가그린 오리지널_0,가그린 오리지널_1,리스테린 마일드_0,리스테린 마일드_1,덴티스테 케어_0,덴티스테 케어_1,암웨이 치약_0,암웨이 치약_1,오랄비 민트_0,오랄비 민트_1,2080치약_0,2080치약_1,애터미 플러스_0,애터미 플러스_1,페리오 스프레이_0,페리오 스프레이_1,아조나 치약_0,아조나 치약_1,닥터폴스 치약_0,닥터폴스 치약_1,페리오 민트]_0,페리오 민트]_1,베러데이 치약_0,베러데이 치약_1,애터미 칫솔_0,애터미 칫솔_1
0,0.0,53.38725,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,36.17021,0.0,28.44827,55.06216,95.36423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69565,8.36236,18.18181,66.66666,36.8421,83.01886,45.45454,0.0,0.0,0.0,0.0,51.11111,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,51.21951,8.24175,16.03128,0.0,0.0,52.94117,33.24873,45.70446,17.77015,55.6962,53.96825,23.07692,35.71428,0.0,0.0,74.88584,87.27793,0.0,0.0,84.47204,64.54081,0.0,0.0,41.66666,0.0,93.85749,71.91679,80.18867,43.93939,0.0,0.0,0.0,0.0,52.36686,41.43356
1,0.0,69.66632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.93617,0.0,30.17241,45.29307,82.78145,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,13.91304,4.18118,28.78787,88.88888,23.68421,56.60377,0.0,0.0,0.0,0.0,0.0,53.33333,67.85714,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.63736,21.70087,0.0,0.0,52.61437,39.5939,43.12714,28.36367,43.03797,57.14285,46.15384,42.85714,0.0,0.0,69.60208,100.0,0.0,0.0,82.91925,60.20408,0.0,0.0,41.66666,0.0,98.40294,76.8202,40.56603,34.84848,0.0,0.0,0.0,0.0,46.74556,42.30769
2,0.0,55.10616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.55319,0.0,24.13793,45.82593,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,13.91304,5.22648,27.27272,100.0,42.10526,77.35849,0.0,0.0,0.0,0.0,0.0,40.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.10989,23.0694,0.0,0.0,40.19607,31.47208,61.55498,26.04634,45.56962,44.44444,46.15384,39.28571,0.0,0.0,74.75538,82.6361,0.0,0.0,69.87577,64.79591,0.0,0.0,66.66666,41.66666,94.47174,58.39524,34.90566,25.75757,0.0,0.0,0.0,0.0,58.28402,52.7972
3,0.0,52.88169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4468,0.0,18.96551,58.61456,92.05298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.82608,4.18118,16.66666,33.33333,97.36842,54.71698,0.0,0.0,0.0,0.0,0.0,66.66666,21.42857,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,45.45454,0.0,16.20879,17.2043,0.0,0.0,46.73202,28.93401,37.02749,24.92314,37.97468,36.50793,19.23076,75.0,0.0,0.0,61.44814,93.40974,0.0,0.0,68.94409,70.40816,0.0,0.0,50.0,0.0,74.20147,54.53194,53.77358,53.0303,0.0,0.0,0.0,0.0,62.42603,65.73426
4,0.0,51.06167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,20.68965,40.85257,88.07947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17391,2.09059,19.69696,27.77777,100.0,15.09433,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571,18.08406,0.0,0.0,63.39869,18.78172,34.7079,15.97304,48.10126,57.14285,23.07692,60.71428,0.0,0.0,53.55512,97.82234,0.0,0.0,63.35403,68.62244,0.0,0.0,0.0,0.0,75.92137,57.6523,45.28301,25.75757,0.0,0.0,0.0,0.0,64.79289,67.30769
5,0.0,45.80384,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,89.3617,0.0,18.96551,29.30728,80.13245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7826,6.27177,18.18181,33.33333,84.21052,49.0566,100.0,0.0,0.0,0.0,0.0,68.88888,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,17.07317,15.93406,18.57282,0.0,0.0,100.0,21.82741,38.3591,15.85481,100.0,39.68253,65.38461,32.14285,0.0,0.0,58.31702,88.08022,0.0,0.0,86.95652,73.21428,0.0,0.0,0.0,0.0,89.68058,69.24219,47.16981,48.48484,0.0,0.0,0.0,0.0,73.66863,56.81818
6,0.0,51.66835,0.0,0.0,0.0,0.0,0.0,0.0,62.5,59.57446,0.0,29.31034,33.74777,69.53642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.43478,3.48432,24.24242,27.77777,50.0,100.0,0.0,0.0,0.0,0.0,0.0,42.22222,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82926,18.68131,15.44477,0.0,0.0,63.72549,15.48223,46.4347,100.0,54.43037,74.60317,19.23076,78.57142,0.0,0.0,80.43052,82.46418,0.0,0.0,89.44099,58.67346,0.0,0.0,50.0,50.0,89.92628,81.72362,20.75471,54.54545,0.0,0.0,0.0,0.0,61.2426,55.94405
7,0.0,64.30738,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,57.4468,0.0,20.68965,40.67495,78.14569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.95652,4.87804,16.66666,0.0,63.15789,81.13207,0.0,0.0,0.0,0.0,0.0,53.33333,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90243,17.58241,15.34701,0.0,0.0,42.15686,22.33502,64.39003,21.8846,54.43037,52.38095,23.07692,42.85714,0.0,0.0,76.64709,75.53008,0.0,0.0,85.40372,59.18367,0.0,0.0,50.0,0.0,85.25798,90.78751,38.67924,71.21212,0.0,0.0,0.0,0.0,58.57988,49.65034
8,0.0,71.58746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.21276,0.0,26.72413,35.70159,75.49668,0.0,0.0,0.0,55.55555,0.0,0.0,31.25,0.0,0.0,48.69565,5.22648,13.63636,0.0,76.31578,24.5283,63.63636,0.0,0.0,0.0,0.0,77.77777,28.57142,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,24.39024,18.13186,17.69305,0.0,0.0,43.13725,54.31472,43.29896,24.53298,34.17721,87.30158,76.92307,28.57142,0.0,0.0,64.51402,73.63896,0.0,0.0,73.91304,59.94897,0.0,0.0,66.66666,0.0,75.55282,84.39821,32.07547,33.33333,0.0,0.0,0.0,0.0,63.90532,48.07692
9,0.0,69.16076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,0.0,26.72413,41.20781,70.19867,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,56.52173,2.09059,15.15151,0.0,68.42105,11.32075,0.0,0.0,0.0,0.0,0.0,28.88888,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78048,17.85714,14.17399,0.0,0.0,37.58169,62.94416,45.40378,25.27784,46.83544,55.55555,53.84615,89.28571,0.0,0.0,64.57925,86.1318,0.0,0.0,62.42236,54.84693,0.0,0.0,0.0,0.0,71.62162,63.74442,29.24528,60.60606,0.0,0.0,0.0,0.0,63.3136,51.3986
