,렌즈미 그레이_0,렌즈미 그레이_1,렌즈미 쵸코_0,렌즈미 쵸코_1,알콘 워터렌즈_0,알콘 워터렌즈_1,쿠퍼비전 바이오피니티_0,쿠퍼비전 바이오피니티_1,쿠퍼비전 원데이_0,쿠퍼비전 원데이_1,아큐브 난시용_0,아큐브 난시용_1,알콘 아쿠아_0,알콘 아쿠아_1,아큐브 모이스트_0,아큐브 모이스트_1,아큐브 비타_0,아큐브 비타_1,아큐브 오아시스_0,아큐브 오아시스_1,오렌즈 퍼스파인_0,오렌즈 퍼스파인_1,아큐브 원데이_0,아큐브 원데이_1,클리어랩 원데이_0,클리어랩 원데이_1,쿠퍼비전 토릭_0,쿠퍼비전 토릭_1,렌즈미 클리어_0,렌즈미 클리어_1,다비치렌즈 3days_0,다비치렌즈 3days_1,쿠퍼비전 아바이라_0,쿠퍼비전 아바이라_1,프레쉬콘 데일리_0,프레쉬콘 데일리_1,알콘 플러스_0,알콘 플러스_1,알콘 익스프레스_0,알콘 익스프레스_1,알콘 리플레니시_0,알콘 리플레니시_1,알콘 퓨어모이스트_0,알콘 퓨어모이스트_1,바슈롬 렌즈관리용액_0,바슈롬 렌즈관리용액_1,드림아이 드롭드림아이2_0,드림아이 드롭드림아이2_1,바슈롬 클리너_0,바슈롬 클리너_1,오렌즈 습윤액_0,오렌즈 습윤액_1,상아제약 식염수_0,상아제약 식염수_1,퓨어클 습윤액_0,퓨어클 습윤액_1,드림아이 용액_0,드림아이 용액_1,아큐브 솔루션_0,아큐브 솔루션_1,아이메디슨 용액_0,아이메디슨 용액_1,바슈롬 심플러스_0,바슈롬 심플러스_1,중외제약sol._0,중외제약sol._1,메니콘 프로젠트_0,메니콘 프로젠트_1,알콘 케어_0,알콘 케어_1,메니콘 플러스_0,메니콘 플러스_1,메디케어 멀티액_0,메디케어 멀티액_1,중외제약드롭_0,중외제약드롭_1,샤넬 빠르펭_0,샤넬 빠르펭_1,필로소피 EDT_0,필로소피 EDT_1
0,100.0,30.0,0.0,0.0,38.80952,100.0,81.15183,77.32696,43.47826,54.11764,0.0,16.33986,0.0,0.0,41.86046,96.0396,92.22972,1.67206,23.36448,65.09433,60.0,8.67346,59.91561,40.84507,53.33333,39.02439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,59.0909,0.0,0.0
1,91.54929,60.0,0.0,0.0,34.7619,80.27444,87.95811,72.31503,42.02898,50.58823,0.0,28.10457,0.0,0.0,41.08527,82.17821,71.28378,5.01618,24.48598,64.15094,77.14285,7.65306,71.72995,60.56338,26.66666,43.90243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.90909,0.0,0.0
2,67.60563,38.0,0.0,0.0,40.0,80.27444,75.91623,73.74701,56.52173,54.11764,0.0,15.68627,0.0,0.0,62.0155,97.0297,89.52702,4.1352,23.08411,66.03773,71.42857,7.14285,77.21518,40.84507,35.55555,34.14634,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
3,52.11267,46.0,0.0,0.0,37.85714,83.8765,79.58115,64.43914,49.27536,40.0,0.0,28.75816,0.0,0.0,60.46511,89.10891,84.45945,3.54189,24.29906,75.78616,85.71428,8.67346,72.57383,56.33802,37.77777,46.34146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.18181,0.0,0.0
4,50.70422,58.0,0.0,0.0,39.04761,83.01886,87.95811,78.99761,27.53623,43.52941,0.0,23.52941,60.0,0.0,40.31007,80.19801,83.78378,4.4768,24.57943,65.09433,80.0,11.73469,52.32067,43.66197,66.66666,26.82926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,63.63636,0.0,0.0
5,57.74647,68.0,0.0,0.0,44.28571,69.98284,84.81675,75.41766,50.72463,40.0,0.0,21.56862,0.0,0.0,47.28682,81.18811,73.64864,4.15318,26.91588,82.7044,51.42857,6.12244,54.43037,74.64788,44.44444,43.90243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,63.63636,0.0,0.0
6,39.43661,78.0,0.0,0.0,41.19047,61.06346,78.01047,79.95226,33.33333,45.88235,0.0,20.91503,0.0,0.0,47.28682,77.22772,72.97297,3.7037,31.40186,89.62264,71.42857,11.73469,89.02953,52.11267,51.11111,53.65853,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,36.36363,0.0,0.0
7,54.92957,62.0,0.0,0.0,40.0,63.97941,81.67539,83.05489,31.88405,40.0,0.0,18.95424,0.0,0.0,56.58914,81.18811,67.9054,3.45199,34.29906,88.36477,100.0,8.67346,94.9367,40.84507,64.44444,17.07317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,0.0
8,64.78873,52.0,0.0,0.0,33.57142,78.04459,81.15183,88.54415,60.86956,45.88235,0.0,23.52941,0.0,0.0,45.73643,99.0099,63.85135,3.41603,29.15887,86.47798,77.14285,12.24489,70.88607,43.66197,51.11111,26.82926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,54.54545,0.0,0.0
9,80.28169,100.0,0.0,0.0,44.04761,75.64322,73.82198,68.73508,43.47826,52.94117,0.0,17.64705,0.0,0.0,37.2093,95.0495,59.12162,2.85868,24.39252,77.35849,48.57142,15.30612,81.01265,57.74647,62.22222,58.53658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0909,0.0,0.0
10,54.92957,72.0,0.0,0.0,35.0,70.15437,76.96335,69.21241,53.62318,54.11764,0.0,22.22222,60.0,62.5,44.96124,71.28712,62.5,2.9306,22.52336,77.67295,82.85714,11.73469,78.90295,69.01408,60.0,43.90243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,31.81818,0.0,0.0
11,46.47887,72.0,0.0,0.0,38.57142,68.4391,47.64397,78.28162,44.92753,71.7647,0.0,18.30065,0.0,0.0,34.88372,100.0,62.5,2.85868,28.03738,74.5283,37.14285,11.22448,59.49367,47.88732,35.55555,48.78048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,0.0
12,50.70422,92.0,0.0,0.0,44.5238,67.23842,70.15706,73.50835,72.46376,75.29411,0.0,17.64705,0.0,0.0,31.78294,68.31683,62.83783,3.20028,26.72897,70.44025,42.85714,19.38775,56.11814,56.33802,71.11111,51.21951,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,54.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27272,0.0,0.0
13,40.84507,68.0,0.0,0.0,37.14285,65.69468,48.16753,81.62291,52.17391,54.11764,0.0,26.14379,0.0,0.0,58.13953,64.35643,66.21621,3.39805,29.81308,100.0,57.14285,13.2653,82.27848,40.84507,55.55555,26.82926,100.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
14,52.11267,80.0,0.0,0.0,38.80952,69.81132,84.29319,88.78281,62.31884,91.7647,0.0,20.91503,0.0,0.0,52.71317,81.18811,62.5,4.69255,27.85046,84.59119,60.0,15.30612,71.72995,43.66197,55.55555,48.78048,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0
15,81.69014,70.0,0.0,0.0,37.14285,59.86277,68.06282,84.9642,81.15942,72.94117,0.0,22.22222,0.0,0.0,55.81395,80.19801,58.44594,4.27903,24.39252,69.81132,74.28571,8.67346,59.49367,29.57746,51.11111,60.9756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,0.0
16,54.92957,68.0,0.0,0.0,42.85714,54.8885,63.35078,77.32696,66.66666,68.23529,0.0,26.14379,0.0,0.0,46.51162,81.18811,41.55405,4.02732,22.61682,74.5283,42.85714,14.28571,61.60337,60.56338,44.44444,31.70731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,45.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
17,69.01408,80.0,0.0,0.0,100.0,54.03087,70.15706,75.89498,52.17391,100.0,0.0,20.91503,0.0,0.0,47.28682,71.28712,51.35135,6.47249,29.71962,75.78616,62.85714,7.65306,74.2616,60.56338,26.66666,19.51219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
