,베르사체 오드뚜왈렛_0,베르사체 오드뚜왈렛_1,버버리 오드트왈렛_0,버버리 오드트왈렛_1,구찌 오드뚜왈렛_0,구찌 오드뚜왈렛_1,바이레도 퍼퓸_0,바이레도 퍼퓸_1,겐조 오드뚜왈렛_0,겐조 오드뚜왈렛_1,겐조 퍼퓸_0,겐조 퍼퓸_1,우드윅 체리_0,우드윅 체리_1,허브타임 방향제-레드프룻_0,허브타임 방향제-레드프룻_1,멈칫 솝]_0,멈칫 솝]_1,더블유드레스룸 코튼_0,더블유드레스룸 코튼_1,우드윅 린넨_0,우드윅 린넨_1,샤프란 클린코튼향_0,샤프란 클린코튼향_1,양키캔들 [블랙체리]_0,양키캔들 [블랙체리]_1,양키캔들 바하마브리즈_0,양키캔들 바하마브리즈_1,이니스프리 벚꽃_0,이니스프리 벚꽃_1,양키캔들 라벤더_0,양키캔들 라벤더_1,이니스프리 작약_0,이니스프리 작약_1,샤프란 연꽃_0,샤프란 연꽃_1,러비더비 로제_0,러비더비 로제_1,양키캔들 비치워크_0,양키캔들 비치워크_1,샤프란 그레이프향_0,샤프란 그레이프향_1,양키캔들 쟈스민_0,양키캔들 쟈스민_1,조말론 디퓨저_0,조말론 디퓨저_1,이니스프리 삼나무_0,이니스프리 삼나무_1,이니스프리 한란_0,이니스프리 한란_1,포레오 2_0,포레오 2_1,클라리소닉 미아2_0,클라리소닉 미아2_1,메이크온 인핸서_0,메이크온 인핸서_1,클라리소닉 브러쉬_0,클라리소닉 브러쉬_1,클라리소닉 프로파일_0,클라리소닉 프로파일_1,프라엘 BWJ1_0,프라엘 BWJ1_1,메르비 피부관리기_0,메르비 피부관리기_1,뉴스킨 루미스파_0,뉴스킨 루미스파_1,클라리소닉 헤드_0,클라리소닉 헤드_1,클렌슈어 마사지기_0,클렌슈어 마사지기_1,프라엘 부스터_0,프라엘 부스터_1,필립스 제모기_0,필립스 제모기_1,누페이스 트리니티_0,누페이스 트리니티_1,클렌슈어 클렌징기_0,클렌슈어 클렌징기_1,클라리소닉 아리아_0,클라리소닉 아리아_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0566,24.13793,0.0,0.0,0.0,0.0,59.72222,54.54545,4.02273,71.77419,35.89743,35.71428,0.0,0.0,0.0,0.0,41.66666,24.39024,40.0,41.66666,0.0,0.0,0.0,0.0,66.10169,59.05797,100.0,47.36842,51.51515,20.2952,0.0,0.0,74.19354,54.05405,59.25925,0.0,97.6415,70.09345,0.0,0.0,0.0,0.0,0.0,0.0,37.26027,50.95367,0.0,0.0,0.0,0.0,0.0,0.0,35.9338,23.76357,25.9325,91.1007,0.0,0.0,84.7826,12.03007
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.28301,58.62068,0.0,0.0,0.0,0.0,48.61111,71.42857,0.96195,79.8387,41.02564,42.85714,0.0,0.0,0.0,0.0,52.77777,58.53658,66.25,29.16666,0.0,0.0,0.0,0.0,75.59322,63.58695,23.68421,52.63157,36.36363,22.14022,0.0,0.0,41.93548,72.97297,77.77777,62.5,91.03773,80.37383,0.0,0.0,0.0,0.0,0.0,0.0,37.05479,48.50136,0.0,0.0,0.0,0.0,19.44444,0.0,30.73286,18.09408,87.38898,40.74941,0.0,0.0,60.86956,10.52631
2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,71.42857,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0566,41.37931,0.0,0.0,0.0,0.0,40.27777,71.42857,1.31176,100.0,71.79487,35.71428,0.0,0.0,0.0,0.0,52.77777,34.14634,64.375,48.61111,0.0,0.0,0.0,0.0,82.20338,70.47101,42.10526,57.89473,32.12121,15.86715,0.0,0.0,100.0,24.32432,46.29629,0.0,59.43396,78.03738,0.0,0.0,0.0,80.0,0.0,0.0,35.75342,51.68029,0.0,0.0,0.0,0.0,22.22222,0.0,27.18676,22.19541,34.63587,39.81264,0.0,0.0,58.69565,12.78195
3,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.94339,55.17241,0.0,0.0,0.0,0.0,54.16666,46.75324,0.91823,57.66129,56.41025,32.14285,0.0,0.0,0.0,0.0,44.44444,34.14634,52.5,36.11111,0.0,0.0,0.0,0.0,73.38983,73.91304,28.94736,100.0,33.93939,19.92619,0.0,0.0,67.74193,45.94594,83.33333,0.0,77.35849,71.49532,0.0,0.0,0.0,0.0,0.0,0.0,35.06849,41.68937,0.0,0.0,0.0,0.0,16.66666,0.0,27.42316,22.43667,44.76021,37.70491,0.0,0.0,73.91304,10.52631
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0566,75.86206,0.0,0.0,0.0,0.0,69.44444,48.05194,1.26803,44.35483,30.76923,60.71428,0.0,0.0,0.0,0.0,69.44444,26.82926,62.5,40.27777,0.0,0.0,0.0,0.0,68.13559,71.73913,23.68421,26.31578,29.69696,13.65313,0.0,0.0,35.48387,45.94594,81.48148,100.0,69.33962,73.83177,0.0,0.0,0.0,0.0,0.0,0.0,39.79452,36.3306,0.0,0.0,0.0,0.0,0.0,0.0,31.91489,25.33172,27.35346,40.04683,0.0,0.0,58.69565,18.04511
5,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.15094,34.48275,0.0,0.0,0.0,0.0,59.72222,31.16883,1.61783,33.46774,64.10256,25.0,0.0,0.0,0.0,0.0,36.11111,48.78048,47.5,45.83333,0.0,0.0,0.0,0.0,67.45762,68.84057,23.68421,0.0,43.63636,10.7011,0.0,0.0,32.25806,27.02702,33.33333,0.0,100.0,77.57009,58.33333,0.0,0.0,0.0,0.0,0.0,39.31506,35.42234,0.0,0.0,0.0,0.0,0.0,0.0,26.24113,24.96984,31.2611,31.14754,0.0,0.0,59.7826,15.78947
6,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.94339,41.37931,0.0,0.0,0.0,0.0,72.22222,64.93506,1.70529,33.06451,33.33333,25.0,0.0,0.0,0.0,0.0,27.77777,48.78048,57.5,48.61111,0.0,0.0,0.0,0.0,61.52542,54.8913,26.31578,0.0,67.27272,20.2952,0.0,0.0,58.06451,45.94594,44.44444,0.0,100.0,92.99065,0.0,61.53846,0.0,0.0,0.0,0.0,39.45205,41.50772,100.0,0.0,0.0,0.0,19.44444,15.38461,26.47754,29.79493,26.11012,27.16627,0.0,0.0,47.82608,24.81203
7,0.0,60.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.83018,100.0,0.0,0.0,0.0,0.0,41.66666,63.63636,1.79274,40.32258,51.28205,50.0,0.0,0.0,0.0,0.0,52.77777,58.53658,34.375,26.38888,0.0,0.0,0.0,0.0,61.35593,68.47826,26.31578,31.57894,50.90909,23.24723,0.0,0.0,38.70967,56.75675,48.14814,0.0,84.90566,87.85046,0.0,0.0,0.0,0.0,0.0,0.0,36.9863,46.77565,0.0,0.0,0.0,0.0,0.0,0.0,36.87943,28.10615,23.80106,23.18501,0.0,56.52173,45.65217,18.04511
8,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.03773,65.51724,0.0,0.0,0.0,0.0,47.22222,53.24675,7.25841,19.35483,46.15384,28.57142,0.0,0.0,0.0,0.0,66.66666,39.02439,50.0,41.66666,0.0,0.0,0.0,0.0,62.20338,77.53623,31.57894,36.8421,51.51515,22.87822,0.0,0.0,93.54838,54.05405,46.29629,0.0,83.96226,100.0,83.33333,0.0,0.0,0.0,0.0,0.0,36.23287,40.59945,0.0,0.0,0.0,0.0,13.88888,0.0,34.75177,24.48733,26.8206,25.52693,0.0,0.0,48.91304,26.31578
9,0.0,0.0,0.0,0.0,72.72727,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26415,48.27586,0.0,0.0,0.0,0.0,37.5,55.84415,34.76169,20.96774,41.02564,32.14285,0.0,0.0,0.0,0.0,25.0,34.14634,45.625,18.05555,0.0,0.0,0.0,0.0,79.15254,75.18115,26.31578,31.57894,38.78787,22.87822,0.0,0.0,90.32258,43.24324,62.96296,0.0,83.49056,92.99065,0.0,0.0,0.0,0.0,0.0,0.0,32.05479,37.05722,85.71428,100.0,0.0,0.0,16.66666,0.0,34.98817,22.55729,25.9325,37.70491,0.0,0.0,57.60869,12.78195
