,페리페라 컨실러_0,페리페라 컨실러_1,웨이크메이크 컨실러_0,웨이크메이크 컨실러_1,에스티 로더 컨실러_0,에스티 로더 컨실러_1,홀리카홀리카 [SPF30/PA++]_0,홀리카홀리카 [SPF30/PA++]_1,클리오 컨실러_0,클리오 컨실러_1,더샘 [SPF30/PA++]_0,더샘 [SPF30/PA++]_1,에스쁘아 롱웨어_0,에스쁘아 롱웨어_1,메이크업포에버 커버_0,메이크업포에버 커버_1,이니스프리 커버]_0,이니스프리 커버]_1,로라메르시에 카뮤플라지_0,로라메르시에 카뮤플라지_1,맥 컨실러_0,맥 컨실러_1,더샘 [SPF30+/PA++]_0,더샘 [SPF30+/PA++]_1,바비브라운 컨실러_0,바비브라운 컨실러_1,마루빌츠 크림_0,마루빌츠 크림_1,삐아 컨실러_0,삐아 컨실러_1,에뛰드 [오일볼륨]_0,에뛰드 [오일볼륨]_1,이니스프리 [SPF50+/PA+++]_0,이니스프리 [SPF50+/PA+++]_1,나스 [SPF35/PA+++]_0,나스 [SPF35/PA+++]_1,에뛰드 [하이드라]_0,에뛰드 [하이드라]_1,입생로랑 프라이머_0,입생로랑 프라이머_1,더샘 베이스_0,더샘 베이스_1,겔랑 베이스_0,겔랑 베이스_1,코드글로컬러 프라이머_0,코드글로컬러 프라이머_1,에뛰드 프라이머_0,에뛰드 프라이머_1,미샤 스킨밤_0,미샤 스킨밤_1,입생로랑 글로우_0,입생로랑 글로우_1,비디비치 [SPF30/PA++]_0,비디비치 [SPF30/PA++]_1,라네즈 [SPF22/PA++]_0,라네즈 [SPF22/PA++]_1,조르지오아르마니 프라이머_0,조르지오아르마니 프라이머_1,이니스프리 프라이머_0,이니스프리 프라이머_1,보나메두사 딜리트_0,보나메두사 딜리트_1,맥 [SPF45/PA++++]_0,맥 [SPF45/PA++++]_1,미샤 토핑]_0,미샤 토핑]_1,스틸라 팔레트_0,스틸라 팔레트_1,베네피트 포어페셔널_0,베네피트 포어페셔널_1,피몽쉐 밤_0,피몽쉐 밤_1,미샤 비비_0,미샤 비비_1,토니모리 [SPF46/PA++]_0,토니모리 [SPF46/PA++]_1,미샤 42/PA+++]_0,미샤 42/PA+++]_1,미바 [SPF50+/PA+++]_0,미바 [SPF50+/PA+++]_1
0,5.3719,40.90909,69.36542,88.32684,62.26415,50.0,0.0,0.0,55.06958,74.88372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,50.92024,65.03067,100.0,0.0,0.0,59.75609,56.25,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.57471,58.42696,42.5,58.82352,70.83333,34.35114,14.40677,78.37837,10.81081,16.21621,45.16129,26.29107,0.0,0.0,0.0,0.0,0.0,0.0,40.35087,13.08016,24.92012,39.83739,0.0,0.0,0.0,0.0,0.0,0.0,64.21052,48.0,31.26279,56.65529,0.0,0.0,4.11089,7.64818,0.0,0.0,0.0,0.0,0.0,0.0
1,6.19834,40.49586,91.02844,85.79766,47.16981,70.3125,0.0,0.0,64.81113,77.2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.91666,44.78527,68.71165,95.74468,0.0,0.0,73.78048,50.0,0.0,0.0,49.0909,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35632,57.30337,30.0,41.17647,44.16666,67.17557,21.18644,100.0,18.91891,18.91891,44.8387,25.35211,0.0,0.0,0.0,0.0,0.0,0.0,49.1228,18.98734,24.60063,36.58536,0.0,0.0,0.0,0.0,0.0,0.0,65.26315,40.0,34.33447,45.05119,0.0,0.0,6.88336,8.5086,0.0,0.0,0.0,0.0,0.0,0.0
2,5.78512,48.3471,85.33916,78.01556,56.60377,67.1875,0.0,0.0,49.70178,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,33.74233,75.46012,85.10638,0.0,0.0,47.56097,59.375,0.0,0.0,56.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27586,55.05617,70.0,52.94117,62.5,40.45801,23.72881,100.0,31.53153,18.91891,60.0,25.35211,0.0,41.66666,0.0,0.0,0.0,0.0,54.38596,9.2827,30.35143,56.91056,0.0,0.0,0.0,0.0,0.0,0.0,43.15789,36.0,33.78839,46.07508,0.0,0.0,7.26577,9.75143,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,54.13223,100.0,87.74319,47.16981,87.5,0.0,0.0,59.44333,74.4186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58333,35.58282,79.1411,78.7234,0.0,0.0,67.07317,57.29166,0.0,0.0,70.90909,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95402,100.0,75.0,0.0,81.66666,47.32824,17.37288,42.56756,20.72072,18.01801,100.0,21.59624,0.0,0.0,0.0,0.0,0.0,0.0,50.87719,7.59493,25.87859,68.56368,0.0,0.0,0.0,0.0,0.0,0.0,56.8421,48.0,30.2389,42.32081,0.0,55.55555,8.98661,10.61185,0.0,0.0,0.0,0.0,0.0,0.0
4,5.78512,47.10743,47.92122,65.5642,54.71698,98.4375,0.0,0.0,44.93041,71.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.41666,66.87116,82.20858,75.53191,0.0,0.0,70.12195,42.70833,0.0,0.0,81.81818,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48275,85.39325,60.0,47.05882,69.16666,45.80152,23.30508,45.94594,16.21621,20.72072,29.67741,14.55399,41.66666,0.0,0.0,0.0,0.0,0.0,80.70175,8.43881,28.75399,60.1626,0.0,0.0,0.0,0.0,0.0,0.0,51.57894,44.0,32.15017,36.51877,0.0,0.0,7.07456,10.51625,0.0,0.0,0.0,0.0,0.0,0.0
5,4.54545,33.88429,38.51203,75.87548,33.96226,70.3125,0.0,0.0,39.36381,84.18604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,57.05521,84.04907,60.63829,0.0,0.0,62.19512,57.29166,0.0,0.0,38.18181,32.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,65.16853,52.5,58.82352,80.83333,39.69465,29.66101,32.43243,18.91891,8.1081,23.87096,25.35211,0.0,0.0,0.0,0.0,0.0,0.0,59.64912,7.59493,31.3099,67.20867,0.0,0.0,0.0,0.0,0.0,0.0,40.0,46.66666,38.77133,39.24914,0.0,0.0,6.40535,8.79541,0.0,0.0,0.0,0.0,0.0,0.0
6,7.43801,44.21487,35.22975,75.68093,35.84905,92.1875,0.0,0.0,40.75546,72.09302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.16666,54.60122,74.84662,68.0851,0.0,0.0,59.75609,67.70833,0.0,0.0,60.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12643,67.41573,55.0,58.82352,60.83333,51.90839,20.33898,30.4054,18.91891,15.31531,20.96774,22.06572,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,14.76793,27.79552,74.79674,0.0,0.0,0.0,0.0,0.0,0.0,38.94736,86.66666,34.47098,47.09897,0.0,0.0,8.5086,6.69216,0.0,0.0,0.0,0.0,0.0,0.0
7,7.02479,41.73553,40.70021,71.59533,22.6415,54.6875,0.0,0.0,42.54473,75.34883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.08333,46.62576,82.82208,62.76595,0.0,0.0,90.2439,44.79166,0.0,0.0,29.0909,46.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66666,70.78651,25.0,58.82352,50.0,51.14503,13.55932,58.1081,18.01801,15.31531,29.35483,25.82159,0.0,0.0,0.0,0.0,0.0,0.0,45.61403,20.25316,29.07348,60.9756,0.0,0.0,0.0,0.0,0.0,0.0,49.47368,42.66666,34.74402,47.09897,0.0,0.0,6.59655,9.36902,0.0,0.0,0.0,0.0,0.0,0.0
8,14.04958,45.86776,49.01531,77.62645,30.18867,62.5,0.0,0.0,47.51491,72.55813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,41.10429,88.34355,70.21276,0.0,0.0,68.29268,63.54166,0.0,0.0,45.45454,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7931,57.30337,20.0,58.82352,58.33333,36.64122,59.74576,51.35135,20.72072,13.51351,30.64516,21.59624,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,10.12658,23.00319,65.85365,0.0,0.0,0.0,0.0,0.0,0.0,67.36842,60.0,35.22184,51.53583,0.0,0.0,7.64818,6.69216,0.0,0.0,0.0,0.0,0.0,0.0
9,10.33057,43.80165,33.47921,65.75875,58.49056,60.9375,0.0,0.0,35.18886,69.76744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,39.2638,98.1595,78.7234,0.0,0.0,84.75609,69.79166,0.0,0.0,43.63636,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03448,55.05617,12.5,0.0,48.33333,33.58778,84.32203,62.83783,8.1081,12.61261,21.93548,20.65727,0.0,0.0,0.0,0.0,0.0,0.0,43.85964,11.81434,100.0,97.83197,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,44.0,32.90102,51.53583,0.0,0.0,8.5086,6.50095,0.0,0.0,0.0,0.0,0.0,0.0
