,JMW 드라이기)_0,JMW 드라이기)_1,테팔 HV6071KO_0,테팔 HV6071KO_1,보다나 판고데기_0,보다나 판고데기_1,CKI 미니고데기_0,CKI 미니고데기_1,보다나 32mm_0,보다나 32mm_1,키스뉴욕 고데기)_0,키스뉴욕 고데기)_1,바비리스 고데기_0,바비리스 고데기_1,FHI KOREA 블랙스완_0,FHI KOREA 블랙스완_1,유닉스 아이론_0,유닉스 아이론_1,비달사순 드라이어_0,비달사순 드라이어_1,필립스 HP-8202_0,필립스 HP-8202_1,JMW MS6001A_0,JMW MS6001A_1,필립스 HP8260_0,필립스 HP8260_1,피닉스 PN795_0,피닉스 PN795_1,바이탈뷰티 콜라겐_0,바이탈뷰티 콜라겐_1,DHC 히알루론산_0,DHC 히알루론산_1,하나마이 콜라겐_0,하나마이 콜라겐_1,큐브미 큐브_0,큐브미 큐브_1,베러데이 스킨데이_0,베러데이 스킨데이_1,브이에이피 스킨콜라겐젤리_0,브이에이피 스킨콜라겐젤리_1,애플트리 김약사네 콜라겐C_0,애플트리 김약사네 콜라겐C_1,뉴트리원3500_0,뉴트리원3500_1,오르비스 엑설런트_0,오르비스 엑설런트_1,소버스 히알루론240_0,소버스 히알루론240_1,이너비 아쿠아스틱_0,이너비 아쿠아스틱_1,그린몬스터 이너콜라겐_0,그린몬스터 이너콜라겐_1,경남제약결콜라겐_0,경남제약결콜라겐_1,벨리불리 피치_0,벨리불리 피치_1,뉴트리원파우더S_0,뉴트리원파우더S_1,뉴트리원저분자콜라겐_0,뉴트리원저분자콜라겐_1,종근당건강 아쿠아워너비_0,종근당건강 아쿠아워너비_1,종근당건강 콜라겐_0,종근당건강 콜라겐_1,Doctor's BEST푸마르산_0,Doctor's BEST푸마르산_1,바이탈뷰티 슬림컷_0,바이탈뷰티 슬림컷_1,그린몬스터 녹차카테킨1000+_0,그린몬스터 녹차카테킨1000+_1,칼로바이 오곡맛_0,칼로바이 오곡맛_1,프롬바이오 와일드망고_0,프롬바이오 와일드망고_1,나우푸드 키토산_0,나우푸드 키토산_1,벨리불리 레몬_0,벨리불리 레몬_1,칼로바이 허니바닐라맛_0,칼로바이 허니바닐라맛_1
0,0.0,0.0,0.0,0.0,40.85637,53.57142,28.76712,60.60606,37.77777,79.16666,0.0,0.0,58.83905,64.47368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,31.45161,45.45454,0.0,0.0,0.0,73.07692,29.16666,0.0,43.75,30.86419,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96062,0.0,52.63157,0.0,4.43686,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.33333,33.33333,0.0,0.0,0.0,0.0,6.53061,0.0,59.64912,64.21052,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,45.76271,56.39097,45.89041,38.63636,35.55555,41.66666,0.0,0.0,51.71503,64.47368,0.0,0.0,70.0,55.55555,0.0,0.0,0.0,0.0,52.5,25.80645,0.0,0.0,0.0,0.0,34.61538,20.83333,0.0,43.75,29.2181,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.71653,0.0,0.0,0.0,2.38907,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,60.0,0.0,0.0,0.0,0.0,6.12244,0.0,75.43859,72.63157,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,40.58876,69.54887,23.9726,31.81818,46.66666,20.83333,0.0,0.0,74.40633,72.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.25,25.0,0.0,0.0,0.0,0.0,42.30769,37.5,0.0,21.875,27.16049,19.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.71653,0.0,0.0,0.0,7.84982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,4.89795,0.0,45.61403,95.78947,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,43.26494,79.13533,24.65753,40.15151,37.77777,37.5,0.0,0.0,69.65699,67.76315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.25,33.06451,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,37.5,23.04526,19.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.01574,0.0,47.36842,0.0,1.70648,0.0,0.0,0.0,0.0,0.0,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,33.33333,0.0,0.0,0.0,0.0,3.2653,0.0,45.61403,65.26315,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,37.10972,68.04511,11.64383,46.96969,37.77777,91.66666,0.0,0.0,63.32453,64.14473,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,47.5,31.45161,0.0,0.0,0.0,0.0,46.15384,0.0,62.5,0.0,32.92181,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.59842,0.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,40.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526,48.42105,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,37.37734,69.17293,17.12328,46.21212,53.33333,37.5,0.0,0.0,68.07387,49.67105,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,71.25,38.70967,0.0,0.0,0.0,0.0,19.23076,33.33333,62.5,37.5,24.27983,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.40944,0.0,31.57894,0.0,3.75426,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,20.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,50.87719,51.57894,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,43.44335,62.59398,21.23287,41.66666,46.66666,45.83333,0.0,0.0,63.32453,46.05263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,28.2258,0.0,0.0,0.0,0.0,65.38461,29.16666,0.0,25.0,57.61316,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.22834,0.0,52.63157,0.0,2.04778,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,26.66666,60.0,0.0,0.0,0.0,0.0,2.04081,0.58252,47.36842,80.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,44.06779,48.68421,20.54794,33.33333,80.0,54.16666,0.0,0.0,63.06068,51.97368,0.0,0.0,50.0,77.77777,0.0,0.0,0.0,0.0,36.25,18.54838,0.0,46.15384,0.0,0.0,42.30769,0.0,87.5,18.75,53.08641,73.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62992,0.0,0.0,0.0,1.70648,0.0,0.0,0.0,0.0,0.0,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.66666,86.66666,0.0,0.0,0.0,0.0,8.16326,0.38834,57.89473,100.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,41.74843,65.41353,21.9178,35.60606,37.77777,25.0,0.0,0.0,55.67282,58.88157,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,25.0,23.38709,0.0,0.0,0.0,0.0,53.84615,75.0,0.0,21.875,79.01234,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53543,0.0,31.57894,100.0,3.75426,0.0,100.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,4.48979,0.71197,63.15789,96.8421,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,42.37288,90.6015,30.82191,42.42424,77.77777,50.0,0.0,0.0,64.90765,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,88.70967,0.0,38.46153,0.0,0.0,26.92307,37.5,0.0,25.0,37.86008,11.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81102,0.0,36.8421,10.76923,3.41296,0.0,0.0,0.0,0.0,0.0,27.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,53.33333,0.0,0.0,0.0,0.0,24.89795,100.0,52.63157,60.0,0.0,0.0,0.0,0.0
