,뺄리오복숭아맛_0,뺄리오복숭아맛_1,뉴트리디데이 올뉴_0,뉴트리디데이 올뉴_1,레인보우라이트 구미_0,레인보우라이트 구미_1,바이탈뷰티 미네랄_0,바이탈뷰티 미네랄_1,락토핏 골드_0,락토핏 골드_1,고려은단 1000_0,고려은단 1000_1,고려은단 플러스_0,고려은단 플러스_1,브이에이피 햇살비타민D젤리_0,브이에이피 햇살비타민D젤리_1,레인보우라이트 레몬젤리_0,레인보우라이트 레몬젤리_1,캘리포니아골드뉴트리션 유산균_0,캘리포니아골드뉴트리션 유산균_1,자로우포뮬러스 유산균_0,자로우포뮬러스 유산균_1,바이탈뷰티 멀티팩_0,바이탈뷰티 멀티팩_1,얼라이브 비타민_0,얼라이브 비타민_1,스킨톡 필_0,스킨톡 필_1,정관장에브리타임_0,정관장에브리타임_1,네이처스웨이 비타민_0,네이처스웨이 비타민_1,솔가 800_0,솔가 800_1,바이탈뷰티 프로바이오_0,바이탈뷰티 프로바이오_1,자로우포뮬러스 이피에스_0,자로우포뮬러스 이피에스_1,나우푸드 시스테인_0,나우푸드 시스테인_1,나트롤 10000mcg_0,나트롤 10000mcg_1,나우푸드 실리마린_0,나우푸드 실리마린_1,아토팜 로션_0,아토팜 로션_1,그린핑거 얼굴로션_0,그린핑거 얼굴로션_1,아비노베이비 로션_0,아비노베이비 로션_1,아토팜 크림_0,아토팜 크림_1,그린핑거 로션_0,그린핑거 로션_1,아비노베이비 크림_0,아비노베이비 크림_1,프리메라 크림_0,프리메라 크림_1,베베가닉 크림_0,베베가닉 크림_1,궁중비책 로션_0,궁중비책 로션_1,더 순수 로션_0,더 순수 로션_1,아토앤오투 수딩젤_0,아토앤오투 수딩젤_1,숨37˚ 크림_0,숨37˚ 크림_1,오이보스 페이스크림_0,오이보스 페이스크림_1,그린핑거 [SPF50+/PA+++]_0,그린핑거 [SPF50+/PA+++]_1,닥터아토 [SPF30/PA++]_0,닥터아토 [SPF30/PA++]_1,그린핑거 [SPF45/PA+++]_0,그린핑거 [SPF45/PA+++]_1,아토팜 [SPF43/PA+++]_0,아토팜 [SPF43/PA+++]_1
0,0.0,0.0,0.0,16.12903,0.0,0.0,0.0,0.0,54.88126,30.91684,29.62962,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,50.35971,89.20863,0.0,0.0,0.0,0.0,33.11036,47.4074,0.0,0.0,30.39631,21.17362,0.0,0.0,64.0,60.0,67.16417,42.15686,0.0,0.0,0.0,100.0,0.0,0.0,74.39613,59.79729,70.37037,86.1244,0.0,100.0,18.96838,70.78651,93.15789,32.24489,52.32974,22.6415,16.09195,61.53846,60.75949,63.29113,42.85714,45.3125,54.45544,79.27631,0.0,0.0,66.45569,66.45569,0.0,0.0,78.0,54.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,61.29032,45.16129,0.0,0.0,0.0,0.0,56.72823,26.01279,29.62962,29.62962,0.0,29.41176,0.0,0.0,0.0,0.0,56.83453,63.30935,0.0,0.0,0.0,0.0,26.4214,54.81481,0.0,0.0,36.95852,21.24376,0.0,0.0,64.0,28.0,62.68656,43.13725,0.0,0.0,0.0,0.0,0.0,0.0,80.91787,77.7027,63.88888,92.58373,0.0,86.66666,26.28951,38.20224,100.0,37.95918,44.44444,21.80293,31.03448,0.0,55.6962,77.21518,36.73469,28.125,66.66666,63.81578,0.0,0.0,61.3924,61.3924,0.0,0.0,86.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,70.96774,32.25806,0.0,0.0,0.0,0.0,66.49076,23.66737,44.44444,18.51851,47.05882,0.0,0.0,0.0,0.0,0.0,60.43165,60.43165,0.0,0.0,0.0,0.0,33.44481,54.07407,0.0,0.0,38.14746,21.17362,0.0,0.0,20.0,44.0,64.1791,40.19607,0.0,0.0,0.0,0.0,0.0,0.0,82.60869,100.0,81.79012,79.66507,41.17647,43.33333,19.13477,57.30337,81.57894,35.5102,47.31182,20.12578,29.88505,0.0,74.68354,56.96202,21.7687,67.1875,98.0198,78.28947,0.0,0.0,60.12658,60.12658,0.0,0.0,100.0,97.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,70.96774,19.35483,0.0,0.0,0.0,0.0,43.79947,41.57782,18.51851,25.92592,35.29411,0.0,0.0,0.0,0.0,0.0,64.7482,64.02877,0.0,0.0,0.0,0.0,33.44481,47.4074,0.0,0.0,35.40092,21.29831,0.0,0.0,56.0,20.0,61.19402,37.2549,0.0,0.0,0.0,0.0,0.0,0.0,73.67149,75.33783,59.87654,62.91866,52.94117,26.66666,17.47088,75.28089,68.42105,35.91836,59.67741,40.25157,22.9885,0.0,53.16455,41.77215,28.57142,42.1875,49.83498,75.98684,0.0,0.0,62.65822,62.65822,0.0,0.0,72.0,65.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,51.6129,29.03225,0.0,0.0,0.0,0.0,45.38258,36.67377,18.51851,18.51851,29.41176,0.0,0.0,0.0,0.0,0.0,71.94244,62.58992,0.0,0.0,0.0,0.0,39.46488,54.07407,0.0,0.0,35.95391,18.20448,0.0,0.0,44.0,20.0,49.25373,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,75.84541,78.71621,58.95061,59.0909,29.41176,43.33333,16.13976,66.29213,45.26315,39.59183,53.76344,33.12368,21.83908,0.0,44.30379,58.22784,25.85034,23.4375,65.34653,47.36842,0.0,0.0,50.63291,50.63291,0.0,0.0,50.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,48.38709,51.6129,0.0,0.0,0.0,0.0,49.07651,32.83582,0.0,55.55555,0.0,35.29411,0.0,0.0,0.0,0.0,69.78417,71.94244,0.0,0.0,0.0,0.0,34.7826,61.48148,0.0,0.0,31.02304,21.65679,0.0,0.0,36.0,0.0,62.68656,22.54901,0.0,0.0,0.0,0.0,0.0,0.0,59.17874,97.63513,54.01234,67.70334,0.0,63.33333,14.80865,72.47191,61.05263,20.40816,84.4086,33.54297,19.54022,0.0,50.63291,18.98734,39.45578,31.25,54.78547,82.23684,0.0,0.0,47.46835,47.46835,0.0,0.0,50.0,51.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,48.38709,32.25806,0.0,0.0,0.0,0.0,83.3773,37.73987,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,56.1151,69.06474,0.0,0.0,0.0,0.0,38.79598,97.77777,0.0,0.0,29.0046,25.33509,0.0,0.0,80.0,20.0,74.62686,38.23529,0.0,0.0,0.0,0.0,0.0,0.0,45.65217,88.51351,50.0,71.5311,0.0,70.0,15.4742,52.80898,94.73684,33.06122,59.31899,25.9958,21.83908,0.0,67.0886,31.64556,36.73469,29.6875,54.45544,91.11842,0.0,0.0,75.94936,75.94936,0.0,0.0,48.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,54.8387,22.58064,0.0,0.0,0.0,0.0,68.33773,31.76972,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,46.04316,95.68345,0.0,0.0,0.0,0.0,41.47157,55.55555,0.0,0.0,28.58986,25.29613,0.0,0.0,24.0,20.0,47.76119,37.2549,0.0,0.0,0.0,0.0,0.0,0.0,62.80193,54.39189,71.29629,75.83732,29.41176,46.66666,24.45923,71.91011,95.26315,31.42857,50.71684,29.55974,47.12643,53.84615,63.29113,43.03797,40.13605,32.8125,63.0363,100.0,0.0,0.0,71.51898,71.51898,0.0,0.0,64.0,45.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,29.03225,35.48387,0.0,0.0,0.0,0.0,84.96042,25.79957,51.85185,81.48148,0.0,41.17647,0.0,0.0,0.0,0.0,50.35971,94.96402,0.0,0.0,0.0,0.0,32.44147,60.0,0.0,0.0,35.06912,28.42892,0.0,0.0,52.0,0.0,46.26865,60.78431,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,63.17567,69.1358,79.66507,0.0,50.0,27.45424,45.50561,100.0,33.87755,41.03942,20.33542,40.22988,0.0,81.01265,37.97468,23.80952,34.375,74.25742,85.19736,0.0,0.0,63.29113,63.29113,0.0,0.0,32.0,48.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,19.35483,41.93548,0.0,0.0,0.0,0.0,72.82321,34.96801,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.27338,76.25899,0.0,0.0,0.0,0.0,27.0903,97.77777,0.0,0.0,37.19815,31.90461,0.0,0.0,32.0,40.0,70.14925,59.80392,0.0,0.0,0.0,0.0,0.0,0.0,64.00966,89.52702,65.43209,72.48803,0.0,16.66666,25.29118,38.76404,84.21052,33.06122,38.70967,20.54507,28.73563,0.0,59.49367,45.56962,20.40816,40.625,64.35643,62.82894,0.0,0.0,68.35443,68.35443,0.0,0.0,62.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
