,토니모리 [SPF35/PA+++]_0,토니모리 [SPF35/PA+++]_1,그린핑거 베이비로션_0,그린핑거 베이비로션_1,존슨즈베이비 로션_0,존슨즈베이비 로션_1,존슨즈베이비 크림_0,존슨즈베이비 크림_1,존슨즈베이비 파우더_0,존슨즈베이비 파우더_1,존슨즈베이비 오일_0,존슨즈베이비 오일_1,얼스마마 밤_0,얼스마마 밤_1,그린핑거 울트라크림_0,그린핑거 울트라크림_1,보타니컬테라피 로션_0,보타니컬테라피 로션_1,아토팜 오일_0,아토팜 오일_1,프리메라 로션_0,프리메라 로션_1,존슨즈베이비 밤_0,존슨즈베이비 밤_1,존슨즈베이비 워시_0,존슨즈베이비 워시_1,아토팜 워시_0,아토팜 워시_1,얼스마마 바디워시앤삼푸_0,얼스마마 바디워시앤삼푸_1,궁중비책 샴푸&바스_0,궁중비책 샴푸&바스_1,그린핑거 베이비워시_0,그린핑거 베이비워시_1,존슨즈베이비 바스_0,존슨즈베이비 바스_1,캘리포니아베이비 바디워시_0,캘리포니아베이비 바디워시_1,무스텔라 젤_0,무스텔라 젤_1,누크 밀크_0,누크 밀크_1,누들앤부 NB워시_0,누들앤부 NB워시_1,그린핑거 워시_0,그린핑거 워시_1,그린핑거 샴푸_0,그린핑거 샴푸_1,아토앤오투 샴푸_0,아토앤오투 샴푸_1,세타필 샴푸_0,세타필 샴푸_1,아비노베이비 워시&샴푸_0,아비노베이비 워시&샴푸_1,호호에미 클렌저_0,호호에미 클렌저_1,유리아쥬 라방떼_0,유리아쥬 라방떼_1,비욘드 워시_0,비욘드 워시_1,보타니컬테라피 워시_0,보타니컬테라피 워시_1,비레디 [SPF50+/PA++++]_0,비레디 [SPF50+/PA++++]_1,이니스프리 에센스_0,이니스프리 에센스_1,보타닉힐 보 아이디얼 포 맨 올인원_0,보타닉힐 보 아이디얼 포 맨 올인원_1,엠솔릭 올인원_0,엠솔릭 올인원_1,이니스프리 스킨_0,이니스프리 스킨_1,우르오스 스킨밀크_0,우르오스 스킨밀크_1,비오템옴므 토너_0,비오템옴므 토너_1,불독 모이스처라이저_0,불독 모이스처라이저_1,아이오페 올인원_0,아이오페 올인원_1
0,0.0,0.0,100.0,41.66666,90.61302,44.81707,62.12121,0.0,16.59192,8.80663,65.60747,36.63366,0.0,0.0,51.08695,34.66666,44.09448,55.55555,42.55319,25.0,41.66666,44.44444,0.0,0.0,0.0,38.46153,14.47368,11.81434,0.0,0.0,0.0,0.0,12.96296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.61111,21.15384,46.32768,24.44444,50.0,54.54545,38.46153,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.89887,31.81818,0.0,0.0,36.875,25.86206,0.0,0.0,90.90909,80.8,45.58823,41.83266,80.7377,40.15037,0.0,57.14285,0.0,0.0,79.375,100.0
1,0.0,0.0,75.75757,20.83333,75.09578,45.12195,74.24242,0.0,25.1121,7.84939,55.51401,43.56435,0.0,0.0,69.56521,27.33333,41.73228,46.29629,57.4468,16.66666,25.0,59.25925,26.31578,0.0,50.0,57.6923,17.10526,12.65822,0.0,0.0,0.0,0.0,24.07407,0.0,0.0,0.0,15.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,19.23076,42.37288,37.03703,58.33333,33.33333,0.0,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.84269,36.36363,0.0,0.0,60.0,27.15517,0.0,0.0,0.0,98.4,55.5147,43.42629,79.09836,38.04511,45.45454,85.71428,0.0,0.0,66.875,81.66666
2,0.0,0.0,84.84848,15.27777,68.00766,39.32926,50.0,0.0,20.17937,6.25398,53.64485,43.76237,0.0,0.0,42.3913,20.66666,29.92125,87.03703,55.31914,27.77777,30.0,68.51851,0.0,0.0,31.25,57.6923,15.78947,11.81434,0.0,0.0,0.0,0.0,0.0,47.36842,11.6279,0.0,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.61111,33.65384,40.67796,56.29629,58.33333,42.42424,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52808,31.81818,0.0,0.0,63.75,26.50862,0.0,0.0,0.0,81.59999,50.0,58.96414,75.40983,35.48872,0.0,0.0,0.0,0.0,71.875,83.88888
3,0.0,0.0,77.77777,29.16666,68.00766,43.44512,33.33333,0.0,13.45291,6.06253,61.86915,35.24752,0.0,0.0,36.95652,31.33333,22.83464,61.11111,51.06382,33.33333,48.33333,46.29629,36.8421,0.0,0.0,38.46153,15.35087,10.12658,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,88.88888,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,25.96153,37.28813,40.0,66.66666,60.60606,0.0,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786,0.0,0.0,0.0,56.875,22.84482,0.0,100.0,0.0,67.2,50.36764,52.98804,93.03278,36.69172,0.0,64.28571,0.0,0.0,92.5,73.33333
4,0.0,0.0,89.89898,9.72222,54.21455,45.12195,42.42424,0.0,26.90582,7.9132,52.52336,78.41584,0.0,0.0,36.95652,54.66666,29.13385,79.62962,27.65957,27.77777,40.0,53.7037,0.0,0.0,56.25,73.07692,8.33333,12.65822,0.0,0.0,0.0,0.0,20.37037,31.57894,13.95348,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,16.34615,24.29378,31.11111,50.0,57.57575,38.46153,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.57303,22.72727,0.0,0.0,43.75,22.62931,0.0,0.0,0.0,68.0,47.42647,53.78486,81.55737,33.0827,0.0,0.0,0.0,0.0,58.75,66.11111
5,0.0,0.0,37.37373,38.88888,60.72796,57.31707,45.45454,19.23076,27.35426,8.93426,58.50467,79.40594,0.0,0.0,41.30434,54.66666,26.77165,48.14814,10.63829,55.55555,35.0,40.74074,0.0,0.0,0.0,23.07692,7.89473,18.5654,0.0,0.0,0.0,0.0,29.62962,0.0,0.0,100.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.05555,25.0,30.50847,26.66666,0.0,30.30303,0.0,78.26086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.83146,0.0,0.0,0.0,44.375,25.0,0.0,0.0,72.72727,67.2,36.7647,60.55776,72.13114,28.7218,0.0,0.0,0.0,0.0,71.25,54.44444
6,0.0,0.0,22.22222,13.88888,68.58237,55.18292,51.51515,0.0,19.73094,8.74282,59.62616,59.40594,0.0,0.0,35.86956,46.0,49.60629,64.81481,25.53191,47.22222,38.33333,48.14814,0.0,0.0,0.0,50.0,7.45614,11.81434,0.0,0.0,0.0,0.0,12.96296,52.63157,0.0,100.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11111,17.30769,61.58192,27.4074,0.0,27.27272,0.0,56.52173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.96629,27.27272,0.0,0.0,38.125,28.01724,0.0,0.0,45.45454,76.0,34.55882,45.41832,75.81967,55.03759,45.45454,78.57142,0.0,0.0,49.375,47.77777
7,0.0,0.0,21.21212,20.83333,69.7318,51.06707,31.81818,23.07692,19.73094,8.679,71.40186,56.83168,0.0,0.0,39.13043,61.33333,36.22047,66.66666,42.55319,34.25925,43.33333,24.07407,42.10526,0.0,31.25,100.0,19.73684,14.34599,0.0,0.0,0.0,0.0,20.37037,26.31578,0.0,0.0,36.36363,62.5,0.0,0.0,0.0,0.0,0.0,0.0,43.05555,24.03846,40.11299,30.37037,41.66666,36.36363,100.0,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.96629,0.0,0.0,0.0,58.125,28.23275,0.0,0.0,100.0,81.59999,51.10294,33.86454,63.52459,69.47368,0.0,0.0,0.0,0.0,90.0,90.55555
8,0.0,0.0,17.17171,18.05555,73.94636,51.9817,54.54545,23.07692,28.69955,7.78557,63.17757,67.12871,0.0,0.0,46.73913,48.66666,44.09448,48.14814,61.70212,37.96296,60.0,46.29629,0.0,0.0,0.0,34.61538,15.78947,12.23628,0.0,0.0,0.0,0.0,12.96296,0.0,0.0,0.0,15.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,11.53846,38.41807,21.48148,41.66666,42.42424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34831,0.0,0.0,0.0,43.125,26.50862,0.0,0.0,54.54545,86.4,53.67647,50.1992,67.21311,60.90225,0.0,64.28571,0.0,0.0,100.0,77.77777
9,0.0,0.0,19.19191,16.66666,70.30651,45.12195,34.84848,23.07692,23.31838,10.2744,62.4299,60.19801,0.0,0.0,39.13043,36.66666,37.00787,100.0,40.42553,49.07407,51.66666,38.88888,36.8421,0.0,0.0,46.15384,14.91228,16.45569,0.0,0.0,0.0,0.0,20.37037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44444,27.88461,35.02824,52.59259,0.0,45.45454,76.92307,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.78651,0.0,0.0,0.0,54.375,20.90517,0.0,0.0,54.54545,84.8,47.79411,48.60557,95.90163,61.05263,0.0,50.0,0.0,0.0,51.875,72.22222
