,XTM [SPF50+/PA++++]_0,XTM [SPF50+/PA++++]_1,랩시리즈 [SPF35/PA+++]_0,랩시리즈 [SPF35/PA+++]_1,BRTC 썬비비_0,BRTC 썬비비_1,블랙몬스터 밤_0,블랙몬스터 밤_1,보타닉힐 보 아이디얼 포 맨 쿠션_0,보타닉힐 보 아이디얼 포 맨 쿠션_1,그라펜 립_0,그라펜 립_1,아이오페 [SPF50+/PA+++]_0,아이오페 [SPF50+/PA+++]_1,닥터영 [SPF35/PA++]_0,닥터영 [SPF35/PA++]_1,블랙몬스터 [SPF50+/PA+++]_0,블랙몬스터 [SPF50+/PA+++]_1,낫츠 포맨_0,낫츠 포맨_1,더페이스샵 [SPF50+/PA+++]_0,더페이스샵 [SPF50+/PA+++]_1,챕스틱 [SPF15]_0,챕스틱 [SPF15]_1,니베아 맨 케어_0,니베아 맨 케어_1,디티알티 레디_0,디티알티 레디_1,닥터자르트 비비크림_0,닥터자르트 비비크림_1,엠솔릭 바디_0,엠솔릭 바디_1,헬로스킨 젤_0,헬로스킨 젤_1,엠솔릭 클렌저_0,엠솔릭 클렌저_1,랩시리즈 워시_0,랩시리즈 워시_1,이니스프리 폼_0,이니스프리 폼_1,불독 워시_0,불독 워시_1,비오템옴므 클렌저_0,비오템옴므 클렌저_1,스웨거 파이터_0,스웨거 파이터_1,시세이도 스크럽_0,시세이도 스크럽_1,아이소이 클렌징폼_0,아이소이 클렌징폼_1,프리메라 클렌저_0,프리메라 클렌저_1,빌리프 폼_0,빌리프 폼_1,비오템옴므 클렌져_0,비오템옴므 클렌져_1,홍콩시티팝 클렌저_0,홍콩시티팝 클렌저_1,키엘 멀티-젤_0,키엘 멀티-젤_1,시세이도 클렌저_0,시세이도 클렌저_1,보닌 폼_0,보닌 폼_1,니베아 맨 폼_0,니베아 맨 폼_1,불독 젤_0,불독 젤_1,비오템옴므 쉐이브_0,비오템옴므 쉐이브_1,니베아 맨 젤_0,니베아 맨 젤_1,러쉬 프린스_0,러쉬 프린스_1,젠틀프로젝트 오일_0,젠틀프로젝트 오일_1,니베아 맨 로션_0,니베아 맨 로션_1,질레트 크림_0,질레트 크림_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.39495,97.18309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.61224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2689,94.36619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.28571,32.65306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,21.27659,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529,95.77464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,60.0,18.36734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,0.0,42.85714,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.90756,81.97183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,45.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.10924,82.8169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42857,22.44897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,14.89361,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.70588,90.14084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,20.40816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,19.14893,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.18487,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.42857,46.93877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,12.76595,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529,86.19718,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.42857,32.65306,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.19327,61.69014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,62.85714,22.44897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.19327,65.91549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,31.42857,22.44897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,12.76595,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529,77.74647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,25.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,40.0,22.44897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,14.89361,0.0,0.0,0.0,0.0,0.0,0.0
