,알페신 C1_0,알페신 C1_1,XTM 헤어라이너_0,XTM 헤어라이너_1,미쟝센 스프레이9_0,미쟝센 스프레이9_1,스웨거 포마드_0,스웨거 포마드_1,우르오스 스칼프샴푸_0,우르오스 스칼프샴푸_1,제이슨 샴푸_0,제이슨 샴푸_1,미쟝센 파워스윙왁스맥스하드M9_0,미쟝센 파워스윙왁스맥스하드M9_1,미쟝센 워터스프레이_0,미쟝센 워터스프레이_1,바바리안H 왁스_0,바바리안H 왁스_1,수아베시토포마드 포마드_0,수아베시토포마드 포마드_1,블랙몬스터 펌_0,블랙몬스터 펌_1,러쉬 칼라마주_0,러쉬 칼라마주_1,스웨거 샴푸_0,스웨거 샴푸_1,스웨거 (크리미&소프트)_0,스웨거 (크리미&소프트)_1,그라펜 포마드_0,그라펜 포마드_1,로레알 프로페셔널 파리 왁스_0,로레알 프로페셔널 파리 왁스_1,엠솔릭 워시_0,엠솔릭 워시_1,우르오스 스킨워시_0,우르오스 스킨워시_1,XTM 퍼퓸건_0,XTM 퍼퓸건_1,젠틀코드 [젠틀맨]_0,젠틀코드 [젠틀맨]_1,미쟝센 샤워젤_0,미쟝센 샤워젤_1,더바디샵 워시_0,더바디샵 워시_1,브로앤팁스 바디워시_0,브로앤팁스 바디워시_1,스킨푸드 포맨_0,스킨푸드 포맨_1,카밀 맨_0,카밀 맨_1,스웨거 룰브레이커_0,스웨거 룰브레이커_1,스웨거 샷콜러_0,스웨거 샷콜러_1,니베아 맨 킥_0,니베아 맨 킥_1,보드맨 바디스프레이_0,보드맨 바디스프레이_1,포맨트 허그_0,포맨트 허그_1,니베아 스프레이_0,니베아 스프레이_1,포블랑시 남성청결제_0,포블랑시 남성청결제_1,칼밋 바디워시_0,칼밋 바디워시_1,디티알티 샷_0,디티알티 샷_1,샤넬 젤_0,샤넬 젤_1,페리페라 팔레트_0,페리페라 팔레트_1,아임미미 큐브_0,아임미미 큐브_1,16BRAND 매거진_0,16BRAND 매거진_1,라카 팔레트_0,라카 팔레트_1,NYX 내추럴룩키트_0,NYX 내추럴룩키트_1
0,57.94392,36.7647,0.0,0.0,0.0,0.0,62.5,75.0,0.0,0.0,53.04878,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,62.96296,43.75,0.0,0.0,0.0,0.0,44.30379,12.71929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5934,62.88659,85.71428,21.875,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,67.34693,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38297,8.82978,94.11764,0.0,0.0,0.0,50.84745,12.82051,0.0,0.0
1,56.07476,30.88235,0.0,0.0,0.0,0.0,50.0,70.0,0.0,0.0,41.46341,97.53086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,33.33333,46.875,0.0,0.0,0.0,0.0,45.99156,15.26315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8901,75.25773,100.0,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.06122,72.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31914,7.4468,100.0,0.0,0.0,0.0,40.67796,25.64102,0.0,0.0
2,84.11214,29.41176,0.0,0.0,0.0,0.0,55.0,45.0,50.0,0.0,46.34146,70.37037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,51.85185,43.75,0.0,0.0,0.0,0.0,49.36708,13.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7912,56.70103,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.55102,50.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17021,6.06382,35.29411,0.0,0.0,0.0,57.62711,11.53846,0.0,0.0
3,66.35514,36.7647,0.0,0.0,0.0,0.0,32.5,45.0,0.0,0.0,45.12195,56.79012,0.0,0.0,36.8421,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62962,56.25,0.0,0.0,0.0,0.0,52.74261,14.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.39175,0.0,40.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.10204,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31914,5.95744,35.29411,9.67741,0.0,0.0,38.98305,15.38461,0.0,0.0
4,86.91588,29.41176,0.0,0.0,0.0,0.0,50.0,60.0,0.0,0.0,51.21951,55.55555,0.0,0.0,36.8421,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92592,59.375,0.0,0.0,0.0,0.0,34.17721,12.54385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923,100.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,70.0,0.0,0.0,88.88888,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34042,6.70212,52.94117,8.06451,0.0,0.0,47.45762,14.10256,0.0,0.0
5,83.17757,36.7647,0.0,0.0,0.0,0.0,42.5,60.0,0.0,0.0,55.4878,81.48148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,22.22222,21.875,0.0,0.0,0.0,0.0,35.86497,10.70175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8901,70.10309,0.0,15.625,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,65.30612,81.99999,0.0,0.0,55.55555,90.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68085,6.59574,0.0,9.67741,0.0,0.0,50.84745,17.94871,0.0,0.0
6,95.3271,30.88235,0.0,0.0,0.0,0.0,52.5,50.0,0.0,0.0,39.02439,70.37037,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,18.75,0.0,0.0,0.0,0.0,78.05907,11.05263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08791,43.29896,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.22448,46.0,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63829,6.59574,0.0,11.29032,0.0,0.0,40.67796,8.97435,100.0,0.0
7,85.04672,36.7647,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,61.58536,95.06172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,33.33333,21.875,0.0,0.0,0.0,0.0,81.01265,12.89473,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7.6923,36.08247,0.0,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.55102,34.0,0.0,71.42857,0.0,100.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.10638,5.85106,29.41176,32.25806,0.0,0.0,66.10169,20.51282,0.0,0.0
8,78.50467,27.94117,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,29.26829,66.66666,0.0,0.0,26.31578,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,46.875,0.0,0.0,0.0,0.0,91.56118,13.07017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4945,34.02061,0.0,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,54.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06382,5.63829,52.94117,69.35483,0.0,0.0,91.52542,28.20512,0.0,0.0
9,75.70093,38.23529,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,34.14634,56.79012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,40.625,0.0,0.0,0.0,0.0,94.09282,14.03508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5934,44.32989,0.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.10204,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38297,8.61702,0.0,82.25806,0.0,0.0,96.61016,29.48717,0.0,0.0
10,47.66355,52.94117,0.0,0.0,0.0,0.0,12.5,60.0,70.0,0.0,37.19512,39.50617,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,62.96296,40.625,0.0,0.0,0.0,0.0,79.32489,13.07017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923,49.48453,71.42857,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.46938,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97872,5.63829,0.0,100.0,0.0,0.0,81.35593,15.38461,0.0,0.0
11,84.11214,33.82352,0.0,0.0,0.0,0.0,32.5,30.0,60.0,0.0,45.7317,39.50617,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,59.25925,28.125,0.0,0.0,0.0,0.0,97.89029,12.54385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5934,6.18556,0.0,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.46938,48.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19148,5.74468,35.29411,67.74193,0.0,0.0,69.49152,21.79487,0.0,0.0
12,62.61682,36.7647,0.0,0.0,0.0,0.0,17.5,75.0,0.0,0.0,42.68292,77.77777,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.37037,31.25,0.0,0.0,0.0,0.0,71.30801,12.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08791,6.18556,0.0,53.125,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,55.10204,50.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82978,8.51063,64.70588,56.45161,0.0,0.0,83.05084,20.51282,0.0,0.0
13,81.30841,55.88235,0.0,0.0,0.0,0.0,40.0,95.0,0.0,0.0,48.78048,56.79012,0.0,0.0,31.57894,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,44.44444,50.0,0.0,0.0,0.0,0.0,81.01265,10.08771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98901,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.93877,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4468,5.95744,0.0,51.6129,0.0,0.0,77.9661,23.07692,0.0,0.0
