,미샤 비즈_0,미샤 비즈_1,컨시크 팔레트_0,컨시크 팔레트_1
0,0.0,0.0,3.719,52.94117
1,0.0,0.0,5.78512,76.47058
2,0.0,0.0,6.61157,35.29411
3,0.0,0.0,4.95867,0.0
4,0.0,0.0,5.78512,35.29411
5,0.0,0.0,8.67768,29.41176
6,0.0,0.0,4.13223,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,2.06611,0.0
9,0.0,0.0,5.3719,0.0
10,0.0,0.0,8.26446,0.0
11,0.0,0.0,19.00826,0.0
12,0.0,0.0,11.57024,0.0
13,0.0,0.0,14.04958,0.0
14,0.0,0.0,17.35537,0.0
15,0.0,0.0,16.94214,0.0
16,0.0,0.0,10.33057,35.29411
17,0.0,0.0,2.47933,0.0
18,0.0,0.0,3.30578,41.17647
19,0.0,0.0,63.22314,0.0
20,0.0,0.0,45.04132,29.41176
21,0.0,0.0,19.00826,0.0
22,0.0,0.0,21.4876,0.0
23,0.0,0.0,13.63636,35.29411
24,0.0,0.0,19.00826,35.29411
25,0.0,0.0,14.87603,52.94117
26,0.0,0.0,11.57024,47.05882
27,0.0,0.0,10.7438,29.41176
28,0.0,0.0,9.0909,47.05882
29,0.0,0.0,11.15702,29.41176
30,0.0,0.0,50.41322,52.94117
31,0.0,0.0,100.0,29.41176
32,0.0,0.0,63.22314,29.41176
33,0.0,0.0,24.38016,35.29411
34,0.0,0.0,28.92561,0.0
35,0.0,0.0,14.04958,0.0
36,0.0,0.0,16.1157,0.0
37,0.0,0.0,12.39669,52.94117
38,0.0,0.0,8.67768,35.29411
39,0.0,0.0,5.78512,0.0
40,0.0,0.0,6.61157,94.11764
41,0.0,0.0,11.98347,100.0
42,0.0,0.0,19.00826,29.41176
43,0.0,0.0,11.98347,29.41176
44,0.0,0.0,22.31404,0.0
45,0.0,0.0,18.18181,0.0
46,0.0,0.0,11.57024,0.0
47,0.0,0.0,8.67768,0.0
48,0.0,0.0,6.61157,0.0
49,0.0,0.0,8.67768,0.0
50,0.0,0.0,13.63636,0.0
51,0.0,0.0,9.50413,0.0
52,0.0,0.0,9.0909,0.0
53,0.0,0.0,13.63636,0.0
54,0.0,0.0,7.85123,0.0
55,0.0,0.0,3.30578,0.0
56,0.0,0.0,6.61157,0.0
57,0.0,0.0,7.85123,0.0
58,0.0,0.0,2.89256,0.0
59,0.0,0.0,4.13223,0.0
60,0.0,0.0,7.85123,35.29411
61,35544,1346,36481,2824
