,스킨79 [SPF50+/PA+++]_0,스킨79 [SPF50+/PA+++]_1,닥터자르트 [SPF35/PA++]_0,닥터자르트 [SPF35/PA++]_1,스킨79 [SPF30/PA++]_0,스킨79 [SPF30/PA++]_1,Dr.G [SPF30/PA++]_0,Dr.G [SPF30/PA++]_1,부르조아 CC크림_0,부르조아 CC크림_1,바닐라코 [SPF30/PA++]_0,바닐라코 [SPF30/PA++]_1,설화수 CC유액_0,설화수 CC유액_1,숨37˚ [SPF28/PA++]_0,숨37˚ [SPF28/PA++]_1,숨37˚ [SPF50+/PA+++]_0,숨37˚ [SPF50+/PA+++]_1,에스케이투 [SPF50/PA+++]_0,에스케이투 [SPF50/PA+++]_1,프리메라 [SPF50+/PA+++]_0,프리메라 [SPF50+/PA+++]_1,VT COSMETICS [SPF22/PA++]_0,VT COSMETICS [SPF22/PA++]_1,아가타 코스메틱 팩트_0,아가타 코스메틱 팩트_1,홀리카홀리카 [SPF32/PA++]_0,홀리카홀리카 [SPF32/PA++]_1,VT COSMETICS [SPF50/PA+++]_0,VT COSMETICS [SPF50/PA+++]_1,시크릿키 CC크림_0,시크릿키 CC크림_1,라비다 [SPF30/PA++]_0,라비다 [SPF30/PA++]_1,시크릿키 쿠션_0,시크릿키 쿠션_1,포렌코즈 [SPF50+/PA+++]_0,포렌코즈 [SPF50+/PA+++]_1,지방시 뷰티 [SPF15/PA+]_0,지방시 뷰티 [SPF15/PA+]_1,반트 36.5 [SPF40/PA+++]_0,반트 36.5 [SPF40/PA+++]_1,싸이닉 커버쿠션CC_0,싸이닉 커버쿠션CC_1,토니모리 [SPF30/PA++]_0,토니모리 [SPF30/PA++]_1,어반디케이 스프레이_0,어반디케이 스프레이_1,헤라 픽서_0,헤라 픽서_1,쏘내추럴 픽서_0,쏘내추럴 픽서_1,투쿨포스쿨 픽서_0,투쿨포스쿨 픽서_1,에스티 로더 미스트_0,에스티 로더 미스트_1,미샤 픽서_0,미샤 픽서_1,입생로랑 스프레이_0,입생로랑 스프레이_1,메이크업포에버 픽스_0,메이크업포에버 픽스_1,에스쁘아 미스트_0,에스쁘아 미스트_1,메리케이 스프레이_0,메리케이 스프레이_1,자트인사이트 픽서_0,자트인사이트 픽서_1,어반디케이 올나이터_0,어반디케이 올나이터_1,네이처리퍼블릭 픽서_0,네이처리퍼블릭 픽서_1,아리따움 픽서_0,아리따움 픽서_1,바비브라운 칼라_0,바비브라운 칼라_1,투쿨포스쿨 로즈_0,투쿨포스쿨 로즈_1,랑콤 루즈_0,랑콤 루즈_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,33.98058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.54054,65.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.72413,41.30434,91.89189,91.89189,80.0,16.66666,49.0566,35.71428,18.18181,24.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,91.83673,59.55882,72.0,40.87591,0.0,0.0,38.24884,10.21775,0.0,0.0,0.0,0.0,100.0,25.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,33.98058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.43243,44.18604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,71.73913,69.36936,69.36936,73.84615,29.48717,69.81132,57.14285,16.36363,56.0,0.0,0.0,55.55555,71.42857,41.17647,60.0,0.0,0.0,79.59183,79.77941,64.0,29.19708,0.0,0.0,30.87557,7.53768,0.0,0.0,0.0,0.0,73.07692,18.75
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51724,49.51456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.67567,48.8372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,65.51724,67.3913,72.97297,72.97297,63.07692,44.87179,64.15094,35.71428,14.54545,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,97.05882,60.0,29.927,0.0,0.0,49.30875,9.38023,0.0,0.0,0.0,0.0,73.07692,17.1875
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,65.04854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,24.32432,27.90697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5862,69.56521,44.14414,44.14414,63.07692,41.02564,90.56603,35.71428,20.0,36.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,83.16326,85.66176,38.0,22.62773,0.0,0.0,48.84792,10.05025,0.0,0.0,0.0,0.0,38.46153,21.875
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31034,66.99029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.43243,58.13953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,41.37931,73.91304,50.45045,50.45045,67.6923,39.74358,62.26415,35.71428,16.36363,36.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,82.14285,95.58823,50.0,27.00729,0.0,0.0,97.23502,7.37018,0.0,0.0,0.0,0.0,42.30769,26.5625
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.86206,66.01941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24324,53.48837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,47.82608,49.54954,49.54954,58.46153,24.35897,47.16981,42.85714,20.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.7551,87.5,52.0,22.62773,71.42857,0.0,86.17511,8.71021,0.0,0.0,62.5,0.0,50.0,26.5625
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,56.31067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.94594,69.76744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,80.43478,100.0,100.0,69.23076,24.35897,67.92452,42.85714,16.36363,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.73469,72.79411,38.0,22.62773,0.0,0.0,68.66359,8.54271,0.0,0.0,0.0,0.0,34.61538,31.25
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.13793,51.45631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02702,60.46511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,54.34782,54.95495,54.95495,64.61538,29.48717,73.5849,57.14285,12.72727,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.95918,66.91176,66.0,33.57664,0.0,0.0,64.97695,9.04522,0.0,0.0,0.0,0.0,30.76923,34.375
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75862,51.45631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.72972,18.60465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,69.56521,54.05405,54.05405,58.46153,23.07692,41.50943,35.71428,18.18181,44.0,0.0,0.0,0.0,71.42857,0.0,50.0,0.0,0.0,55.10204,88.23529,92.0,35.03649,71.42857,0.0,42.39631,12.3953,0.0,0.0,0.0,0.0,38.46153,26.5625
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.03448,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.72972,83.72093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,58.62068,39.13043,45.94594,45.94594,63.07692,34.61538,47.16981,0.0,21.81818,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,75.36764,76.0,35.03649,0.0,0.0,52.99539,10.38525,0.0,0.0,62.5,0.0,30.76923,26.5625
