,샤넬 알뤼르_0,샤넬 알뤼르_1,메이크업포에버 매트_0,메이크업포에버 매트_1,레어카인드 립스틱_0,레어카인드 립스틱_1,샤넬 코코_0,샤넬 코코_1,샤넬 플래쉬_0,샤넬 플래쉬_1,삐아 틴트5_0,삐아 틴트5_1,삐아 4_0,삐아 4_1,삐아 틴트3_0,삐아 틴트3_1,블랙루즈 벨벳틴트3_0,블랙루즈 벨벳틴트3_1,헤라 글로스_0,헤라 글로스_1,블랙루즈 벨벳틴트2_0,블랙루즈 벨벳틴트2_1,블랙루즈 벨벳틴트_0,블랙루즈 벨벳틴트_1,입생로랑 크림_0,입생로랑 크림_1,어퓨 틴트_0,어퓨 틴트_1,KVD 비건뷰티 립스틱_0,KVD 비건뷰티 립스틱_1,롬앤 틴트_0,롬앤 틴트_1,랑콤 라커_0,랑콤 라커_1,맥 오일_0,맥 오일_1,비바이바닐라 틴트_0,비바이바닐라 틴트_1,삐아 틴트1_0,삐아 틴트1_1,디어달리아 무스_0,디어달리아 무스_1,로레알 파리 시그니처_0,로레알 파리 시그니처_1,홀리카홀리카 에어_0,홀리카홀리카 에어_1,컬러그램톡 틴트_0,컬러그램톡 틴트_1,웨이크메이크 틴트_0,웨이크메이크 틴트_1,나스 펜슬_0,나스 펜슬_1,메이크업포에버 블러쉬_0,메이크업포에버 블러쉬_1,더페이스샵 립라이너_0,더페이스샵 립라이너_1,맥 펜슬_0,맥 펜슬_1,마몽드 인텐스_0,마몽드 인텐스_1,마몽드 글라이드_0,마몽드 글라이드_1,웨이크메이크 초크_0,웨이크메이크 초크_1,더페이스샵 스틱_0,더페이스샵 스틱_1,레브론 매트밤_0,레브론 매트밤_1,에뛰드 AD_0,에뛰드 AD_1,어퓨 [매트]_0,어퓨 [매트]_1,미샤 매트_0,미샤 매트_1,마몽드 라이트_0,마몽드 라이트_1,부르조아 써니스틱_0,부르조아 써니스틱_1,미샤 멜티_0,미샤 멜티_1
0,52.10084,58.97435,0.0,33.33333,0.0,0.0,57.6923,74.24242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.57142,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,41.93548,32.25806,10.05385,34.33476,0.0,0.0,31.04359,32.93718,31.50684,0.0,39.28571,25.0,4.67289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45161,8.57142,32.92682,79.41176,29.62962,65.85365,0.0,0.0,25.0,61.7647,54.16666,35.0,100.0,25.92592,9.58904,0.0,0.0,0.0,30.43478,11.90476,44.44444,40.0,0.0,0.0,0.0,0.0,0.0,19.62616,0.0,0.0,74.4186,0.0,0.0,0.0
1,53.78151,53.20512,0.0,0.0,0.0,0.0,60.76923,66.66666,0.0,21.42857,0.0,0.0,0.0,0.0,0.0,77.14285,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,16.07142,54.8387,29.03225,11.31059,30.4721,0.0,0.0,36.85601,30.89983,80.82191,0.0,28.57142,13.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69208,11.90476,32.92682,80.2139,48.14814,43.90243,0.0,0.0,25.0,35.29411,41.66666,60.0,58.26086,0.0,9.58904,0.0,0.0,0.0,43.47826,16.66666,31.11111,44.44444,0.0,0.0,0.0,0.0,0.0,14.01869,9.61538,17.30769,55.81395,0.0,0.0,0.0
2,58.82352,43.58974,0.0,0.0,0.0,1.02489,66.92307,78.0303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.57142,0.0,0.0,20.77922,22.22222,0.0,0.0,18.75,0.0,32.25806,61.29032,8.43806,40.77253,0.0,0.0,49.66974,40.9168,100.0,0.0,25.0,11.53846,5.60747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74486,49.5238,40.09146,63.36898,74.07407,39.02439,0.0,0.0,30.0,35.29411,0.0,40.0,67.82608,29.62962,9.58904,0.0,0.0,0.0,100.0,0.0,31.11111,31.11111,0.0,0.0,0.0,0.0,50.0,17.757,0.0,0.0,37.2093,0.0,0.0,0.0
3,50.42016,35.25641,71.42857,0.0,0.0,0.0,65.38461,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,32.46753,5.0505,0.0,0.0,18.75,12.5,32.25806,41.93548,12.74685,69.95708,0.0,0.0,49.80184,41.08658,47.9452,0.0,57.14285,9.61538,5.60747,15.21739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79765,66.19047,28.65853,64.17112,55.55555,36.58536,0.0,0.0,35.0,41.17647,41.66666,30.0,58.26086,0.0,0.0,0.0,0.0,0.0,60.86956,19.04761,20.0,31.11111,0.0,0.0,0.0,0.0,0.0,12.14953,0.0,11.53846,23.25581,0.0,0.0,0.0
4,60.5042,41.02564,85.71428,0.0,0.0,0.0,53.07692,84.84848,14.70588,17.85714,0.0,77.77777,0.0,0.0,0.0,40.0,0.0,0.0,74.02597,0.0,0.0,0.0,0.0,14.28571,29.03225,58.06451,9.33572,59.22746,0.0,0.0,47.95244,40.23769,43.83561,0.0,17.85714,17.30769,6.54205,26.08695,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,5.8651,53.80952,39.32926,62.83422,48.14814,95.12195,0.0,0.0,25.0,41.17647,41.66666,30.0,60.86956,0.0,10.9589,0.0,0.0,62.5,73.91304,16.66666,28.88888,20.0,0.0,0.0,0.0,0.0,80.0,19.62616,11.53846,0.0,27.90697,50.0,0.0,0.0
5,51.2605,100.0,0.0,0.0,0.0,0.73206,61.53846,77.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28571,0.0,0.0,57.14285,12.12121,69.23076,0.0,0.0,25.0,61.29032,32.25806,11.31059,56.65236,0.0,0.0,42.27212,37.86078,36.9863,0.0,21.42857,25.0,7.47663,10.86956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45161,59.5238,33.53658,68.98395,77.77777,51.21951,0.0,0.0,30.0,50.0,25.0,45.0,42.60869,59.25925,15.06849,0.0,0.0,0.0,82.60869,0.0,28.88888,28.88888,0.0,0.0,0.0,0.0,0.0,13.08411,21.15384,0.0,100.0,70.0,0.0,0.0
6,47.05882,41.02564,0.0,0.0,0.0,0.0,61.53846,69.69696,14.70588,0.0,0.0,0.0,0.0,0.0,0.0,17.14285,0.0,0.0,45.45454,31.31313,53.84615,0.0,0.0,23.21428,41.93548,54.8387,8.79712,42.91845,0.0,0.0,40.55482,35.65365,34.24657,0.0,17.85714,0.0,7.47663,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10557,67.14285,32.46951,59.35828,29.62962,58.53658,0.0,0.0,0.0,29.41176,58.33333,85.0,25.21739,37.03703,15.06849,0.0,0.0,75.0,56.52173,0.0,100.0,28.88888,0.0,0.0,0.0,0.0,50.0,100.0,17.30769,0.0,72.09302,0.0,0.0,0.0
7,50.42016,50.64102,0.0,0.0,0.0,0.0,67.6923,64.39393,0.0,21.42857,0.0,55.55555,0.0,0.0,0.0,25.71428,0.0,0.0,38.96103,6.0606,69.23076,0.0,15.625,28.57142,58.06451,41.93548,10.23339,30.4721,0.0,0.0,35.0066,41.08658,31.50684,0.0,78.57142,11.53846,12.14953,28.26086,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,2.34604,100.0,28.81097,60.96256,44.44444,26.82926,0.0,0.0,35.0,23.52941,62.5,0.0,15.65217,29.62962,28.76712,0.0,0.0,0.0,43.47826,19.04761,42.22222,100.0,0.0,0.0,0.0,0.0,0.0,71.02803,13.46153,0.0,55.81395,0.0,0.0,0.0
8,51.2605,39.10256,0.0,0.0,0.0,0.0,59.23076,64.39393,14.70588,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,32.46753,18.18181,38.46153,0.0,18.75,21.42857,32.25806,35.48387,16.69658,31.33047,0.0,0.0,34.3461,31.57894,34.24657,0.0,53.57142,0.0,5.60747,19.56521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51906,76.66666,34.29878,55.08021,40.74074,56.09756,0.0,0.0,0.0,29.41176,41.66666,60.0,17.3913,0.0,15.06849,0.0,0.0,0.0,56.52173,14.28571,28.88888,42.22222,0.0,0.0,0.0,0.0,0.0,62.61682,17.30769,0.0,74.4186,0.0,0.0,0.0
9,56.30252,51.28205,71.42857,0.0,0.0,0.0,61.53846,59.84848,20.58823,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,35.06493,10.10101,100.0,0.0,28.125,57.14285,54.8387,64.51612,14.90125,36.0515,0.0,0.0,30.77939,41.59592,47.9452,8.21917,39.28571,0.0,0.0,26.08695,0.0,0.0,0.0,0.0,64.28571,0.0,0.0,0.0,6.15835,66.66666,27.43902,46.52406,81.48148,60.9756,62.5,0.0,0.0,0.0,41.66666,0.0,21.73913,0.0,16.43835,0.0,0.0,0.0,34.7826,0.0,53.33333,28.88888,0.0,0.0,0.0,0.0,0.0,33.64485,0.0,0.0,67.44186,0.0,0.0,0.0
