,디올 맥시마이저_0,디올 맥시마이저_1,에센스 립글로스_0,에센스 립글로스_1,맥 글라스_0,맥 글라스_1,랑콤 크림_0,랑콤 크림_1,홀리카홀리카 부스터_0,홀리카홀리카 부스터_1,에스티 로더 글로스_0,에스티 로더 글로스_1,스틸라 글로스_0,스틸라 글로스_1,디올 글로스_0,디올 글로스_1,어퓨 플럼퍼_0,어퓨 플럼퍼_1,에뛰드 시럽_0,에뛰드 시럽_1,미샤 글로스_0,미샤 글로스_1,듀왑 시리즈_0,듀왑 시리즈_1,맥 립_0,맥 립_1,캔메이크 모이스트인_0,캔메이크 모이스트인_1,엘르걸 스틱_0,엘르걸 스틱_1,프레쉬 테라피_0,프레쉬 테라피_1,입생로랑 퍼펙터_0,입생로랑 퍼펙터_1,에스쁘아 프라이머_0,에스쁘아 프라이머_1,칼리 프라이머_0,칼리 프라이머_1,마이달리아 립밤앤컨실러_0,마이달리아 립밤앤컨실러_1,바닐라코 서비스_0,바닐라코 서비스_1,네이처리퍼블릭 컨실러_0,네이처리퍼블릭 컨실러_1,포니이펙트 프라이머_0,포니이펙트 프라이머_1,더샘 컨실러_0,더샘 컨실러_1,토니모리 컨실러_0,토니모리 컨실러_1,라네즈 립프라이머_0,라네즈 립프라이머_1,겔랑 리프트_0,겔랑 리프트_1,에뛰드 컨실러]_0,에뛰드 컨실러]_1,이니스프리 컨실러_0,이니스프리 컨실러_1,케이트 [SPF13/PA+]_0,케이트 [SPF13/PA+]_1,케이트 [SPF10/PA+]_0,케이트 [SPF10/PA+]_1,세컨디자인 수딩_0,세컨디자인 수딩_1,카멕스 클래식_0,카멕스 클래식_1,이니스프리 마스크_0,이니스프리 마스크_1,시드물 에센스_0,시드물 에센스_1,멘소래담 립젤_0,멘소래담 립젤_1,유리아쥬 레브르_0,유리아쥬 레브르_1,아리따움 마스크_0,아리따움 마스크_1,라네즈 마스크_0,라네즈 마스크_1,헤라 밤_0,헤라 밤_1
0,20.64965,55.62913,0.0,0.0,0.0,0.0,38.77551,31.39534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.73584,32.54716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46031,59.57446,0.0,0.0,0.0,0.0,0.0,0.0,68.96551,46.07843,0.0,0.0,56.69456,62.31155,45.23809,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.40525,12.26725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,73.33333,37.93103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,16.0
1,24.12993,72.84768,0.0,36.8421,0.0,0.0,51.0204,45.34883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.47169,34.90566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9365,59.57446,0.0,0.0,0.0,0.0,0.0,0.0,62.06896,36.2745,0.0,0.0,72.17573,57.28643,38.09523,70.40816,0.0,0.0,0.0,0.0,0.0,0.0,9.30996,10.84337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.58064,53.33333,44.82758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,0.0
2,24.94199,90.72847,0.0,0.0,0.0,0.0,54.08163,40.69767,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84905,33.96226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69841,46.80851,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,28.43137,0.0,0.0,71.33891,62.98157,57.14285,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77656,9.74808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,38.70967,73.33333,75.86206,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64.28571,0.0
3,18.90951,58.94039,0.0,0.0,0.0,0.0,72.44897,43.02325,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,39.62264,47.16981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25396,27.65957,0.0,0.0,0.0,0.0,0.0,0.0,72.41379,43.13725,0.0,0.0,55.64853,54.94137,28.57142,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,6.79079,5.58598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,38.70967,60.0,37.93103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
4,21.46171,57.61589,0.0,0.0,0.0,0.0,52.04081,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43396,22.6415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25396,51.06382,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,39.21568,0.0,0.0,70.71129,54.27135,19.04761,17.34693,0.0,0.0,0.0,0.0,0.0,0.0,6.35268,10.40525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,10.0,16.12903,80.0,51.72413,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,50.0,22.0
5,19.60556,58.94039,0.0,0.0,0.0,0.0,62.24489,46.51162,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.50943,50.94339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46031,40.42553,0.0,0.0,0.0,0.0,0.0,0.0,27.5862,53.92156,0.0,0.0,98.53556,50.25125,47.61904,12.24489,0.0,0.0,0.0,0.0,0.0,0.0,6.13362,9.30996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,20.0,22.58064,80.0,34.48275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,14.0
6,52.78422,45.03311,0.0,0.0,0.0,0.0,61.22448,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.56603,26.41509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46031,48.93617,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,52.94117,0.0,0.0,99.79079,58.29145,38.09523,17.34693,0.0,0.0,0.0,0.0,0.0,0.0,6.35268,7.77656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32.25806,53.33333,27.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,18.0
7,53.48027,43.7086,0.0,0.0,0.0,0.0,66.32653,51.16279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62264,26.41509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,21.27659,0.0,0.0,0.0,0.0,0.0,0.0,48.27586,45.09803,0.0,0.0,86.19246,69.34673,45.23809,15.30612,0.0,0.0,0.0,0.0,0.0,0.0,7.33844,6.79079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.35483,46.66666,37.93103,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,64.28571,26.0
8,46.40371,61.5894,0.0,0.0,0.0,0.0,47.95918,46.51162,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.37735,29.24528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.68253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,69.60784,0.0,0.0,96.0251,65.49413,23.80952,20.40816,0.0,0.0,0.0,0.0,0.0,0.0,6.24315,6.35268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.35483,0.0,31.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,12.0
9,52.90023,77.48344,0.0,0.0,0.0,0.0,56.12244,52.32558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.98113,28.77358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.84126,44.68085,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,65.68627,0.0,0.0,90.37656,100.0,30.95238,18.36734,0.0,0.0,0.0,0.0,0.0,0.0,8.87185,6.13362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,80.0,27.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,0.0
