,카멕스 단지형_0,카멕스 단지형_1,웨이크메이크 라이너_0,웨이크메이크 라이너_1,비오엠 아이라이너_0,비오엠 아이라이너_1,키스미 킵_0,키스미 킵_1,에스쁘아 펜슬_0,에스쁘아 펜슬_1,클리오 라이너_0,클리오 라이너_1,베르사유의장미아이라이너_0,베르사유의장미아이라이너_1,프로에잇청담 라이너_0,프로에잇청담 라이너_1,키스미 아이라이너_0,키스미 아이라이너_1,베르사유의장미브라운_0,베르사유의장미브라운_1,삐아 슬림_0,삐아 슬림_1,케이트 펜슬_0,케이트 펜슬_1,릴리바이레드 아이라이너_0,릴리바이레드 아이라이너_1,클리오 XP_0,클리오 XP_1,페어리드롭스 워터프루프_0,페어리드롭스 워터프루프_1,머지 아이라이너_0,머지 아이라이너_1,더샘 아이라이너_0,더샘 아이라이너_1,fmgt 라이너_0,fmgt 라이너_1,KVD 비건뷰티 라이너_0,KVD 비건뷰티 라이너_1,돌리윙크 아이라이너Ⅱ_0,돌리윙크 아이라이너Ⅱ_1,손앤박 라이너_0,손앤박 라이너_1,슈에무라 포뮬라_0,슈에무라 포뮬라_1,아나스타샤 베버리힐즈 위즈_0,아나스타샤 베버리힐즈 위즈_1,아이돈띵쏘 펜슬_0,아이돈띵쏘 펜슬_1,아리따움 케익_0,아리따움 케익_1,베네피트 펜슬_0,베네피트 펜슬_1,라네즈 쿠션-카라_0,라네즈 쿠션-카라_1,클리오 펜슬_0,클리오 펜슬_1,키스미 아이브로우_0,키스미 아이브로우_1,아나스타샤 베버리힐즈 포마드_0,아나스타샤 베버리힐즈 포마드_1,아이오페 펜슬_0,아이오페 펜슬_1,바비브라운 펜슬_0,바비브라운 펜슬_1,미샤 브로우_0,미샤 브로우_1,우드버리 아이브로우_0,우드버리 아이브로우_1,바비브라운 쉐이퍼_0,바비브라운 쉐이퍼_1,맥 세트_0,맥 세트_1,키스미 노즈섀도우_0,키스미 노즈섀도우_1,스킨푸드 파우더케익_0,스킨푸드 파우더케익_1,베네피트 브로우_0,베네피트 브로우_1,클리오 하드펜슬_0,클리오 하드펜슬_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,100.0,73.68421,100.0,50.0,100.0,0.0,0.0,84.2197,53.09352,0.0,0.0,66.66666,0.0,0.0,0.0,100.0,19.64649,0.0,58.82352,0.0,0.0,100.0,43.56164,55.62913,53.68098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,45.0,37.03703,69.96996,83.06878,0.0,0.0,0.0,0.0,100.0,34.375,0.0,45.45454,58.87096,88.18181,72.72727,0.0,45.0,18.42105,69.23076,0.0,0.0,0.0,13.31444,28.63247,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,50.0,84.21052,0.0,33.33333,59.77011,0.0,0.0,76.63469,60.28776,0.0,0.0,77.77777,0.0,0.0,0.0,91.01449,19.03467,19.23076,41.17647,0.0,0.0,85.00563,42.73972,68.21192,32.82208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,18.51851,69.96996,68.25396,0.0,0.0,0.0,0.0,53.33333,28.125,43.75,45.45454,56.85483,70.0,54.54545,0.0,50.0,34.21052,0.0,0.0,0.0,0.0,4.81586,31.19658,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,27.77777,84.21052,47.61904,83.33333,37.35632,0.0,0.0,76.46033,59.85611,0.0,0.0,88.88888,0.0,0.0,0.0,90.86956,22.02583,19.23076,47.05882,0.0,0.0,92.10822,44.38356,65.56291,28.42535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,81.48148,74.17417,87.30158,0.0,0.0,0.0,0.0,23.33333,50.0,0.0,54.54545,55.24193,77.27272,0.0,0.0,85.0,21.05263,0.0,0.0,0.0,71.42857,4.24929,25.64102,0.0,0.0
3,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,34.61538,44.44444,26.31578,0.0,37.5,31.03448,0.0,0.0,70.79337,48.92086,0.0,0.0,0.0,0.0,0.0,50.0,85.65217,22.29775,23.07692,58.82352,0.0,0.0,83.87824,39.58904,66.88741,30.26584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,70.0,55.55555,58.25825,100.0,0.0,0.0,0.0,0.0,50.0,43.75,100.0,63.63636,62.5,87.27272,0.0,62.5,85.0,73.68421,0.0,0.0,0.0,0.0,6.79886,30.76923,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,27.77777,52.63157,47.61904,54.16666,29.88505,0.0,0.0,82.99912,52.23021,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,18.21889,0.0,100.0,0.0,0.0,73.61894,34.52054,40.39735,28.1186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,70.37037,71.47147,71.42857,0.0,0.0,0.0,0.0,60.0,43.75,0.0,45.45454,54.43548,80.0,0.0,0.0,100.0,28.94736,0.0,0.0,38.46153,71.42857,6.79886,34.61538,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,61.90476,58.33333,28.73563,0.0,0.0,81.95292,51.94244,0.0,0.0,0.0,0.0,0.0,0.0,71.5942,23.04554,0.0,100.0,0.0,0.0,77.56482,27.67123,43.7086,14.72392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,55.0,37.03703,64.26426,67.72486,0.0,0.0,0.0,0.0,73.33333,25.0,0.0,63.63636,40.7258,86.36363,0.0,0.0,80.0,34.21052,0.0,0.0,38.46153,0.0,3.39943,29.91452,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,47.61904,62.5,15.51724,0.0,0.0,72.53705,61.8705,0.0,0.0,0.0,0.0,0.0,0.0,81.5942,21.61794,26.92307,41.17647,0.0,0.0,67.86922,23.42465,72.18543,21.98364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,18.51851,100.0,74.07407,0.0,0.0,0.0,0.0,46.66666,68.75,43.75,45.45454,41.93548,83.63636,54.54545,0.0,85.0,31.57894,0.0,0.0,0.0,0.0,21.24645,33.33333,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,57.89473,23.80952,50.0,22.9885,0.0,0.0,79.25021,57.84172,0.0,0.0,55.55555,0.0,0.0,0.0,70.28985,17.40312,0.0,58.82352,0.0,0.0,61.89402,26.02739,54.96688,32.51533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,70.0,0.0,87.98798,73.54497,0.0,0.0,0.0,0.0,46.66666,62.5,0.0,0.0,83.46774,52.72727,0.0,0.0,60.0,68.42105,0.0,0.0,0.0,0.0,16.1473,40.59829,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,44.44444,63.15789,42.85714,33.33333,24.13793,0.0,0.0,84.04533,66.6187,0.0,0.0,55.55555,83.33333,0.0,0.0,56.23188,18.21889,38.46153,70.58823,0.0,0.0,68.43291,27.12328,49.00662,27.70961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,55.0,51.85185,86.48648,80.42328,0.0,0.0,0.0,0.0,60.0,40.625,43.75,54.54545,77.82258,80.0,100.0,0.0,95.0,47.36842,0.0,0.0,0.0,0.0,13.31444,44.01709,0.0,0.0
9,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.21052,23.80952,37.5,24.13793,0.0,0.0,79.68613,61.72661,0.0,0.0,0.0,0.0,0.0,0.0,69.71014,19.85044,53.84615,82.35294,0.0,0.0,69.89853,29.45205,41.0596,22.39263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,60.0,37.03703,81.68168,88.88888,0.0,0.0,0.0,0.0,50.0,21.875,31.25,72.72727,76.20967,72.72727,0.0,62.5,100.0,50.0,0.0,0.0,46.15384,0.0,10.48158,37.17948,0.0,0.0
