,홀리카홀리카 쉬머_0,홀리카홀리카 쉬머_1,타르트 팔레트_0,타르트 팔레트_1,에뛰드 카페]_0,에뛰드 카페]_1,롬앤 아이즈_0,롬앤 아이즈_1,스틸라 아이섀도우_0,스틸라 아이섀도우_1,홀리카홀리카 나이트]_0,홀리카홀리카 나이트]_1,클리오 섀도우_0,클리오 섀도우_1,미샤 [매트]_0,미샤 [매트]_1,클리오 컬링]_0,클리오 컬링]_1,VDL 픽서_0,VDL 픽서_1,홀리카홀리카 컬링]_0,홀리카홀리카 컬링]_1,더샘 컬링]_0,더샘 컬링]_1,어퓨 모어댄텐미리]_0,어퓨 모어댄텐미리]_1,헤라 마스카라_0,헤라 마스카라_1,시드물 세럼_0,시드물 세럼_1,페리페라 컬링]_0,페리페라 컬링]_1,에뛰드 카라_0,에뛰드 카라_1,라네즈 마스카라_0,라네즈 마스카라_1,키스미 EX_0,키스미 EX_1,키스미 워터프루프_0,키스미 워터프루프_1,비바이바닐라 블랙_0,비바이바닐라 블랙_1,미샤 볼륨]_0,미샤 볼륨]_1,네이처리퍼블릭 마스카라_0,네이처리퍼블릭 마스카라_1,키스미 브라운_0,키스미 브라운_1,미샤 슬림_0,미샤 슬림_1,나스 베이스_0,나스 베이스_1,맥 베이스_0,맥 베이스_1,미샤 프라이머_0,미샤 프라이머_1,VDL 아이즈_0,VDL 아이즈_1,어반디케이 포션_0,어반디케이 포션_1,코드글로컬러 아이프라이머_0,코드글로컬러 아이프라이머_1,어퓨 프라이머_0,어퓨 프라이머_1,바비브라운 베이스_0,바비브라운 베이스_1,스킨푸드 프라이머_0,스킨푸드 프라이머_1,투페이스드 인슈어런스_0,투페이스드 인슈어런스_1,더샘 프라이머_0,더샘 프라이머_1,아임미미 헌터_0,아임미미 헌터_1,NYX 프라이머_0,NYX 프라이머_1,정샘물 프라이머_0,정샘물 프라이머_1,맥퀸뉴욕 립앤아이_0,맥퀸뉴욕 립앤아이_1
0,50.0,0.0,53.61216,100.0,0.0,0.0,0.0,0.0,51.2,4.48275,0.0,0.0,59.69387,65.98984,0.0,0.0,0.0,0.0,20.83333,61.11111,0.0,0.0,0.0,0.0,0.0,0.0,73.07692,29.48717,0.0,62.5,0.0,0.0,0.0,0.0,48.88888,34.04255,0.0,0.0,31.57894,11.01321,0.0,0.0,0.0,0.0,30.64516,67.3913,0.0,0.0,0.0,0.0,53.84615,84.61538,28.40909,50.0,18.4466,8.65384,0.0,0.0,0.0,0.0,0.0,0.0,44.53781,54.8387,53.24675,63.82978,63.33333,12.30158,0.0,0.0,17.64705,19.35483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.0,0.0,60.45627,68.23104,0.0,0.0,0.0,0.0,60.0,11.03448,0.0,0.0,60.20408,67.00507,0.0,0.0,0.0,0.0,20.83333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,48.71794,50.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,29.78723,0.0,0.0,26.31578,8.81057,0.0,0.0,0.0,0.0,27.41935,34.7826,0.0,50.0,0.0,0.0,53.84615,38.46153,31.25,56.12244,9.70873,7.6923,0.0,0.0,0.0,0.0,62.5,0.0,37.81512,67.74193,79.22077,53.19148,30.0,84.92063,0.0,0.0,10.58823,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,79.8479,67.14801,0.0,0.0,0.0,0.0,91.2,9.31034,0.0,0.0,73.97959,65.98984,0.0,0.0,0.0,0.0,18.05555,100.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38461,55.1282,0.0,62.5,0.0,0.0,0.0,0.0,53.33333,44.68085,0.0,0.0,0.0,8.37004,0.0,0.0,0.0,0.0,62.90322,100.0,0.0,0.0,0.0,0.0,61.53846,76.92307,27.8409,56.12244,23.7864,11.85897,0.0,0.0,0.0,0.0,0.0,100.0,64.70588,100.0,100.0,63.82978,23.33333,88.88888,0.0,0.0,22.35294,90.32258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,98.85931,71.48014,0.0,0.0,0.0,0.0,54.4,7.24137,0.0,0.0,64.28571,77.15736,0.0,0.0,0.0,0.0,18.05555,50.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,41.02564,0.0,0.0,0.0,0.0,0.0,0.0,37.77777,19.14893,0.0,0.0,0.0,17.18061,0.0,0.0,0.0,0.0,46.77419,67.3913,0.0,41.66666,0.0,0.0,57.6923,38.46153,39.77272,68.36734,100.0,14.74358,0.0,0.0,0.0,0.0,75.0,0.0,75.63025,48.38709,50.64935,36.17021,73.33333,90.87301,0.0,0.0,100.0,58.06451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,75.0,0.0,73.76425,62.81588,0.0,0.0,0.0,0.0,62.4,6.55172,0.0,0.0,64.28571,71.5736,0.0,0.0,0.0,0.0,38.88888,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,48.71794,33.33333,63.63636,0.0,0.0,0.0,0.0,0.0,35.55555,36.17021,0.0,0.0,0.0,6.1674,0.0,0.0,0.0,0.0,51.6129,58.69565,58.33333,75.0,0.0,0.0,53.84615,61.53846,36.93181,66.32653,70.38834,10.25641,0.0,0.0,0.0,0.0,75.0,0.0,64.70588,58.06451,59.74025,36.17021,90.0,66.26984,0.0,0.0,55.29411,61.29032,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
5,100.0,0.0,68.82129,74.72924,0.0,0.0,0.0,0.0,48.0,6.55172,0.0,0.0,65.81632,54.82233,0.0,0.0,0.0,0.0,13.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,37.17948,0.0,62.5,0.0,0.0,0.0,0.0,35.55555,46.80851,0.0,0.0,0.0,11.89427,0.0,0.0,0.0,0.0,29.03225,67.3913,50.0,0.0,0.0,0.0,42.30769,76.92307,26.70454,67.34693,79.12621,24.67948,0.0,0.0,0.0,0.0,75.0,0.0,70.58823,54.8387,48.05194,70.21276,46.66666,17.46031,0.0,0.0,44.70588,22.58064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,75.0,0.0,69.58174,43.32129,0.0,0.0,0.0,0.0,38.4,13.7931,0.0,0.0,89.28571,61.92893,0.0,0.0,0.0,0.0,37.5,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,43.58974,43.58974,100.0,62.5,0.0,0.0,0.0,100.0,40.0,53.19148,0.0,0.0,31.57894,11.45374,0.0,0.0,0.0,0.0,24.19354,50.0,0.0,0.0,0.0,0.0,73.07692,46.15384,26.70454,72.44897,89.32038,26.60256,0.0,0.0,0.0,0.0,0.0,0.0,89.07563,74.19354,67.53246,44.68085,70.0,12.69841,0.0,0.0,69.41176,35.48387,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,100.0,53.79061,0.0,0.0,0.0,0.0,60.0,7.93103,0.0,0.0,52.55102,79.69543,0.0,0.0,0.0,0.0,27.77777,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,64.10256,25.64102,0.0,0.0,0.0,0.0,0.0,87.5,53.33333,38.29787,0.0,0.0,73.68421,10.57268,0.0,0.0,0.0,0.0,53.2258,30.43478,0.0,41.66666,0.0,0.0,100.0,46.15384,34.0909,52.04081,31.55339,49.03846,0.0,0.0,0.0,0.0,0.0,0.0,61.34453,35.48387,42.85714,91.48936,80.0,22.61904,0.0,0.0,28.23529,45.16129,0.0,0.0,0.0,0.0,72.72727,0.0,0.0,0.0
8,50.0,38.88888,87.83269,75.45126,0.0,0.0,0.0,0.0,65.6,15.86206,0.0,0.0,90.30612,96.95431,0.0,0.0,0.0,0.0,29.16666,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,35.89743,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,40.42553,0.0,0.0,73.68421,8.37004,0.0,0.0,0.0,0.0,20.96774,63.04347,0.0,41.66666,0.0,0.0,65.38461,61.53846,40.3409,60.20408,16.99029,41.02564,0.0,0.0,0.0,0.0,0.0,0.0,68.90756,70.96774,70.12987,61.70212,76.66666,72.61904,0.0,0.0,18.82352,25.80645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50.0,0.0,85.93155,93.5018,0.0,0.0,0.0,0.0,60.8,7.93103,0.0,0.0,63.77551,81.21827,0.0,0.0,0.0,0.0,16.66666,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,43.58974,39.74358,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,44.68085,0.0,0.0,0.0,11.01321,0.0,0.0,0.0,0.0,22.58064,50.0,41.66666,41.66666,0.0,0.0,42.30769,92.30769,46.02272,45.91836,25.24271,31.73076,0.0,0.0,0.0,0.0,0.0,0.0,63.86554,67.74193,89.61038,57.4468,43.33333,76.98412,0.0,0.0,30.58823,35.48387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
