,맥 하이라이터_0,맥 하이라이터_1,더밤 루머나이저_0,더밤 루머나이저_1,홀리카홀리카 하이라이터_0,홀리카홀리카 하이라이터_1,샤넬 에쌍씨엘_0,샤넬 에쌍씨엘_1,베네피트 하이라이터_0,베네피트 하이라이터_1,잇츠스킨 하이라이터_0,잇츠스킨 하이라이터_1,어퓨 하이라이터_0,어퓨 하이라이터_1,부르조아 파우더_0,부르조아 파우더_1,베네피트 글로우_0,베네피트 글로우_1,캔메이크 하이라이터_0,캔메이크 하이라이터_1,레어카인드 [쉐딩]_0,레어카인드 [쉐딩]_1,미샤 컨투어_0,미샤 컨투어_1,투쿨포스쿨 로댕_0,투쿨포스쿨 로댕_1,삐아 [쉐딩]_0,삐아 [쉐딩]_1,페리페라 쉐딩_0,페리페라 쉐딩_1,롬앤 쉐입_0,롬앤 쉐입_1,이글립스 쉐딩_0,이글립스 쉐딩_1,아리따움 파우더_0,아리따움 파우더_1,베네피트 라이트_0,베네피트 라이트_1,삐아 컨투어링_0,삐아 컨투어링_1,블랙루즈 컨투어링_0,블랙루즈 컨투어링_1,이니스프리 컨투어링_0,이니스프리 컨투어링_1,케빈어코인 파우더_0,케빈어코인 파우더_1,미샤 스틱(쉐딩)_0,미샤 스틱(쉐딩)_1,클리오 쉐이딩_0,클리오 쉐이딩_1,맥퀸뉴욕 쉐딩_0,맥퀸뉴욕 쉐딩_1,어퓨 키트_0,어퓨 키트_1,에뛰드 휠_0,에뛰드 휠_1,스킨푸드 쿠키)_0,스킨푸드 쿠키)_1,네이처리퍼블릭 팔레트_0,네이처리퍼블릭 팔레트_1,클리오 팔레트_0,클리오 팔레트_1,웨이크메이크 치크_0,웨이크메이크 치크_1,크리니크 팔레트_0,크리니크 팔레트_1,베네피트 바)_0,베네피트 바)_1,더밤 팔레트_0,더밤 팔레트_1,톰포드 뷰티 일루미네이트_0,톰포드 뷰티 일루미네이트_1,더샘 팔레트_0,더샘 팔레트_1,투페이스드 팔레트_0,투페이스드 팔레트_1,정샘물 팔레트_0,정샘물 팔레트_1,베네피트 스쿼드_0,베네피트 스쿼드_1
0,79.06976,51.82926,0.0,0.0,17.88617,9.67741,51.77304,43.39622,10.1145,70.43478,50.0,41.66666,18.07228,43.75,0.0,0.0,0.0,0.0,71.11111,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,59.61538,44.82758,46.15384,69.81132,0.0,0.0,29.41176,61.11111,0.0,37.5,13.83647,25.61983,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,62.29508,32.27848,46.68508,5.68475,33.33333,54.54545,9.8901,37.5,0.0,0.0,15.73033,0.0,0.0,0.0,9.44881,0.0,33.33333,23.06034,30.43478,81.81818,0.0,0.0
1,100.0,49.18699,0.0,0.0,6.50406,12.90322,43.97163,62.26415,7.63358,36.52173,0.0,0.0,30.12048,18.75,0.0,0.0,0.0,0.0,55.55555,27.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.3546,86.8217,0.0,0.0,36.53846,20.68965,51.92307,66.03773,0.0,0.0,52.94117,38.88888,46.15384,0.0,17.61006,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,75.92592,54.94505,0.0,0.0,0.0,0.0,0.0,0.0,40.9836,40.50632,51.65745,5.10335,23.07692,100.0,9.8901,100.0,0.0,0.0,12.35955,0.0,0.0,0.0,0.0,14.28571,33.33333,20.90517,60.86956,77.27272,0.0,0.0
2,85.52971,45.93495,0.0,0.0,11.38211,6.45161,41.13475,66.03773,7.82442,66.95652,0.0,50.0,16.86746,20.83333,0.0,0.0,0.0,0.0,62.22222,35.0,0.0,0.0,51.72413,0.0,0.0,0.0,0.0,0.0,0.26595,69.92248,0.0,0.0,75.0,34.48275,51.92307,39.62264,0.0,0.0,35.29411,44.44444,69.23076,31.25,13.83647,26.44628,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,58.24175,0.0,0.0,0.0,0.0,0.0,0.0,55.7377,24.68354,59.39226,5.29715,23.07692,40.90909,9.8901,40.0,0.0,0.0,10.11235,0.0,0.0,0.0,6.29921,0.0,33.58208,26.50862,60.86956,86.36363,0.0,0.0
3,79.32816,43.08943,0.0,0.0,11.38211,6.45161,44.68085,64.15094,8.96946,51.30434,0.0,0.0,26.50602,16.66666,0.0,55.55555,0.0,0.0,48.88888,40.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,92.09302,0.0,0.0,67.30769,68.96551,30.76923,49.0566,0.0,0.0,64.70588,55.55555,0.0,43.75,21.38364,23.14049,0.0,0.0,0.0,0.0,0.0,0.0,90.74074,41.75824,0.0,0.0,0.0,0.0,0.0,0.0,90.16393,34.81012,54.41988,3.61757,33.33333,36.36363,50.54945,32.5,0.0,0.0,7.86516,0.0,0.0,0.0,6.29921,0.0,31.59203,24.56896,91.30434,63.63636,0.0,0.0
4,76.22739,48.17073,0.0,0.0,13.00813,6.45161,46.80851,100.0,9.35114,62.60869,66.66666,0.0,42.16867,100.0,0.0,0.0,0.0,0.0,37.77777,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.63565,0.0,0.0,51.92307,65.51724,38.46153,56.60377,0.0,0.0,52.94117,27.77777,76.92307,0.0,13.20754,17.35537,0.0,0.0,0.0,0.0,0.0,0.0,29.62962,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,100.0,34.81012,59.39226,5.10335,30.76923,27.27272,24.17582,40.0,0.0,0.0,14.60674,0.0,0.0,0.0,0.0,0.0,32.58706,20.90517,34.7826,90.90909,0.0,0.0
5,82.42894,38.82113,0.0,0.0,16.26016,7.25806,55.31914,52.83018,9.35114,83.47826,0.0,0.0,18.07228,85.41666,55.55555,66.66666,0.0,0.0,51.11111,55.0,0.0,0.0,17.24137,50.0,0.0,0.0,0.0,0.0,0.26595,70.85271,0.0,0.0,86.53846,44.82758,96.15384,52.83018,0.0,0.0,76.47058,33.33333,100.0,0.0,16.98113,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.75824,0.0,0.0,0.0,0.0,0.0,0.0,65.57377,44.9367,45.02762,4.78036,48.71794,22.72727,26.37362,17.5,0.0,0.0,8.98876,0.0,0.0,0.0,0.0,20.0,32.08955,18.96551,39.13043,90.90909,0.0,0.0
6,65.89147,41.05691,0.0,0.0,21.13821,12.90322,48.22695,66.03773,11.25954,65.21739,0.0,58.33333,14.45783,100.0,0.0,0.0,0.0,0.0,71.11111,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.20155,0.0,0.0,80.76923,96.55172,63.46153,60.37735,0.0,0.0,64.70588,27.77777,38.46153,37.5,16.3522,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,37.03703,50.54945,0.0,0.0,0.0,0.0,0.0,0.0,26.2295,44.30379,55.24861,5.55555,38.46153,22.72727,32.96703,40.0,0.0,0.0,30.33707,0.0,0.0,0.0,11.02362,22.85714,28.3582,18.96551,78.26086,72.72727,0.0,0.0
7,76.22739,45.93495,0.0,0.0,8.13008,8.06451,50.3546,49.0566,10.87786,63.47826,0.0,50.0,27.71084,45.83333,0.0,0.0,0.0,0.0,62.22222,58.75,0.0,0.0,27.5862,0.0,0.0,0.0,0.0,0.0,0.26595,73.64341,0.0,0.0,57.6923,82.75862,46.15384,35.84905,0.0,0.0,29.41176,55.55555,53.84615,0.0,21.38364,21.4876,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,63.73626,0.0,0.0,0.0,0.0,0.0,0.0,54.09836,38.60759,58.56353,6.20155,25.64102,40.90909,36.26373,17.5,0.0,0.0,6.74157,0.0,0.0,0.0,5.51181,20.0,33.33333,23.27586,47.82608,27.27272,0.0,0.0
8,66.66666,51.82926,0.0,0.0,43.08943,8.06451,53.9007,49.0566,8.2061,61.73913,0.0,0.0,12.04819,16.66666,0.0,0.0,0.0,0.0,62.22222,42.5,0.0,0.0,27.5862,0.0,0.0,0.0,0.0,0.0,0.22163,63.87596,0.0,0.0,100.0,27.5862,55.76923,77.35849,0.0,0.0,52.94117,38.88888,0.0,0.0,41.50943,16.52892,0.0,0.0,0.0,0.0,0.0,0.0,31.48148,83.51648,0.0,0.0,0.0,0.0,0.0,0.0,52.45901,35.44303,65.46961,7.49354,41.02564,45.45454,21.97802,0.0,0.0,0.0,24.7191,0.0,0.0,0.0,7.08661,28.57142,26.86567,22.84482,34.7826,50.0,0.0,0.0
9,73.12661,43.08943,0.0,0.0,47.15447,9.67741,45.39007,66.03773,8.2061,74.7826,0.0,0.0,16.86746,33.33333,0.0,0.0,0.0,0.0,77.77777,73.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22163,60.93023,0.0,0.0,76.92307,41.37931,36.53846,47.16981,0.0,0.0,41.17647,38.88888,0.0,0.0,21.38364,19.83471,0.0,0.0,0.0,0.0,0.0,0.0,35.18518,52.74725,0.0,0.0,0.0,0.0,0.0,0.0,93.44262,32.27848,64.64088,7.29974,25.64102,54.54545,14.28571,22.5,0.0,0.0,25.84269,0.0,0.0,0.0,4.7244,37.14285,23.63184,38.7931,30.43478,50.0,0.0,0.0
10,69.76744,45.7317,0.0,0.0,48.78048,15.32258,67.37588,58.49056,9.73282,53.04347,0.0,0.0,15.66265,29.16666,0.0,0.0,0.0,0.0,46.66666,71.25,0.0,0.0,17.24137,0.0,0.0,0.0,0.0,0.0,0.0,77.05426,0.0,0.0,96.15384,65.51724,40.38461,56.60377,0.0,0.0,47.05882,0.0,38.46153,43.75,40.8805,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,37.03703,49.45054,0.0,0.0,0.0,0.0,0.0,0.0,63.93442,37.97468,79.28176,6.71834,53.84615,40.90909,26.37362,17.5,0.0,0.0,15.73033,0.0,0.0,0.0,9.44881,54.28571,30.34825,46.76724,30.43478,54.54545,0.0,0.0
11,49.6124,50.0,0.0,0.0,39.83739,12.09677,83.68794,56.60377,9.92366,73.04347,0.0,66.66666,43.37349,27.08333,66.66666,0.0,0.0,0.0,57.77777,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39893,91.16279,50.0,0.0,61.53846,58.62068,53.84615,28.30188,0.0,0.0,70.58823,44.44444,0.0,0.0,20.75471,13.22314,0.0,0.0,0.0,0.0,0.0,0.0,50.0,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,39.34426,39.87341,98.61878,5.87855,58.97435,22.72727,29.67032,42.5,0.0,0.0,29.21348,71.42857,0.0,0.0,17.32283,22.85714,26.61691,34.91379,30.43478,36.36363,0.0,0.0
