,레어카인드 미니앨범  집  쉐딩 _0,레어카인드 미니앨범  집  쉐딩 _1,미샤 코튼 컨투어_0,미샤 코튼 컨투어_1,투쿨포스쿨 아트클래스 바이 로댕_0,투쿨포스쿨 아트클래스 바이 로댕_1,삐아 라스트 블러쉬  쉐딩 _0,삐아 라스트 블러쉬  쉐딩 _1,에스쁘아 컨투어 파우더_0,에스쁘아 컨투어 파우더_1,페리페라 잉크 브이 쉐딩_0,페리페라 잉크 브이 쉐딩_1,롬앤 베러 댄 쉐입_0,롬앤 베러 댄 쉐입_1,이글립스 슬림 핏 쉐딩_0,이글립스 슬림 핏 쉐딩_1,아리따움 매직 컨투어링 파우더_0,아리따움 매직 컨투어링 파우더_1,베네피트 훌라 라이트_0,베네피트 훌라 라이트_1,삐아 라스트 컨투어링_0,삐아 라스트 컨투어링_1,블랙루즈 업 앤 다운 트리플 컨투어링_0,블랙루즈 업 앤 다운 트리플 컨투어링_1,이니스프리 마이 컨투어링_0,이니스프리 마이 컨투어링_1,케빈어코인 더 스컬프팅 파우더_0,케빈어코인 더 스컬프팅 파우더_1,미샤 벨벳 라이크 컬러 스틱 쉐딩 _0,미샤 벨벳 라이크 컬러 스틱 쉐딩 _1,클리오 킬 커버 프로 아티스트 리퀴드 쉐이딩_0,클리오 킬 커버 프로 아티스트 리퀴드 쉐이딩_1,맥퀸뉴욕 페이크 업  색 쉐딩_0,맥퀸뉴욕 페이크 업  색 쉐딩_1,어퓨  D 컨투어링 키트_0,어퓨  D 컨투어링 키트_1,에뛰드 음영 컨투어 휠_0,에뛰드 음영 컨투어 휠_1,스킨푸드 슈가 믹스 쉐이딩  다이어트 쿠키 _0,스킨푸드 슈가 믹스 쉐이딩  다이어트 쿠키 _1,네이처리퍼블릭 프로 터치 블러셔 팔레트_0,네이처리퍼블릭 프로 터치 블러셔 팔레트_1,클리오 프로 컨투어 팔레트_0,클리오 프로 컨투어 팔레트_1,캔메이크 노즈섀도우 파우더_0,캔메이크 노즈섀도우 파우더_1,웨이크메이크 컬러 스타일러 믹스 치크_0,웨이크메이크 컬러 스타일러 믹스 치크_1,크리니크 치크 팝 온더글로우 트리오 팔레트_0,크리니크 치크 팝 온더글로우 트리오 팔레트_1,베네피트 블러셔 바 블러쉬 바 _0,베네피트 블러셔 바 블러쉬 바 _1,더밤 오토밤 팔레트_0,더밤 오토밤 팔레트_1,톰포드 뷰티 쉐이드 앤 일루미네이트_0,톰포드 뷰티 쉐이드 앤 일루미네이트_1,더샘 에코 소울 컨투어 팔레트_0,더샘 에코 소울 컨투어 팔레트_1,투페이스드 스위트 피치 글로우 피치 인퓨즈드 하이라이팅 팔레트_0,투페이스드 스위트 피치 글로우 피치 인퓨즈드 하이라이팅 팔레트_1,정샘물 아티스트 컨투어 팔레트_0,정샘물 아티스트 컨투어 팔레트_1,베네피트 치크리더스 핑크 스쿼드_0,베네피트 치크리더스 핑크 스쿼드_1,메이크업포에버 프로 스컬프팅 팔레트_0,메이크업포에버 프로 스컬프팅 팔레트_1,포니이펙트 컨투어링 마스터 팔레트_0,포니이펙트 컨투어링 마스터 팔레트_1,베네피트 치크리더스 미니 핑크 스쿼드_0,베네피트 치크리더스 미니 핑크 스쿼드_1,미샤 글로우  컬러 필터 페이스 팔레트_0,미샤 글로우  컬러 필터 페이스 팔레트_1,스틸라 올 오버 쉬머 듀오_0,스틸라 올 오버 쉬머 듀오_1,아르데코 모스트 원티드 컨투어링 팔레트_0,아르데코 모스트 원티드 컨투어링 팔레트_1,나스 플로럴 리덕스 컬렉션 앤젤 프라이드 치크 팔레트_0,나스 플로럴 리덕스 컬렉션 앤젤 프라이드 치크 팔레트_1,KVD 비건뷰티 셰이드   라이트 페이스 컨투어 팔레트_0,KVD 비건뷰티 셰이드   라이트 페이스 컨투어 팔레트_1
0,0.0,0.0,13.42592,90.0,68.75,54.44444,0.0,0.0,9.18367,22.85714,0.0,93.95604,0.0,0.0,76.92307,0.0,9.67741,20.68965,62.5,59.0909,27.5862,0.0,0.0,100.0,16.98113,16.98113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,36.36363,0.0,0.0,31.25,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,100.0,40.0,75.0,53.33333,0.0,0.0,7.14285,40.0,0.0,87.36263,0.0,0.0,69.23076,0.0,33.33333,100.0,38.75,81.81818,37.93103,6.38297,0.0,0.0,31.13207,20.75471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,43.75,0.0,0.0,23.48484,0.0,31.91489,0.0,0.0,0.0,0.0,0.0,33.33333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,68.51851,90.0,37.5,46.66666,0.0,0.0,10.20408,22.85714,0.0,92.85714,0.0,0.0,0.0,0.0,6.45161,72.79693,57.5,59.0909,20.68965,8.51063,0.0,0.0,17.92452,47.16981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.84848,0.0,100.0,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,12.96296,100.0,68.75,36.66666,0.0,0.0,6.12244,34.28571,0.0,90.65934,0.0,0.0,61.53846,100.0,0.0,83.5249,41.25,27.27272,31.03448,10.63829,0.0,0.0,32.07547,39.62264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,40.90909,0.0,42.55319,25.0,0.0,0.0,0.0,0.0,100.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,12.03703,82.5,31.25,35.55555,0.0,0.0,13.2653,25.71428,0.0,66.48351,0.0,0.0,61.53846,0.0,5.37634,34.09961,50.0,22.72727,27.5862,19.14893,0.0,0.0,25.47169,33.01886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,37.12121,0.0,44.68085,28.125,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,15.74074,62.5,50.0,28.88888,0.0,0.0,11.22448,28.57142,0.0,96.15384,0.0,0.0,38.46153,66.66666,100.0,16.47509,36.25,31.81818,37.93103,12.76595,0.0,0.0,23.5849,21.69811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,0.0,34.04255,0.0,0.0,0.0,0.0,0.0,73.33333,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,18.05555,60.0,75.0,28.88888,0.0,0.0,7.14285,25.71428,0.0,69.23076,0.0,0.0,61.53846,0.0,41.93548,16.09195,45.0,36.36363,34.48275,11.70212,0.0,0.0,16.98113,26.41509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,25.75757,0.0,53.19148,34.375,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,14.35185,52.5,0.0,32.22222,0.0,0.0,7.14285,51.42857,0.0,73.07692,0.0,0.0,38.46153,0.0,30.64516,16.09195,51.25,68.18181,55.17241,23.40425,0.0,0.0,20.75471,30.18867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.81818,0.0,61.70212,34.375,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,16.2037,85.0,37.5,54.44444,0.0,0.0,0.0,71.42857,0.0,62.08791,0.0,0.0,76.92307,0.0,9.13978,17.62452,35.0,54.54545,27.5862,11.70212,0.0,0.0,47.16981,28.30188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,56.25,0.0,0.0,26.51515,0.0,29.78723,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,20.37037,65.0,56.25,33.33333,0.0,0.0,8.16326,37.14285,0.0,54.94505,0.0,5.51724,0.0,0.0,6.98924,19.15708,35.0,63.63636,37.93103,15.95744,0.0,0.0,39.62264,33.01886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,42.42424,0.0,38.29787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
