,필리밀리 아이 메이크업 브러시 세트_0,필리밀리 아이 메이크업 브러시 세트_1,피카소 NEW     아이섀도우_0,피카소 NEW     아이섀도우_1,다이소 블렌딩총알브러시_0,다이소 블렌딩총알브러시_1,맥     블렌딩 브러시_0,맥     블렌딩 브러시_1,다이소 핑크팝 브러시_0,다이소 핑크팝 브러시_1,맥     아이 쉐이더 브러시_0,맥     아이 쉐이더 브러시_1,리얼 테크닉스 세팅 브러시_0,리얼 테크닉스 세팅 브러시_1,무인양품 치크 브러시_0,무인양품 치크 브러시_1,에뛰드 마이뷰티툴 브러시     파우더_0,에뛰드 마이뷰티툴 브러시     파우더_1,이엘에프 코스메틱스 스몰 테이퍼드 브러시_0,이엘에프 코스메틱스 스몰 테이퍼드 브러시_1,에스쁘아 스키니 픽스 블렌더_0,에스쁘아 스키니 픽스 블렌더_1,미샤 텐션 팩트 퍼프  밀착 _0,미샤 텐션 팩트 퍼프  밀착 _1,리얼 테크닉스 미라클 컴플렉션 스펀지_0,리얼 테크닉스 미라클 컴플렉션 스펀지_1,포니이펙트 스무스 도우 퍼프_0,포니이펙트 스무스 도우 퍼프_1,다이소 블렌딩 퍼프_0,다이소 블렌딩 퍼프_1,미샤 와플 퍼프_0,미샤 와플 퍼프_1,클리오 하이드로 스폰지_0,클리오 하이드로 스폰지_1,스킨푸드 웨지 퍼프_0,스킨푸드 웨지 퍼프_1,다이소 미니파우더퍼프_0,다이소 미니파우더퍼프_1,더샘 쫀쫀 밀착 퍼프_0,더샘 쫀쫀 밀착 퍼프_1,필리밀리 쿠션 팡팡 퍼프_0,필리밀리 쿠션 팡팡 퍼프_1,어퓨 눈사람 퍼프_0,어퓨 눈사람 퍼프_1,헤라 블랙쿠션 퍼프_0,헤라 블랙쿠션 퍼프_1,미샤 워터 인 퍼프_0,미샤 워터 인 퍼프_1,헤라 UV 미스트 쿠션 퍼프_0,헤라 UV 미스트 쿠션 퍼프_1,다이소 PU 물방울 퍼프  개입_0,다이소 PU 물방울 퍼프  개입_1,뷰티블렌더 오리지널 뷰티 블렌더 싱글_0,뷰티블렌더 오리지널 뷰티 블렌더 싱글_1,다이소 물방울퍼프_0,다이소 물방울퍼프_1,베네툴 웨지 스폰지_0,베네툴 웨지 스폰지_1,올리브영 촉촉퍼프_0,올리브영 촉촉퍼프_1,이마트 잘 스며드는 화장솜_0,이마트 잘 스며드는 화장솜_1,카이 EBR 눈썹칼_0,카이 EBR 눈썹칼_1,화이트래빗 플레인 타입_0,화이트래빗 플레인 타입_1,어퓨 노 더티 브러쉬 클렌징 솝_0,어퓨 노 더티 브러쉬 클렌징 솝_1,어퓨 뽀드득 브러쉬 빨래판_0,어퓨 뽀드득 브러쉬 빨래판_1,갸스비 파우더 오일 클리어 페이퍼_0,갸스비 파우더 오일 클리어 페이퍼_1,시루콧토 우루우루 화장솜_0,시루콧토 우루우루 화장솜_1,아리따움 아이돌래쉬 내추럴_0,아리따움 아이돌래쉬 내추럴_1,갸스비 오일클리어 필름   회색_0,갸스비 오일클리어 필름   회색_1,미샤 소프트  겹 화장솜_0,미샤 소프트  겹 화장솜_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.97872,32.14285,100.0,0.0,0.0,65.52706,54.11764,0.0,0.0,0.0,0.0,77.77777,26.31578,8.57142,0.0,81.44329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857,58.66666,0.0,0.0,25.87719,8.71212,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,52.12765,21.42857,62.5,0.0,0.0,60.39886,66.47058,0.0,0.0,0.0,0.0,77.77777,31.57894,26.66666,0.0,63.91752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,69.06666,0.0,0.0,24.5614,4.35606,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,58.51063,57.14285,48.86363,0.0,0.0,62.96296,67.64705,0.0,0.0,0.0,0.0,27.77777,0.0,28.57142,0.0,44.32989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42857,46.93333,0.0,0.0,22.80701,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.78571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63829,25.0,36.36363,0.0,0.0,72.93447,54.11764,0.0,0.0,0.0,100.0,100.0,0.0,29.5238,0.0,46.39175,3.4965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.80952,47.46666,0.0,0.0,19.29824,6.43939,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.64285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.29787,46.42857,30.68181,0.0,0.0,68.66096,64.11764,0.0,0.0,0.0,0.0,0.0,0.0,6.66666,0.0,91.75257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57142,40.53333,0.0,0.0,21.05263,7.76515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.34042,50.0,27.27272,0.0,0.0,96.86609,53.23529,0.0,0.0,0.0,100.0,27.77777,0.0,7.61904,0.0,88.65979,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,52.14285,32.8,0.0,0.0,20.17543,5.87121,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.92857,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,28.57142,26.13636,0.0,0.0,94.87179,60.0,0.0,0.0,0.0,0.0,0.0,57.89473,0.0,0.0,82.47422,5.5944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.33333,41.6,0.0,0.0,23.24561,4.73484,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.78571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.51063,32.14285,25.0,0.0,0.0,76.35327,59.70588,0.0,0.0,0.0,0.0,0.0,0.0,5.71428,0.0,87.62886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.19047,60.8,0.0,0.0,33.77192,8.14393,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.80851,32.14285,36.36363,0.0,0.0,75.21367,59.11764,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,64.94845,5.5944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,60.53333,0.0,0.0,30.70175,4.54545,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,0.0,21.5909,0.0,0.0,83.47578,77.05882,0.0,0.0,0.0,0.0,0.0,0.0,5.71428,0.0,49.48453,9.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.04761,44.0,0.0,0.0,35.52631,5.49242,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.59574,25.0,32.95454,0.0,0.0,60.96866,77.64705,0.0,0.0,0.0,0.0,27.77777,0.0,5.71428,0.0,56.70103,7.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7619,53.06666,0.0,0.0,32.45614,7.76515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.64285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31914,21.42857,25.0,0.0,0.0,53.56125,80.0,0.0,0.0,0.0,0.0,38.88888,0.0,8.57142,0.0,74.2268,11.18881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.95238,52.53333,0.0,0.0,37.71929,6.43939,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35714,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,53.57142,37.5,0.0,0.0,54.70085,66.47058,0.0,0.0,0.0,0.0,44.44444,0.0,5.71428,0.0,93.81443,11.18881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19047,26.13333,0.0,0.0,32.01754,5.49242,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
