,셀퓨전씨 파파야 그래뉼 필스_0,셀퓨전씨 파파야 그래뉼 필스_1,이니스프리 트루케어 칼라민     클렌저_0,이니스프리 트루케어 칼라민     클렌저_1,SRB쌀뜨물 미강 효소 세안제_0,SRB쌀뜨물 미강 효소 세안제_1,휘게 약산성 히알루론 젤 클렌저_0,휘게 약산성 히알루론 젤 클렌저_1,프리메라 내추럴 리치 클렌징 폼_0,프리메라 내추럴 리치 클렌징 폼_1,이즈앤트리 스팟 세이버 쑥 파우더 워시_0,이즈앤트리 스팟 세이버 쑥 파우더 워시_1,애즈이즈투비 pH 밸런싱 젤 클렌저_0,애즈이즈투비 pH 밸런싱 젤 클렌저_1,해서린 모닝 듀 비타 클렌징젤_0,해서린 모닝 듀 비타 클렌징젤_1,미샤 타임 레볼루션 개똥쑥 팩 폼 클렌저_0,미샤 타임 레볼루션 개똥쑥 팩 폼 클렌저_1,닥터오라클 안티박 아크네 클렌징 폼_0,닥터오라클 안티박 아크네 클렌징 폼_1,잇퍼 에브리데이 밸런싱 약산성 쑥쑥 클렌징폼_0,잇퍼 에브리데이 밸런싱 약산성 쑥쑥 클렌징폼_1,유리프 셋업 폼클렌저_0,유리프 셋업 폼클렌저_1,라로슈포제 에빠끌라 딥 클렌징 포밍 크림_0,라로슈포제 에빠끌라 딥 클렌징 포밍 크림_1,설화수 순행 클렌징 폼_0,설화수 순행 클렌징 폼_1,시드물 엔자임 클렌징 젤 효소 클렌징 젤 _0,시드물 엔자임 클렌징 젤 효소 클렌징 젤 _1,에이밀 슈퍼 그레인 버블 폼_0,에이밀 슈퍼 그레인 버블 폼_1,메이크프렘 세이프 미 릴리프 모이스처 클렌징 폼_0,메이크프렘 세이프 미 릴리프 모이스처 클렌징 폼_1,시드물 카카두 아미노 클렌져_0,시드물 카카두 아미노 클렌져_1,룩스앤메이 아미노 버블 약산성 클렌저_0,룩스앤메이 아미노 버블 약산성 클렌저_1,러쉬 엔젤스 온 배어 스킨_0,러쉬 엔젤스 온 배어 스킨_1,더샘 힐링 티 가든 티트리 클렌징 워터_0,더샘 힐링 티 가든 티트리 클렌징 워터_1,바닐라코 클린 잇 제로 클렌징 밤 오리지널_0,바닐라코 클린 잇 제로 클렌징 밤 오리지널_1,니베아 프로페셔널 미셀라에어 클렌징 워터_0,니베아 프로페셔널 미셀라에어 클렌징 워터_1,킵쿨 수드 피토 그린 샤워 클렌징 워터_0,킵쿨 수드 피토 그린 샤워 클렌징 워터_1,더샘 힐링 티 가든 클렌징 코튼 패드_0,더샘 힐링 티 가든 클렌징 코튼 패드_1,헤이미쉬 올 클린 밤_0,헤이미쉬 올 클린 밤_1,키노닉스 카모 클렌징 패드_0,키노닉스 카모 클렌징 패드_1,라로슈포제 미셀라 클렌징워터 울트라 센시티브 스킨_0,라로슈포제 미셀라 클렌징워터 울트라 센시티브 스킨_1,더샘 힐링 티 가든 그린티 클렌징 워터_0,더샘 힐링 티 가든 그린티 클렌징 워터_1,비페스타 클렌징 시트_0,비페스타 클렌징 시트_1,비오투름 클렌징 밀크_0,비오투름 클렌징 밀크_1,가르니에 미셀라 클렌징 워터_0,가르니에 미셀라 클렌징 워터_1,브라운랩 애시드 밸런스 페이셜 클렌징 워터_0,브라운랩 애시드 밸런스 페이셜 클렌징 워터_1,크리니크 테이크 더 데이 오프 클렌징 오일_0,크리니크 테이크 더 데이 오프 클렌징 오일_1,슈에무라 안티 폴루션 클렌징 오일_0,슈에무라 안티 폴루션 클렌징 오일_1,설화수 순행 클렌징 오일_0,설화수 순행 클렌징 오일_1,세컨디자인 퍼스트 클렌징 오일 퓨어 앤 프레쉬_0,세컨디자인 퍼스트 클렌징 오일 퓨어 앤 프레쉬_1,시드물 닥터트럽 스킨 리터닝 클렌징 밀크_0,시드물 닥터트럽 스킨 리터닝 클렌징 밀크_1,16BRAND    만능 슈퍼 클렌징 밤_0,16BRAND    만능 슈퍼 클렌징 밤_1,아리얼 스트레스 릴리빙 퓨어풀 립앤아이 리무버 패드_0,아리얼 스트레스 릴리빙 퓨어풀 립앤아이 리무버 패드_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.20338000000001,81.99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.00668,10.606060000000001,0.0,0.0,0.0,0.0,0.0,0.0,43.22033,48.275859999999994,24.46808,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.61764,60.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.40677,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.24276,9.63203,0.0,0.0,0.0,0.0,0.0,0.0,35.59322,17.24137,30.851059999999997,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.02941,65.625,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.18644,52.0,0.0,0.0,0.0,0.0,29.411759999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.78396,15.36796,0.0,0.0,0.0,0.0,0.0,0.0,46.61016,0.0,37.23404,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.14705,63.28125,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.30508,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.32962,16.450210000000002,0.0,0.0,0.0,0.0,0.0,0.0,30.508470000000003,20.68965,42.55319,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.676469999999995,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.13559,56.999990000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.224940000000004,18.722939999999998,0.0,0.0,0.0,0.0,0.0,0.0,27.118640000000003,0.0,57.4468,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.352940000000004,52.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.47456999999999,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.35634,15.909089999999999,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.5862,57.4468,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,58.08823,42.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.38983,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.90645,5.41125,0.0,0.0,0.0,0.0,0.0,0.0,19.49152,0.0,51.06382,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,42.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9322,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.91091,5.519480000000001,100.0,0.0,0.0,0.0,0.0,0.0,13.559320000000001,34.48275,39.3617,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64705,50.78125,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.711859999999994,96.0,0.0,0.0,0.0,0.0,29.411759999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.89309,5.735930000000001,33.33333,0.0,0.0,0.0,0.0,0.0,11.01694,0.0,46.80851,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.294109999999996,73.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9661,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.99777,8.11688,0.0,0.0,0.0,0.0,0.0,0.0,25.42372,27.5862,26.595740000000003,20.49999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.38235,49.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
