,DHC 올리브 버진 오일 면봉 아이 리무버 스틱 _0,DHC 올리브 버진 오일 면봉 아이 리무버 스틱 _1,키스미 히로인 메이크 마스카라 리무버 EX_0,키스미 히로인 메이크 마스카라 리무버 EX_1,크리니크 테이크 더 데이 오프 메이크업 리무버 포 리드   래쉬   립스_0,크리니크 테이크 더 데이 오프 메이크업 리무버 포 리드   래쉬   립스_1,포인트 딥클린 립앤아이리무버_0,포인트 딥클린 립앤아이리무버_1,라네즈 립 아이리무버_0,라네즈 립 아이리무버_1,에뛰드 컬 픽스 마스카라 리무버_0,에뛰드 컬 픽스 마스카라 리무버_1,미샤 퍼펙트 립앤아이 메이크업 리무버_0,미샤 퍼펙트 립앤아이 메이크업 리무버_1,아리따움 뽀오얀 미소 발효 립 아이 리무버_0,아리따움 뽀오얀 미소 발효 립 아이 리무버_1,스킨푸드 밀크쉐이크 포인트 메이크업 리무버_0,스킨푸드 밀크쉐이크 포인트 메이크업 리무버_1,구달 사과 아하 매끈 패드_0,구달 사과 아하 매끈 패드_1,시드물 녹차 필링젤_0,시드물 녹차 필링젤_1,프리메라 페이셜 마일드 필링_0,프리메라 페이셜 마일드 필링_1,더샘 셀 리뉴 바이오 마이크로 필 소프트 젤_0,더샘 셀 리뉴 바이오 마이크로 필 소프트 젤_1,참존 뉴 콘트롤크림_0,참존 뉴 콘트롤크림_1,클레어스 젠틀블랙슈거페이셜폴리쉬_0,클레어스 젠틀블랙슈거페이셜폴리쉬_1,참존 콘트롤크림 셀프 마사지_0,참존 콘트롤크림 셀프 마사지_1,세컨디자인 스프링이 필링 젤 톤업 부스트_0,세컨디자인 스프링이 필링 젤 톤업 부스트_1,나인위시스 라이스 파우더 폴리쉬_0,나인위시스 라이스 파우더 폴리쉬_1,스킨푸드 발사믹 오일 필링 마일드 젤_0,스킨푸드 발사믹 오일 필링 마일드 젤_1,비욘드 바디리프팅 이지 필링 페이셜 스크럽_0,비욘드 바디리프팅 이지 필링 페이셜 스크럽_1,엘러브 필앤필 카밍   릴리프 필링패드_0,엘러브 필앤필 카밍   릴리프 필링패드_1,프리메라 페이셜 인텐시브 필링_0,프리메라 페이셜 인텐시브 필링_1,브라운랩 마일드S 데일리 필링패드_0,브라운랩 마일드S 데일리 필링패드_1,나이팅게일 토닝 필링패드  티트리 _0,나이팅게일 토닝 필링패드  티트리 _1,스킨푸드 블랙슈가 퍼펙트 에센셜 스크럽  X_0,스킨푸드 블랙슈가 퍼펙트 에센셜 스크럽  X_1,셀리맥스 지우개 패드_0,셀리맥스 지우개 패드_1,투쿨포스쿨 맥걸리 고두밥 스크럽_0,투쿨포스쿨 맥걸리 고두밥 스크럽_1,파파레서피 가지 클리어링 필링 패드 토너_0,파파레서피 가지 클리어링 필링 패드 토너_1,VDL 네이키드 페이셜 엑스폴리언트_0,VDL 네이키드 페이셜 엑스폴리언트_1,어퓨 버블 버블 메이커_0,어퓨 버블 버블 메이커_1,시드물 거품망 버블메이커_0,시드물 거품망 버블메이커_1,미샤 휘핑 버블 메이커_0,미샤 휘핑 버블 메이커_1,에뛰드 마이뷰티툴 버블 메이커_0,에뛰드 마이뷰티툴 버블 메이커_1,이니스프리 뷰티툴 크리미 버블 메이커_0,이니스프리 뷰티툴 크리미 버블 메이커_1,다이소 오가닉팜 버블메이커 샤워볼_0,다이소 오가닉팜 버블메이커 샤워볼_1,시크릿키 블랙 아웃 듀얼 포어 브러쉬_0,시크릿키 블랙 아웃 듀얼 포어 브러쉬_1,이니스프리 뷰티툴 화산송이 곤약 클렌징 스펀지_0,이니스프리 뷰티툴 화산송이 곤약 클렌징 스펀지_1,아리따움 버블 거품망_0,아리따움 버블 거품망_1,올리브영 버블 거품망_0,올리브영 버블 거품망_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,3.46682,84.21052,30.19607,100.0,0.0,100.0,26.5625,26.12612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93848,37.96159,0.0,0.0,0.0,0.0,0.0,0.0,62.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2875,100.0,19.21568,91.71597,0.0,0.0,25.0,20.72072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.05548,27.32644,0.0,0.0,0.0,0.0,0.0,0.0,21.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52659,87.71929,13.33333,89.34911,10.20408,0.0,19.27083,20.27027,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83353,20.82717,0.0,0.0,0.0,0.0,0.0,0.0,22.66666,6.66666,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,62.5,76.0,0.0,0.0,18.51851,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,4.60251,63.90977,19.21568,83.43195,0.0,0.0,29.16666,19.81981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83353,16.24815,0.0,0.0,0.0,0.0,0.0,0.0,9.33333,0.0,0.0,0.0,1.4423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88523,67.66917,30.58823,82.24852,0.0,0.0,19.27083,15.31531,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.44028,19.20236,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.4423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72205,69.92481,45.49019,75.73964,0.0,0.0,19.27083,20.72072,0.0,0.0,100.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.37032,27.03101,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.945,75.43859,48.23529,60.35502,0.0,0.0,20.83333,29.72972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,18.21471,45.05169,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.20192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48296,69.67418,47.45098,63.90532,12.24489,0.0,25.52083,100.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.62726,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,51.85185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42319,82.95739,82.74509,77.51479,18.36734,0.0,18.75,90.54054,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.72858,84.34268,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.16346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02092,70.42606,100.0,73.37278,20.40816,0.0,18.75,45.94594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.72858,89.95568,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,36.77884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0
