,룩스앤메이 센텔라 릴렉세이션 퍼펙트 카밍 마스크_0,룩스앤메이 센텔라 릴렉세이션 퍼펙트 카밍 마스크_1,스팀베이스 마누카 허니 프로폴리스 퍼펙트 쉴드 마스크_0,스팀베이스 마누카 허니 프로폴리스 퍼펙트 쉴드 마스크_1,오아이엠 블룸 꿀보카도 극세사마스크_0,오아이엠 블룸 꿀보카도 극세사마스크_1,얼트루 아임 쏘리 포 마이 스킨  스텝 트래블 젤리 마스크_0,얼트루 아임 쏘리 포 마이 스킨  스텝 트래블 젤리 마스크_1,아비브 껌딱지 시트마스크 어성초 스티커_0,아비브 껌딱지 시트마스크 어성초 스티커_1,메디힐 티트리 케어솔루션 에센셜 마스크 REX_0,메디힐 티트리 케어솔루션 에센셜 마스크 REX_1,홀리카홀리카 퓨어 에센스 마스크 시트  아보카도 _0,홀리카홀리카 퓨어 에센스 마스크 시트  아보카도 _1,스팀베이스 카렌듈라 딥 모이스처 카밍 마스크_0,스팀베이스 카렌듈라 딥 모이스처 카밍 마스크_1,비플랫 시카 리페어 릴렉싱 시트 마스크_0,비플랫 시카 리페어 릴렉싱 시트 마스크_1,토레야 안티에이징 바이오셀룰로오스 마스크_0,토레야 안티에이징 바이오셀룰로오스 마스크_1,얼트루 아임 쏘리 포 마이 스킨 pH    젤리 마스크  수딩 _0,얼트루 아임 쏘리 포 마이 스킨 pH    젤리 마스크  수딩 _1,메디힐 티트리 안티더스트 카밍 마스크_0,메디힐 티트리 안티더스트 카밍 마스크_1,오아이엠 리페어 노니시카 극세사 마스크_0,오아이엠 리페어 노니시카 극세사 마스크_1,시드물 장벽 앰플 마스크 시트_0,시드물 장벽 앰플 마스크 시트_1,입솜 진주 콜라겐 벨벳 마스크_0,입솜 진주 콜라겐 벨벳 마스크_1,얼트루 아임 쏘리 포 마이 스킨 릴렉싱 젤리 마스크_0,얼트루 아임 쏘리 포 마이 스킨 릴렉싱 젤리 마스크_1,셀로니아 시그니처 바이오 시트 마스크_0,셀로니아 시그니처 바이오 시트 마스크_1,에뛰드     테라피 에어 마스크 티트리_0,에뛰드     테라피 에어 마스크 티트리_1,메디힐 티트리 케어솔루션 에센셜 마스크 이엑스_0,메디힐 티트리 케어솔루션 에센셜 마스크 이엑스_1,아비브 껌딱지 시트마스크 마데카소사이드 스티커_0,아비브 껌딱지 시트마스크 마데카소사이드 스티커_1,린제이 프리미엄 쿨 티트리 모델링 마스크_0,린제이 프리미엄 쿨 티트리 모델링 마스크_1,닥터자르트 시카페어 슬리페어 앰플 인 마스크_0,닥터자르트 시카페어 슬리페어 앰플 인 마스크_1,빌리프 퍼스트 에이드 오버나이트 스킨 리제네레이션 마스크_0,빌리프 퍼스트 에이드 오버나이트 스킨 리제네레이션 마스크_1,러쉬 비비 씨위드_0,러쉬 비비 씨위드_1,프레쉬 블랙티 인스턴트 퍼펙팅 마스크_0,프레쉬 블랙티 인스턴트 퍼펙팅 마스크_1,한율 달빛유자 수면팩_0,한율 달빛유자 수면팩_1,시드물 아크바이  모델링 마스크 팩_0,시드물 아크바이  모델링 마스크 팩_1,러쉬 마스크 오브 매그너민티_0,러쉬 마스크 오브 매그너민티_1,샤넬 수블리마지 마스크_0,샤넬 수블리마지 마스크_1,설화수 여윤팩_0,설화수 여윤팩_1,아리따움 프레시 파워 에센스 파우치 팩 강력보습_0,아리따움 프레시 파워 에센스 파우치 팩 강력보습_1,설화수 옥용팩_0,설화수 옥용팩_1,시드물 올인 닥터 규조토 모델링 고무팩_0,시드물 올인 닥터 규조토 모델링 고무팩_1,라네즈 시카 슬리핑 마스크_0,라네즈 시카 슬리핑 마스크_1,라네즈 워터 슬리핑 마스크_0,라네즈 워터 슬리핑 마스크_1,보나벨라 티트리 퓨리파잉 마스크_0,보나벨라 티트리 퓨리파잉 마스크_1,린제이 프리미엄 콜라겐 모델링 마스크팩_0,린제이 프리미엄 콜라겐 모델링 마스크팩_1,이즈앤트리 리얼 머그워트 클레이 마스크_0,이즈앤트리 리얼 머그워트 클레이 마스크_1,팜스 테라비타_0,팜스 테라비타_1,리리코스 오이스터 안티 다크닝 테라피_0,리리코스 오이스터 안티 다크닝 테라피_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,71.39364,63.57142,0.0,0.0,14.62333,100.0,0.0,0.0,60.66666,84.10117,100.0,79.48717,89.0,50.0,0.0,0.0,100.0,82.71604,0.0,0.0,2.56622,63.41463,25.78947,89.8305,0.0,0.0,0.0,0.0,0.0,0.0,12.58278,69.69696,0.0,44.44444
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,100.0,48.57142,0.0,0.0,11.22599,83.8765,0.0,0.0,63.33333,74.79674,54.6875,41.02564,59.0,69.9074,0.0,0.0,75.0,79.01234,0.0,0.0,1.15894,100.0,45.78947,91.52542,0.0,0.0,0.0,0.0,0.0,0.0,11.92052,98.98989,0.0,50.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.58924,59.28571,0.0,0.0,9.8966,80.61749,0.0,0.0,60.0,76.87443,34.375,61.53846,53.5,78.24074,0.0,0.0,74.56896,87.65432,0.0,0.0,2.23509,36.58536,50.52631,88.13559,0.0,0.0,0.0,0.0,0.0,0.0,21.8543,100.0,71.42857,44.44444
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.78973,90.71428,0.0,0.0,10.04431,89.10806,0.0,0.0,62.83333,71.72538,38.28125,58.97435,70.0,77.31481,0.0,0.0,69.39655,76.5432,0.0,0.0,1.49006,46.34146,35.78947,97.74011,0.0,0.0,0.0,0.0,0.0,0.0,15.89403,98.98989,0.0,50.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27872,67.85714,0.0,0.0,11.07828,74.87135,0.0,0.0,69.33333,79.31345,53.125,33.33333,54.0,74.53703,0.0,0.0,70.68965,80.86419,0.0,0.0,2.40066,12.19512,44.73684,79.66101,0.0,0.0,0.0,0.0,0.0,0.0,15.23178,65.15151,0.0,38.88888
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.72127,100.0,0.0,0.0,15.5096,64.92281,0.0,0.0,93.0,70.7317,47.65625,87.17948,57.5,66.2037,0.0,0.0,84.05172,77.77777,0.0,0.0,1.3245,0.0,54.21052,90.39548,0.0,0.0,0.0,0.0,0.0,0.0,9.27152,53.78787,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,0.0,0.0,46.21026,64.28571,0.0,0.0,15.80502,58.31903,0.0,0.0,88.33333,74.61607,40.625,84.61538,56.0,69.44444,0.0,0.0,58.18965,67.90123,0.0,0.0,2.15231,34.14634,43.68421,76.83615,0.0,0.0,0.0,0.0,0.0,0.0,8.60927,46.71717,0.0,61.11111
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63569,59.28571,0.0,0.0,16.69128,68.26758,0.0,0.0,86.5,77.95844,39.84375,53.84615,49.5,69.9074,0.0,0.0,60.77586,77.77777,0.0,0.0,0.82781,0.0,42.63157,68.36158,0.0,0.0,0.0,0.0,0.0,0.0,7.28476,43.68686,71.42857,27.77777
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.94621,72.14285,0.0,0.0,17.57754,87.04974,0.0,0.0,95.0,63.05329,57.03125,64.10256,48.5,68.98148,0.0,0.0,64.22413,66.66666,0.0,0.0,1.65562,34.14634,48.94736,81.9209,0.0,0.0,0.0,0.0,0.0,0.0,6.62251,45.20202,0.0,27.77777
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.67726,76.42857,0.0,0.0,16.9867,64.15094,0.0,0.0,87.16666,72.26738,45.3125,87.17948,40.99999,77.77777,0.0,0.0,62.06896,70.98765,0.0,0.0,1.90397,24.39024,54.73684,78.53107,0.0,0.0,0.0,0.0,0.0,0.0,19.20529,52.0202,0.0,33.33333
