,브라운랩 블랙헤드 올 클리어 키트_0,브라운랩 블랙헤드 올 클리어 키트_1,더페이스샵 제주 화산토 클리어 코팩_0,더페이스샵 제주 화산토 클리어 코팩_1,더샘 시크릿 퓨어 노오즈 클리어 키트      _0,더샘 시크릿 퓨어 노오즈 클리어 키트      _1,티피오 립앤아이 트윈패치_0,티피오 립앤아이 트윈패치_1,라네즈 미니 포어 워터클레이 마스크_0,라네즈 미니 포어 워터클레이 마스크_1,해서린 포어 클리어 화이트 코팩_0,해서린 포어 클리어 화이트 코팩_1,퓨어힐스 진생베리 아이 리프트 패치_0,퓨어힐스 진생베리 아이 리프트 패치_1,메디힐 디스패치 포어라스틱 포 노즈 앤 치크_0,메디힐 디스패치 포어라스틱 포 노즈 앤 치크_1,본트리 레몬 티트리 코팩_0,본트리 레몬 티트리 코팩_1,네슈라 스킨후리 까만 참숯 코팩_0,네슈라 스킨후리 까만 참숯 코팩_1,아리따움 아이스 카밍 쿨러_0,아리따움 아이스 카밍 쿨러_1,다이소 팩브러시        _0,다이소 팩브러시        _1,이니스프리 뷰티툴 말랑한 팩 스패튤라_0,이니스프리 뷰티툴 말랑한 팩 스패튤라_1,닥터자르트 리프트라 컨투어 쉐이퍼_0,닥터자르트 리프트라 컨투어 쉐이퍼_1,어퓨 쿨링 마사저_0,어퓨 쿨링 마사저_1,글로우힐 실리콘 팩 브러시_0,글로우힐 실리콘 팩 브러시_1,어퓨 실리콘 마스크 커버_0,어퓨 실리콘 마스크 커버_1,이니스프리 뷰티툴 팩 브러시_0,이니스프리 뷰티툴 팩 브러시_1,입생로랑 포에버 유스 리버레이터 와이 쉐이프 마사저_0,입생로랑 포에버 유스 리버레이터 와이 쉐이프 마사저_1,에뛰드 더 잠 테라피 마사저_0,에뛰드 더 잠 테라피 마사저_1,황후연이혈기석_0,황후연이혈기석_1,에뛰드 아이싱 쿨러_0,에뛰드 아이싱 쿨러_1,루데아 브이라인 리프팅 브이밴드_0,루데아 브이라인 리프팅 브이밴드_1,미샤 팩 브러시_0,미샤 팩 브러시_1,자르딘 보석 페이스 롤러_0,자르딘 보석 페이스 롤러_1,오멜론 더마쿨러 페이스_0,오멜론 더마쿨러 페이스_1,싸이닉    페이스 메이킹 키트_0,싸이닉    페이스 메이킹 키트_1,이니스프리 그린티 씨드 아이 앤 페이스 볼_0,이니스프리 그린티 씨드 아이 앤 페이스 볼_1,아이소이 불가리안 로즈 브라이트닝 링클케어_0,아이소이 불가리안 로즈 브라이트닝 링클케어_1,더마퀸 쿨링마사지   페이스용_0,더마퀸 쿨링마사지   페이스용_1,클레어스 미드데이 블루 UV 쉴드  SPF    PA     _0,클레어스 미드데이 블루 UV 쉴드  SPF    PA     _1,휘게 릴리프 선 모이스처라이저  SPF    PA     _0,휘게 릴리프 선 모이스처라이저  SPF    PA     _1,클레어스 소프트 에어리 UV 에센스  SPF    PA     _0,클레어스 소프트 에어리 UV 에센스  SPF    PA     _1,AHC 내추럴 퍼펙션 프로쉴드 선 퍼펙터  SPF    PA       선티에이징 선세럼 _0,AHC 내추럴 퍼펙션 프로쉴드 선 퍼펙터  SPF    PA       선티에이징 선세럼 _1,이자녹스 UV 선프로     익스트림 선 플루이드  SPF    PA     _0,이자녹스 UV 선프로     익스트림 선 플루이드  SPF    PA     _1,엑스와이지 포뮬러 오메가 레스큐 선크림  SPF    PA    _0,엑스와이지 포뮬러 오메가 레스큐 선크림  SPF    PA    _1,달바 워터풀 에센스 선크림  SPF    PA     _0,달바 워터풀 에센스 선크림  SPF    PA     _1,미샤 세이프 블록RX 올 파워풀 선  SPF    PA     _0,미샤 세이프 블록RX 올 파워풀 선  SPF    PA     _1,어퓨 슈퍼에어핏 마일드 선크림 데일리  SPF    PA     _0,어퓨 슈퍼에어핏 마일드 선크림 데일리  SPF    PA     _1,셀퓨전씨 레이저 썬스크린     SPF    PA    _0,셀퓨전씨 레이저 썬스크린     SPF    PA    _1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,17.28971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,63.09523,19.51219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,37.85046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,45.23809,24.39024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.21052,79.90654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526,44.39252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,59.5238,17.07317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.94736,29.43925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,53.57142,14.63414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,28.97196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,55.95238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.94736,28.97196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,65.47619,12.19512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.73684,28.97196,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8421,22.89719,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,79.7619,12.19512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.26315,26.63551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,57.14285,19.51219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
