,오스트레일리안골드 태닝 오일 스프레이  SPF  _0,오스트레일리안골드 태닝 오일 스프레이  SPF  _1,하와이안 트로픽 다크 태닝 오일_0,하와이안 트로픽 다크 태닝 오일_1,디자이너스킨 쥬시 디자이어   X 브론저 태닝로션_0,디자이너스킨 쥬시 디자이어   X 브론저 태닝로션_1,바나나보트 딥 태닝오일_0,바나나보트 딥 태닝오일_1,오스트레일리안골드 엑셀러레이터 다크 태닝스프레이젤_0,오스트레일리안골드 엑셀러레이터 다크 태닝스프레이젤_1,오스트레일리안골드 인텐시파이어 브론징 드라이 태닝오일 스프레이_0,오스트레일리안골드 인텐시파이어 브론징 드라이 태닝오일 스프레이_1,비엘렌다 매직 브론즈 셀프태닝 오일 미스트_0,비엘렌다 매직 브론즈 셀프태닝 오일 미스트_1,디자이너스킨 블랙 누아르   X 태닝로션_0,디자이너스킨 블랙 누아르   X 태닝로션_1,오스트레일리안골드 셀프 태닝로션_0,오스트레일리안골드 셀프 태닝로션_1,디자이너스킨 일루시브   X 다크 태닝로션_0,디자이너스킨 일루시브   X 다크 태닝로션_1,오스트레일리안골드 엑셀레이터 다크 태닝로션 브론저_0,오스트레일리안골드 엑셀레이터 다크 태닝로션 브론저_1,디자이너스킨 글램 슬램 듀얼 브론징 태닝로션_0,디자이너스킨 글램 슬램 듀얼 브론징 태닝로션_1,디자이너스킨 디바인리 쥬시 저자극성 인텐시파이어 얼굴 태닝로션_0,디자이너스킨 디바인리 쥬시 저자극성 인텐시파이어 얼굴 태닝로션_1,디자이너스킨   캐럿 골드러쉬   X 브론저 태닝로션_0,디자이너스킨   캐럿 골드러쉬   X 브론저 태닝로션_1,스키니탠 그래쥬얼 태너_0,스키니탠 그래쥬얼 태너_1,하와이안 트로픽 다크 태닝오일 선스크린 스프레이  SPF  _0,하와이안 트로픽 다크 태닝오일 선스크린 스프레이  SPF  _1,캐리비안 다크태닝 스프레이 오일_0,캐리비안 다크태닝 스프레이 오일_1,일리윤 세라마이드 아토 수딩 젤_0,일리윤 세라마이드 아토 수딩 젤_1,홀리카홀리카 알로에     수딩젤_0,홀리카홀리카 알로에     수딩젤_1,아로마티카 유기농 알로에 베라 젤_0,아로마티카 유기농 알로에 베라 젤_1,사임당화장품 알로젤_0,사임당화장품 알로젤_1,토니모리 알로에     촉촉 수딩젤_0,토니모리 알로에     촉촉 수딩젤_1,A24 캘리포니안 네이처 스킨 수딩겔_0,A24 캘리포니안 네이처 스킨 수딩겔_1,홀리카홀리카 알로에    수딩젤  프레쉬 _0,홀리카홀리카 알로에    수딩젤  프레쉬 _1,비욘드 제주 대나무 수딩젤_0,비욘드 제주 대나무 수딩젤_1,시드물 알로에 에센셜_0,시드물 알로에 에센셜_1,홀리카홀리카 알로에     수딩로션 인텐시브 모이스쳐라이징_0,홀리카홀리카 알로에     수딩로션 인텐시브 모이스쳐라이징_1,라네즈 프레시 카밍 퀵 모닝 마스크_0,라네즈 프레시 카밍 퀵 모닝 마스크_1,더페이스샵 신선한 제주 알로에 수딩젤_0,더페이스샵 신선한 제주 알로에 수딩젤_1,스킨푸드 허니 촉촉 보습 젤   _0,스킨푸드 허니 촉촉 보습 젤   _1,시드물 티트리 에센셜_0,시드물 티트리 에센셜_1,에뛰드 순정 수분 진정 올인원 젤_0,에뛰드 순정 수분 진정 올인원 젤_1,더샘 제주 생생 알로에 수딩 젤    _0,더샘 제주 생생 알로에 수딩 젤    _1,시드물 알로에 베라     수딩겔_0,시드물 알로에 베라     수딩겔_1,프럼네이처 이초이스 알로에베라 수딩 젤_0,프럼네이처 이초이스 알로에베라 수딩 젤_1,미샤 프리미엄 알로에 수딩젤_0,미샤 프리미엄 알로에 수딩젤_1,마녀공장 알로에 수딩 젤_0,마녀공장 알로에 수딩 젤_1
0,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,28.15533,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263,73.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,19.41747,31.57894,36.8421,60.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.46783,68.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71428
2,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.29787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.58974,28.15533,47.36842,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,5.82524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.85714
3,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.17021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,36.8932,36.8421,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.34042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,46.60194,36.8421,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,88.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857
5,0.0,0.0,26.31578,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.43589,39.80582,26.31578,84.21052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.70873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.71428
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.58974,53.39805,0.0,31.57894,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71428
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17948,48.54368,47.36842,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.78947,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,100.0
8,0.0,0.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64102,43.68932,84.21052,0.0,0.0,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.94152,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
9,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.91489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17948,39.80582,31.57894,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85714
