,티르티르 호호바 오일_0,티르티르 호호바 오일_1,티르티르 호호바 오일_2,나우푸드      퓨어 유기농 호호바 오일_0,나우푸드      퓨어 유기농 호호바 오일_1,나우푸드      퓨어 유기농 호호바 오일_2,데저트에센스 오가닉 호호바 오일_0,데저트에센스 오가닉 호호바 오일_1,데저트에센스 오가닉 호호바 오일_2,시드물 자연산 냉압착 호호바 오일_0,시드물 자연산 냉압착 호호바 오일_1,시드물 자연산 냉압착 호호바 오일_2,홀리카홀리카 굳세라 수퍼 세라마이드 에센셜 오일_0,홀리카홀리카 굳세라 수퍼 세라마이드 에센셜 오일_1,홀리카홀리카 굳세라 수퍼 세라마이드 에센셜 오일_2,아이오페 골든 글로우 페이스 오일_0,아이오페 골든 글로우 페이스 오일_1,아이오페 골든 글로우 페이스 오일_2,시드물 프리미엄 호호바 오일_0,시드물 프리미엄 호호바 오일_1,시드물 프리미엄 호호바 오일_2,네오젠 더마로지 화이트 트러플 세럼 인 오일 드롭_0,네오젠 더마로지 화이트 트러플 세럼 인 오일 드롭_1,네오젠 더마로지 화이트 트러플 세럼 인 오일 드롭_2,쥴라이 슈퍼    바운스 씬 오일_0,쥴라이 슈퍼    바운스 씬 오일_1,쥴라이 슈퍼    바운스 씬 오일_2,시드물 냉압착 호호바 오일_0,시드물 냉압착 호호바 오일_1,시드물 냉압착 호호바 오일_2,로벡틴 스킨 이센셜즈 배리어 리페어 페이스 오일_0,로벡틴 스킨 이센셜즈 배리어 리페어 페이스 오일_1,로벡틴 스킨 이센셜즈 배리어 리페어 페이스 오일_2,리얼베리어 액티브 브이 퍼스트 오일_0,리얼베리어 액티브 브이 퍼스트 오일_1,리얼베리어 액티브 브이 퍼스트 오일_2,겔랑 아베이 로얄 유쓰 워터리 오일_0,겔랑 아베이 로얄 유쓰 워터리 오일_1,겔랑 아베이 로얄 유쓰 워터리 오일_2,비오템 아쿠아수르스 매직 젤 오일_0,비오템 아쿠아수르스 매직 젤 오일_1,비오템 아쿠아수르스 매직 젤 오일_2,시드물 스킨소스 타마누 오일_0,시드물 스킨소스 타마누 오일_1,시드물 스킨소스 타마누 오일_2,눅스 윌 프로디쥬스 멀티 리치 오일_0,눅스 윌 프로디쥬스 멀티 리치 오일_1,눅스 윌 프로디쥬스 멀티 리치 오일_2,식물나라 프로폴리스 페이스오일_0,식물나라 프로폴리스 페이스오일_1,식물나라 프로폴리스 페이스오일_2,홀리카홀리카 굳세라 수퍼 세라마이드 모이스춰 밤_0,홀리카홀리카 굳세라 수퍼 세라마이드 모이스춰 밤_1,홀리카홀리카 굳세라 수퍼 세라마이드 모이스춰 밤_2,클라랑스 페이스 트리트먼트 플랜트 오일 블루 오키드_0,클라랑스 페이스 트리트먼트 플랜트 오일 블루 오키드_1,클라랑스 페이스 트리트먼트 플랜트 오일 블루 오키드_2,킵쿨 오션 딥 블루오일_0,킵쿨 오션 딥 블루오일_1,킵쿨 오션 딥 블루오일_2,네이밍 레이어드 커버 파운데이션  SPF   PA   _0,네이밍 레이어드 커버 파운데이션  SPF   PA   _1,네이밍 레이어드 커버 파운데이션  SPF   PA   _2,자빈드서울 윙크 파운데이션 팩트  SPF    PA    _0,자빈드서울 윙크 파운데이션 팩트  SPF    PA    _1,자빈드서울 윙크 파운데이션 팩트  SPF    PA    _2,바비브라운 인텐시브 스킨 세럼 파운데이션  SPF   PA    _0,바비브라운 인텐시브 스킨 세럼 파운데이션  SPF   PA    _1,바비브라운 인텐시브 스킨 세럼 파운데이션  SPF   PA    _2,동인비 자생 퍼펙트 쿠션  SPF    PA     _0,동인비 자생 퍼펙트 쿠션  SPF    PA     _1,동인비 자생 퍼펙트 쿠션  SPF    PA     _2,메이크업포에버 매트 벨벳 스킨 블러링 파우더 파운데이션_0,메이크업포에버 매트 벨벳 스킨 블러링 파우더 파운데이션_1,메이크업포에버 매트 벨벳 스킨 블러링 파우더 파운데이션_2,룩스앤메이 아우라 워터 글로우 쿠션  SPF    PA    _0,룩스앤메이 아우라 워터 글로우 쿠션  SPF    PA    _1,룩스앤메이 아우라 워터 글로우 쿠션  SPF    PA    _2,에스티 로더 퓨처리스트 아쿠아 브릴리언스 파운데이션  SPF   PA    _0,에스티 로더 퓨처리스트 아쿠아 브릴리언스 파운데이션  SPF   PA    _1,에스티 로더 퓨처리스트 아쿠아 브릴리언스 파운데이션  SPF   PA    _2,조성아22새틴 핏 레이어 쿠션  SPF   PA     _0,조성아22새틴 핏 레이어 쿠션  SPF   PA     _1,조성아22새틴 핏 레이어 쿠션  SPF   PA     _2,랑콤 뗑 이돌 롱라스팅 파운데이션  SPF   PA   _0,랑콤 뗑 이돌 롱라스팅 파운데이션  SPF   PA   _1,랑콤 뗑 이돌 롱라스팅 파운데이션  SPF   PA   _2,설화수 퍼펙팅 파운데이션  SPF   PA  _0,설화수 퍼펙팅 파운데이션  SPF   PA  _1,설화수 퍼펙팅 파운데이션  SPF   PA  _2,바닐라코 커버리셔스 파워 핏 파운데이션  SPF   PA   _0,바닐라코 커버리셔스 파워 핏 파운데이션  SPF   PA   _1,바닐라코 커버리셔스 파워 핏 파운데이션  SPF   PA   _2,미샤 래디언스 퍼펙트핏 파운데이션  SPF   PA   _0,미샤 래디언스 퍼펙트핏 파운데이션  SPF   PA   _1,미샤 래디언스 퍼펙트핏 파운데이션  SPF   PA   _2,헤라 글로우 래스팅 파운데이션  SPF   PA   _0,헤라 글로우 래스팅 파운데이션  SPF   PA   _1,헤라 글로우 래스팅 파운데이션  SPF   PA   _2,에스티 로더 더블 웨어 스테이 인 플레이스 메이크업  SPF   PA   _0,에스티 로더 더블 웨어 스테이 인 플레이스 메이크업  SPF   PA   _1,에스티 로더 더블 웨어 스테이 인 플레이스 메이크업  SPF   PA   _2,디올 포에버 스킨 글로우   H 웨어 스킨 케어링 파운데이션  SPF   PA   _0,디올 포에버 스킨 글로우   H 웨어 스킨 케어링 파운데이션  SPF   PA   _1,디올 포에버 스킨 글로우   H 웨어 스킨 케어링 파운데이션  SPF   PA   _2,정샘물 에센셜 스킨 누더 쿠션  SPF   PA   _0,정샘물 에센셜 스킨 누더 쿠션  SPF   PA   _1,정샘물 에센셜 스킨 누더 쿠션  SPF   PA   _2,나스 아쿠아 글로우 쿠션 파운데이션  SPF   PA   _0,나스 아쿠아 글로우 쿠션 파운데이션  SPF   PA   _1,나스 아쿠아 글로우 쿠션 파운데이션  SPF   PA   _2,메이크업포에버 리부트 파운데이션_0,메이크업포에버 리부트 파운데이션_1,메이크업포에버 리부트 파운데이션_2,문샷 마이크로 글래시핏 쿠션  SPF    PA     _0,문샷 마이크로 글래시핏 쿠션  SPF    PA     _1,문샷 마이크로 글래시핏 쿠션  SPF    PA     _2,머지 더 퍼스트 파운데이션  SPF   PA   _0,머지 더 퍼스트 파운데이션  SPF   PA   _1,머지 더 퍼스트 파운데이션  SPF   PA   _2
0,27.29805,100.0,77.77777,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9264,6.4935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.30892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29.24791,90.2439,100.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4935,2.5974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,35.37604,72.56097,72.64957,0.0,0.0,0.0,0.0,0.0,64.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5974,6.9264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92307,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6659,1.37174,0.0,0.0,0.0,0.0,0.0,0.0
3,40.11142,56.09756,79.48717,0.0,0.0,0.0,0.0,0.0,76.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9264,3.8961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,40.66852,55.4878,52.99145,0.0,0.0,0.0,0.0,0.0,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8961,17.31601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,9.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,38.44011,71.34146,57.26495,0.0,0.0,0.0,0.0,0.0,76.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31601,16.88311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.48054,2.88065,0.0,0.0,0.0,0.0,0.0,0.0
6,32.31197,51.82926,78.63247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.88311,25.54112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.09153,0.82304,0.0,0.0,0.0,0.0,0.0,0.0
7,28.41225,56.70731,55.55555,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.54112,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923,5.88235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,47.35376,37.80487,64.95726,0.0,0.0,0.0,62.5,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64814,18.18181,17.31601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.02288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,37.3259,40.85365,53.84615,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31601,6.4935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3707,13.44307,0.0,0.0,0.0,0.0,0.0,0.0
