,잇츠스킨 레시피 롤링 스틱 조이풀 스페셜 에디션_0,잇츠스킨 레시피 롤링 스틱 조이풀 스페셜 에디션_1,브이글램 가슴크림_0,브이글램 가슴크림_1,비쉬 아쿠아데스톡 소프트 바디 솔루션 크림_0,비쉬 아쿠아데스톡 소프트 바디 솔루션 크림_1,이솝 진저 플라이트 테라피_0,이솝 진저 플라이트 테라피_1,잇츠스킨 레시피 롤링 스틱 해피 스페셜 에디션_0,잇츠스킨 레시피 롤링 스틱 해피 스페셜 에디션_1,더 노즈 아로마테라피롤온  웨이크닝 _0,더 노즈 아로마테라피롤온  웨이크닝 _1,라운드어라운드 그린티 라벤더 마사지 오일_0,라운드어라운드 그린티 라벤더 마사지 오일_1,탄 라벤더 앤 로즈마리 배스 마사지 오일_0,탄 라벤더 앤 로즈마리 배스 마사지 오일_1,안나홀츠 아로마 슬리밍 마사지 오일_0,안나홀츠 아로마 슬리밍 마사지 오일_1,아로마티카 티트리 에센셜 오일_0,아로마티카 티트리 에센셜 오일_1,이솝 레져렉션 아로마틱 핸드 워시_0,이솝 레져렉션 아로마틱 핸드 워시_1,카밀 핸드N네일 인텐시브 플러스_0,카밀 핸드N네일 인텐시브 플러스_1,브링그린 티 룸 핸드크림  플라워티 _0,브링그린 티 룸 핸드크림  플라워티 _1,오이보스 센서티브 핸드 리페어 앤 케어 크림_0,오이보스 센서티브 핸드 리페어 앤 케어 크림_1,아베다 핸드 릴리프 _0,아베다 핸드 릴리프 _1,허바신 카밀 핸드크림 튜브_0,허바신 카밀 핸드크림 튜브_1,퓨렐 손소독제_0,퓨렐 손소독제_1,비욘드 클래식 핸드크림 딥 모이스처_0,비욘드 클래식 핸드크림 딥 모이스처_1,카밀 핸드앤 네일크림 바이탈 큐텐_0,카밀 핸드앤 네일크림 바이탈 큐텐_1,이니스프리 제주 라이프 퍼퓸드 핸드크림    월 햇살 아래 산딸기_0,이니스프리 제주 라이프 퍼퓸드 핸드크림    월 햇살 아래 산딸기_1,이니스프리 제주 라이프 퍼퓸드 핸드크림    월 핑크 코랄_0,이니스프리 제주 라이프 퍼퓸드 핸드크림    월 핑크 코랄_1,네이처리퍼블릭 핸드 앤 네이처 핸드 크림   릴리_0,네이처리퍼블릭 핸드 앤 네이처 핸드 크림   릴리_1,아비노 인텐스 릴리프 핸드크림_0,아비노 인텐스 릴리프 핸드크림_1,아트릭스 스트롱 프로텍션 크림 튜브형_0,아트릭스 스트롱 프로텍션 크림 튜브형_1,이솝 레저렉션 아로마틱 핸드 밤_0,이솝 레저렉션 아로마틱 핸드 밤_1,한율 자연을 닮은 핸드크림   서리태_0,한율 자연을 닮은 핸드크림   서리태_1,록시땅 시어 드라이 스킨 핸드 크림 시어버터 핸드크림 _0,록시땅 시어 드라이 스킨 핸드 크림 시어버터 핸드크림 _1,글리소메드 핸드 크림_0,글리소메드 핸드 크림_1,더샘 퍼퓸드 핸드 라이트 에센스  그레이프프루츠 _0,더샘 퍼퓸드 핸드 라이트 에센스  그레이프프루츠 _1,라이온 아이깨끗해 항균 폼 핸드솝 순 파우더향 _0,라이온 아이깨끗해 항균 폼 핸드솝 순 파우더향 _1,뉴트로지나 노르웨이젼 포뮬러 풋 크림_0,뉴트로지나 노르웨이젼 포뮬러 풋 크림_1,온더바디 발을씻자 코튼풋샴푸  프레쉬 레몬 민트 _0,온더바디 발을씻자 코튼풋샴푸  프레쉬 레몬 민트 _1,록시땅 시어 버터 풋 크림_0,록시땅 시어 버터 풋 크림_1,히말라야 풋 케어 크림_0,히말라야 풋 케어 크림_1,토니모리 샤이니 풋 슈퍼 필링 리퀴드_0,토니모리 샤이니 풋 슈퍼 필링 리퀴드_1,킵쿨 수드 쿨링 풋 스프레이_0,킵쿨 수드 쿨링 풋 스프레이_1,티타니아 발샴푸_0,티타니아 발샴푸_1,비단발 풋크림 프리미엄_0,비단발 풋크림 프리미엄_1,몽블리 얼음샷 발샴푸_0,몽블리 얼음샷 발샴푸_1,메디힐 파라핀 풋마스크_0,메디힐 파라핀 풋마스크_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21117,0.69211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,15.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38461,0.0,0.0,0.0,0.0,0.0,33.78378,15.97222,0.0,0.0,0.0,0.0,0.0,83.33333
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21117,0.96186,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.18918,19.44444,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19268,1.15917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72727,24.48979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.54054,21.18055,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22351,3.72105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0909,24.48979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4054,44.44444,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26358,10.39861,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,20.90909,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.91891,35.41666,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23275,27.52566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.27272,20.40816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82051,0.0,0.0,0.0,0.0,0.0,63.51351,39.58333,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,28.18181,30.61224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.02702,38.54166,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18034,81.39624,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,23.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,0.0,0.0,47.29729,36.45833,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.18497,48.02694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.63636,32.65306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.05405,40.27777,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21888,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.27272,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,52.7027,30.20833,0.0,0.0,0.0,0.0,0.0,0.0
