,유노하나 유노하나 파우더_0,유노하나 유노하나 파우더_1,러쉬 더 컴포터_0,러쉬 더 컴포터_1,플루 바디 밸런스 스크럽_0,플루 바디 밸런스 스크럽_1,비욘드 토탈 리커버리 샤워크림_0,비욘드 토탈 리커버리 샤워크림_1,플루 바디 밸런스 더 프리미엄 에디션_0,플루 바디 밸런스 더 프리미엄 에디션_1,러쉬 섹스 밤_0,러쉬 섹스 밤_1,사봉 바디스크럽   로즈티_0,사봉 바디스크럽   로즈티_1,러쉬 브라이트사이드_0,러쉬 브라이트사이드_1,온더바디 벨먼 내추럴 스파 사해소금 스크럽 바디워시_0,온더바디 벨먼 내추럴 스파 사해소금 스크럽 바디워시_1,비욘드 딥 모이스처 샤워 크림_0,비욘드 딥 모이스처 샤워 크림_1,온더바디 스파 내추럴 테라피 블랙로즈 사해소금 스크럽 바디워시_0,온더바디 스파 내추럴 테라피 블랙로즈 사해소금 스크럽 바디워시_1,러쉬 써니사이드_0,러쉬 써니사이드_1,해피바스 스킨유 스킨에멀전 샤워젤_0,해피바스 스킨유 스킨에멀전 샤워젤_1,러쉬 인터갈락틱_0,러쉬 인터갈락틱_1,사봉 바디스크럽   딜리케이트 자스민_0,사봉 바디스크럽   딜리케이트 자스민_1,지오마 리모델링 스크럽_0,지오마 리모델링 스크럽_1,일리윤 세라마이드 아토     탑투토워시_0,일리윤 세라마이드 아토     탑투토워시_1,지오마 이몰리언트 바디스크럽_0,지오마 이몰리언트 바디스크럽_1,더바디샵 핑크 그레이프후룻 샤워젤_0,더바디샵 핑크 그레이프후룻 샤워젤_1,지오마 피치코코 스크럽_0,지오마 피치코코 스크럽_1,나인위시스 화이트 톤업 바디 세럼  SPF   _0,나인위시스 화이트 톤업 바디 세럼  SPF   _1,겔랑 꼬끄 도르 퍼퓸드 쉬머 파우더 바디   헤어_0,겔랑 꼬끄 도르 퍼퓸드 쉬머 파우더 바디   헤어_1,코스노리 샤이닝 드레스 크림_0,코스노리 샤이닝 드레스 크림_1,오스트레일리안골드 코나커피 태닝로션 브론저  SPF   _0,오스트레일리안골드 코나커피 태닝로션 브론저  SPF   _1,오샐런스 보데나 렉스 스프레이_0,오샐런스 보데나 렉스 스프레이_1,베네피트 훌라 제로 탠 라인 바디 브론저_0,베네피트 훌라 제로 탠 라인 바디 브론저_1,록시땅 피브완 플로라 쉬머링 오일_0,록시땅 피브완 플로라 쉬머링 오일_1,페이스인페이스 원더렉스_0,페이스인페이스 원더렉스_1,러쉬 쉼미 쉼미_0,러쉬 쉼미 쉼미_1,밀키드레스 더 샤인 바디밤_0,밀키드레스 더 샤인 바디밤_1,베네피트 테이크 어 픽쳐 잇 래스트 롱거_0,베네피트 테이크 어 픽쳐 잇 래스트 롱거_1,라네즈 스파클링 바디쿠션_0,라네즈 스파클링 바디쿠션_1,스키니탠    아워 브론저_0,스키니탠    아워 브론저_1,세포라 컬렉션 그래듀얼 셀프 태닝 바디 로션_0,세포라 컬렉션 그래듀얼 셀프 태닝 바디 로션_1,오스트레일리안골드 그래주얼 선레스 셀프태닝 로션_0,오스트레일리안골드 그래주얼 선레스 셀프태닝 로션_1,세포라 컬렉션 글리터 하이라이터 글리터 젤_0,세포라 컬렉션 글리터 하이라이터 글리터 젤_1,부르조아 드 솔레일 브론징 페이스 바디 스프레이_0,나스 모노이 바디 글로우 브론징 바디 오일_0,나스 모노이 바디 글로우 브론징 바디 오일_1,펜티뷰티 바디 라바 바디 루미나이저_0,펜티뷰티 바디 라바 바디 루미나이저_1,러쉬 블랙 스타킹스_0,러쉬 블랙 스타킹스_1
0,0.0,0.0,49.13793,30.55555,34.69387,33.33333,0.0,100.0,0.0,0.0,88.97058,81.08108,0.0,0.0,53.33333,37.5,0.0,0.0,57.89473,0.0,0.0,0.0,12.24489,91.07142,0.0,0.0,34.88372,19.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,44.82758,30.55555,32.65306,38.88888,0.0,50.0,0.0,0.0,96.69117,65.94594,0.0,0.0,33.33333,81.25,0.0,0.0,57.89473,100.0,0.0,0.0,10.20408,37.5,0.0,0.0,23.25581,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,44.82758,20.83333,36.73469,44.44444,0.0,50.0,0.0,0.0,77.57352,65.13513,0.0,0.0,0.0,37.5,0.0,0.0,36.8421,0.0,0.0,0.0,14.28571,92.85714,0.0,0.0,55.81395,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,57.75862,22.22222,22.44897,38.88888,0.0,50.0,0.0,0.0,83.45588,50.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,16.32653,83.92857,0.0,0.0,32.55813,19.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,73.27586,22.22222,18.36734,55.55555,0.0,75.0,0.0,0.0,100.0,62.16216,0.0,0.0,40.0,37.5,0.0,0.0,0.0,50.0,0.0,0.0,14.28571,46.42857,0.0,0.0,27.90697,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,55.17241,30.55555,26.53061,50.0,0.0,68.75,0.0,0.0,86.39705,55.13513,0.0,0.0,80.0,31.25,0.0,0.0,36.8421,37.5,0.0,0.0,14.28571,62.5,0.0,0.0,37.2093,30.55555,0.0,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,48.27586,26.38888,42.85714,44.44444,0.0,56.25,0.0,0.0,82.72058,58.37837,0.0,0.0,0.0,37.5,0.0,0.0,42.10526,37.5,0.0,0.0,32.65306,76.78571,0.0,0.0,13.95348,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,50.86206,31.94444,26.53061,27.77777,0.0,75.0,0.0,0.0,86.7647,57.83783,0.0,0.0,33.33333,56.25,0.0,0.0,0.0,0.0,0.0,0.0,26.53061,80.35714,0.0,0.0,44.18604,19.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,64.65517,20.83333,18.36734,33.33333,0.0,37.5,0.0,0.0,81.25,62.43243,0.0,0.0,40.0,100.0,0.0,0.0,63.15789,0.0,0.0,0.0,0.0,66.07142,0.0,0.0,27.90697,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,56.03448,22.22222,18.36734,0.0,0.0,0.0,0.0,0.0,90.44117,56.48648,0.0,0.0,33.33333,50.0,0.0,0.0,0.0,37.5,0.0,0.0,14.28571,76.78571,0.0,0.0,37.2093,30.55555,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
