,뭄 제모젤 클래식_0,뭄 제모젤 클래식_1,질레트 비너스 스파 면도기_0,질레트 비너스 스파 면도기_1,카이 바디 면도기_0,카이 바디 면도기_1,질레트 비너스 앤 올레이 면도기_0,질레트 비너스 앤 올레이 면도기_1,왁스앤왁싱 전자렌지용 왁스_0,왁스앤왁싱 전자렌지용 왁스_1,카이 퓨어 코마치 여성 면도기_0,카이 퓨어 코마치 여성 면도기_1,질레트 비너스 임브레이스 스냅 면도기_0,질레트 비너스 임브레이스 스냅 면도기_1,지지 브라질리안 비키니 왁스_0,지지 브라질리안 비키니 왁스_1,Nad's내추럴 헤어 리무버 젤_0,Nad's내추럴 헤어 리무버 젤_1,노브랜드  중날 휴대용 면도기_0,노브랜드  중날 휴대용 면도기_1,라보에이치 프로바이오틱스 탈모증상완화 샴푸  두피강화 _0,라보에이치 프로바이오틱스 탈모증상완화 샴푸  두피강화 _1,세바메드 안티 댄드러프 샴푸_0,세바메드 안티 댄드러프 샴푸_1,아모스프로페셔널 녹차실감 샴푸  지성용 _0,아모스프로페셔널 녹차실감 샴푸  지성용 _1,아모스프로페셔널 녹차실감 샴푸  중건성 _0,아모스프로페셔널 녹차실감 샴푸  중건성 _1,암웨이 새티니크 글로시 리페어 샴푸_0,암웨이 새티니크 글로시 리페어 샴푸_1,존프리다 프리즈 이즈 미라큘러스 리커버리 샴푸_0,존프리다 프리즈 이즈 미라큘러스 리커버리 샴푸_1,수아담 클리닉 샴푸_0,수아담 클리닉 샴푸_1,닥터포헤어 씨솔트 스케일러_0,닥터포헤어 씨솔트 스케일러_1,러쉬 씨닉_0,러쉬 씨닉_1,닥터포헤어 피토테라피 샴푸_0,닥터포헤어 피토테라피 샴푸_1,러쉬 빅_0,러쉬 빅_1,암웨이 새티니크 스무드 모이스처 샴푸_0,암웨이 새티니크 스무드 모이스처 샴푸_1,하이앙포레 프리미엄 샴푸_0,하이앙포레 프리미엄 샴푸_1,아모스프로페셔널 칼라포스 프로텍티브 샴푸_0,아모스프로페셔널 칼라포스 프로텍티브 샴푸_1,비욘드 프로페셔널 디펜스 샴푸_0,비욘드 프로페셔널 디펜스 샴푸_1,더프트앤도프트 핑크브리즈 퍼퓸드 헤어 샴푸_0,더프트앤도프트 핑크브리즈 퍼퓸드 헤어 샴푸_1,하호니코 알베르 헤어 샴푸_0,하호니코 알베르 헤어 샴푸_1,로마 너리싱 샴푸_0,로마 너리싱 샴푸_1,러쉬 리햅_0,러쉬 리햅_1,록시땅 NEW 아로마 리페어 샴푸_0,록시땅 NEW 아로마 리페어 샴푸_1,존프리다 프리즈 이즈 미라큘러스 리커버리 컨디셔너_0,존프리다 프리즈 이즈 미라큘러스 리커버리 컨디셔너_1,팬틴 컨디셔닝 린스 극손상 케어_0,팬틴 컨디셔닝 린스 극손상 케어_1,존프리다 풀리페어 하이드레이트 레스큐 딥 컨디셔너_0,존프리다 풀리페어 하이드레이트 레스큐 딥 컨디셔너_1,비욘드 프로페셔널 디펜스 컨디셔너_0,비욘드 프로페셔널 디펜스 컨디셔너_1,엘라스틴 실크리페어 리커버리 컨디셔너_0,엘라스틴 실크리페어 리커버리 컨디셔너_1,엘라스틴 실크 리페어 컨디셔너  시그니처 _0,엘라스틴 실크 리페어 컨디셔너  시그니처 _1,오가니스트 내추럴 모로코 아르간 오일 컨디셔너_0,오가니스트 내추럴 모로코 아르간 오일 컨디셔너_1,로레알 파리 토탈 리페어  컨디셔너_0,로레알 파리 토탈 리페어  컨디셔너_1,미쟝센 안티에이징 린스_0,미쟝센 안티에이징 린스_1,미쟝센 퍼펙트 리페어 린스_0,미쟝센 퍼펙트 리페어 린스_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.57142,0.0,25.92592,5.01367,73.2899,27.51677,10.73825,0.0,0.0,75.0,35.48387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4054,77.6,13.2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,25.71428,0.0,29.62962,5.3783,66.61237,16.10738,14.7651,0.0,0.0,94.44444,8.06451,0.0,0.0,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,37.83783,94.4,16.26898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,28.57142,0.0,22.22222,5.19598,58.63192,24.83221,19.46308,0.0,0.0,69.44444,24.19354,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,45.94594,61.6,14.3167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571,0.0,40.74074,4.92251,66.44951,14.09395,12.75167,0.0,0.0,25.0,14.51612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.86486,48.8,11.27982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,17.14285,38.09523,51.85185,5.83409,77.85016,10.06711,24.16107,0.0,0.0,69.44444,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,28.37837,63.2,18.22125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89473,45.71428,0.0,25.92592,5.74293,74.91856,16.10738,27.51677,0.0,0.0,38.88888,0.0,0.0,0.0,57.14285,21.875,0.0,0.0,0.0,0.0,0.0,44.59459,82.4,14.96746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,48.57142,23.80952,18.51851,4.55788,76.87296,10.73825,100.0,0.0,0.0,30.55555,12.90322,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,51.35135,100.0,13.66594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85714,38.09523,18.51851,5.19598,76.05863,12.08053,48.99328,0.0,0.0,75.0,9.67741,0.0,0.0,38.09523,21.875,0.0,0.0,0.0,0.0,0.0,87.83783,82.4,13.66594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28571,0.0,62.96296,5.10483,75.57003,15.43624,38.92617,0.0,0.0,97.22222,17.74193,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,47.29729,83.2,14.75054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,31.42857,0.0,0.0,4.55788,67.75244,15.43624,33.55704,0.0,0.0,61.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.56756,97.6,20.39045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
