,아모스프로페셔널 리페어포스 키토 트리트먼트_0,아모스프로페셔널 리페어포스 키토 트리트먼트_1,아모스프로페셔널 리페어포스 키토 트리트먼트 CMC_0,아모스프로페셔널 리페어포스 키토 트리트먼트 CMC_1,츠바키 프리미엄 리페어 마스크_0,츠바키 프리미엄 리페어 마스크_1,미쟝센 퍼펙트  분 살롱 마스크팩_0,미쟝센 퍼펙트  분 살롱 마스크팩_1,로레알 파리 토탈 리페어   인스턴트 미라클 헤어팩_0,로레알 파리 토탈 리페어   인스턴트 미라클 헤어팩_1,모레모 리커버리 밤 B_0,모레모 리커버리 밤 B_1,존프리다 프리즈이즈 미라큘러스 리커버리 딥 컨디셔너_0,존프리다 프리즈이즈 미라큘러스 리커버리 딥 컨디셔너_1,아모스프로페셔널 칼라포스 리브 인 트리트먼트_0,아모스프로페셔널 칼라포스 리브 인 트리트먼트_1,아쿠아더마 아쿠아큐링 헤어트리트먼트_0,아쿠아더마 아쿠아큐링 헤어트리트먼트_1,허니체 데미지 리페어 헤어 마스크_0,허니체 데미지 리페어 헤어 마스크_1,헤드스파7 트리트먼트_0,헤드스파7 트리트먼트_1,에스테티카 릴렉스 헤어마스크_0,에스테티카 릴렉스 헤어마스크_1,투쿨포스쿨 에그 레미디 헤어 팩_0,투쿨포스쿨 에그 레미디 헤어 팩_1,허니체 딥 모이스트 리페어 헤어 마스크_0,허니체 딥 모이스트 리페어 헤어 마스크_1,허니체 모이스처 헤어 마스크 와이_0,허니체 모이스처 헤어 마스크 와이_1,닥터포헤어 카올린 스칼프 팩_0,닥터포헤어 카올린 스칼프 팩_1,팬틴 골든미라클 트리트먼트  극손상케어 _0,팬틴 골든미라클 트리트먼트  극손상케어 _1,레이티드 그린 리얼시어 프로틴 리차징 리브인 트리트먼트_0,레이티드 그린 리얼시어 프로틴 리차징 리브인 트리트먼트_1,모레모 헤어 트리트먼트 미라클  X_0,모레모 헤어 트리트먼트 미라클  X_1,무코타 I 트리트먼트_0,무코타 I 트리트먼트_1,커리쉴 루트 레미디 스칼프 토닉_0,커리쉴 루트 레미디 스칼프 토닉_1,피토더마 티테라피 두피팅처_0,피토더마 티테라피 두피팅처_1,라우쉬 스위스 허벌 헤어 토닉_0,라우쉬 스위스 허벌 헤어 토닉_1,아모스프로페셔널 녹차실감 인텐시브 토닉_0,아모스프로페셔널 녹차실감 인텐시브 토닉_1,테라픽 프리미엄 토탈 헤어토닉_0,테라픽 프리미엄 토탈 헤어토닉_1,달리프 클로렐라 베러 루트 헤어토닉_0,달리프 클로렐라 베러 루트 헤어토닉_1,애터미 애터미 액 탈모케어 _0,애터미 애터미 액 탈모케어 _1,시드물 닥터트럽 스칼프 토닉_0,시드물 닥터트럽 스칼프 토닉_1,아베다 인바티 어드밴스드  스칼프 리바이탈라이저_0,아베다 인바티 어드밴스드  스칼프 리바이탈라이저_1,아로마티카 로즈마리 루트 인핸서_0,아로마티카 로즈마리 루트 인핸서_1,라우쉬 오리지널 헤어 팅크처_0,라우쉬 오리지널 헤어 팅크처_1,비욘드 프로페셔널 디펜스 스캘프 토닉_0,비욘드 프로페셔널 디펜스 스캘프 토닉_1,리클리 RECLE AP 데일리 스칼프 토닉  리클리 토닉 _0,리클리 RECLE AP 데일리 스칼프 토닉  리클리 토닉 _1,닥터포헤어 세범 컨트롤 토닉_0,닥터포헤어 세범 컨트롤 토닉_1,다슈 데일리 안티 헤어로스 허브 헤어토닉_0,다슈 데일리 안티 헤어로스 허브 헤어토닉_1,힐링버드 스칼프 클리어센트 스틱  프리지아 그린부케 향 _0,힐링버드 스칼프 클리어센트 스틱  프리지아 그린부케 향 _1,프리메라 블랙씨드 스칼프 릴리프 헤어 토닉_0,프리메라 블랙씨드 스칼프 릴리프 헤어 토닉_1,달리프 클로렐라 베러 루트 쿨링 스프레이_0,달리프 클로렐라 베러 루트 쿨링 스프레이_1,닥터포헤어 폴리젠 스팟 이펙터_0,닥터포헤어 폴리젠 스팟 이펙터_1,어헤즈 프리미엄 히든 테라피 토닉_0,어헤즈 프리미엄 히든 테라피 토닉_1
0,0.0,0.0,0.0,0.0,72.41379,48.74213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31058,39.67874,52.94117,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,24.28571,26.44628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
1,0.0,50.0,0.0,0.0,35.63218,32.07547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.49985,37.92055,29.41176,30.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86956,13.04347,0.0,0.0,38.57142,23.14049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,100.0
2,0.0,66.66666,0.0,0.0,21.83908,30.50314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.73957,29.32494,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.28571,28.09917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.38095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,41.66666
3,0.0,0.0,0.0,0.0,22.9885,25.78616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.09798,25.6566,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,21.73913,0.0,0.0,24.28571,22.31404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666
4,0.0,0.0,0.0,0.0,24.13793,24.84276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.36045,23.05187,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,19.56521,0.0,0.0,41.42857,17.35537,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,25.28735,22.95597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.40565,19.96961,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,0.0,31.42857,20.66115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,100.0,0.0,0.0,47.12643,21.06918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06036,29.97612,29.41176,50.0,0.0,55.55555,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,0.0,0.0,0.0,28.57142,25.61983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
7,0.0,50.0,0.0,0.0,54.02298,20.12578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,13.93992,22.33557,76.47058,65.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.26086,15.21739,0.0,0.0,24.28571,24.79338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11111,71.42857,0.0,75.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
8,0.0,0.0,0.0,0.0,56.32183,25.78616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.55234,23.61623,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,0.0,0.0,0.0,42.85714,17.35537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,62.06896,15.4088,0.0,0.0,0.0,0.0,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.85855,25.9822,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,0.0,0.0,0.0,71.42857,12.39669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
