,바티스트 드라이샴푸 브라이트 라이브리 플로랄_0,바티스트 드라이샴푸 브라이트 라이브리 플로랄_1,네이처리퍼블릭 자연의 올리브  분 드라이 샴푸_0,네이처리퍼블릭 자연의 올리브  분 드라이 샴푸_1,코레스 아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어_0,코레스 아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어_1,낫유어마더스 클릭 프릭 리프레싱 드라이 샴푸_0,낫유어마더스 클릭 프릭 리프레싱 드라이 샴푸_1,모로칸오일 드라이 샴푸_0,모로칸오일 드라이 샴푸_1,헤어커투어 드라이 샴푸 레즐리 핑크_0,헤어커투어 드라이 샴푸 레즐리 핑크_1,코랩 드라이 샴푸   엑소틱_0,코랩 드라이 샴푸   엑소틱_1,클로란 오트밀크 드라이샴푸_0,클로란 오트밀크 드라이샴푸_1,프리맨 피스트 웨이비 컬리 헤어 드라이 샴푸_0,프리맨 피스트 웨이비 컬리 헤어 드라이 샴푸_1,퓨어베스 노웨이팅 드라이샴푸   스위트_0,퓨어베스 노웨이팅 드라이샴푸   스위트_1,모로칸오일 트리트먼트 오리지날_0,모로칸오일 트리트먼트 오리지날_1,시드물 헤어 테라피_0,시드물 헤어 테라피_1,모로칸오일 라이트 오일 트리트먼트_0,모로칸오일 라이트 오일 트리트먼트_1,아모스프로페셔널 리페어포스 헤어BB크림_0,아모스프로페셔널 리페어포스 헤어BB크림_1,아모스프로페셔널 컬링 에센스  X_0,아모스프로페셔널 컬링 에센스  X_1,디올 미스 디올 헤어 미스트_0,디올 미스 디올 헤어 미스트_1,로레알 파리 엑스트라 오디네리 오일 엑스트라 리치_0,로레알 파리 엑스트라 오디네리 오일 엑스트라 리치_1,로레알 파리 엑스트라 오디네리 오일 리치_0,로레알 파리 엑스트라 오디네리 오일 리치_1,로레알 파리 토탈리페어  세럼 프로엑스_0,로레알 파리 토탈리페어  세럼 프로엑스_1,아모스프로페셔널 소프트닝 컨디셔너_0,아모스프로페셔널 소프트닝 컨디셔너_1,케라스타즈 레지스턴스 시몽 테르미크_0,케라스타즈 레지스턴스 시몽 테르미크_1,에스테티카 데미지 케어 컨센트레이트_0,에스테티카 데미지 케어 컨센트레이트_1,엘립스 헤어비타민 헤어 트리트먼트_0,엘립스 헤어비타민 헤어 트리트먼트_1,힐링버드 울트라 프로틴 헤어오일 리치_0,힐링버드 울트라 프로틴 헤어오일 리치_1,커리쉴 실키 오일 세럼_0,커리쉴 실키 오일 세럼_1,루시도엘 아르간 헤어 트리트먼트 오일_0,루시도엘 아르간 헤어 트리트먼트 오일_1,샤넬 샹스 오 땅드르 헤어 미스트_0,샤넬 샹스 오 땅드르 헤어 미스트_1,아모스프로페셔널 리페어포스 테라피 에센셜 오일_0,아모스프로페셔널 리페어포스 테라피 에센셜 오일_1,록시땅 아로마 리페어 오일_0,록시땅 아로마 리페어 오일_1,로레알 파리 엑스트라 오디네리 보태니컬 오일_0,로레알 파리 엑스트라 오디네리 보태니컬 오일_1,로레알 파리 에르네뜨 스프레이_0,로레알 파리 에르네뜨 스프레이_1,이니스프리 카멜리아 에센셜 잔머리 스틱 왁스_0,이니스프리 카멜리아 에센셜 잔머리 스틱 왁스_1,새한화장품 글로발 체리 미러클 휘니쉬_0,새한화장품 글로발 체리 미러클 휘니쉬_1,마쉐리 컬 셋 로션 EX_0,마쉐리 컬 셋 로션 EX_1,지비에이치 코스메틱 볼륨 미스트_0,지비에이치 코스메틱 볼륨 미스트_1,루시도엘 스프레이 수퍼하드_0,루시도엘 스프레이 수퍼하드_1,포레스트 스토리 슈퍼하드 워터스프레이_0,포레스트 스토리 슈퍼하드 워터스프레이_1,러쉬 알앤비_0,러쉬 알앤비_1,폴미첼 프리즈 앤 샤인 슈퍼 스프레이_0,폴미첼 프리즈 앤 샤인 슈퍼 스프레이_1,네이처리퍼블릭 허브 스타일링 헤어 스프레이_0,네이처리퍼블릭 허브 스타일링 헤어 스프레이_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,61.11111,76.85185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,33.33333,0.0,0.0,57.14285,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,51.72413,0.0,38.59649,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,47.22222,50.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,23.80952,0.0,0.0,78.57142,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,51.72413,0.0,42.10526,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6923,0.0,0.0,0.0,37.96296,48.14814,0.0,0.0,0.0,0.0,13.63636,0.0,0.0,0.0,61.53846,23.80952,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35294,44.82758,0.0,31.57894,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,0.0,0.0,0.0,43.51851,50.0,0.0,0.0,0.0,0.0,15.90909,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,0.0,0.0,43.85964,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,83.33333,0.0,0.0,43.51851,51.85185,0.0,0.0,0.0,0.0,11.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.23529,27.5862,0.0,49.1228,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.30769,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,58.33333,0.0,0.0,62.96296,51.85185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,24.13793,85.71428,35.08771,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,50.0,0.0,0.0,51.85185,52.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,37.93103,0.0,40.35087,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,66.66666,0.0,0.0,56.48148,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,42.85714,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58823,44.82758,0.0,31.57894,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.48148,49.07407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,38.09523,0.0,0.0,50.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,35.29411,62.06896,0.0,24.5614,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,58.33333,0.0,0.0,25.0,69.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.30769,57.14285,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,55.17241,0.0,28.07017,0.0,0.0
