,웰라 프로페셔널즈 블론더 멀티 블론드 파우더 탈색약 탈색제_0,웰라 프로페셔널즈 블론더 멀티 블론드 파우더 탈색약 탈색제_1,로레알 프로페셔널 파리 마지렐 쿨커버_0,로레알 프로페셔널 파리 마지렐 쿨커버_1,로레알 프로페셔널 파리 마지렐 염색약_0,로레알 프로페셔널 파리 마지렐 염색약_1,마몽드 팡팡 헤어 섀도우_0,마몽드 팡팡 헤어 섀도우_1,사랑새 안토시아닌 헤어 매니큐어_0,사랑새 안토시아닌 헤어 매니큐어_1,리엔 흑모비책 크림 염색_0,리엔 흑모비책 크림 염색_1,더페이스샵 퀵 헤어 섀도우_0,더페이스샵 퀵 헤어 섀도우_1,헤이 씨리얼 헤어컬러_0,헤이 씨리얼 헤어컬러_1,더페이스샵 퀵 헤어 퍼프_0,더페이스샵 퀵 헤어 퍼프_1,웰라 프로페셔널즈 콜레스톤 퍼펙트 염모제_0,웰라 프로페셔널즈 콜레스톤 퍼펙트 염모제_1,이니스프리 리얼 헤어 메이크업 젤리 컨실러_0,이니스프리 리얼 헤어 메이크업 젤리 컨실러_1,토니모리 메이크 에이치디 헤어 블리치_0,토니모리 메이크 에이치디 헤어 블리치_1,아리따움 컬러라이즈 헤어 블리치_0,아리따움 컬러라이즈 헤어 블리치_1,페인토즈 컬러 트리트먼트 페인트_0,페인토즈 컬러 트리트먼트 페인트_1,려 헤어쿠션_0,려 헤어쿠션_1,시세이도 프로페셔널 크리스탈라이징 스트레이트_0,시세이도 프로페셔널 크리스탈라이징 스트레이트_1,에뛰드 투톤 트리트먼트 헤어 컬러_0,에뛰드 투톤 트리트먼트 헤어 컬러_1,네이처리퍼블릭 시크릿 헤어 라이너_0,네이처리퍼블릭 시크릿 헤어 라이너_1,셀리한센 크림 헤어 블리치_0,셀리한센 크림 헤어 블리치_1,로레알 파리 엑셀랑스 크림_0,로레알 파리 엑셀랑스 크림_1,웻브러쉬 WET 브러쉬_0,웻브러쉬 WET 브러쉬_1,탱글티저 오리지널_0,탱글티저 오리지널_1,아베다 우든 패들 브러시_0,아베다 우든 패들 브러시_1,탱글티저 컴팩트 스타일러_0,탱글티저 컴팩트 스타일러_1,아이캔디 레인보우 볼륨 S 브러시_0,아이캔디 레인보우 볼륨 S 브러시_1,다이소 브러시형 두피 마사지기_0,다이소 브러시형 두피 마사지기_1,다이소 헤어고정시트_0,다이소 헤어고정시트_1,탱글티저 살롱 엘리트_0,탱글티저 살롱 엘리트_1,탱글엔젤 영국런던 헤어 브러시_0,탱글엔젤 영국런던 헤어 브러시_1,다이소 집게형헤어컬_0,다이소 집게형헤어컬_1,아이캔디 레인보우 볼륨 S 브러쉬 컴팩트_0,아이캔디 레인보우 볼륨 S 브러쉬 컴팩트_1,올리브영 앞머리 헤어롤_0,올리브영 앞머리 헤어롤_1,다이소 Wet앤탱글 쿠션브러시_0,다이소 Wet앤탱글 쿠션브러시_1,아이캔디 레인보우 반달 브러쉬_0,아이캔디 레인보우 반달 브러쉬_1,다이소 리본형 헤어고정시트_0,다이소 리본형 헤어고정시트_1,올리브영 두피마사지 샴푸 브러쉬_0,올리브영 두피마사지 샴푸 브러쉬_1,다이소 샴푸 브러쉬_0,다이소 샴푸 브러쉬_1,에뛰드 마이뷰티툴 러블리에띠 스탠딩 헤어브러쉬_0,에뛰드 마이뷰티툴 러블리에띠 스탠딩 헤어브러쉬_1,올리브영 올리브영알루미늄헤어롤_0,올리브영 올리브영알루미늄헤어롤_1,올리브영 집게 헤어롤_0,올리브영 집게 헤어롤_1
0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.14634,61.66666,4.91071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.66871,4.4621,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,88.50574,47.18309,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95238,31.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09836,71.64179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,6.72451,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,85.36585,71.66666,10.26785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.42331,5.31784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.35632,48.59154,0.0,0.0,25.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85714,31.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2459,83.58208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.76923,5.20607,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65853,46.66666,12.05357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,53.98773,9.10757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.50574,38.73239,0.0,0.0,35.71428,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.04761,31.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.21311,80.59701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.20512,7.15835,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.4878,70.0,10.26785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.76073,4.4621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.06896,50.70422,0.0,0.0,17.85714,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23809,31.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.37704,74.62686,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,47.17948,8.67678,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29268,48.33333,23.21428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2822,4.52322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57471,61.2676,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.19047,45.71428,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.18032,55.22388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,6.50759,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.09756,100.0,10.26785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.62576,3.78973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.45977,53.52112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85714,17.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.42622,59.70149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,6.94143,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,56.09756,68.33333,10.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,60.12269,5.62347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51724,53.52112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.38095,37.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9836,50.74626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.46153,7.80911,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,65.85365,48.33333,13.39285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,48.46625,6.05134,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,70.11494,52.8169,0.0,0.0,0.0,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.45901,61.19402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.30769,6.18221,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,34.375,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.14634,65.0,12.05357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.55828,8.31295,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,62.06896,57.04225,0.0,0.0,21.42857,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,17.14285,25.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.54098,34.32835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.61538,5.31453,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,53.125,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,75.60975,50.0,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.53374,7.21271,0.0,0.0,7.5,0.0,100.0,0.0,0.0,0.0,58.62068,44.36619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.90476,37.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.06557,74.62686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.46153,6.94143,0.0,0.0,0.0,0.0,0.0,0.0
