,아리따움 모디 컬러 네일즈_0,아리따움 모디 컬러 네일즈_1,웨이크메이크 네일건_0,웨이크메이크 네일건_1,캐시캣 코드네일_0,캐시캣 코드네일_1,에뛰드 플레이 네일_0,에뛰드 플레이 네일_1,이니스프리 리얼 컬러 네일_0,이니스프리 리얼 컬러 네일_1,데보라립만 글리터 네일폴리쉬_0,데보라립만 글리터 네일폴리쉬_1,미샤 젤라틱 네일 폴리쉬_0,미샤 젤라틱 네일 폴리쉬_1,유키 젤네일 컬러_0,유키 젤네일 컬러_1,엘르걸 워너비 네일즈_0,엘르걸 워너비 네일즈_1,스킨푸드 생과일 네일  플럼 멜로우 _0,스킨푸드 생과일 네일  플럼 멜로우 _1,더샘 네일 웨어 젤 탑코트_0,더샘 네일 웨어 젤 탑코트_1,이니스프리 네일 탑코트_0,이니스프리 네일 탑코트_1,세쉐 Seche Vite 드라이 패스트 탑코트_0,세쉐 Seche Vite 드라이 패스트 탑코트_1,스킨푸드 허니 젤네일 탑코트_0,스킨푸드 허니 젤네일 탑코트_1,오피아이 탑코트_0,오피아이 탑코트_1,웨이크메이크 네일건 탑코트_0,웨이크메이크 네일건 탑코트_1,다이소 매트 탑코트_0,다이소 매트 탑코트_1,미샤 젤라틱 네일 폴리쉬  탑코트 _0,미샤 젤라틱 네일 폴리쉬  탑코트 _1,아리따움 모디 메가 탑코트_0,아리따움 모디 메가 탑코트_1,오피아이 베이스 코트_0,오피아이 베이스 코트_1,GRACIA지젤리 베이스젤_0,GRACIA지젤리 베이스젤_1,아리따움 모디 탑 젤_0,아리따움 모디 탑 젤_1,이니스프리 네일 베이스 코트_0,이니스프리 네일 베이스 코트_1,네이처리퍼블릭 컬러 앤 네이처 네일 케어 베이스 코트_0,네이처리퍼블릭 컬러 앤 네이처 네일 케어 베이스 코트_1,에뛰드 플레이 네일 스무딩 베이스 코트_0,에뛰드 플레이 네일 스무딩 베이스 코트_1,셀리한센 인스타드라이 탑코트_0,셀리한센 인스타드라이 탑코트_1,토니모리 토니네일 젤광 젤탑코트_0,토니모리 토니네일 젤광 젤탑코트_1,띵크오브네일 돼지탑_0,띵크오브네일 돼지탑_1,이니스프리 네일 젤탑코트_0,이니스프리 네일 젤탑코트_1,디어러스 라라네일탑 베이스코트_0,디어러스 라라네일탑 베이스코트_1,오호라 세미 큐어 젤  네일 _0,오호라 세미 큐어 젤  네일 _1,데싱디바  네일 팔레트 컬렉션  글로스 젤네일 스트립_0,데싱디바  네일 팔레트 컬렉션  글로스 젤네일 스트립_1,아리따움 모디 쥬얼 스티커_0,아리따움 모디 쥬얼 스티커_1,데싱디바  빅스톤 컬렉션  매직프레스 슈퍼 슬림핏_0,데싱디바  빅스톤 컬렉션  매직프레스 슈퍼 슬림핏_1,데싱디바  글램무브 컬렉션  글로스 젤네일 스트립_0,데싱디바  글램무브 컬렉션  글로스 젤네일 스트립_1,데싱디바 매직프레스 프리미엄_0,데싱디바 매직프레스 프리미엄_1,젤라또팩토리 하또하또핏 PRO 네일_0,젤라또팩토리 하또하또핏 PRO 네일_1,이니스프리 셀프 네일 스티커   디자인_0,이니스프리 셀프 네일 스티커   디자인_1,아리따움 모디 젤 네일 디자인 팁_0,아리따움 모디 젤 네일 디자인 팁_1,미샤 프렌치네일 팁 라이너_0,미샤 프렌치네일 팁 라이너_1
0,0.0,0.0,62.60869,42.75362,0.0,0.0,59.0909,8.85416,77.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,83.33333,73.91304,39.13043,0.0,0.0,36.36363,9.89583,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14465,0.0,0.0
2,0.0,0.0,60.0,48.55072,0.0,0.0,54.54545,100.0,44.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,82.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14465,0.0,0.0
3,0.0,0.0,77.3913,39.85507,0.0,0.0,45.45454,45.3125,44.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,53.04347,49.27536,0.0,0.0,72.72727,39.0625,24.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91823,0.0,0.0
5,0.0,0.0,88.69565,100.0,0.0,0.0,59.0909,11.97916,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,84.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,66.66666,0.0,75.65217,74.63768,0.0,0.0,54.54545,4.6875,32.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,84.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40251,0.0,0.0
7,50.0,0.0,56.52173,63.04347,0.0,0.0,50.0,2.60416,48.23529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03144,0.0,0.0
8,0.0,0.0,63.47826,39.85507,0.0,0.0,40.90909,5.72916,51.7647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,94.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77358,0.0,0.0
9,0.0,0.0,58.26086,43.47826,0.0,0.0,77.27272,5.20833,15.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3522,0.0,0.0
