,어퓨 수퍼 파워 네일 리무버_0,어퓨 수퍼 파워 네일 리무버_1,오피아이 넌 아세톤 리무버_0,오피아이 넌 아세톤 리무버_1,엘르걸 스위트 네일 리무버_0,엘르걸 스위트 네일 리무버_1,닥터원더 세라믹 포켓 루즈스킨 리무버_0,닥터원더 세라믹 포켓 루즈스킨 리무버_1,미샤 셀프 네일 살롱 리무버  아세톤 프리 _0,미샤 셀프 네일 살롱 리무버  아세톤 프리 _1,데싱디바 매직 오프   케어_0,데싱디바 매직 오프   케어_1,오피아이 엑스퍼트터치 리무버_0,오피아이 엑스퍼트터치 리무버_1,토니모리 토니네일 리무버_0,토니모리 토니네일 리무버_1,웨이크메이크 퍼펙트 네일 리무버_0,웨이크메이크 퍼펙트 네일 리무버_1,프로랑스 비타민 네일 리무버_0,프로랑스 비타민 네일 리무버_1,오호라 젤램프_0,오호라 젤램프_1,위드샨 루비푸셔_0,위드샨 루비푸셔_1,다이소 네일아트 스틱_0,다이소 네일아트 스틱_1,뷰닉스 UV gel lamp  sup    _0,뷰닉스 UV gel lamp  sup    _1,다이소  WAY네일버퍼 오목형 _0,다이소  WAY네일버퍼 오목형 _1,다이소 우드 파일_0,다이소 우드 파일_1,위드샨 프로 젤램프_0,위드샨 프로 젤램프_1,다이소 세라믹 양면 네일푸셔 파일_0,다이소 세라믹 양면 네일푸셔 파일_1,위드샨 핀셋 무광블랙 _0,위드샨 핀셋 무광블랙 _1,위드샨 꾹꾹이_0,위드샨 꾹꾹이_1,이니스프리 뷰티툴 네일 에모리 보드_0,이니스프리 뷰티툴 네일 에모리 보드_1,이니스프리 UV LED 젤램프_0,이니스프리 UV LED 젤램프_1,젤라또팩토리 하또하또 젤램프_0,젤라또팩토리 하또하또 젤램프_1,더샘 네일 푸셔_0,더샘 네일 푸셔_1,필리밀리  단계 사각 버퍼_0,필리밀리  단계 사각 버퍼_1,스킨푸드 네일 컬러 쉐이킹 볼_0,스킨푸드 네일 컬러 쉐이킹 볼_1,필리밀리 손톱깎이  소 _0,필리밀리 손톱깎이  소 _1,네이처리퍼블릭 뷰티 툴 에모리 보드_0,네이처리퍼블릭 뷰티 툴 에모리 보드_1,위드샨 이피다 램프_0,위드샨 이피다 램프_1,미샤 셀프 네일 살롱 큐티클 푸셔_0,미샤 셀프 네일 살롱 큐티클 푸셔_1,시크릿데이 입는 오버나이트_0,시크릿데이 입는 오버나이트_1,화이트 입는 오버나이트_0,화이트 입는 오버나이트_1,한나 중형_0,한나 중형_1,좋은느낌입는 오버나이트_0,좋은느낌입는 오버나이트_1,암웨이 후아 내추럴 순면커버 생리대 대형_0,암웨이 후아 내추럴 순면커버 생리대 대형_1,미샤 타임 레볼루션 개똥쑥 약산성 여성청결제_0,미샤 타임 레볼루션 개똥쑥 약산성 여성청결제_1,좋은느낌수퍼롱 오버나이트_0,좋은느낌수퍼롱 오버나이트_1,플레이텍스 플레이텍스 젠틀 글라이드      수퍼 _0,플레이텍스 플레이텍스 젠틀 글라이드      수퍼 _1,프리메라 후리 앤 후리 티슈_0,프리메라 후리 앤 후리 티슈_1,프리메라 후리 앤 후리_0,프리메라 후리 앤 후리_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48351,41.15523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0238,28.44574,33.46456,76.26582,0.0,0.0,46.52114,40.19138,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,67.94871,14.19354
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08791,42.23826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35119,50.14662,33.26771,87.34177,0.0,0.0,42.83765,55.50239,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,84.61538,20.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17582,48.73646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.40476,41.34897,38.38582,84.17721,0.0,0.0,59.618,55.02392,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,67.94871,16.55913
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.97802,48.01444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.56547,41.93548,35.62992,73.73417,0.0,0.0,65.62073,53.58851,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,38.46153,70.51282,19.35483
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.31868,36.10108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5119,46.04105,44.29133,81.32911,0.0,0.0,57.57162,51.19617,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,71.42857,0.0,74.35897,19.13978
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.10989,45.84837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.89285,43.1085,37.59842,100.0,0.0,0.0,64.80218,52.15311,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,39.74358,20.86021
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26373,51.98555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.73809,39.29618,39.76377,67.0886,0.0,0.0,57.16234,42.10526,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,71.79487,18.92473
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26373,27.79783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,29.61876,36.02362,70.56962,0.0,0.0,50.61391,43.0622,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,84.61538,18.92473
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25274,38.62815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.84523,34.6041,27.16535,54.11392,0.0,0.0,43.6562,57.89473,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,78.20512,16.55913
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.18681,33.93501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.03571,40.76246,27.7559,53.48101,0.0,0.0,55.66166,49.76076,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,79.48717,12.90322
