,캔메이크 시크릿 뷰티 파우더_0,캔메이크 시크릿 뷰티 파우더_1,캔메이크 시크릿 뷰티 파우더_2,어퓨 미네랄     HD 파우더_0,어퓨 미네랄     HD 파우더_1,어퓨 미네랄     HD 파우더_2,더샘 샘물 퍼펙트 포어 팩트_0,더샘 샘물 퍼펙트 포어 팩트_1,더샘 샘물 퍼펙트 포어 팩트_2,시드물 닥터트럽 피지제로 센텔라파우더_0,시드물 닥터트럽 피지제로 센텔라파우더_1,시드물 닥터트럽 피지제로 센텔라파우더_2,지방시 뷰티 프리즘 리브르_0,지방시 뷰티 프리즘 리브르_1,지방시 뷰티 프리즘 리브르_2,로라메르시에 미네랄 파우더  SPF   _0,로라메르시에 미네랄 파우더  SPF   _1,로라메르시에 미네랄 파우더  SPF   _2,에스쁘아 퍼펙트 오일 컨트롤 프레스드 파우더_0,에스쁘아 퍼펙트 오일 컨트롤 프레스드 파우더_1,에스쁘아 퍼펙트 오일 컨트롤 프레스드 파우더_2,마죠리카 마죠르카 프레스트 포어 커버_0,마죠리카 마죠르카 프레스트 포어 커버_1,마죠리카 마죠르카 프레스트 포어 커버_2,미샤 세범 컷 파우더 팩트_0,미샤 세범 컷 파우더 팩트_1,미샤 세범 컷 파우더 팩트_2,미팩토리 뿌숭뿌숭 파우더 팩트_0,미팩토리 뿌숭뿌숭 파우더 팩트_1,미팩토리 뿌숭뿌숭 파우더 팩트_2,나스 소프트 매트 컴플리트 컨실러_0,나스 소프트 매트 컴플리트 컨실러_1,나스 소프트 매트 컴플리트 컨실러_2,나스 래디언트 크리미 컨실러_0,나스 래디언트 크리미 컨실러_1,나스 래디언트 크리미 컨실러_2,맥 스튜디오 컨실러 앤 코렉트 팔레트_0,맥 스튜디오 컨실러 앤 코렉트 팔레트_1,맥 스튜디오 컨실러 앤 코렉트 팔레트_2,페리페라 더블 롱 웨어 커버 컨실러_0,페리페라 더블 롱 웨어 커버 컨실러_1,페리페라 더블 롱 웨어 커버 컨실러_2,웨이크메이크 디파이닝 커버 컨실러_0,웨이크메이크 디파이닝 커버 컨실러_1,웨이크메이크 디파이닝 커버 컨실러_2,에스티 로더 더블웨어 플로리스 컨실러_0,에스티 로더 더블웨어 플로리스 컨실러_1,에스티 로더 더블웨어 플로리스 컨실러_2,홀리카홀리카 하드커버 리퀴드 컨실러  SPF   PA   _0,홀리카홀리카 하드커버 리퀴드 컨실러  SPF   PA   _1,홀리카홀리카 하드커버 리퀴드 컨실러  SPF   PA   _2,클리오 킬 커버 에어리핏 컨실러_0,클리오 킬 커버 에어리핏 컨실러_1,클리오 킬 커버 에어리핏 컨실러_2,더샘 더마 웨어 컨실러  SPF   PA   _0,더샘 더마 웨어 컨실러  SPF   PA   _1,더샘 더마 웨어 컨실러  SPF   PA   _2,에스쁘아 테이핑 컨실러 롱웨어_0,에스쁘아 테이핑 컨실러 롱웨어_1,에스쁘아 테이핑 컨실러 롱웨어_2,메이크업포에버 풀 커버_0,메이크업포에버 풀 커버_1,메이크업포에버 풀 커버_2,이니스프리 마이 컨실러  다크서클 커버 _0,이니스프리 마이 컨실러  다크서클 커버 _1,이니스프리 마이 컨실러  다크서클 커버 _2,나스 스틱 컨실러_0,나스 스틱 컨실러_1,나스 스틱 컨실러_2,로라메르시에 시크릿 카뮤플라지_0,로라메르시에 시크릿 카뮤플라지_1,로라메르시에 시크릿 카뮤플라지_2,맥 프로 롱웨어 컨실러_0,맥 프로 롱웨어 컨실러_1,맥 프로 롱웨어 컨실러_2,이니스프리 마이 컨실러  와이드 커버 _0,이니스프리 마이 컨실러  와이드 커버 _1,이니스프리 마이 컨실러  와이드 커버 _2,더샘 스튜디오 컨실러  SPF    PA   _0,더샘 스튜디오 컨실러  SPF    PA   _1,더샘 스튜디오 컨실러  SPF    PA   _2,바비브라운 인스턴트 풀커버 컨실러_0,바비브라운 인스턴트 풀커버 컨실러_1,바비브라운 인스턴트 풀커버 컨실러_2,마루빌츠 케머플라지 크림_0,마루빌츠 케머플라지 크림_1,마루빌츠 케머플라지 크림_2,삐아 라스트 컨실러_0,삐아 라스트 컨실러_1,삐아 라스트 컨실러_2,에뛰드 글로우 온 베이스  오일볼륨 _0,에뛰드 글로우 온 베이스  오일볼륨 _1,에뛰드 글로우 온 베이스  오일볼륨 _2,이니스프리 심플라벨 틴티드 모이스처라이저  SPF    PA    _0,이니스프리 심플라벨 틴티드 모이스처라이저  SPF    PA    _1,이니스프리 심플라벨 틴티드 모이스처라이저  SPF    PA    _2,나스 래디언스 프라이머  SPF   PA    _0,나스 래디언스 프라이머  SPF   PA    _1,나스 래디언스 프라이머  SPF   PA    _2,에뛰드 글로우 온 베이스  하이드라 _0,에뛰드 글로우 온 베이스  하이드라 _1,에뛰드 글로우 온 베이스  하이드라 _2,입생로랑 뚜쉬 에끌라 블러 프라이머_0,입생로랑 뚜쉬 에끌라 블러 프라이머_1,입생로랑 뚜쉬 에끌라 블러 프라이머_2,더샘 쓰리 엣지 글로우 베이스_0,더샘 쓰리 엣지 글로우 베이스_1,더샘 쓰리 엣지 글로우 베이스_2,겔랑 로르 래디언스 베이스_0,겔랑 로르 래디언스 베이스_1,겔랑 로르 래디언스 베이스_2,코드글로컬러 M  하이드로 프라이머_0,코드글로컬러 M  하이드로 프라이머_1,코드글로컬러 M  하이드로 프라이머_2,에뛰드 피지쏙 포어 프라이머_0,에뛰드 피지쏙 포어 프라이머_1,에뛰드 피지쏙 포어 프라이머_2,미샤 글로우 스킨밤_0,미샤 글로우 스킨밤_1,미샤 글로우 스킨밤_2
0,0.0,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,4.79797,12.62135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,45.3125,47.70642,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,41.50943,83.92857,0.0,0.0,0.0,0.0,0.0,0.0,38.15789,27.5862,24.82758,0.0,0.0,0.0,0.0,0.0,0.0,45.16129,40.74074,24.62121,0.0,0.0,0.0,0.0,100.0,100.0,72.54901,0.0,42.85714,28.0,29.62962,39.39393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.5862,78.43137,19.14893,34.04255,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,44.54545,63.04347,42.85714,0.0,0.0,0.0,46.66666,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12153,37.26747,39.19504
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,26.92307,50.0,2.52525,8.73786,0.0,84.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8372,76.5625,44.95412,0.0,0.0,0.0,0.0,0.0,27.77777,44.23076,58.49056,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,38.15789,40.68965,27.5862,0.0,0.0,0.0,0.0,0.0,0.0,51.6129,37.03703,14.01515,0.0,0.0,0.0,0.0,35.71428,0.0,62.74509,0.0,45.23809,60.0,29.62962,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,31.03448,18.43137,27.65957,21.27659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27272,89.13043,78.57142,0.0,0.0,33.33333,33.33333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.97029,38.87107,34.36532
2,0.0,72.72727,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51515,11.65048,0.0,38.46153,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,44.18604,51.5625,47.70642,0.0,0.0,0.0,0.0,0.0,44.44444,71.15384,77.35849,80.35714,0.0,0.0,0.0,0.0,0.0,0.0,56.57894,23.44827,29.65517,0.0,0.0,0.0,0.0,0.0,0.0,77.41935,44.44444,18.93939,0.0,0.0,0.0,38.46153,100.0,0.0,56.86274,11.90476,23.80952,52.0,25.92592,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,41.37931,12.94117,23.40425,25.53191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18181,50.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28561,49.6472,31.08359
3,1.18577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31313,4.85436,0.0,53.84615,35.71428,0.0,0.0,0.0,0.0,43.75,0.0,100.0,100.0,54.12844,0.0,0.0,0.0,0.0,0.0,27.77777,34.61538,83.01886,80.35714,0.0,0.0,0.0,0.0,0.0,0.0,44.73684,22.06896,29.65517,0.0,0.0,0.0,0.0,0.0,0.0,38.70967,66.66666,22.34848,0.0,0.0,0.0,0.0,57.14285,31.25,58.82352,11.90476,92.85714,56.0,37.03703,21.21212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,7.84313,21.27659,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,20.58823,5.45454,73.91304,0.0,0.0,0.0,27.77777,0.0,0.0,100.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.948,94.35535,27.80185
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27272,10.67961,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,60.46511,65.625,51.37614,0.0,0.0,0.0,0.0,0.0,0.0,36.53846,88.67924,75.0,0.0,0.0,0.0,0.0,0.0,0.0,28.94736,25.51724,29.65517,0.0,0.0,0.0,0.0,42.85714,0.0,74.19354,66.66666,19.31818,0.0,0.0,0.0,0.0,0.0,0.0,47.05882,16.66666,21.42857,52.0,0.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,41.37931,10.98039,17.02127,21.27659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34782,57.14285,0.0,0.0,27.77777,0.0,0.0,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.65226,25.27261,23.839
5,0.0,40.90909,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0505,10.67961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,65.11627,96.875,79.81651,0.0,0.0,0.0,0.0,0.0,0.0,36.53846,69.81132,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,27.63157,48.27586,33.10344,0.0,0.0,0.0,0.0,32.14285,0.0,48.38709,100.0,16.28787,0.0,0.0,0.0,0.0,35.71428,0.0,100.0,0.0,28.57142,60.0,37.03703,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,60.0,17.24137,6.2745,14.89361,23.40425,0.0,0.0,0.0,0.0,0.0,0.0,32.35294,14.54545,39.13043,35.71428,0.0,0.0,77.77777,46.66666,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04456,20.65426,24.4582
6,0.0,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,3.0303,6.79611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,50.38759,48.4375,30.27522,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,62.26415,66.07142,0.0,0.0,0.0,0.0,0.0,0.0,55.26315,61.37931,30.34482,0.0,0.0,0.0,0.0,17.85714,0.0,54.8387,33.33333,21.21212,0.0,0.0,0.0,53.84615,0.0,0.0,50.98039,0.0,35.71428,72.0,33.33333,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,20.68965,9.41176,23.40425,12.76595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27272,67.3913,78.57142,0.0,0.0,33.33333,40.0,33.33333,0.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.80013,17.31879,23.839
7,0.0,77.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.79797,6.79611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.21705,60.9375,46.78899,0.0,0.0,0.0,0.0,0.0,0.0,51.92307,58.49056,73.21428,0.0,0.0,0.0,0.0,0.0,0.0,27.63157,66.89655,28.96551,0.0,0.0,0.0,0.0,0.0,0.0,54.8387,22.22222,18.18181,0.0,0.0,0.0,0.0,42.85714,0.0,50.98039,0.0,26.19047,28.0,44.44444,30.30303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,35.0,0.0,10.98039,31.91489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70588,15.45454,69.56521,57.14285,75.0,0.0,50.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.27278,19.11481,22.16718
8,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28282,11.65048,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08527,62.5,55.9633,0.0,0.0,0.0,0.0,0.0,0.0,32.6923,45.28301,50.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,42.06896,23.44827,0.0,0.0,0.0,0.0,0.0,0.0,32.25806,25.92592,18.93939,0.0,0.0,0.0,0.0,50.0,0.0,68.62745,33.33333,57.14285,44.0,74.07407,30.30303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,37.93103,13.72549,25.53191,17.02127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.45454,65.21739,71.42857,62.5,0.0,50.0,46.66666,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.12491,16.61321,20.49535
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,1.26262,4.85436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.26356,90.625,65.13761,0.0,0.0,0.0,0.0,0.0,38.88888,38.46153,50.94339,62.5,0.0,0.0,0.0,0.0,0.0,0.0,48.68421,53.7931,27.5862,0.0,0.0,0.0,0.0,17.85714,0.0,64.51612,25.92592,14.01515,0.0,0.0,0.0,0.0,42.85714,0.0,64.70588,11.90476,35.71428,68.0,0.0,15.15151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,100.0,31.03448,9.0196,19.14893,48.93617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0909,21.73913,50.0,0.0,0.0,0.0,46.66666,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03173,15.58691,25.38699
