,올리브영 케어플러스 상처커버 스팟패치_0,올리브영 케어플러스 상처커버 스팟패치_1,이지덤뷰티 이지덤 뷰티_0,이지덤뷰티 이지덤 뷰티_1,더마리프트 프레쉬덤 안티 블레미쉬 패치_0,더마리프트 프레쉬덤 안티 블레미쉬 패치_1,엘라밴드 하이드로 도트_0,엘라밴드 하이드로 도트_1,3M 넥스케어™ 블레미쉬 패치 케어_0,3M 넥스케어™ 블레미쉬 패치 케어_1,올리브영 케어플러스 잘라쓰는 사각패치_0,올리브영 케어플러스 잘라쓰는 사각패치_1,해서린 스팟 케어 패치 키트_0,해서린 스팟 케어 패치 키트_1,다이소 위드덤 스킨커버 프렌드 실속형_0,다이소 위드덤 스킨커버 프렌드 실속형_1,시드물 닥터트럽 트러블 클리어 패치_0,시드물 닥터트럽 트러블 클리어 패치_1,코스알엑스 에이씨 컬렉션 아크네 패치_0,코스알엑스 에이씨 컬렉션 아크네 패치_1,하이맘 하이맘 밴드_0,하이맘 하이맘 밴드_1,아크로패스 트러블 큐어_0,아크로패스 트러블 큐어_1,코스알엑스 아크네 핌플 마스터 패치_0,코스알엑스 아크네 핌플 마스터 패치_1,아리따움 티트리 솔루션 스팟 클리어 패치_0,아리따움 티트리 솔루션 스팟 클리어 패치_1,이지피지 이지케어 스팟패치_0,이지피지 이지케어 스팟패치_1,미샤 스피디 솔루션  안티 트러블 패치 _0,미샤 스피디 솔루션  안티 트러블 패치 _1,닥터원더 원더패치_0,닥터원더 원더패치_1,닥터벨머 클래리파잉 스팟 패치 키트_0,닥터벨머 클래리파잉 스팟 패치 키트_1,신신제약매디큐어 하이드 밴드_0,신신제약매디큐어 하이드 밴드_1,VT COSMETICS 스팟 패치_0,VT COSMETICS 스팟 패치_1,휴족시간지압자극 쿨링시트_0,휴족시간지압자극 쿨링시트_1,올리브영 휴족휴면_0,올리브영 휴족휴면_1,휴족시간쿨링시트_0,휴족시간쿨링시트_1,아시리라 수액시트_0,아시리라 수액시트_1,티피오 종아리 알패치_0,티피오 종아리 알패치_1,멕리듬 스팀 아이마스크_0,멕리듬 스팀 아이마스크_1,메디테라피 더마 릴렉스 힐링 패치_0,메디테라피 더마 릴렉스 힐링 패치_1,일리윤 컴포트 레스트 아이워머_0,일리윤 컴포트 레스트 아이워머_1,스팀베이스 데일리 아이마스크_0,스팀베이스 데일리 아이마스크_1,하루온아이워머_0,하루온아이워머_1,슬로우랩 꿀잠안대_0,슬로우랩 꿀잠안대_1,일동제약 휴식시간_0,일동제약 휴식시간_1,씨엔에스글로벌 베어 스팀 아이마스크_0,씨엔에스글로벌 베어 스팀 아이마스크_1,누뉴 수면 온열안대_0,누뉴 수면 온열안대_1,아이러버쿨링풋_0,아이러버쿨링풋_1,아이스펌킨 호박 종아리패치_0,아이스펌킨 호박 종아리패치_1,에뛰드 히팅 아이 마스크_0,에뛰드 히팅 아이 마스크_1,파머메이커 데이리어 링거 오리발 팩_0,파머메이커 데이리어 링거 오리발 팩_1,어퓨 스팀 아이 마스크_0,어퓨 스팀 아이 마스크_1,메디힐리 아이온팩_0,메디힐리 아이온팩_1
0,0.0,0.0,0.0,0.0,0.0,0.0,96.29629,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.66304,58.91089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.38725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.44827,20.83333,36.17021,55.06216,95.36423,0.0,0.0,70.21276,53.43511,0.0,56.0606,0.0,0.0,62.22222,9.0909,8.36236,18.18181,66.66666,36.8421,83.01886,45.45454,0.0,0.0,0.0,0.0,51.11111,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.45454,51.21951
1,0.0,0.0,0.0,0.0,0.0,0.0,79.01234,56.86274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.66304,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.66632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.17241,0.0,48.93617,45.29307,82.78145,0.0,0.0,59.04255,100.0,0.0,89.39393,0.0,0.0,53.33333,7.11462,4.18118,28.78787,88.88888,23.68421,56.60377,0.0,0.0,0.0,0.0,0.0,53.33333,67.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,76.5432,45.09803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27717,49.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.10616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.13793,0.0,42.55319,45.82593,100.0,0.0,0.0,63.29787,54.19847,0.0,100.0,0.0,0.0,28.88888,11.8577,5.22648,27.27272,100.0,42.10526,77.35849,0.0,0.0,0.0,0.0,0.0,40.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,85.18518,59.80392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.08152,47.52475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.88169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96551,0.0,57.4468,58.61456,92.05298,0.0,0.0,68.61702,54.96183,0.0,64.64646,0.0,0.0,64.44444,12.25296,4.18118,16.66666,33.33333,97.36842,54.71698,0.0,0.0,0.0,0.0,0.0,66.66666,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,45.45454,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,83.95061,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.02173,44.0594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.06167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,0.0,100.0,40.85257,88.07947,0.0,0.0,73.93617,43.51145,0.0,33.33333,0.0,0.0,62.22222,13.04347,2.09059,19.69696,27.77777,100.0,15.09433,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,71.60493,80.39215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.47826,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.80384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96551,83.33333,89.3617,29.30728,80.13245,0.0,0.0,70.21276,45.03816,0.0,40.40404,0.0,0.0,26.66666,10.27667,6.27177,18.18181,33.33333,84.21052,49.0566,100.0,0.0,0.0,0.0,0.0,68.88888,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.07317
6,0.0,0.0,0.0,0.0,0.0,0.0,59.25925,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.76086,41.0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.66835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31034,62.5,59.57446,33.74777,69.53642,0.0,0.0,69.14893,41.98473,0.0,77.27272,0.0,0.0,0.0,9.0909,3.48432,24.24242,27.77777,50.0,100.0,0.0,0.0,0.0,0.0,0.0,42.22222,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,26.82926
7,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,45.09803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.10869,40.59405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.30738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,45.83333,57.4468,40.67495,78.14569,0.0,0.0,69.14893,41.22137,0.0,88.88888,0.0,0.0,0.0,17.3913,4.87804,16.66666,0.0,63.15789,81.13207,0.0,0.0,0.0,0.0,0.0,53.33333,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90243
8,0.0,0.0,0.0,0.0,0.0,0.0,49.38271,65.68627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.38043,65.34653,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,71.58746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.72413,0.0,70.21276,35.70159,75.49668,0.0,0.0,67.55319,49.61832,33.33333,86.36363,0.0,0.0,22.22222,31.22529,5.22648,13.63636,0.0,76.31578,24.5283,63.63636,0.0,0.0,0.0,0.0,77.77777,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39024
9,0.0,0.0,0.0,0.0,0.0,0.0,41.9753,63.72549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.02173,60.89108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.72413,0.0,65.95744,41.20781,70.19867,0.0,0.0,76.06382,48.0916,0.0,69.19191,0.0,0.0,15.55555,48.22134,2.09059,15.15151,0.0,68.42105,11.32075,0.0,0.0,0.0,0.0,0.0,28.88888,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78048
