,테라브레스 오랄린스 아이시 민트_0,테라브레스 오랄린스 아이시 민트_1,애터미 치약 플러스_0,애터미 치약 플러스_1,페리오   cm 스프레이_0,페리오   cm 스프레이_1,아조나 치약_0,아조나 치약_1,닥터폴스 덴탈튜브 라임만다린 치약_0,닥터폴스 덴탈튜브 라임만다린 치약_1,닥터폴스 덴탈튜브 패츌리머스크 치약_0,닥터폴스 덴탈튜브 패츌리머스크 치약_1,페리오 히말라야 핑크솔트 담은치약  아이스 카밍 민트 _0,페리오 히말라야 핑크솔트 담은치약  아이스 카밍 민트 _1,베러데이 칸디데 치약_0,베러데이 칸디데 치약_1,2080동의청은차고은진 치약_0,2080동의청은차고은진 치약_1,애터미 칫솔_0,애터미 칫솔_1,오렌즈 스페니쉬 리얼그레이_0,오렌즈 스페니쉬 리얼그레이_1,오렌즈 스페니쉬 리얼올리브_0,오렌즈 스페니쉬 리얼올리브_1,오렌즈 시크리스  콘 내츄럴 그레이_0,오렌즈 시크리스  콘 내츄럴 그레이_1,오렌즈 시크리스  콘 코랄 그레이_0,오렌즈 시크리스  콘 코랄 그레이_1,오렌즈 크리스탈  콘 그레이_0,오렌즈 크리스탈  콘 그레이_1,오렌즈 시크리스  콘 내츄럴 브라운_0,오렌즈 시크리스  콘 내츄럴 브라운_1,오렌즈 안나수이 돌리걸 틴트 브라운_0,오렌즈 안나수이 돌리걸 틴트 브라운_1,오렌즈 스페니쉬 써클그레이_0,오렌즈 스페니쉬 써클그레이_1,오렌즈 츄잉  콘 그레이_0,오렌즈 츄잉  콘 그레이_1,오렌즈 아이스 골드_0,오렌즈 아이스 골드_1,오렌즈 샤이닝퓨어 초코_0,오렌즈 샤이닝퓨어 초코_1,오렌즈 라벤더 골드_0,오렌즈 라벤더 골드_1,오렌즈 미스티 내츄럴초코_0,오렌즈 미스티 내츄럴초코_1,오렌즈 스페니쉬 써클브라운_0,오렌즈 스페니쉬 써클브라운_1,오렌즈 비비링 브라운_0,오렌즈 비비링 브라운_1,오렌즈 오션골드_0,오렌즈 오션골드_1,렌즈미 아이블랑 틴트 그레이_0,렌즈미 아이블랑 틴트 그레이_1,렌즈미 워터앰플 쵸코_0,렌즈미 워터앰플 쵸코_1,오렌즈 썸데이 그레이_0,오렌즈 썸데이 그레이_1,오렌즈 카리브  콘 그레이_0,오렌즈 카리브  콘 그레이_1,알콘 데일리스 토탈원 워터렌즈_0,알콘 데일리스 토탈원 워터렌즈_1,쿠퍼비전 바이오피니티_0,쿠퍼비전 바이오피니티_1,쿠퍼비전 클래리티 원데이_0,쿠퍼비전 클래리티 원데이_1,아큐브 오아시스 난시용_0,아큐브 오아시스 난시용_1,알콘 에어옵틱스 나이트 앤 데이 아쿠아_0,알콘 에어옵틱스 나이트 앤 데이 아쿠아_1,아큐브 오아시스 원데이 난시용_0,아큐브 오아시스 원데이 난시용_1,아큐브 원데이 모이스트_0,아큐브 원데이 모이스트_1,아큐브 비타_0,아큐브 비타_1,아큐브 오아시스_0,아큐브 오아시스_1,아큐브 원데이 모이스트 난시용_0,아큐브 원데이 모이스트 난시용_1
0,0.0,0.0,0.0,0.0,0.0,0.0,93.85749,71.91679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.36686,41.43356,69.28104,0.0,4.53172,58.22784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,44.57142,30.36649,100.0,49.55752,67.0,56.79999,0.0,17.69911,100.0,0.0,82.75669,56.05006,83.87096,0.0,0.0,0.0,0.0,0.0,47.71241,52.48226,0.0,0.0,0.0,0.0,81.15183,77.32696,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,25.0,75.0,92.22972,1.67206,23.36448,65.09433,0.0,0.0
1,0.0,0.0,69.23076,45.45454,0.0,0.0,98.40294,76.8202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.74556,42.30769,67.32026,0.0,5.89123,58.86075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,82.41758,0.0,0.0,0.0,93.71428,33.50785,50.76923,30.08849,83.0,51.2,0.0,30.97345,84.42622,0.0,97.76785,64.0241,91.39784,0.0,0.0,0.0,0.0,0.0,84.31372,51.91489,0.0,0.0,0.0,0.0,87.95811,72.31503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1875,93.18181,71.28378,5.01618,24.48598,64.15094,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,94.47174,58.39524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.28402,52.7972,67.32026,0.0,5.74018,76.58227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,88.27838,0.0,0.0,0.0,82.85714,39.26701,73.84615,83.18584,100.0,44.8,0.0,28.31858,89.75409,0.0,100.0,61.52063,62.36559,0.0,0.0,0.0,0.0,0.0,56.86274,49.78723,0.0,0.0,0.0,0.0,75.91623,73.74701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.125,68.18181,89.52702,4.1352,23.08411,66.03773,0.0,0.0
3,0.0,0.0,46.15384,0.0,0.0,0.0,74.20147,54.53194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.42603,65.73426,54.24836,0.0,5.13595,74.68354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,80.21978,0.0,0.0,0.0,66.28571,26.70157,55.38461,77.8761,99.0,46.4,0.0,34.51327,78.27868,0.0,99.72098,60.1298,94.62365,0.0,0.0,0.0,0.0,0.0,64.70588,54.46808,0.0,0.0,0.0,0.0,79.58115,64.43914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9375,68.18181,84.45945,3.54189,24.29906,75.78616,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,75.92137,57.6523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.79289,67.30769,67.97385,0.0,6.79758,59.49367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.30434,88.27838,0.0,0.0,0.0,51.42857,36.64921,55.38461,53.9823,62.33333,69.59999,0.0,50.44247,93.03278,0.0,89.45312,65.97125,74.19354,0.0,0.0,0.0,0.0,0.0,93.46405,58.7234,0.0,0.0,0.0,0.0,87.95811,78.99761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.875,97.72727,83.78378,4.4768,24.57943,65.09433,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,89.68058,69.24219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.66863,56.81818,54.90196,0.0,7.85498,50.63291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,65.20146,0.0,0.0,0.0,40.57142,46.59685,55.38461,51.32743,94.33333,51.2,0.0,57.52212,70.90163,0.0,83.09151,73.99165,89.24731,0.0,0.0,0.0,0.0,0.0,100.0,58.7234,0.0,0.0,0.0,0.0,84.81675,75.41766,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,34.375,79.54545,73.64864,4.15318,26.91588,82.7044,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,89.92628,81.72362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.2426,55.94405,59.47712,0.0,3.92749,46.83544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86956,76.92307,0.0,0.0,0.0,45.71428,44.50261,46.15384,38.93805,73.0,44.0,0.0,57.52212,65.57377,0.0,88.44866,66.48122,70.96774,0.0,0.0,0.0,0.0,0.0,57.51633,61.70212,0.0,0.0,0.0,0.0,78.01047,79.95226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.125,90.90909,72.97297,3.7037,31.40186,89.62264,0.0,0.0
7,0.0,0.0,46.15384,0.0,0.0,0.0,85.25798,90.78751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57988,49.65034,52.28758,0.0,7.40181,46.20253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86956,66.30036,0.0,0.0,0.0,41.14285,41.36125,46.15384,37.16814,55.0,56.0,0.0,21.23893,71.51639,0.0,95.3683,60.50069,67.74193,0.0,0.0,0.0,0.0,0.0,52.94117,55.46099,0.0,0.0,0.0,0.0,81.67539,83.05489,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.125,77.27272,67.9054,3.45199,34.29906,88.36477,0.0,0.0
8,0.0,0.0,0.0,100.0,0.0,0.0,75.55282,84.39821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.90532,48.07692,72.54901,0.0,5.287,46.83544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.60869,69.59706,0.0,0.0,0.0,38.85714,44.50261,49.23076,46.90265,50.0,58.4,0.0,14.15929,69.46721,0.0,84.09598,62.54056,93.54838,0.0,0.0,0.0,0.0,0.0,58.82352,59.00709,0.0,0.0,0.0,0.0,81.15183,88.54415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0625,100.0,63.85135,3.41603,29.15887,86.47798,0.0,0.0
9,0.0,0.0,53.84615,45.45454,0.0,0.0,71.62162,63.74442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3136,51.3986,63.39869,0.0,5.287,61.3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.82417,0.0,0.0,0.0,54.85714,48.69109,53.84615,67.25663,64.66666,77.6,0.0,8.84955,81.96721,0.0,84.76562,62.16968,100.0,0.0,0.0,0.0,0.0,100.0,47.05882,56.87943,0.0,0.0,0.0,0.0,73.82198,68.73508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,61.36363,59.12162,2.85868,24.39252,77.35849,0.0,0.0
