,알콘 에이오셉 플러스_0,알콘 에이오셉 플러스_1,알콘 옵티프리 익스프레스_0,알콘 옵티프리 익스프레스_1,알콘 옵티프리 리플레니시_0,알콘 옵티프리 리플레니시_1,알콘 옵티프리 퓨어모이스트_0,알콘 옵티프리 퓨어모이스트_1,바슈롬 바이오트루 다목적 렌즈관리용액_0,바슈롬 바이오트루 다목적 렌즈관리용액_1,드림아이 드롭드림아이 _0,드림아이 드롭드림아이 _1,바슈롬 보스톤 세척액 어드밴스 클리너_0,바슈롬 보스톤 세척액 어드밴스 클리너_1,오렌즈 오퓨러스 습윤액_0,오렌즈 오퓨러스 습윤액_1,상아제약 휴먼바이오 세척 식염수_0,상아제약 휴먼바이오 세척 식염수_1,퓨어클 프리미엄 퓨어클 습윤액_0,퓨어클 프리미엄 퓨어클 습윤액_1,드림아이 드림아이 소프트렌즈 용액_0,드림아이 드림아이 소프트렌즈 용액_1,아큐브 컴플릿 멀티 퍼포스 솔루션_0,아큐브 컴플릿 멀티 퍼포스 솔루션_1,아이메디슨 더 뷰 소프트 콘택트 렌즈 전용 용액_0,아이메디슨 더 뷰 소프트 콘택트 렌즈 전용 용액_1,바슈롬 보스톤 심플러스_0,바슈롬 보스톤 심플러스_1,중외제약프렌즈 프로 B  sol _0,중외제약프렌즈 프로 B  sol _1,메니콘 프로젠트_0,메니콘 프로젠트_1,알콘 클리어 케어_0,알콘 클리어 케어_1,메니콘 메니케어 플러스_0,메니콘 메니케어 플러스_1,메디케어 메디렌즈 멀티액_0,메디케어 메디렌즈 멀티액_1,중외제약프렌즈 드롭_0,중외제약프렌즈 드롭_1,샤넬 블루 드 샤넬 오 드 빠르펭_0,샤넬 블루 드 샤넬 오 드 빠르펭_1,필로소피 어메이징 그레이스 발레 로즈 프레그런스 EDT_0,필로소피 어메이징 그레이스 발레 로즈 프레그런스 EDT_1,딥티크 오 로즈 오 드 뚜왈렛_0,딥티크 오 로즈 오 드 뚜왈렛_1,끌로에 끌로에 오 드 퍼퓸_0,끌로에 끌로에 오 드 퍼퓸_1,끌로에 로즈 드 끌로에 우먼 오드뚜왈렛_0,끌로에 로즈 드 끌로에 우먼 오드뚜왈렛_1,페라리 라이트 에센스 오 드 뚜왈렛_0,페라리 라이트 에센스 오 드 뚜왈렛_1,랑방 모던 프린세스 오 드 퍼퓸_0,랑방 모던 프린세스 오 드 퍼퓸_1,안나수이 럭키위시_0,안나수이 럭키위시_1,디올 미스 디올 블루밍 부케 오 드 뚜왈렛_0,디올 미스 디올 블루밍 부케 오 드 뚜왈렛_1,샤넬 알뤼르 옴므 스포츠 오 드 뚜왈렛 스프레이_0,샤넬 알뤼르 옴므 스포츠 오 드 뚜왈렛 스프레이_1,구찌 플로라 바이 구찌 아름다운 가르데니아 오 드 뚜왈렛_0,구찌 플로라 바이 구찌 아름다운 가르데니아 오 드 뚜왈렛_1,불가리 뿌르 옴므 익스트림 오드뚜왈렛_0,불가리 뿌르 옴므 익스트림 오드뚜왈렛_1,베르사체 오 프레쉬 맨 오드뚜왈렛_0,베르사체 오 프레쉬 맨 오드뚜왈렛_1,버버리 위크엔드 오드트왈렛_0,버버리 위크엔드 오드트왈렛_1,구찌 플로라 바이 구찌 글로리어스 만다린 우먼 오드뚜왈렛_0,구찌 플로라 바이 구찌 글로리어스 만다린 우먼 오드뚜왈렛_1,바이레도 라 튤립 오 드 퍼퓸_0,바이레도 라 튤립 오 드 퍼퓸_1,샤넬 샹스 오 땅드르 오 드 뚜왈렛 스프레이_0,샤넬 샹스 오 땅드르 오 드 뚜왈렛 스프레이_1,겐조 로빠 겐조 뿌르 옴므 오드뚜왈렛_0,겐조 로빠 겐조 뿌르 옴므 오드뚜왈렛_1,샤넬 가브리엘 샤넬 오 드 빠르펭_0,샤넬 가브리엘 샤넬 오 드 빠르펭_1,겐조 플라워 인 디 에어 오 드 퍼퓸_0,겐조 플라워 인 디 에어 오 드 퍼퓸_1
0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.39494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,66.66666,69.03225,7.04697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,67.85714,74.8387,9.0604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,66.45161,67.61744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.57142,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,52.38095,68.38709,23.65771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,58.33333,78.70967,82.04697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,36.90476,83.87096,19.96644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7619,61.29032,13.75838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,61.29032,13.08724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,40.47619,69.67741,11.40939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
