,양키캔들 라벤더_0,양키캔들 라벤더_1,이니스프리 퍼퓸드 디퓨저        작약_0,이니스프리 퍼퓸드 디퓨저        작약_1,샤프란 꽃담초 섬유탈취제   연꽃_0,샤프란 꽃담초 섬유탈취제   연꽃_1,러비더비 섬유향수 로제_0,러비더비 섬유향수 로제_1,양키캔들 비치워크_0,양키캔들 비치워크_1,샤프란 섬유향수 그레이프향_0,샤프란 섬유향수 그레이프향_1,양키캔들 미드나잇 쟈스민_0,양키캔들 미드나잇 쟈스민_1,조말론 잉글리쉬 페어 앤 프리지아 디퓨저_0,조말론 잉글리쉬 페어 앤 프리지아 디퓨저_1,이니스프리 퍼퓸드 디퓨저        삼나무_0,이니스프리 퍼퓸드 디퓨저        삼나무_1,이니스프리 퍼퓸드 디퓨저        한란_0,이니스프리 퍼퓸드 디퓨저        한란_1,포레오 루나 미니  _0,포레오 루나 미니  _1,클라리소닉 미아 _0,클라리소닉 미아 _1,메이크온 클렌징 인핸서_0,메이크온 클렌징 인핸서_1,클라리소닉 럭스 캐시미어 페이셜 브러쉬_0,클라리소닉 럭스 캐시미어 페이셜 브러쉬_1,클라리소닉 스마트 프로파일_0,클라리소닉 스마트 프로파일_1,프라엘 더마 LED 마스크 BWJ _0,프라엘 더마 LED 마스크 BWJ _1,메르비 피부관리기_0,메르비 피부관리기_1,뉴스킨 에이지락 루미스파_0,뉴스킨 에이지락 루미스파_1,클라리소닉 딥 포어 브러시 헤드_0,클라리소닉 딥 포어 브러시 헤드_1,클렌슈어 갈바닉 미세진동 마사지기_0,클렌슈어 갈바닉 미세진동 마사지기_1,프라엘 갈바닉 이온 부스터_0,프라엘 갈바닉 이온 부스터_1,필립스 루메아 에센셜 IPL 제모기_0,필립스 루메아 에센셜 IPL 제모기_1,누페이스 울트라 리프팅 트리니티_0,누페이스 울트라 리프팅 트리니티_1,클렌슈어 화산석 미세모 회전 클렌징기_0,클렌슈어 화산석 미세모 회전 클렌징기_1,클라리소닉 브라이트 소닉 브러시 헤드_0,클라리소닉 브라이트 소닉 브러시 헤드_1,실큰 플래시앤고 프리덤_0,실큰 플래시앤고 프리덤_1,프라엘 초음파 클렌저_0,프라엘 초음파 클렌저_1,바나브 커버앤클린핏_0,바나브 커버앤클린핏_1,에이뷰티 에그디바이스 _0,에이뷰티 에그디바이스 _1,글램팜 플랫형 GP   _0,글램팜 플랫형 GP   _1,필립스 헤어 드라이어 HP     _0,필립스 헤어 드라이어 HP     _1,다이슨 슈퍼소닉 헤어 드라이어_0,다이슨 슈퍼소닉 헤어 드라이어_1,JMW  M    A  전문가용 헤어드라이어_0,JMW  M    A  전문가용 헤어드라이어_1,보다나 글램웨이브 봉고데기   mm_0,보다나 글램웨이브 봉고데기   mm_1,JMW MA   A  토네이도 드라이기 _0,JMW MA   A  토네이도 드라이기 _1,테팔 드라이기 리스펙트 무빙에어 HV    KO_0,테팔 드라이기 리스펙트 무빙에어 HV    KO_1,보다나 소프트바 판고데기_0,보다나 소프트바 판고데기_1,CKI 미니고데기_0,CKI 미니고데기_1
0,35.89743,35.71428,0.0,0.0,0.0,0.0,38.18181,38.09523,41.66666,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.76595,21.27659,43.24324,68.18181,0.0,17.14285,0.0,0.0,49.82332,29.79274,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77367,61.4035,55.05415,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.51985,28.76712,60.60606
1,41.02564,42.85714,0.0,0.0,0.0,0.0,60.0,64.28571,29.16666,66.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27659,11.17021,48.64864,59.0909,42.10526,25.71428,0.0,0.0,53.00353,30.05181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19861,71.92982,52.52707,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3249,45.89041,38.63636
2,71.79487,35.71428,0.0,0.0,0.0,0.0,56.36363,66.66666,48.61111,64.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.17021,9.04255,40.54054,63.63636,10.52631,37.14285,0.0,0.0,47.70318,28.4974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.89838,36.8421,70.75812,71.25,0.0,26.31578,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.88086,23.9726,31.81818
3,56.41025,32.14285,0.0,0.0,0.0,0.0,43.63636,50.0,36.11111,52.5,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,9.04255,17.55319,24.32432,59.0909,0.0,31.42857,0.0,0.0,57.59717,30.56994,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93764,24.5614,100.0,78.75,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.43321,24.65753,40.15151
4,30.76923,60.71428,0.0,0.0,0.0,0.0,30.90909,76.19047,40.27777,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.55319,16.48936,29.72972,95.45454,31.57894,80.0,0.0,0.0,59.36395,30.56994,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.93302,31.57894,75.81227,63.75,0.0,63.15789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7148,11.64383,46.96969
5,64.10256,25.0,0.0,0.0,0.0,0.0,43.63636,59.5238,45.83333,47.5,0.0,0.0,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,16.48936,11.17021,29.72972,81.81818,100.0,48.57142,0.0,0.0,62.54416,48.96373,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89376,100.0,71.29963,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.82671,17.12328,46.21212
6,33.33333,25.0,0.0,0.0,0.0,0.0,36.36363,42.85714,48.61111,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.17021,23.93617,27.02702,90.90909,29.82456,17.14285,0.0,0.0,52.65017,49.22279,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43187,63.15789,59.74729,66.25,0.0,0.0,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.88086,21.23287,41.66666
7,51.28205,50.0,0.0,0.0,0.0,0.0,25.45454,69.04761,26.38888,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.93617,13.29787,59.45945,68.18181,47.36842,20.0,0.0,0.0,54.77031,45.07772,0.0,0.0,0.0,0.0,36.36363,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77829,61.4035,65.16245,74.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.76895,20.54794,33.33333
8,46.15384,28.57142,0.0,0.0,0.0,0.0,18.18181,57.14285,41.66666,50.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,13.29787,6.91489,64.86486,50.0,38.59649,0.0,0.0,0.0,40.63604,44.81865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89145,47.36842,54.51263,71.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.49097,21.9178,35.60606
9,41.02564,32.14285,0.0,0.0,0.0,0.0,32.72727,38.09523,18.05555,45.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91489,16.48936,59.45945,50.0,52.63157,14.28571,0.0,0.0,47.70318,34.97409,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1224,17.54385,65.16245,69.375,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.79783,30.82191,42.42424
