,바이탈뷰티 슈퍼 콜라겐_0,바이탈뷰티 슈퍼 콜라겐_1,DHC 아쿠아파워 히알루론산_0,DHC 아쿠아파워 히알루론산_1,하나마이 순수      콜라겐_0,하나마이 순수      콜라겐_1,큐브미 콜라겐 큐브_0,큐브미 콜라겐 큐브_1,베러데이 스킨데이_0,베러데이 스킨데이_1,브이에이피 스킨콜라겐젤리_0,브이에이피 스킨콜라겐젤리_1,애플트리 김약사네 맛있는 이너뷰티 콜라겐C_0,애플트리 김약사네 맛있는 이너뷰티 콜라겐C_1,큐브미 워터뱅크 큐브_0,큐브미 워터뱅크 큐브_1,뉴트리원비비랩 더 콜라겐     _0,뉴트리원비비랩 더 콜라겐     _1,오르비스 콜라겐 엑설런트_0,오르비스 콜라겐 엑설런트_1,소버스 피부   히알루론   _0,소버스 피부   히알루론   _1,하나마이 피쉬      콜라겐_0,하나마이 피쉬      콜라겐_1,이너비 아쿠아스틱_0,이너비 아쿠아스틱_1,그린몬스터 이너뷰티 이너콜라겐_0,그린몬스터 이너뷰티 이너콜라겐_1,경남제약결콜라겐_0,경남제약결콜라겐_1,벨리불리 뷰티젤리 콜라겐 피치_0,벨리불리 뷰티젤리 콜라겐 피치_1,뉴트리원비비랩 더 콜라겐 파우더S_0,뉴트리원비비랩 더 콜라겐 파우더S_1,뉴트리원비비랩 저분자콜라겐_0,뉴트리원비비랩 저분자콜라겐_1,종근당건강 수분충전 아쿠아워너비_0,종근당건강 수분충전 아쿠아워너비_1,종근당건강 아쿠아 콜라겐_0,종근당건강 아쿠아 콜라겐_1,Doctor's BEST엘 카르니틴 푸마르산_0,Doctor's BEST엘 카르니틴 푸마르산_1,바이탈뷰티 슬림컷_0,바이탈뷰티 슬림컷_1,그린몬스터 다이어트  in  녹차카테킨     _0,그린몬스터 다이어트  in  녹차카테킨     _1,칼로바이 다밀 오곡맛_0,칼로바이 다밀 오곡맛_1,프롬바이오 다이어트엔 와일드망고_0,프롬바이오 다이어트엔 와일드망고_1,나우푸드 키토산_0,나우푸드 키토산_1,벨리불리 에너지젤리 아르기닌 레몬_0,벨리불리 에너지젤리 아르기닌 레몬_1,칼로바이 다밀 허니바닐라맛_0,칼로바이 다밀 허니바닐라맛_1,세리박스 세리번 나이트_0,세리박스 세리번 나이트_1,그린몬스터 다이어트 스페셜  가르시니아    _0,그린몬스터 다이어트 스페셜  가르시니아    _1,아리즈웰 웨이크 업 드링크_0,아리즈웰 웨이크 업 드링크_1,소버스 다이어트 린바디 번   컷_0,소버스 다이어트 린바디 번   컷_1,포티포 프로틴 쉐이크_0,포티포 프로틴 쉐이크_1,케이푸드 화이버슬림_0,케이푸드 화이버슬림_1,빼라 다이어트 스텝   할 수 있어_0,빼라 다이어트 스텝   할 수 있어_1,글램디 이너라이트 CLA_0,글램디 이너라이트 CLA_1,더리얼 리얼 가르시니아 버전    _0,더리얼 리얼 가르시니아 버전    _1,CJ제일제당 팻다운 아웃도어_0,CJ제일제당 팻다운 아웃도어_1,뺄리오콜라겟 워터젤리 복숭아맛_0,뺄리오콜라겟 워터젤리 복숭아맛_1,뉴트리디데이 스페셜 올뉴_0,뉴트리디데이 스페셜 올뉴_1
0,85.0,84.68468,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.01754,34.7826,14.96062,0.0,0.0,0.0,4.43686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.33333,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,64.21052,59.64912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.92215,58.9928
1,78.33333,69.81981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.19298,41.30434,17.71653,0.0,0.0,0.0,2.38907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,60.0,0.0,0.0,0.0,0.0,0.0,0.0,72.63157,75.43859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.88622,67.62589
2,86.66666,70.27027,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.19298,0.0,17.71653,0.0,0.0,0.0,7.84982,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.78947,45.61403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.92814,69.06474
3,70.41666,56.75675,0.0,0.0,0.0,0.0,85.71428,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.73684,19.56521,24.01574,0.0,0.0,0.0,1.70648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,65.26315,45.61403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48502,69.06474
4,68.33333,45.94594,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,23.91304,12.59842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,40.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42105,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.13772,72.66187
5,80.41666,72.52252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.50877,34.7826,24.40944,0.0,0.0,0.0,3.75426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,20.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,51.57894,50.87719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.16167,44.60431
6,95.41666,81.08108,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,79.82456,34.7826,23.22834,0.0,0.0,0.0,2.04778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,0.0,26.66666,60.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.16766,55.39568
7,90.83333,81.08108,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.29824,0.0,10.62992,0.0,0.0,0.0,1.70648,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,36.66666,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,100.0,57.89473,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17365,51.79856
8,88.33333,82.43243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,0.0,16.53543,0.0,0.0,0.0,3.75426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8421,63.15789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17365,64.02877
9,75.0,71.17117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.24561,15.21739,11.81102,0.0,0.0,0.0,3.41296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,0.0,26.66666,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,60.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53892,66.90647
10,65.41666,58.1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.94736,0.0,17.32283,0.0,0.0,0.0,1.70648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.05263,64.91228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.34131,56.83453
11,80.83333,58.55855,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.08771,0.0,19.29133,0.0,0.0,0.0,4.09556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,62.10526,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.71257,74.10071
12,57.5,68.01801,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.61403,0.0,22.83464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.93413,56.1151
13,74.16666,71.62162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,64.91228,10.86956,28.74015,0.0,0.0,0.0,2.04778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,0.0,23.33333,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,64.21052,35.08771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.71856,51.07913
14,86.66666,80.18018,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.52631,17.3913,28.34645,0.0,0.0,0.0,2.04778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,23.33333,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,78.94736,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.54491,53.23741
15,85.83333,64.41441,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.75438,10.86956,28.74015,0.0,0.0,0.0,3.41296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,26.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.21052,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.14371,59.71223
16,62.5,59.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.26315,10.86956,23.62204,0.0,0.0,0.0,6.48464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,59.64912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48502,55.39568
17,65.83333,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,44.73684,23.91304,26.37795,0.0,0.0,0.0,5.11945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.47368,59.64912,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.50898,66.18705
18,65.83333,53.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.17543,13.04347,27.16535,0.0,0.0,0.0,2.73037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,63.15789,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8982,61.15107
19,88.33333,72.07207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.26315,0.0,30.70866,0.0,0.0,0.0,5.80204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.15789,35.08771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.10778,56.83453
20,89.58333,75.67567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,44.73684,21.73913,30.70866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,71.57894,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.72455,41.00719
21,85.41666,68.91891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,54.38596,13.04347,37.40157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,26.66666,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,67.36842,49.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73652,46.04316
