,얼라이브 멀티 비타민_0,얼라이브 멀티 비타민_1,스킨톡 뷰티업 필_0,스킨톡 뷰티업 필_1,정관장홍삼정 에브리타임_0,정관장홍삼정 에브리타임_1,네이처스웨이 얼라이브  우먼 구미 비타민_0,네이처스웨이 얼라이브  우먼 구미 비타민_1,솔가 엽산    _0,솔가 엽산    _1,바이탈뷰티 프로바이오_0,바이탈뷰티 프로바이오_1,자로우포뮬러스 자로우 도피러스 이피에스_0,자로우포뮬러스 자로우 도피러스 이피에스_1,나우푸드 엘 시스테인_0,나우푸드 엘 시스테인_1,나트롤 비오틴 맥시멈 스트렝스      mcg_0,나트롤 비오틴 맥시멈 스트렝스      mcg_1,나우푸드 실리마린_0,나우푸드 실리마린_1,아쿠아퍼 베이비 수딩 오인트먼트_0,아쿠아퍼 베이비 수딩 오인트먼트_1,아토팜 수딩젤 로션_0,아토팜 수딩젤 로션_1,그린핑거 마이키즈 얼굴로션_0,그린핑거 마이키즈 얼굴로션_1,아토팜 MLE 로션_0,아토팜 MLE 로션_1,아비노베이비 데일리 모이스춰 로션_0,아비노베이비 데일리 모이스춰 로션_1,아토팜 NEW 판테놀 크림_0,아토팜 NEW 판테놀 크림_1,아토팜 페이스 크림_0,아토팜 페이스 크림_1,녹십자뽀로로 베이비 립크린_0,녹십자뽀로로 베이비 립크린_1,아토팜 판테놀 로션_0,아토팜 판테놀 로션_1,그린핑거 마이키즈 로션_0,그린핑거 마이키즈 로션_1,아비노베이비 엑제마 테라피 모이스처라이징 크림_0,아비노베이비 엑제마 테라피 모이스처라이징 크림_1,프리메라 베이비 아토트리트 크림_0,프리메라 베이비 아토트리트 크림_1,베베가닉    플러스 크림_0,베베가닉    플러스 크림_1,궁중비책 페이스 수딩 로션_0,궁중비책 페이스 수딩 로션_1,오이보스 베이비 집중케어 크림_0,오이보스 베이비 집중케어 크림_1,버츠비 베이비 비 스킨 크림_0,버츠비 베이비 비 스킨 크림_1,더 순수 자연담은 베이비 로션_0,더 순수 자연담은 베이비 로션_1,아토앤오투 옥시젠 베이비 수딩젤_0,아토앤오투 옥시젠 베이비 수딩젤_1,숨37˚ 스위트 스마일 수딩 모이스처라이징 크림_0,숨37˚ 스위트 스마일 수딩 모이스처라이징 크림_1,오이보스 베이비 페이스크림_0,오이보스 베이비 페이스크림_1,그린핑거 촉촉 선 팩트  SPF    PA    _0,그린핑거 촉촉 선 팩트  SPF    PA    _1,닥터아토 수분 촉촉 데일리 선 로션  SPF   PA   _0,닥터아토 수분 촉촉 데일리 선 로션  SPF   PA   _1,그린핑거 야외놀이 선크림  SPF   PA    _0,그린핑거 야외놀이 선크림  SPF   PA    _1,아토팜 톡톡 페이셜 선팩트  SPF   PA    _0,아토팜 톡톡 페이셜 선팩트  SPF   PA    _1,빌리프 해피 보 마일드 선 스크린_0,빌리프 해피 보 마일드 선 스크린_1,선티크 아임세이프 포 베이비 앤 실버  SPF   PA    _0,선티크 아임세이프 포 베이비 앤 실버  SPF   PA    _1,닥터아토 워셔블 선 크림  SPF    PA    _0,닥터아토 워셔블 선 크림  SPF    PA    _1,빌리프 해피 보 선 메탈 쿠션  SPF   PA    _0,빌리프 해피 보 선 메탈 쿠션  SPF   PA    _1,라로슈포제 안뗄리오스 더모 키즈 로션  SPF    PA    _0,라로슈포제 안뗄리오스 더모 키즈 로션  SPF    PA    _1,궁중비책 워터풀 선로션  SPF    PA     _0,궁중비책 워터풀 선로션  SPF    PA     _1
0,25.33532,40.7738,0.0,0.0,63.97306,29.927,0.0,0.0,96.7283,36.72692,67.16417,42.15686,0.0,0.0,0.0,63.15789,0.0,0.0,74.39613,59.79729,75.0,0.0,14.45182,72.03389,55.55555,0.0,47.66355,21.53846,0.0,0.0,0.0,0.0,43.02325,48.0,0.0,0.0,81.35593,91.80327,26.50602,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24.44113,36.0119,0.0,0.0,50.50505,46.95863,0.0,0.0,83.07254,45.29019,62.68656,43.13725,0.0,0.0,0.0,36.8421,0.0,0.0,80.91787,77.7027,58.33333,0.0,18.43853,73.72881,88.88888,0.0,46.26168,22.63736,0.0,0.0,0.0,0.0,39.53488,50.0,0.0,0.0,61.01694,45.90163,27.71084,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23.24888,25.89285,0.0,0.0,39.73063,43.79562,0.0,0.0,81.79231,62.51189,64.1791,40.19607,0.0,0.0,0.0,31.57894,0.0,0.0,82.60869,100.0,0.0,0.0,20.598,66.10169,0.0,0.0,41.12149,25.4945,0.0,0.0,0.0,0.0,33.72093,71.0,0.0,0.0,45.76271,52.45901,34.93975,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21.4605,21.27976,0.0,0.0,35.35353,42.82238,0.0,0.0,62.16216,61.27497,61.19402,37.2549,0.0,0.0,38.46153,0.0,0.0,0.0,73.67149,75.33783,41.66666,0.0,14.1196,77.9661,0.0,0.0,28.50467,15.16483,0.0,0.0,0.0,0.0,30.23255,49.0,0.0,0.0,44.06779,62.29508,21.68674,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,25.48435,16.81547,0.0,0.0,41.41414,48.6618,0.0,0.0,57.32574,51.85537,49.25373,33.33333,0.0,0.0,38.46153,0.0,0.0,0.0,75.84541,78.71621,0.0,0.0,13.78737,76.27118,0.0,0.0,27.57009,18.68131,0.0,0.0,0.0,0.0,36.04651,52.0,0.0,0.0,32.20338,47.54098,28.91566,41.66666,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,24.88822,26.93452,0.0,0.0,56.22895,36.25304,0.0,0.0,62.73115,50.7136,62.68656,22.54901,0.0,0.0,53.84615,0.0,0.0,0.0,59.17874,97.63513,0.0,0.0,14.45182,46.61016,0.0,0.0,35.9813,18.46153,0.0,0.0,0.0,0.0,54.65116,59.0,0.0,0.0,49.15254,59.01639,27.71084,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,29.35916,26.33928,100.0,0.0,41.75084,28.46715,0.0,0.0,79.08961,41.76974,74.62686,38.23529,0.0,0.0,53.84615,42.10526,0.0,0.0,45.65217,88.51351,58.33333,0.0,17.94019,46.61016,0.0,0.0,47.19626,14.28571,0.0,0.0,0.0,0.0,47.67441,23.0,0.0,0.0,67.79661,47.54098,36.14457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,28.01788,24.25595,0.0,0.0,57.91245,26.76399,0.0,0.0,85.20625,34.91912,47.76119,37.2549,0.0,0.0,46.15384,52.63157,0.0,0.0,62.80193,54.39189,0.0,0.0,24.4186,36.44067,0.0,0.0,38.31775,17.80219,0.0,0.0,0.0,0.0,36.04651,38.0,0.0,0.0,40.67796,68.85245,31.3253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18.47988,25.1488,0.0,0.0,56.90235,33.57664,0.0,0.0,93.02987,37.39295,46.26865,60.78431,0.0,0.0,38.46153,0.0,0.0,0.0,56.52173,63.17567,58.33333,0.0,21.76079,19.49152,0.0,0.0,55.14018,17.58241,0.0,0.0,0.0,0.0,46.51162,44.0,0.0,0.0,100.0,54.09836,32.53012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18.03278,26.78571,0.0,0.0,55.89225,54.50121,0.0,0.0,78.37837,64.1294,70.14925,59.80392,0.0,0.0,0.0,0.0,0.0,0.0,64.00966,89.52702,0.0,0.0,18.60465,49.15254,0.0,0.0,42.99065,21.31868,0.0,0.0,0.0,0.0,54.65116,44.0,0.0,0.0,50.84745,55.7377,36.14457,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,21.16244,25.0,0.0,0.0,57.57575,43.55231,0.0,0.0,71.266,54.80494,65.67164,70.58823,0.0,0.0,69.23076,31.57894,0.0,0.0,57.00483,85.47297,41.66666,0.0,21.76079,25.42372,0.0,0.0,27.57009,14.94505,0.0,0.0,0.0,0.0,56.97674,59.0,0.0,0.0,61.01694,42.62295,36.14457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,25.78241,23.21428,0.0,0.0,53.53535,45.74209,0.0,0.0,48.36415,52.90199,74.62686,68.62745,0.0,0.0,38.46153,0.0,0.0,0.0,49.75845,75.67567,0.0,0.0,13.28903,8.47457,0.0,0.0,65.42056,14.94505,0.0,0.0,0.0,0.0,53.48837,35.0,0.0,0.0,42.37288,59.01639,30.12048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,35.02235,27.23214,0.0,0.0,61.61616,39.90267,0.0,0.0,61.45092,45.38534,56.71641,55.88235,0.0,0.0,0.0,0.0,0.0,0.0,39.37198,71.28378,50.0,0.0,11.46179,14.40677,0.0,0.0,77.1028,14.94505,0.0,0.0,0.0,0.0,52.32558,59.0,0.0,0.0,35.59322,100.0,46.98795,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,87.1833,33.33333,0.0,100.0,63.63636,35.76642,0.0,0.0,96.87055,40.05708,55.22388,37.2549,0.0,0.0,0.0,0.0,0.0,0.0,36.47342,59.45945,0.0,0.0,11.96013,21.18644,66.66666,0.0,63.5514,21.31868,0.0,0.0,0.0,0.0,100.0,32.0,0.0,0.0,25.42372,54.09836,57.83132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,43.96423,30.65476,0.0,0.0,70.70707,31.87347,0.0,0.0,86.91322,29.68601,64.1791,73.52941,0.0,0.0,100.0,0.0,0.0,0.0,41.0628,60.81081,41.66666,0.0,17.77408,20.33898,0.0,0.0,45.79439,17.58241,0.0,0.0,0.0,0.0,76.74418,37.0,0.0,0.0,54.23728,40.9836,46.98795,91.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30.9985,26.78571,0.0,0.0,58.58585,26.52068,0.0,0.0,82.21906,38.53472,55.22388,82.35294,0.0,0.0,0.0,0.0,0.0,0.0,50.72463,54.39189,0.0,0.0,13.62126,16.94915,0.0,0.0,54.67289,15.38461,100.0,0.0,0.0,0.0,98.8372,42.0,0.0,0.0,52.54237,39.34426,59.03614,83.33333,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,25.48435,22.32142,0.0,0.0,60.26936,46.22871,0.0,0.0,70.83926,55.94671,85.07462,84.31372,0.0,0.0,76.92307,0.0,0.0,0.0,76.08695,80.74324,0.0,0.0,13.78737,37.28813,0.0,0.0,48.59813,18.90109,100.0,0.0,0.0,0.0,98.8372,44.0,0.0,0.0,55.9322,93.44262,40.96385,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,23.09985,26.6369,0.0,0.0,50.50505,37.22627,0.0,0.0,69.13229,42.43577,65.67164,97.05882,0.0,0.0,46.15384,0.0,0.0,0.0,71.49758,88.51351,0.0,0.0,18.93687,34.74576,0.0,0.0,32.71028,21.0989,0.0,0.0,0.0,0.0,69.76744,44.0,0.0,0.0,37.28813,57.37704,27.71084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,31.29657,25.29761,0.0,0.0,100.0,38.68613,0.0,0.0,49.78662,40.34253,64.1791,82.35294,0.0,0.0,0.0,0.0,0.0,0.0,67.14975,91.21621,41.66666,0.0,16.7774,41.52542,0.0,0.0,42.99065,16.26373,0.0,0.0,0.0,0.0,62.79069,38.0,0.0,0.0,57.62711,65.57377,49.39759,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
