,그린핑거 촉촉한 자연보습 베이비로션_0,그린핑거 촉촉한 자연보습 베이비로션_1,존슨즈베이비 수딩내추럴 너리싱 로션_0,존슨즈베이비 수딩내추럴 너리싱 로션_1,존슨즈베이비 베드 타임 로션_0,존슨즈베이비 베드 타임 로션_1,아토팜 MLE 크림_0,아토팜 MLE 크림_1,존슨즈베이비 울트라 케어 크림_0,존슨즈베이비 울트라 케어 크림_1,존슨즈베이비 파우더_0,존슨즈베이비 파우더_1,존슨즈베이비 베드타임 오일_0,존슨즈베이비 베드타임 오일_1,존슨즈베이비 레귤러 오일_0,존슨즈베이비 레귤러 오일_1,존슨즈베이비 화이트 후레쉬 로션_0,존슨즈베이비 화이트 후레쉬 로션_1,얼스마마 바텀 밤_0,얼스마마 바텀 밤_1,존슨즈베이비 울트라 케어 로션_0,존슨즈베이비 울트라 케어 로션_1,궁중비책 베이비 로션_0,궁중비책 베이비 로션_1,그린핑거 촉촉한 자연보습 울트라크림_0,그린핑거 촉촉한 자연보습 울트라크림_1,존슨즈베이비 베드타임 파우더_0,존슨즈베이비 베드타임 파우더_1,보타니컬테라피 베이비 로션_0,보타니컬테라피 베이비 로션_1,아토팜 크림 마사지 오일_0,아토팜 크림 마사지 오일_1,그린핑거 힘센 보습 울트라 로션_0,그린핑거 힘센 보습 울트라 로션_1,프리메라 베이비 퓨어 로션_0,프리메라 베이비 퓨어 로션_1,존슨즈베이비 카모마일 오일_0,존슨즈베이비 카모마일 오일_1,존슨즈베이비 수딩내추럴 수드 앤드 프로텍트 밤_0,존슨즈베이비 수딩내추럴 수드 앤드 프로텍트 밤_1,존슨즈베이비 탑투토 워시_0,존슨즈베이비 탑투토 워시_1,아토팜 탑투토 워시_0,아토팜 탑투토 워시_1,얼스마마 앤젤베이비 바디워시앤삼푸_0,얼스마마 앤젤베이비 바디워시앤삼푸_1,궁중비책 베이비 샴푸 바스_0,궁중비책 베이비 샴푸 바스_1,그린핑거 촉촉한 자연보습 베이비워시_0,그린핑거 촉촉한 자연보습 베이비워시_1,존슨즈베이비 베드타임 바스_0,존슨즈베이비 베드타임 바스_1,캘리포니아베이비 카렌듈라 네츄럴 샴푸 앤 바디워시_0,캘리포니아베이비 카렌듈라 네츄럴 샴푸 앤 바디워시_1,무스텔라 젠틀 클렌징 젤_0,무스텔라 젠틀 클렌징 젤_1,누크 클래식 바스앤샤워 밀크_0,누크 클래식 바스앤샤워 밀크_1,누들앤부 NB워시_0,누들앤부 NB워시_1,그린핑거 마이키즈 워시_0,그린핑거 마이키즈 워시_1,그린핑거 마이키즈 샴푸_0,그린핑거 마이키즈 샴푸_1,아토앤오투 약산성 베이비 바스 앤 샴푸_0,아토앤오투 약산성 베이비 바스 앤 샴푸_1,세타필 베이비 샴푸_0,세타필 베이비 샴푸_1,아비노베이비 워시 샴푸_0,아비노베이비 워시 샴푸_1,호호에미 베이비 헤어 바디 클렌저_0,호호에미 베이비 헤어 바디 클렌저_1,유리아쥬 베베 끄렘 라방떼_0,유리아쥬 베베 끄렘 라방떼_1,아토팜 페이셜 폼 워시_0,아토팜 페이셜 폼 워시_1,비욘드 키즈에코 바디 워시_0,비욘드 키즈에코 바디 워시_1,보타니컬테라피 베이비 워시_0,보타니컬테라피 베이비 워시_1
0,0.0,0.0,0.0,0.0,0.0,0.0,35.59782,28.0,28.57142,17.85714,16.59192,8.80663,0.0,0.0,0.0,0.0,0.0,0.0,70.0,45.23809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30303,52.0,41.66666,12.82051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,69.41838,88.18011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,34.09523,14.28571,17.85714,25.1121,7.84939,0.0,0.0,0.0,0.0,0.0,0.0,61.66666,59.5238,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,34.84848,50.4,0.0,12.82051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,50.0938,64.54033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.10344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,41.66666
2,0.0,0.0,0.0,0.0,0.0,38.46153,25.27173,37.71428,17.85714,23.21428,20.17937,6.25398,0.0,30.0,0.0,0.0,0.0,0.0,51.66666,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30303,62.4,41.66666,35.89743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,57.03564,75.79737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.20689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,41.66666
3,0.0,0.0,0.0,0.0,0.0,0.0,19.83695,33.33333,17.85714,8.92857,13.45291,6.06253,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,45.23809,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30303,45.6,0.0,15.38461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,66.79174,66.22889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,58.33333
4,0.0,0.0,0.0,0.0,0.0,0.0,15.21739,40.7619,23.21428,26.78571,26.90582,7.9132,0.0,0.0,0.0,0.0,0.0,0.0,36.66666,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.84848,64.8,41.66666,28.20512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,69.98123,63.22701,0.0,0.0,0.0,0.0,100.0,100.0,0.0,72.41379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,27.44565,40.95238,8.92857,16.07142,27.35426,8.93426,0.0,0.0,0.0,0.0,0.0,0.0,50.0,59.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.24242,57.6,0.0,35.89743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,61.35084,49.71857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333
6,0.0,0.0,0.0,0.0,0.0,0.0,36.41304,40.19047,26.78571,8.92857,19.73094,8.74282,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,54.7619,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75757,50.4,0.0,30.76923,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,90.43151,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.36363,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,41.66666
7,0.0,0.0,0.0,0.0,0.0,0.0,41.30434,40.38095,16.07142,0.0,19.73094,8.679,0.0,0.0,0.0,62.5,0.0,0.0,83.33333,52.38095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39393,72.8,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,36.0,68.66791,75.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666
8,0.0,0.0,0.0,0.0,0.0,0.0,37.22826,54.66666,8.92857,8.92857,28.69955,7.78557,0.0,0.0,0.0,0.0,0.0,0.0,96.66666,90.47619,60.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39393,80.8,0.0,17.94871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,42.0,64.72795,77.67354,0.0,0.0,0.0,0.0,0.0,0.0,100.0,48.27586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,29.41176,0.0,0.0,0.0,50.0
9,0.0,0.0,0.0,0.0,0.0,0.0,36.68478,100.0,0.0,16.07142,23.31838,10.2744,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39393,71.2,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,45.45454,16.0,78.98686,84.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.62068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0
