,보타닉힐 보 아이디얼 포 맨 퍼펙트 파워 크림_0,보타닉힐 보 아이디얼 포 맨 퍼펙트 파워 크림_1,이니스프리 포레스트 포맨 프레시 올인원 에센스_0,이니스프리 포레스트 포맨 프레시 올인원 에센스_1,반트 36.5 포 맨 올 인 원 스킨_0,반트 36.5 포 맨 올 인 원 스킨_1,비오템옴므 아쿠아파워 건성용_0,비오템옴므 아쿠아파워 건성용_1,엠솔릭 디 오리지널 올인원 퍼펙트 솔루션_0,엠솔릭 디 오리지널 올인원 퍼펙트 솔루션_1,불독 오일 컨트롤 수분크림_0,불독 오일 컨트롤 수분크림_1,헬로스킨 베투스 그린보틀 올인원 워터 드롭 크림_0,헬로스킨 베투스 그린보틀 올인원 워터 드롭 크림_1,시드물 옴므 올인_0,시드물 옴므 올인_1,프리메라 맨 오가니언스 트리트먼트 워터_0,프리메라 맨 오가니언스 트리트먼트 워터_1,스웨거 남성 수분크림 페이스 차저_0,스웨거 남성 수분크림 페이스 차저_1,비레디 레벨업 파운데이션 포 히어로즈  SPF    PA     _0,비레디 레벨업 파운데이션 포 히어로즈  SPF    PA     _1,비레디 프라이드 업 아이브로우 포 히어로즈_0,비레디 프라이드 업 아이브로우 포 히어로즈_1,키엘 훼이셜 퓨얼 노 샤인 모이스처라이징 립밤_0,키엘 훼이셜 퓨얼 노 샤인 모이스처라이징 립밤_1,XTM 멀티 비비 스틱  SPF    PA     _0,XTM 멀티 비비 스틱  SPF    PA     _1,이니스프리 익스트림 파워위장크림  SPF    PA    _0,이니스프리 익스트림 파워위장크림  SPF    PA    _1,랩시리즈 비비 틴티드 모이스춰라이저  SPF   PA    _0,랩시리즈 비비 틴티드 모이스춰라이저  SPF   PA    _1,BRTC 타임 리버싱 썬비비_0,BRTC 타임 리버싱 썬비비_1,블랙몬스터 블랙 밤_0,블랙몬스터 블랙 밤_1,보타닉힐 보 아이디얼 포 맨 올디펜스 멀티 쿠션_0,보타닉힐 보 아이디얼 포 맨 올디펜스 멀티 쿠션_1,그라펜 트리플 핸섬 립_0,그라펜 트리플 핸섬 립_1,아이오페 맨 에어쿠션   SPF    PA    _0,아이오페 맨 에어쿠션   SPF    PA    _1,닥터영 이피 펄 브라이트닝 밤  SPF   PA   _0,닥터영 이피 펄 브라이트닝 밤  SPF   PA   _1,블랙몬스터 비비 로션  SPF    PA    _0,블랙몬스터 비비 로션  SPF    PA    _1,낫츠 화이트 루미네어 씨씨크림 포맨_0,낫츠 화이트 루미네어 씨씨크림 포맨_1,더페이스샵 아르쌩뜨 에코테라피 포맨 위장크림  SPF    PA    _0,비레디 무드 업 음영 아이팔레트 포 히어로즈_0,비레디 무드 업 음영 아이팔레트 포 히어로즈_1,챕스틱 엠 맨 립케어  SPF   _0,챕스틱 엠 맨 립케어  SPF   _1,니베아 맨 맨 액티브 케어_0,니베아 맨 맨 액티브 케어_1,디티알티 비비 겟 레디_0,디티알티 비비 겟 레디_1,닥터자르트 포맨 액티브 비비크림_0,닥터자르트 포맨 액티브 비비크림_1,엠솔릭 디 오리지널 스틱 워시 포 페이스 앤 바디_0,엠솔릭 디 오리지널 스틱 워시 포 페이스 앤 바디_1,비레디 원 샷 오일 폼 클렌저 포 히어로즈_0,비레디 원 샷 오일 폼 클렌저 포 히어로즈_1,헬로스킨 베투스 그린보틀 pH 밸런스 클렌징 젤_0,헬로스킨 베투스 그린보틀 pH 밸런스 클렌징 젤_1,엠솔릭 폼 앤 쉐이브 클렌저_0,엠솔릭 폼 앤 쉐이브 클렌저_1,랩시리즈 멀티 액션 훼이스 워시_0,랩시리즈 멀티 액션 훼이스 워시_1,이니스프리 포레스트 포맨 프레시 클렌징 폼_0,이니스프리 포레스트 포맨 프레시 클렌징 폼_1,불독 오리지널 페이스 워시_0,불독 오리지널 페이스 워시_1,비오템옴므 아쿠아파워 클렌저_0,비오템옴므 아쿠아파워 클렌저_1,스웨거 클렌징 폼 페이스 파이터_0,스웨거 클렌징 폼 페이스 파이터_1,시세이도 우노 휩 워시 스크럽_0,시세이도 우노 휩 워시 스크럽_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.07692,70.53941,0.0,0.0,100.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92592,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,100.0,0.0,0.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.10256,47.3029,0.0,0.0,12.12121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.94871,54.35684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.10256,41.49377,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,47.3029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03703,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.25641,42.32365,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,43.15352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.10256,45.64315,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.24896,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
