,스웨거 남성 향수 샤워젤 룰브레이커_0,스웨거 남성 향수 샤워젤 룰브레이커_1,스웨거 남성 향수 샤워젤 샷콜러_0,스웨거 남성 향수 샤워젤 샷콜러_1,니베아 맨 데오드란트 롤온 쿨 킥_0,니베아 맨 데오드란트 롤온 쿨 킥_1,보드맨 패션 바디스프레이_0,보드맨 패션 바디스프레이_1,포맨트 퍼퓸 스프레이   코튼 허그_0,포맨트 퍼퓸 스프레이   코튼 허그_1,니베아 맨 블랙 앤 화이트 스프레이_0,니베아 맨 블랙 앤 화이트 스프레이_1,포블랑시 남성청결제_0,포블랑시 남성청결제_1,칼밋 데오드란트 바디워시_0,칼밋 데오드란트 바디워시_1,디티알티 라스트 샷_0,디티알티 라스트 샷_1,샤넬 블루 드 샤넬 샤워 젤_0,샤넬 블루 드 샤넬 샤워 젤_1,스틸라 퍼펙트 아이 치크 팔레트_0,스틸라 퍼펙트 아이 치크 팔레트_1,페리페라 잉크 피팅 컬러 팔레트_0,페리페라 잉크 피팅 컬러 팔레트_1,아임미미 아임 멀티 큐브_0,아임미미 아임 멀티 큐브_1,16BRAND 마이 매거진_0,16BRAND 마이 매거진_1,라카 저스트 팔레트_0,라카 저스트 팔레트_1,미샤 글로우  컬러 필터 섀도우 팔레트_0,미샤 글로우  컬러 필터 섀도우 팔레트_1,NYX 내추럴룩키트_0,NYX 내추럴룩키트_1,VT COSMETICS 데일리 팔레트_0,VT COSMETICS 데일리 팔레트_1,이니스프리  토이스토리 컬렉션  로지 피기 팔레트_0,이니스프리  토이스토리 컬렉션  로지 피기 팔레트_1,에뛰드 플레이 컬러 멀티 팔레트_0,에뛰드 플레이 컬러 멀티 팔레트_1,어반디케이 백톡 아이 치크 멀티 팔레트_0,어반디케이 백톡 아이 치크 멀티 팔레트_1,바비브라운 파티 투 고 립   아이_0,바비브라운 파티 투 고 립   아이_1,나스 아이 앤드 치크 팔레드 아토믹 블론드_0,나스 아이 앤드 치크 팔레드 아토믹 블론드_1,에스쁘아      S S 룩북 팔레트  허니멜로우 _0,에스쁘아      S S 룩북 팔레트  허니멜로우 _1,맥 미스치프 밍스 팔레트_0,맥 미스치프 밍스 팔레트_1,베네피트 치키 스토어웨이즈_0,베네피트 치키 스토어웨이즈_1,바비브라운 인스턴트 프리티 아이 앤 치크 팔레트_0,바비브라운 인스턴트 프리티 아이 앤 치크 팔레트_1,에스쁘아    S S 룩북_0,에스쁘아    S S 룩북_1,미샤 데어 컬렉션 페어리 비즈_0,미샤 데어 컬렉션 페어리 비즈_1,컨시크 클래식 멀티 팔레트_0,컨시크 클래식 멀티 팔레트_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.199,17.41293,0.0,26.31578,0.0,0.0,29.8387,41.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69154,18.90547,0.0,73.68421,0.0,0.0,23.38709,42.05128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96019,21.89054,0.0,100.0,0.0,0.0,25.80645,24.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.93532,11.69154,0.0,26.31578,0.0,0.0,23.38709,28.71794,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94029,15.17412,38.46153,0.0,0.0,0.0,17.74193,26.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.199,12.43781,38.46153,0.0,0.0,0.0,23.38709,19.48717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20895,12.18905,0.0,0.0,0.0,0.0,33.87096,19.48717,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.92537,7.96019,0.0,26.31578,0.0,0.0,34.67741,16.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,21.73913
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.199,7.21393,0.0,26.31578,0.0,0.0,21.77419,25.1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.94527,16.41791,0.0,0.0,0.0,0.0,23.38709,27.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.43781,8.95522,0.0,0.0,0.0,0.0,28.2258,24.10256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.91304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.16915,22.63681,0.0,0.0,0.0,0.0,35.48387,18.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95652,6.52173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.67164,10.199,38.46153,0.0,0.0,0.0,22.58064,20.51282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.30434,35.86956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46268,11.69154,38.46153,0.0,0.0,0.0,20.96774,22.05128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95652,35.86956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.68656,7.96019,0.0,0.0,0.0,0.0,26.6129,18.97435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.52173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96019,12.93532,0.0,0.0,0.0,0.0,23.38709,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43478,27.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72636,11.94029,0.0,0.0,0.0,0.0,25.80645,19.48717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.47826,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46268,10.199,0.0,0.0,0.0,0.0,25.0,19.48717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43478,27.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44776,8.20895,0.0,0.0,0.0,0.0,12.09677,22.5641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.23383,14.92537,0.0,26.31578,0.0,0.0,31.45161,32.82051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7826,58.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.04975,10.199,38.46153,26.31578,0.0,0.0,34.67741,25.1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52173,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.94527,0.0,0.0,0.0,0.0,38.70967,27.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.30434,9.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.11442,12.43781,0.0,0.0,0.0,0.0,43.54838,37.43589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95652,17.3913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.87064,16.16915,38.46153,0.0,0.0,0.0,64.51612,68.71794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95652,28.26086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.98009,15.67164,38.46153,0.0,0.0,0.0,78.2258,62.5641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69565,18.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913
