,피몽쉐 아쿠아 블레미쉬 커버 밤_0,피몽쉐 아쿠아 블레미쉬 커버 밤_1,피몽쉐 아쿠아 블레미쉬 커버 밤_2,미샤 M 퍼펙트 블랑 비비_0,미샤 M 퍼펙트 블랑 비비_1,미샤 M 퍼펙트 블랑 비비_2,토니모리 결 고운 비비크림  SPF   PA   _0,토니모리 결 고운 비비크림  SPF   PA   _1,토니모리 결 고운 비비크림  SPF   PA   _2,미샤 M 퍼펙트 커버 비비 크림 RX  SPF    PA    _0,미샤 M 퍼펙트 커버 비비 크림 RX  SPF    PA    _1,미샤 M 퍼펙트 커버 비비 크림 RX  SPF    PA    _2,미바 이온 칼슘 미네랄 비비 크림  SPF    PA    _0,미바 이온 칼슘 미네랄 비비 크림  SPF    PA    _1,미바 이온 칼슘 미네랄 비비 크림  SPF    PA    _2,클레어스 일루미네이팅 서플 블레미쉬 크림  SPF   PA   _0,클레어스 일루미네이팅 서플 블레미쉬 크림  SPF   PA   _1,클레어스 일루미네이팅 서플 블레미쉬 크림  SPF   PA   _2,히스토랩 선 샤인 블레미쉬 밤  SPF   PA   _0,히스토랩 선 샤인 블레미쉬 밤  SPF   PA   _1,히스토랩 선 샤인 블레미쉬 밤  SPF   PA   _2,셀퓨전씨 스킨 블레미쉬 밤_0,셀퓨전씨 스킨 블레미쉬 밤_1,셀퓨전씨 스킨 블레미쉬 밤_2,한스킨 프리미엄 수퍼 매직 비비 크림  SPF   PA   _0,한스킨 프리미엄 수퍼 매직 비비 크림  SPF   PA   _1,한스킨 프리미엄 수퍼 매직 비비 크림  SPF   PA   _2,크리니크 수퍼 시티 블록 BB 쿠션 컴팩트  SPF   PA    _0,크리니크 수퍼 시티 블록 BB 쿠션 컴팩트  SPF   PA    _1,크리니크 수퍼 시티 블록 BB 쿠션 컴팩트  SPF   PA    _2,미샤 미사 초보양 비비크림  SPF   PA   _0,미샤 미사 초보양 비비크림  SPF   PA   _1,미샤 미사 초보양 비비크림  SPF   PA   _2,슈에무라 워터 글로우 BB 크림_0,슈에무라 워터 글로우 BB 크림_1,슈에무라 워터 글로우 BB 크림_2,BRTC 쟈스민 워터 비비크림  SPF   _0,BRTC 쟈스민 워터 비비크림  SPF   _1,BRTC 쟈스민 워터 비비크림  SPF   _2,시드물 메가 펩타이드 에코 하이드로 수딩비비크림_0,시드물 메가 펩타이드 에코 하이드로 수딩비비크림_1,시드물 메가 펩타이드 에코 하이드로 수딩비비크림_2,알렉산더킴스코 허벌 비앰비 크림_0,알렉산더킴스코 허벌 비앰비 크림_1,알렉산더킴스코 허벌 비앰비 크림_2,스와니코코 펩타이드 BB크림  퍼멘테이션 펩타인 블레미쉬 밤 _0,스와니코코 펩타이드 BB크림  퍼멘테이션 펩타인 블레미쉬 밤 _1,스와니코코 펩타이드 BB크림  퍼멘테이션 펩타인 블레미쉬 밤 _2,스킨79 인젝션 쿠션비비  SPF    PA    _0,스킨79 인젝션 쿠션비비  SPF    PA    _1,스킨79 인젝션 쿠션비비  SPF    PA    _2,닥터자르트 더메이크업 리쥬비네이팅 뷰티 밤  SPF   PA   _0,닥터자르트 더메이크업 리쥬비네이팅 뷰티 밤  SPF   PA   _1,닥터자르트 더메이크업 리쥬비네이팅 뷰티 밤  SPF   PA   _2,스킨79 디 오리엔탈 골드플러스 비비크림  SPF   PA   _0,스킨79 디 오리엔탈 골드플러스 비비크림  SPF   PA   _1,스킨79 디 오리엔탈 골드플러스 비비크림  SPF   PA   _2,Dr.G 슈퍼 라이트 브라이트닝 밤  SPF   PA   _0,Dr.G 슈퍼 라이트 브라이트닝 밤  SPF   PA   _1,Dr.G 슈퍼 라이트 브라이트닝 밤  SPF   PA   _2,부르조아     퍼펙트 CC크림_0,부르조아     퍼펙트 CC크림_1,부르조아     퍼펙트 CC크림_2,바닐라코 잇 래디언트 씨씨 커버 크림  SPF   PA   _0,바닐라코 잇 래디언트 씨씨 커버 크림  SPF   PA   _1,바닐라코 잇 래디언트 씨씨 커버 크림  SPF   PA   _2,설화수 CC유액_0,설화수 CC유액_1,설화수 CC유액_2,숨37˚ 에어라이징TF 씨씨크림  SPF   PA   _0,숨37˚ 에어라이징TF 씨씨크림  SPF   PA   _1,숨37˚ 에어라이징TF 씨씨크림  SPF   PA   _2,숨37˚ 워터 풀 씨씨쿠션 퍼펙트 피니쉬  SPF    PA    _0,숨37˚ 워터 풀 씨씨쿠션 퍼펙트 피니쉬  SPF    PA    _1,숨37˚ 워터 풀 씨씨쿠션 퍼펙트 피니쉬  SPF    PA    _2,에스케이투 애트모스피어 CC 크림  SPF   PA    _0,에스케이투 애트모스피어 CC 크림  SPF   PA    _1,에스케이투 애트모스피어 CC 크림  SPF   PA    _2,숨37˚ 선 어웨이 쿨링 선 씨씨  SPF    PA    _0,숨37˚ 선 어웨이 쿨링 선 씨씨  SPF    PA    _1,숨37˚ 선 어웨이 쿨링 선 씨씨  SPF    PA    _2,프리메라 워터리 CC쿠션  SPF    PA    _0,프리메라 워터리 CC쿠션  SPF    PA    _1,프리메라 워터리 CC쿠션  SPF    PA    _2,VT COSMETICS 블랙 픽스온 씨씨쿠션  SPF   PA   _0,VT COSMETICS 블랙 픽스온 씨씨쿠션  SPF   PA   _1,VT COSMETICS 블랙 픽스온 씨씨쿠션  SPF   PA   _2,아가타 코스메틱 블랑 씨씨 팩트_0,아가타 코스메틱 블랑 씨씨 팩트_1,아가타 코스메틱 블랑 씨씨 팩트_2,홀리카홀리카 페이스   체인지 씨씨크림  SPF   PA   _0,홀리카홀리카 페이스   체인지 씨씨크림  SPF   PA   _1,홀리카홀리카 페이스   체인지 씨씨크림  SPF   PA   _2,VT COSMETICS 화이트 글로우 씨씨 쿠션   SPF   PA    _0,VT COSMETICS 화이트 글로우 씨씨 쿠션   SPF   PA    _1,VT COSMETICS 화이트 글로우 씨씨 쿠션   SPF   PA    _2,시크릿키 텔링유 CC크림_0,시크릿키 텔링유 CC크림_1,시크릿키 텔링유 CC크림_2,라비다 루미너스 솔루션 CC크림  SPF   PA   _0,라비다 루미너스 솔루션 CC크림  SPF   PA   _1,라비다 루미너스 솔루션 CC크림  SPF   PA   _2,시크릿키 내추럴 CC 쿠션_0,시크릿키 내추럴 CC 쿠션_1,시크릿키 내추럴 CC 쿠션_2,포렌코즈 풀 커버 쿠션  SPF    PA    _0,포렌코즈 풀 커버 쿠션  SPF    PA    _1,포렌코즈 풀 커버 쿠션  SPF    PA    _2,지방시 뷰티 렝뗑뽀렐 블라썸 프레시 페이스 컴팩트 크림 멀티 핑크 톤업 CC   SPF   PA  _0,지방시 뷰티 렝뗑뽀렐 블라썸 프레시 페이스 컴팩트 크림 멀티 핑크 톤업 CC   SPF   PA  _1,지방시 뷰티 렝뗑뽀렐 블라썸 프레시 페이스 컴팩트 크림 멀티 핑크 톤업 CC   SPF   PA  _2,반트 36.5 펄 브라이트닝 CC크림  SPF   PA    _0,반트 36.5 펄 브라이트닝 CC크림  SPF   PA    _1,반트 36.5 펄 브라이트닝 CC크림  SPF   PA    _2,싸이닉 비타에이드 커버쿠션CC_0,싸이닉 비타에이드 커버쿠션CC_1,싸이닉 비타에이드 커버쿠션CC_2,토니모리 내추럴스 산양유 맑은 씨씨크림  SPF   PA   _0,토니모리 내추럴스 산양유 맑은 씨씨크림  SPF   PA   _1,토니모리 내추럴스 산양유 맑은 씨씨크림  SPF   PA   _2
0,0.0,35.71428,15.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,58.06451,46.93877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,33.98058,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,35.48387,22.44897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,33.98058,61.4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.90476,16.12903,32.65306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51724,49.51456,78.94736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,16.12903,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,65.04854,91.22807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,64.51612,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31034,66.99029,75.43859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,16.12903,38.77551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.86206,66.01941,57.89473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,22.58064,36.73469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,56.31067,63.15789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,25.80645,36.73469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.13793,51.45631,54.38596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,19.35483,24.48979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75862,51.45631,57.89473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,35.48387,53.06122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.03448,100.0,98.24561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
