,입생로랑 탑 시크릿 메이크업 세팅 스프레이_0,입생로랑 탑 시크릿 메이크업 세팅 스프레이_1,입생로랑 탑 시크릿 메이크업 세팅 스프레이_2,메이크업포에버 미스트 앤 픽스_0,메이크업포에버 미스트 앤 픽스_1,메이크업포에버 미스트 앤 픽스_2,에스쁘아 페이스 프라임 글로우 픽스 미스트_0,에스쁘아 페이스 프라임 글로우 픽스 미스트_1,에스쁘아 페이스 프라임 글로우 픽스 미스트_2,어반디케이 칠 쿨링 앤 하이드레이팅 메이크업 세팅 스프레이_0,어반디케이 칠 쿨링 앤 하이드레이팅 메이크업 세팅 스프레이_1,어반디케이 칠 쿨링 앤 하이드레이팅 메이크업 세팅 스프레이_2,메리케이 메이크업 피니싱 스프레이_0,메리케이 메이크업 피니싱 스프레이_1,메리케이 메이크업 피니싱 스프레이_2,자트인사이트 울트라 세팅 진짜 픽서_0,자트인사이트 울트라 세팅 진짜 픽서_1,자트인사이트 울트라 세팅 진짜 픽서_2,어반디케이 여행용 체리 올나이터_0,어반디케이 여행용 체리 올나이터_1,어반디케이 여행용 체리 올나이터_2,투쿨포스쿨 아트클래스 익스트림 세팅 픽서_0,투쿨포스쿨 아트클래스 익스트림 세팅 픽서_1,투쿨포스쿨 아트클래스 익스트림 세팅 픽서_2,네이처리퍼블릭 프로방스 스마트 베리어 메이크업 픽서_0,네이처리퍼블릭 프로방스 스마트 베리어 메이크업 픽서_1,네이처리퍼블릭 프로방스 스마트 베리어 메이크업 픽서_2,아리따움 올데이 필터 픽서_0,아리따움 올데이 필터 픽서_1,아리따움 올데이 필터 픽서_2,바비브라운 럭스 립 칼라_0,바비브라운 럭스 립 칼라_1,바비브라운 럭스 립 칼라_2,투쿨포스쿨 글램락 미스티 로즈_0,투쿨포스쿨 글램락 미스티 로즈_1,투쿨포스쿨 글램락 미스티 로즈_2,랑콤 압솔뤼 루즈_0,랑콤 압솔뤼 루즈_1,랑콤 압솔뤼 루즈_2,투쿨포스쿨 글램락 허쉬 브라운_0,투쿨포스쿨 글램락 허쉬 브라운_1,투쿨포스쿨 글램락 허쉬 브라운_2,클리오 매드 매트 립_0,클리오 매드 매트 립_1,클리오 매드 매트 립_2,지방시 뷰티 르 루즈_0,지방시 뷰티 르 루즈_1,지방시 뷰티 르 루즈_2,바비브라운 너리싱 립 칼라_0,바비브라운 너리싱 립 칼라_1,바비브라운 너리싱 립 칼라_2,미샤 데어 루즈 벨벳_0,미샤 데어 루즈 벨벳_1,미샤 데어 루즈 벨벳_2,홀리카홀리카 누드롭 듀이스틱_0,홀리카홀리카 누드롭 듀이스틱_1,홀리카홀리카 누드롭 듀이스틱_2,조르지오아르마니 루즈 아르마니_0,조르지오아르마니 루즈 아르마니_1,조르지오아르마니 루즈 아르마니_2,비디보브 립컷 루즈 벨벳_0,비디보브 립컷 루즈 벨벳_1,비디보브 립컷 루즈 벨벳_2,라카 스무스 매트 립스틱_0,라카 스무스 매트 립스틱_1,라카 스무스 매트 립스틱_2,웨이크메이크 루즈 건 제로_0,웨이크메이크 루즈 건 제로_1,웨이크메이크 루즈 건 제로_2,랑콤 압솔뤼 루즈 드라마 마뜨_0,랑콤 압솔뤼 루즈 드라마 마뜨_1,랑콤 압솔뤼 루즈 드라마 마뜨_2,샤넬 루쥬 알뤼르_0,샤넬 루쥬 알뤼르_1,샤넬 루쥬 알뤼르_2,메이크업포에버 아티스트 루즈 매트_0,메이크업포에버 아티스트 루즈 매트_1,메이크업포에버 아티스트 루즈 매트_2,클리오 매드 매트 스테인 립_0,클리오 매드 매트 스테인 립_1,클리오 매드 매트 스테인 립_2,레어카인드 페이드 매트 립스틱_0,레어카인드 페이드 매트 립스틱_1,레어카인드 페이드 매트 립스틱_2,샤넬 루쥬 코코_0,샤넬 루쥬 코코_1,샤넬 루쥬 코코_2,샤넬 루쥬 코코 플래쉬_0,샤넬 루쥬 코코 플래쉬_1,샤넬 루쥬 코코 플래쉬_2,삐아 라스트 벨벳 립 틴트 _0,삐아 라스트 벨벳 립 틴트 _1,삐아 라스트 벨벳 립 틴트 _2,삐아 라스트 벨벳 립 틴트  _0,삐아 라스트 벨벳 립 틴트  _1,삐아 라스트 벨벳 립 틴트  _2,블랙루즈 에어 핏 벨벳틴트 _0,블랙루즈 에어 핏 벨벳틴트 _1,블랙루즈 에어 핏 벨벳틴트 _2,헤라 센슈얼 스파이시 누드 글로스_0,헤라 센슈얼 스파이시 누드 글로스_1,헤라 센슈얼 스파이시 누드 글로스_2,블랙루즈 에어 핏 벨벳틴트_0,블랙루즈 에어 핏 벨벳틴트_1,블랙루즈 에어 핏 벨벳틴트_2,입생로랑 베르니 아 레브르 바이닐 크림_0,입생로랑 베르니 아 레브르 바이닐 크림_1,입생로랑 베르니 아 레브르 바이닐 크림_2,어퓨 과즙팡 무스 틴트_0,어퓨 과즙팡 무스 틴트_1,어퓨 과즙팡 무스 틴트_2,KVD 비건뷰티 에버라스팅 리퀴드 립스틱_0,KVD 비건뷰티 에버라스팅 리퀴드 립스틱_1,KVD 비건뷰티 에버라스팅 리퀴드 립스틱_2
0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9805,28.49264,29.46593,54.16666,21.21212,0.0,69.46428,8.43,8.43,39.42857,58.0,54.58333,28.27024,37.82327,100.0,0.0,0.0,0.0,0.0,43.88489,36.79245,0.0,4.8272,4.33351,0.0,0.0,27.77777,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.79681,5.37931,0.0,58.39267,68.51475,57.94871,48.50746,33.20895,38.33992,50.51759,75.13227,42.85714,0.0,0.0,0.0,0.0,90.1132,0.0,0.0,0.0,46.75324,28.57142,100.0,7.85797,8.32363,90.89486,66.41613,20.07793,69.2454,66.41613,20.07793,69.2454,59.63855,21.78571,20.37037,0.0,12.2093,0.0,59.63855,21.78571,20.37037,56.89655,76.3285,0.0,0.0,0.65947,15.31942,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.99442,21.1397,34.06998,0.0,23.0303,0.0,100.0,9.43542,9.43542,43.42857,58.0,51.66666,15.28509,35.12931,93.17365,0.0,0.0,0.0,0.0,63.30935,49.0566,0.0,4.2238,4.00438,0.0,0.0,0.0,72.72727,68.96551,0.0,0.0,100.0,0.0,0.0,1.06241,4.55172,0.0,34.79145,58.4944,86.15384,33.20895,34.70149,47.43083,55.2795,50.79365,0.0,46.66666,0.0,0.0,0.0,100.0,0.0,0.0,7.52688,45.45454,37.66233,64.31718,8.84749,8.9057,90.50352,64.87341,28.63002,76.75967,64.87341,28.63002,76.75967,72.13855,30.71428,22.89562,0.0,6.39534,0.0,72.13855,30.71428,22.89562,65.51724,37.19806,0.0,0.0,0.59952,10.16949,0.0,0.0,0.0
2,0.0,0.0,100.0,0.0,20.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,31.19777,22.24264,27.25598,37.5,100.0,0.0,72.32142,8.14642,8.14642,25.71428,73.0,49.58333,14.47053,30.60344,98.86227,0.0,0.0,0.0,0.0,85.61151,51.88679,0.0,4.93691,5.4306,0.0,0.0,22.22222,74.02597,44.82758,0.0,0.0,0.0,0.0,0.0,0.0,4.55172,0.0,39.31841,55.34079,90.25641,34.70149,66.04477,53.35968,45.54865,48.67724,52.38095,60.0,0.0,0.0,0.0,95.96226,0.0,0.0,0.0,54.54545,50.64935,60.35242,8.32363,6.57741,98.79989,63.60759,27.85069,93.65884,63.60759,27.85069,93.65884,73.94578,27.14285,19.69696,0.0,10.07751,0.0,73.94578,27.14285,19.69696,52.5862,66.18357,0.0,0.0,0.65947,11.66883,0.0,0.0,0.0
3,0.0,0.0,0.0,17.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.34818,17.46323,25.59852,41.66666,99.39393,0.0,94.82142,8.40422,8.40422,28.28571,61.0,36.66666,15.11739,27.5862,78.20359,0.0,0.0,0.0,0.0,56.1151,40.56603,0.0,3.29127,4.11409,0.0,0.0,44.44444,40.25974,58.62068,0.0,0.0,0.0,0.0,0.0,0.0,2.48275,0.0,34.33367,58.39267,100.0,66.04477,50.74626,50.98814,49.06832,58.73015,66.66666,40.0,0.0,0.0,0.0,85.20754,0.0,0.0,0.0,49.35064,49.35064,60.79295,11.2922,8.32363,100.0,69.30379,28.91714,67.88205,69.30379,28.91714,67.88205,100.0,32.5,18.18181,0.0,13.37209,0.0,100.0,32.5,18.18181,37.93103,71.98067,0.0,0.0,0.59952,9.06127,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.01949,15.25735,25.2302,62.5,30.90909,0.0,71.96428,8.8167,8.8167,19.14285,45.0,35.83333,13.72783,28.125,70.65868,0.0,0.0,0.0,0.0,57.55395,48.1132,0.0,3.45584,8.44761,0.0,0.0,44.44444,48.05194,75.86206,0.0,0.0,75.0,0.0,0.0,1.19521,2.75862,0.0,35.60528,34.79145,83.07692,50.74626,52.2388,58.89328,60.45548,67.19576,23.80952,100.0,0.0,0.0,0.0,68.90566,0.0,0.0,30.10752,61.03896,35.06493,50.66079,13.15483,9.25494,92.98199,66.41613,35.0082,63.37983,66.41613,35.0082,63.37983,49.09638,48.21428,14.47811,0.0,11.04651,0.0,49.09638,48.21428,14.47811,18.96551,57.97101,0.0,0.0,0.35971,8.73533,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.35097,24.44852,23.7569,91.66666,15.75757,0.0,67.67857,10.75019,10.75019,25.42857,44.0,25.41666,16.72256,25.64655,64.43113,0.0,0.0,0.0,0.0,77.69784,33.01886,0.0,4.33351,4.77235,0.0,0.0,44.44444,33.76623,48.27586,0.0,0.0,0.0,0.0,0.0,0.0,4.82758,0.0,35.35096,39.31841,74.87179,52.2388,100.0,80.63241,48.4472,61.37566,0.0,0.0,0.0,0.0,0.0,78.71698,0.0,0.0,100.0,45.45454,36.36363,46.69603,12.9802,9.83701,80.40699,66.33702,29.36833,63.34812,66.33702,29.36833,63.34812,31.02409,78.57142,17.50841,1.16279,13.56589,1.55038,31.02409,78.57142,17.50841,17.24137,95.65217,0.0,0.0,0.0,13.55932,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88022,22.42647,20.99447,33.33333,16.36363,0.0,75.71428,11.6267,11.6267,31.14285,33.0,29.58333,15.47676,24.78448,68.32335,0.0,0.0,0.0,0.0,56.83453,47.16981,0.0,4.27866,5.86944,0.0,0.0,22.22222,24.67532,27.5862,0.0,0.0,75.0,0.0,0.0,3.32005,3.5862,0.0,34.4354,34.33367,70.25641,100.0,83.20895,50.19762,56.31469,63.49206,38.09523,40.0,0.0,0.0,0.0,57.39622,0.0,0.0,34.4086,49.35064,35.06493,48.45814,14.61001,9.66239,75.99791,67.40506,27.46103,60.71655,67.40506,27.46103,60.71655,41.41566,62.85714,16.16161,2.32558,17.82945,0.0,41.41566,62.85714,16.16161,46.55172,80.67632,0.0,0.0,0.0,11.53846,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.883,23.34558,28.17679,37.5,15.75757,0.0,62.32142,12.58056,12.58056,24.28571,42.0,28.75,16.14758,24.78448,62.99401,0.0,0.0,0.0,0.0,100.0,55.66037,0.0,4.11409,6.91168,0.0,0.0,55.55555,40.25974,37.93103,0.0,0.0,0.0,0.0,0.0,1.46082,4.96551,0.0,31.23092,35.60528,74.87179,83.20895,80.22388,49.40711,45.75569,100.0,52.38095,53.33333,0.0,0.0,0.0,50.26415,0.0,0.0,18.27956,51.94805,32.46753,51.54185,19.84866,9.31315,76.28489,67.04905,39.49958,62.93595,67.04905,39.49958,62.93595,28.46385,35.0,11.11111,0.0,16.08527,0.0,28.46385,35.0,11.11111,30.17241,71.01449,1.52905,0.65947,0.29976,9.84354,0.0,0.0,0.0
8,0.0,0.0,0.0,15.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.23955,18.19852,37.75322,0.0,24.84848,0.0,57.67857,11.13689,11.13689,24.85714,54.0,18.33333,16.02779,28.98706,87.48502,57.14285,0.0,0.0,0.0,66.18705,33.96226,0.0,5.32089,6.41799,0.0,0.0,52.77777,36.36363,58.62068,0.0,0.0,0.0,100.0,0.0,2.92164,4.55172,0.0,75.48321,35.35096,55.38461,80.22388,65.2985,49.01185,63.56107,83.59788,61.90476,93.33333,0.0,0.0,0.0,48.30188,0.0,0.0,6.45161,36.36363,53.24675,58.14977,17.92782,9.66239,59.92695,67.76107,100.0,75.36461,67.76107,100.0,75.36461,28.31325,38.57142,9.4276,1.93798,15.31007,0.0,28.31325,38.57142,9.4276,68.96551,74.39613,0.0,0.59952,0.35971,8.21382,0.0,0.0,0.0
9,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.26462,27.02205,35.72744,0.0,24.24242,0.0,50.53571,10.02835,10.02835,32.28571,73.0,32.91666,14.78198,32.97413,98.56287,100.0,0.0,0.0,10.0,79.13669,61.32075,0.0,4.66264,7.29566,0.0,0.0,22.22222,27.27272,82.75862,0.0,0.0,0.0,0.0,1.19521,2.65604,3.44827,0.0,58.64699,34.4354,52.82051,65.2985,59.32835,44.66403,100.0,58.20105,57.14285,60.0,0.0,0.0,0.0,47.13207,0.0,0.0,5.37634,49.35064,31.16883,43.61233,19.32479,8.9057,60.94442,64.5174,87.32567,79.35954,64.5174,87.32567,79.35954,65.21084,37.14285,14.98316,1.16279,16.86046,0.0,65.21084,37.14285,14.98316,81.03448,94.20289,0.0,0.65947,1.25899,14.40677,0.0,0.0,0.0
